SSC_NAME16	FamilyComposition	families_with_children
Gracemere	Step family with other children present	3
Graceville	Blended family with no other children present	14
Graceville	Intact family with no other children present	649
Graceville	Intact family with other children present	8
Graceville	Step family with no other children present	27
Grahams Creek	Intact family with no other children present	10
Grahams Creek	Step family with no other children present	3
Granadilla	Intact family with no other children present	5
Grand Secret	Intact family with no other children present	14
Grand Secret	Step family with no other children present	3
Grandchester	Blended family with no other children present	5
Grandchester	Intact family with no other children present	41
Grange (Qld)	Blended family with no other children present	9
Grange (Qld)	Intact family with no other children present	610
Grange (Qld)	Intact family with other children present	4
Grange (Qld)	Step family with no other children present	37
Grant	Intact family with no other children present	3
Grantham	Blended family with no other children present	3
Grantham	Intact family with no other children present	47
Grantham	Intact family with other children present	3
Grantham	Step family with no other children present	11
Granville (Qld)	Blended family with no other children present	17
Granville (Qld)	Intact family with no other children present	189
Granville (Qld)	Intact family with other children present	4
Granville (Qld)	Other couple family with other children only	7
Granville (Qld)	Step family with no other children present	21
Grapetree	Intact family with no other children present	3
Grasstree Beach	Blended family with no other children present	3
Grasstree Beach	Intact family with no other children present	51
Grasstree Beach	Step family with no other children present	3
Grays Gate	Intact family with no other children present	3
Green Hill	Intact family with no other children present	17
Greenbank	Blended family with no other children present	69
Greenbank	Intact family with no other children present	948
Greenbank	Intact family with other children present	24
Greenbank	Other couple family with other children only	6
Greenbank	Step family with no other children present	72
Greenbank	Step family with other children present	5
Greenlands (Qld)	Intact family with no other children present	25
Greenlands (Qld)	Step family with no other children present	4
Greenmount (Mackay - Qld)	Blended family with no other children present	3
Greenmount (Mackay - Qld)	Intact family with no other children present	59
Greenmount (Toowoomba - Qld)	Blended family with no other children present	3
Greenmount (Toowoomba - Qld)	Intact family with no other children present	68
Greenmount (Toowoomba - Qld)	Intact family with other children present	3
Greenmount (Toowoomba - Qld)	Step family with no other children present	12
Greens Creek (Qld)	Intact family with no other children present	33
Greens Creek (Qld)	Step family with no other children present	9
Greenslopes	Blended family with no other children present	26
Greenslopes	Intact family with no other children present	717
Greenslopes	Intact family with other children present	6
Greenslopes	Step family with no other children present	40
Greenswamp	Intact family with no other children present	4
Greenvale (Qld)	Intact family with no other children present	15
Greenview	Intact family with no other children present	13
Greenwood (Qld)	Intact family with no other children present	3
Gregors Creek	Intact family with no other children present	12
Gregors Creek	Step family with no other children present	3
Gregory (Qld)	Intact family with no other children present	6
Gregory River (Bundaberg - Qld)	Intact family with no other children present	10
Gregory River (Whitsunday - Qld)	Intact family with no other children present	29
Gregory River (Whitsunday - Qld)	Step family with no other children present	3
Greycliffe	Intact family with no other children present	3
Greymare	Intact family with no other children present	6
Griffin	Blended family with no other children present	67
Griffin	Intact family with no other children present	750
Griffin	Intact family with other children present	8
Griffin	Other couple family with other children only	3
Griffin	Step family with no other children present	66
Groomsville	Intact family with no other children present	10
Groper Creek	Intact family with no other children present	3
Grosmont	Intact family with no other children present	17
Grosmont	Step family with no other children present	3
Guanaba	Blended family with no other children present	3
Guanaba	Intact family with no other children present	80
Guanaba	Step family with no other children present	11
Gulliver	Blended family with no other children present	13
Gulliver	Intact family with no other children present	222
Gulliver	Intact family with other children present	5
Gulliver	Other couple family with other children only	3
Gulliver	Step family with no other children present	20
Guluguba	Intact family with no other children present	11
Gumdale	Blended family with no other children present	8
Gumdale	Intact family with no other children present	333
Gumdale	Step family with no other children present	20
Gumlow	Blended family with no other children present	3
Gumlow	Intact family with no other children present	19
Gumlu	Intact family with no other children present	14
Gunalda	Blended family with no other children present	3
Gunalda	Intact family with no other children present	15
Gunalda	Intact family with other children present	3
Gunalda	Step family with no other children present	4
Gundiah	Blended family with no other children present	3
Gundiah	Intact family with no other children present	9
Gungaloon	Intact family with no other children present	7
Gunnawarra	Intact family with no other children present	3
Gunnewin	Intact family with no other children present	8
Gunpowder	Intact family with no other children present	7
Gunyarra	Intact family with no other children present	4
Gurgeena	Intact family with no other children present	3
Guthalungra	Intact family with no other children present	5
Gwambegwine	Intact family with no other children present	3
Gympie	Blended family with no other children present	78
Gympie	Intact family with no other children present	677
Gympie	Intact family with other children present	15
Gympie	Other couple family with other children only	4
Gympie	Step family with no other children present	79
Gympie	Step family with other children present	3
Habana	Intact family with no other children present	135
Habana	Step family with no other children present	14
Haden	Intact family with no other children present	17
Haigslea	Blended family with no other children present	7
Haigslea	Intact family with no other children present	40
Haigslea	Step family with no other children present	3
Hail Creek	Intact family with no other children present	5
Haliday Bay	Intact family with no other children present	15
Halifax	Blended family with no other children present	3
Halifax	Intact family with no other children present	34
Halifax	Step family with no other children present	7
Haly Creek	Intact family with no other children present	15
Hamilton (Qld)	Blended family with no other children present	14
Hamilton (Qld)	Intact family with no other children present	496
Hamilton (Qld)	Intact family with other children present	4
Hamilton (Qld)	Step family with no other children present	39
Hamilton Creek	Intact family with no other children present	11
Hamilton Plains	Intact family with no other children present	10
Hampden (Qld)	Blended family with no other children present	3
Hampden (Qld)	Intact family with no other children present	55
Hampden (Qld)	Step family with no other children present	3
Hampton (Qld)	Intact family with no other children present	27
Hannaford	Intact family with no other children present	9
Happy Valley (Qld)	Blended family with no other children present	8
Happy Valley (Qld)	Intact family with no other children present	100
Happy Valley (Qld)	Intact family with other children present	7
Happy Valley (Qld)	Step family with no other children present	3
Harlaxton	Blended family with no other children present	14
Harlaxton	Intact family with no other children present	155
Harlaxton	Step family with no other children present	19
Harlin	Intact family with no other children present	13
Harrami	Intact family with no other children present	4
Harristown	Blended family with no other children present	49
Harristown	Intact family with no other children present	581
Harristown	Intact family with other children present	8
Harristown	Other couple family with other children only	8
Harristown	Step family with no other children present	72
Harristown	Step family with other children present	3
Harrisville	Blended family with no other children present	7
Harrisville	Intact family with no other children present	55
Harrisville	Step family with no other children present	8
Hatton Vale	Blended family with no other children present	13
Hatton Vale	Intact family with no other children present	168
Hatton Vale	Intact family with other children present	3
Hatton Vale	Step family with no other children present	16
Hawkins Creek	Intact family with no other children present	29
Hawkins Creek	Step family with no other children present	3
Hawthorne	Blended family with no other children present	9
Hawthorne	Intact family with no other children present	630
Hawthorne	Intact family with other children present	6
Hawthorne	Step family with no other children present	28
Hay Point	Blended family with no other children present	8
Hay Point	Intact family with no other children present	117
Hay Point	Step family with no other children present	9
Hazeldean	Intact family with no other children present	23
Hazeldean	Intact family with other children present	4
Hazeldean	Step family with no other children present	4
Hazledean	Intact family with no other children present	3
Headington Hill	Intact family with no other children present	8
Healy	Blended family with no other children present	15
Healy	Intact family with no other children present	234
Healy	Intact family with other children present	3
Healy	Other couple family with other children only	3
Healy	Step family with no other children present	16
Heathwood	Blended family with no other children present	19
Heathwood	Intact family with no other children present	418
Heathwood	Intact family with other children present	9
Heathwood	Other couple family with other children only	3
Heathwood	Step family with no other children present	28
Heathwood	Step family with other children present	4
Heatley	Blended family with no other children present	38
Heatley	Intact family with no other children present	278
Heatley	Intact family with other children present	9
Heatley	Other couple family with other children only	3
Heatley	Step family with no other children present	46
Hebel	Intact family with no other children present	4
Helens Hill	Intact family with no other children present	14
Helensvale	Blended family with no other children present	101
Helensvale	Blended family with other children present	3
Helensvale	Intact family with no other children present	1907
Helensvale	Intact family with other children present	31
Helensvale	Other couple family with other children only	11
Helensvale	Step family with no other children present	195
Helensvale	Step family with other children present	5
Helidon	Blended family with no other children present	9
Helidon	Intact family with no other children present	74
Helidon	Step family with no other children present	10
Helidon Spa	Intact family with no other children present	51
Helidon Spa	Step family with no other children present	14
Hemmant	Blended family with no other children present	16
Hemmant	Intact family with no other children present	268
Hemmant	Other couple family with other children only	4
Hemmant	Step family with no other children present	26
Hendon (Qld)	Intact family with no other children present	21
Hendra	Blended family with no other children present	21
Hendra	Intact family with no other children present	535
Hendra	Intact family with other children present	4
Hendra	Step family with no other children present	50
Herberton	Blended family with no other children present	3
Herberton	Intact family with no other children present	51
Herberton	Other couple family with other children only	3
Herberton	Step family with no other children present	4
Heritage Park	Blended family with no other children present	45
Heritage Park	Intact family with no other children present	596
Heritage Park	Intact family with other children present	18
Heritage Park	Other couple family with other children only	4
Heritage Park	Step family with no other children present	56
Heritage Park	Step family with other children present	3
Hermit Park	Blended family with no other children present	13
Hermit Park	Intact family with no other children present	282
Hermit Park	Intact family with other children present	3
Hermit Park	Step family with no other children present	23
Herston	Blended family with no other children present	3
Herston	Intact family with no other children present	141
Hervey Range	Intact family with no other children present	35
Hervey Range	Intact family with other children present	3
Hervey Range	Step family with no other children present	3
Hibernia	Intact family with no other children present	3
Hidden Valley (Qld)	Blended family with no other children present	3
Hidden Valley (Qld)	Intact family with no other children present	48
Hidden Valley (Qld)	Step family with no other children present	3
Hideaway Bay	Intact family with no other children present	11
Highfields (Qld)	Blended family with no other children present	40
Highfields (Qld)	Intact family with no other children present	1006
Highfields (Qld)	Intact family with other children present	9
Highfields (Qld)	Other couple family with other children only	5
Highfields (Qld)	Step family with no other children present	63
Highfields (Qld)	Step family with other children present	3
Highgate Hill	Blended family with no other children present	16
Highgate Hill	Intact family with no other children present	440
Highgate Hill	Intact family with other children present	6
Highgate Hill	Step family with no other children present	41
Highgrove	Intact family with no other children present	6
Highland Park	Blended family with no other children present	39
Highland Park	Blended family with other children present	3
Highland Park	Intact family with no other children present	663
Highland Park	Intact family with other children present	5
Highland Park	Other couple family with other children only	3
Highland Park	Step family with no other children present	76
Highland Plains (Toowoomba - Qld)	Intact family with no other children present	6
Highvale	Blended family with no other children present	8
Highvale	Intact family with no other children present	268
Highvale	Intact family with other children present	3
Highvale	Step family with no other children present	19
Highworth	Blended family with no other children present	5
Highworth	Intact family with no other children present	21
Highworth	Intact family with other children present	4
Highworth	Step family with no other children present	3
Hillcrest (Qld)	Blended family with no other children present	46
Hillcrest (Qld)	Intact family with no other children present	566
Hillcrest (Qld)	Intact family with other children present	7
Hillcrest (Qld)	Other couple family with other children only	4
Hillcrest (Qld)	Step family with no other children present	57
Hillcrest (Qld)	Step family with other children present	3
Hillview	Intact family with no other children present	4
Hillview	Other couple family with other children only	3
Hirstglen	Intact family with no other children present	6
Hivesville	Intact family with no other children present	6
Hobartville (Qld)	Intact family with no other children present	3
Hodgleigh	Intact family with no other children present	15
Hodgson	Intact family with no other children present	5
Hodgson Vale	Blended family with no other children present	9
Hodgson Vale	Intact family with no other children present	212
Hodgson Vale	Step family with no other children present	8
Holland Park	Blended family with no other children present	24
Holland Park	Intact family with no other children present	925
Holland Park	Intact family with other children present	10
Holland Park	Step family with no other children present	61
Holland Park	Step family with other children present	3
Holland Park West	Blended family with no other children present	7
Holland Park West	Intact family with no other children present	690
Holland Park West	Intact family with other children present	3
Holland Park West	Step family with no other children present	47
Holloways Beach	Blended family with no other children present	7
Holloways Beach	Intact family with no other children present	158
Holloways Beach	Other couple family with other children only	3
Holloways Beach	Step family with no other children present	20
Hollywell	Blended family with no other children present	11
Hollywell	Intact family with no other children present	293
Hollywell	Step family with no other children present	21
Holmview	Blended family with no other children present	27
Holmview	Intact family with no other children present	251
Holmview	Intact family with other children present	9
Holmview	Step family with no other children present	23
Home Creek	Intact family with no other children present	5
Home Hill	Blended family with no other children present	15
Home Hill	Intact family with no other children present	230
Home Hill	Intact family with other children present	3
Home Hill	Step family with no other children present	23
Home Hill	Step family with other children present	3
Homebush (Qld)	Intact family with no other children present	24
Homestead	Intact family with no other children present	3
Hookswood	Intact family with no other children present	4
Hope Island	Blended family with no other children present	31
Hope Island	Intact family with no other children present	1011
Hope Island	Intact family with other children present	8
Hope Island	Other couple family with other children only	3
Hope Island	Step family with no other children present	103
Hope Vale	Intact family with no other children present	79
Hope Vale	Intact family with other children present	10
Hope Vale	Other couple family with other children only	3
Hope Vale	Step family with no other children present	5
Hopeland (Qld)	Intact family with no other children present	14
Horn	Blended family with no other children present	3
Horn	Intact family with no other children present	39
Horn	Intact family with other children present	3
Horn	Step family with no other children present	6
Horse Camp	Blended family with no other children present	4
Horse Camp	Intact family with no other children present	30
Horse Camp	Step family with no other children present	4
Horse Creek	Intact family with no other children present	8
Horseshoe Bay	Blended family with no other children present	3
Horseshoe Bay	Intact family with no other children present	33
Horseshoe Bay	Step family with no other children present	4
Horseshoe Lagoon	Intact family with no other children present	25
Horton	Intact family with no other children present	16
Howard	Blended family with no other children present	3
Howard	Intact family with no other children present	77
Howard	Intact family with other children present	5
Howard	Step family with no other children present	4
Hoya	Blended family with no other children present	4
Hoya	Intact family with no other children present	16
Hoya	Step family with no other children present	3
Hudson	Intact family with no other children present	15
Hughenden	Blended family with no other children present	6
Hughenden	Intact family with no other children present	88
Hughenden	Intact family with other children present	3
Hull Heads	Intact family with no other children present	5
Humboldt	Intact family with no other children present	4
Humphery	Intact family with no other children present	3
Hunchy	Blended family with no other children present	4
Hunchy	Intact family with no other children present	61
Hunchy	Step family with no other children present	6
Hurricane	Intact family with no other children present	3
Hutton Creek	Intact family with no other children present	3
Hyde Park (Qld)	Blended family with no other children present	10
Hyde Park (Qld)	Intact family with no other children present	114
Hyde Park (Qld)	Step family with no other children present	4
Iama Island	Intact family with no other children present	15
Iama Island	Intact family with other children present	3
Idalia	Blended family with no other children present	14
Idalia	Intact family with no other children present	580
Idalia	Intact family with other children present	8
Idalia	Step family with no other children present	46
Ideraway	Intact family with no other children present	3
Ilbilbie	Intact family with no other children present	23
Ilbilbie	Step family with no other children present	3
Ilfracombe	Intact family with no other children present	24
Ilkley	Blended family with no other children present	8
Ilkley	Intact family with no other children present	105
Ilkley	Step family with no other children present	7
Illinbah	Intact family with no other children present	18
Illinbah	Step family with no other children present	3
Image Flat	Blended family with no other children present	5
Image Flat	Intact family with no other children present	49
Imbil	Blended family with no other children present	6
Imbil	Intact family with no other children present	58
Imbil	Step family with no other children present	6
Inala	Blended family with no other children present	85
Inala	Intact family with no other children present	1147
Inala	Intact family with other children present	61
Inala	Other couple family with other children only	20
Inala	Step family with no other children present	112
Inala	Step family with other children present	10
Indooroopilly	Blended family with no other children present	18
Indooroopilly	Intact family with no other children present	1196
Indooroopilly	Intact family with other children present	14
Indooroopilly	Other couple family with other children only	5
Indooroopilly	Step family with no other children present	43
Ingberry	Intact family with no other children present	3
Ingham	Blended family with no other children present	14
Ingham	Intact family with no other children present	341
Ingham	Intact family with other children present	5
Ingham	Step family with no other children present	18
Inglestone	Intact family with no other children present	11
Inglewood (Qld)	Blended family with no other children present	3
Inglewood (Qld)	Intact family with no other children present	55
Inglewood (Qld)	Step family with no other children present	6
Ingoldsby	Intact family with no other children present	9
Injinoo	Blended family with no other children present	3
Injinoo	Intact family with no other children present	43
Injinoo	Intact family with other children present	9
Injinoo	Other couple family with other children only	3
Injinoo	Step family with no other children present	4
Injune	Intact family with no other children present	35
Inkerman (Qld)	Intact family with no other children present	12
Innes Park	Blended family with no other children present	12
Innes Park	Intact family with no other children present	269
Innes Park	Other couple family with other children only	3
Innes Park	Step family with no other children present	15
Innisfail	Blended family with no other children present	5
Innisfail	Intact family with no other children present	67
Innisfail	Intact family with other children present	3
Innisfail	Step family with no other children present	3
Innisfail Estate	Blended family with no other children present	9
Innisfail Estate	Intact family with no other children present	111
Innisfail Estate	Intact family with other children present	3
Innisfail Estate	Other couple family with other children only	3
Innisfail Estate	Step family with no other children present	10
Innisplain	Intact family with no other children present	5
Innisplain	Step family with no other children present	3
Innot Hot Springs	Intact family with no other children present	13
Inskip	Intact family with no other children present	3
Inverlaw	Intact family with no other children present	21
Inverness	Intact family with no other children present	40
Inverness	Step family with no other children present	3
Ipswich	Blended family with no other children present	8
Ipswich	Intact family with no other children present	139
Ipswich	Step family with no other children present	17
Iredale	Intact family with no other children present	17
Ironbark (Qld)	Blended family with no other children present	3
Ironbark (Qld)	Intact family with no other children present	37
Ironbark (Qld)	Step family with no other children present	4
Irongate	Intact family with no other children present	16
Irongate	Step family with no other children present	3
Ironpot (Livingstone - Qld)	Intact family with no other children present	16
Ironpot (Livingstone - Qld)	Step family with no other children present	5
Ironpot (South Burnett - Qld)	Intact family with no other children present	3
Irvinebank	Intact family with no other children present	3
Irvingdale	Blended family with no other children present	3
Irvingdale	Intact family with no other children present	25
Isis Central	Intact family with no other children present	13
Isis River	Intact family with no other children present	8
Isisford	Intact family with no other children present	13
Isisford	Step family with no other children present	3
Isla	Intact family with no other children present	21
Island Plantation	Intact family with no other children present	18
Iveragh	Intact family with no other children present	19
Ivory Creek	Intact family with no other children present	3
Jackson	Intact family with no other children present	7
Jackson North	Intact family with no other children present	7
Jackson South	Intact family with no other children present	3
Jacobs Well	Blended family with no other children present	8
Jacobs Well	Intact family with no other children present	180
Jacobs Well	Step family with no other children present	31
Jaggan	Intact family with no other children present	13
Jamboree Heights	Blended family with no other children present	15
Jamboree Heights	Intact family with no other children present	396
Jamboree Heights	Intact family with other children present	3
Jamboree Heights	Step family with no other children present	33
Jandowae	Blended family with no other children present	3
Jandowae	Intact family with no other children present	78
Jandowae	Step family with no other children present	4
Japoonvale	Intact family with no other children present	10
Jardine	Intact family with no other children present	9
Jarra Creek	Blended family with no other children present	3
Jarra Creek	Intact family with no other children present	16
Jarvisfield	Blended family with no other children present	3
Jarvisfield	Intact family with no other children present	42
Jellinbah	Intact family with no other children present	5
Jensen	Blended family with no other children present	13
Jensen	Intact family with no other children present	177
Jensen	Other couple family with other children only	3
Jensen	Step family with no other children present	4
Jericho (Qld)	Intact family with no other children present	6
Jimboomba	Blended family with no other children present	151
Jimboomba	Blended family with other children present	3
Jimboomba	Intact family with no other children present	1578
Jimboomba	Intact family with other children present	25
Jimboomba	Other couple family with other children only	22
Jimboomba	Step family with no other children present	167
Jimboomba	Step family with other children present	10
Jimbour East	Intact family with no other children present	27
Jimbour West	Intact family with no other children present	5
Jimna	Intact family with no other children present	3
Jindalee (Qld)	Blended family with no other children present	17
Jindalee (Qld)	Intact family with no other children present	659
Jindalee (Qld)	Intact family with other children present	7
Jindalee (Qld)	Other couple family with other children only	4
Jindalee (Qld)	Step family with no other children present	52
Jinghi	Intact family with no other children present	6
Jollys Lookout	Intact family with no other children present	4
Jondaryan	Blended family with no other children present	3
Jondaryan	Intact family with no other children present	35
Jones Hill	Blended family with no other children present	16
Jones Hill	Intact family with no other children present	78
Jones Hill	Step family with no other children present	8
Josephville	Blended family with no other children present	3
Josephville	Intact family with no other children present	16
Joskeleigh	Intact family with no other children present	5
Joyner	Blended family with no other children present	21
Joyner	Intact family with no other children present	376
Joyner	Other couple family with other children only	3
Joyner	Step family with no other children present	30
Jubilee Heights	Intact family with no other children present	18
Jubilee Pocket	Blended family with no other children present	11
Jubilee Pocket	Intact family with no other children present	150
Jubilee Pocket	Step family with no other children present	18
Julago	Intact family with no other children present	12
Julago	Step family with no other children present	3
Julatten	Intact family with no other children present	89
Julatten	Other couple family with other children only	4
Julatten	Step family with no other children present	13
Julia Creek	Intact family with no other children present	48
Julia Creek	Step family with no other children present	4
Junabee	Intact family with no other children present	31
Junction View	Intact family with no other children present	3
Jundah	Intact family with no other children present	12
Kaban	Intact family with no other children present	7
Kabra	Intact family with no other children present	44
Kabra	Step family with no other children present	3
Kaimkillenbun	Intact family with no other children present	26
Kairi	Intact family with no other children present	46
Kalapa	Intact family with no other children present	6
Kalbar	Blended family with no other children present	5
Kalbar	Intact family with no other children present	108
Kalbar	Step family with no other children present	3
Kalinga	Blended family with no other children present	15
Kalinga	Intact family with no other children present	297
Kalinga	Intact family with other children present	4
Kalinga	Step family with no other children present	14
Kalkie	Blended family with no other children present	17
Kalkie	Intact family with no other children present	264
Kalkie	Other couple family with other children only	5
Kalkie	Step family with no other children present	33
Kallangur	Blended family with no other children present	187
Kallangur	Blended family with other children present	3
Kallangur	Intact family with no other children present	1809
Kallangur	Intact family with other children present	38
Kallangur	Other couple family with other children only	8
Kallangur	Step family with no other children present	199
Kallangur	Step family with other children present	3
Kalpowar	Intact family with no other children present	8
Kalunga	Intact family with no other children present	6
Kamerunga	Blended family with no other children present	7
Kamerunga	Intact family with no other children present	95
Kamerunga	Step family with no other children present	4
Kandanga	Blended family with no other children present	3
Kandanga	Intact family with no other children present	53
Kandanga	Other couple family with other children only	3
Kandanga	Step family with no other children present	8
Kandanga Creek	Intact family with no other children present	13
Kangaroo Point (Qld)	Blended family with no other children present	5
Kangaroo Point (Qld)	Intact family with no other children present	302
Kangaroo Point (Qld)	Step family with no other children present	24
Kanigan	Intact family with no other children present	9
Kanimbla (Qld)	Blended family with no other children present	4
Kanimbla (Qld)	Intact family with no other children present	348
Kanimbla (Qld)	Intact family with other children present	4
Kanimbla (Qld)	Step family with no other children present	30
Kapaldo	Intact family with no other children present	7
Karalee	Blended family with no other children present	35
Karalee	Intact family with no other children present	571
Karalee	Intact family with other children present	14
Karalee	Step family with no other children present	42
Karana Downs	Blended family with no other children present	17
Karana Downs	Intact family with no other children present	512
Karana Downs	Intact family with other children present	3
Karana Downs	Step family with no other children present	33
Karara	Blended family with no other children present	3
Karara	Intact family with no other children present	12
Karrabin	Blended family with no other children present	5
Karrabin	Intact family with no other children present	43
Karrabin	Step family with no other children present	5
Karragarra Island	Intact family with no other children present	4
Karumba	Intact family with no other children present	24
Karumba	Other couple family with other children only	5
Kawana	Blended family with no other children present	23
Kawana	Blended family with other children present	3
Kawana	Intact family with no other children present	360
Kawana	Intact family with other children present	5
Kawana	Step family with no other children present	25
Kawungan	Blended family with no other children present	33
Kawungan	Intact family with no other children present	351
Kawungan	Intact family with other children present	5
Kawungan	Other couple family with other children only	7
Kawungan	Step family with no other children present	47
Kearneys Spring	Blended family with no other children present	34
Kearneys Spring	Blended family with other children present	4
Kearneys Spring	Intact family with no other children present	663
Kearneys Spring	Intact family with other children present	13
Kearneys Spring	Other couple family with other children only	5
Kearneys Spring	Step family with no other children present	40
Kedron	Blended family with no other children present	34
Kedron	Intact family with no other children present	956
Kedron	Intact family with other children present	5
Kedron	Other couple family with other children only	3
Kedron	Step family with no other children present	79
Kelsey Creek	Intact family with no other children present	17
Kelso (Qld)	Blended family with no other children present	105
Kelso (Qld)	Intact family with no other children present	956
Kelso (Qld)	Intact family with other children present	23
Kelso (Qld)	Other couple family with other children only	15
Kelso (Qld)	Step family with no other children present	117
Kelvin Grove	Blended family with no other children present	3
Kelvin Grove	Intact family with no other children present	523
Kelvin Grove	Step family with no other children present	32
Kelvinhaugh	Intact family with no other children present	7
Kelvinhaugh	Step family with no other children present	3
Kenilworth	Intact family with no other children present	43
Kenmore	Blended family with no other children present	36
Kenmore	Intact family with no other children present	1170
Kenmore	Intact family with other children present	8
Kenmore	Step family with no other children present	61
Kenmore Hills	Blended family with no other children present	13
Kenmore Hills	Intact family with no other children present	321
Kenmore Hills	Intact family with other children present	8
Kenmore Hills	Step family with no other children present	16
Kennedy	Intact family with no other children present	12
Kensington (Qld)	Intact family with no other children present	40
Kensington (Qld)	Intact family with other children present	4
Kensington (Qld)	Step family with no other children present	3
Kensington Grove	Blended family with no other children present	15
Kensington Grove	Intact family with no other children present	183
Kensington Grove	Other couple family with other children only	4
Kensington Grove	Step family with no other children present	22
Kents Lagoon	Intact family with no other children present	7
Kents Pocket	Intact family with no other children present	3
Kentville	Intact family with no other children present	4
Keperra	Blended family with no other children present	25
Keperra	Intact family with no other children present	647
Keperra	Other couple family with other children only	3
Keperra	Step family with no other children present	61
Kepnock	Blended family with no other children present	21
Kepnock	Intact family with no other children present	319
Kepnock	Intact family with other children present	6
Kepnock	Other couple family with other children only	9
Kepnock	Step family with no other children present	50
Keppel Sands	Blended family with no other children present	4
Keppel Sands	Intact family with no other children present	17
Keppel Sands	Step family with no other children present	3
Keriri Island	Intact family with no other children present	18
Keriri Island	Intact family with other children present	5
Kerry	Intact family with no other children present	30
Kerry	Intact family with other children present	3
Kerry	Step family with no other children present	4
Kewarra Beach	Blended family with no other children present	26
Kewarra Beach	Intact family with no other children present	586
Kewarra Beach	Intact family with other children present	5
Kewarra Beach	Other couple family with other children only	4
Kewarra Beach	Step family with no other children present	48
Kholo	Intact family with no other children present	56
Khosh Bulduk	Intact family with no other children present	8
Kia Ora (Qld)	Intact family with no other children present	12
Kiamba	Intact family with no other children present	19
Kianga (Qld)	Intact family with no other children present	28
Kianga (Qld)	Step family with no other children present	3
Kidaman Creek	Intact family with no other children present	8
Kiels Mountain	Blended family with no other children present	8
Kiels Mountain	Intact family with no other children present	74
Kiels Mountain	Step family with no other children present	8
Kilbirnie	Blended family with no other children present	4
Kilbirnie	Intact family with no other children present	4
Kilcoy	Blended family with no other children present	10
Kilcoy	Intact family with no other children present	172
Kilcoy	Step family with no other children present	17
Kilcummin	Intact family with no other children present	29
Kilcummin	Step family with no other children present	3
Kilkivan	Intact family with no other children present	47
Kilkivan	Other couple family with other children only	3
Kilkivan	Step family with no other children present	3
Killaloe	Intact family with no other children present	13
Killarney (Qld)	Blended family with no other children present	9
Killarney (Qld)	Intact family with no other children present	63
Killarney (Qld)	Step family with no other children present	7
Kin Kin	Blended family with no other children present	5
Kin Kin	Intact family with no other children present	55
Kin Kin	Step family with no other children present	4
Kin Kora	Blended family with no other children present	24
Kin Kora	Intact family with no other children present	246
Kin Kora	Step family with no other children present	32
Kinbombi	Intact family with no other children present	3
Kinchant Dam	Intact family with no other children present	17
Kinchant Dam	Step family with no other children present	3
Kincora	Intact family with no other children present	11
King Scrub	Intact family with no other children present	51
King Scrub	Step family with no other children present	3
Kingaroy	Blended family with no other children present	66
Kingaroy	Intact family with no other children present	778
Kingaroy	Intact family with other children present	9
Kingaroy	Other couple family with other children only	4
Kingaroy	Step family with no other children present	69
Kings Beach	Blended family with no other children present	3
Kings Beach	Intact family with no other children present	115
Kings Beach	Intact family with other children present	3
Kings Beach	Step family with no other children present	17
Kings Creek	Intact family with no other children present	7
Kings Siding	Intact family with no other children present	4
Kingsholme	Blended family with no other children present	3
Kingsholme	Intact family with no other children present	35
Kingsholme	Intact family with other children present	3
Kingsthorpe	Blended family with no other children present	17
Kingsthorpe	Intact family with no other children present	190
Kingsthorpe	Intact family with other children present	4
Kingsthorpe	Other couple family with other children only	3
Kingsthorpe	Step family with no other children present	16
Kingston (Qld)	Blended family with no other children present	82
Kingston (Qld)	Intact family with no other children present	787
Kingston (Qld)	Intact family with other children present	40
Kingston (Qld)	Other couple family with other children only	10
Kingston (Qld)	Step family with no other children present	76
Kinka Beach	Intact family with no other children present	29
Kinka Beach	Step family with no other children present	5
Kinkuna	Intact family with no other children present	16
Kinleymore	Intact family with no other children present	6
Kinnoul	Intact family with no other children present	11
Kioma	Intact family with no other children present	3
Kippa-Ring	Blended family with no other children present	72
Kippa-Ring	Blended family with other children present	3
Kippa-Ring	Intact family with no other children present	778
Kippa-Ring	Intact family with other children present	11
Kippa-Ring	Other couple family with other children only	8
Kippa-Ring	Step family with no other children present	105
Kippa-Ring	Step family with other children present	4
Kirknie	Intact family with no other children present	9
Kirkwood	Blended family with no other children present	16
Kirkwood	Intact family with no other children present	283
Kirkwood	Intact family with other children present	3
Kirkwood	Step family with no other children present	24
Kirwan	Blended family with no other children present	143
Kirwan	Blended family with other children present	3
Kirwan	Intact family with no other children present	2141
Kirwan	Intact family with other children present	32
Kirwan	Other couple family with other children only	14
Kirwan	Step family with no other children present	223
Kirwan	Step family with other children present	9
Kleinton	Blended family with no other children present	14
Kleinton	Intact family with no other children present	205
Kleinton	Intact family with other children present	3
Kleinton	Step family with no other children present	12
Knapp Creek	Intact family with no other children present	7
Koah	Blended family with no other children present	3
Koah	Intact family with no other children present	57
Koah	Step family with no other children present	3
Kobble Creek	Intact family with no other children present	78
Kobble Creek	Step family with no other children present	5
Kogan	Intact family with no other children present	11
Kokotungo	Intact family with no other children present	12
Kolonga	Intact family with no other children present	5
Koongal	Blended family with no other children present	43
Koongal	Blended family with other children present	4
Koongal	Intact family with no other children present	368
Koongal	Intact family with other children present	11
Koongal	Other couple family with other children only	6
Koongal	Step family with no other children present	33
Kooralbyn	Blended family with no other children present	12
