SSC_NAME16	NonSchoolQualification	persons
Dallas	Certificate III and IV Level	518
Dallas	Advanced Diploma and Diploma	331
Dallas	Bachelor	337
Dallas	Graduate Diploma and Graduate Certificate	34
Dallas	Postgraduate	96
Dalmore	Certificate nfd	3
Dalmore	Certificate III and IV Level	29
Dalmore	Advanced Diploma and Diploma	5
Dalmore	Bachelor	11
Daltons Bridge	Certificate III and IV Level	8
Daltons Bridge	Advanced Diploma and Diploma	6
Daltons Bridge	Bachelor	4
Dalyston	Certificate nfd	9
Dalyston	Certificate I and II Level	12
Dalyston	Certificate III and IV Level	125
Dalyston	Advanced Diploma and Diploma	34
Dalyston	Bachelor	27
Dalyston	Graduate Diploma and Graduate Certificate	5
Dalyston	Postgraduate	3
Dandenong	Certificate nfd	353
Dandenong	Certificate I and II Level	244
Dandenong	Certificate III and IV Level	2616
Dandenong	Advanced Diploma and Diploma	2015
Dandenong	Bachelor	2447
Dandenong	Graduate Diploma and Graduate Certificate	190
Dandenong	Postgraduate	872
Dandenong North	Certificate nfd	348
Dandenong North	Certificate I and II Level	191
Dandenong North	Certificate III and IV Level	2574
Dandenong North	Advanced Diploma and Diploma	1688
Dandenong North	Bachelor	1995
Dandenong North	Graduate Diploma and Graduate Certificate	233
Dandenong North	Postgraduate	517
Dandenong South	Certificate nfd	5
Dandenong South	Certificate I and II Level	3
Dandenong South	Certificate III and IV Level	25
Dandenong South	Advanced Diploma and Diploma	10
Dandenong South	Bachelor	11
Dargo	Certificate III and IV Level	13
Dargo	Advanced Diploma and Diploma	4
Darley	Certificate nfd	134
Darley	Certificate I and II Level	80
Darley	Certificate III and IV Level	1435
Darley	Advanced Diploma and Diploma	604
Darley	Bachelor	591
Darley	Graduate Diploma and Graduate Certificate	113
Darley	Postgraduate	131
Darlimurla	Certificate III and IV Level	9
Darlimurla	Advanced Diploma and Diploma	3
Darlimurla	Bachelor	3
Darlington (Vic.)	Certificate III and IV Level	12
Darlington (Vic.)	Advanced Diploma and Diploma	12
Darlington (Vic.)	Bachelor	6
Darlington (Vic.)	Postgraduate	3
Darnum	Certificate nfd	12
Darnum	Certificate I and II Level	3
Darnum	Certificate III and IV Level	123
Darnum	Advanced Diploma and Diploma	50
Darnum	Bachelor	40
Darnum	Graduate Diploma and Graduate Certificate	13
Darnum	Postgraduate	13
Darraweit Guim	Certificate nfd	3
Darraweit Guim	Certificate I and II Level	5
Darraweit Guim	Certificate III and IV Level	90
Darraweit Guim	Advanced Diploma and Diploma	37
Darraweit Guim	Bachelor	43
Darraweit Guim	Postgraduate	4
Dartmoor (Vic.)	Certificate nfd	3
Dartmoor (Vic.)	Certificate I and II Level	4
Dartmoor (Vic.)	Certificate III and IV Level	44
Dartmoor (Vic.)	Advanced Diploma and Diploma	13
Dartmoor (Vic.)	Bachelor	6
Dartmoor (Vic.)	Graduate Diploma and Graduate Certificate	3
Dartmouth	Certificate I and II Level	3
Dartmouth	Certificate III and IV Level	20
Dartmouth	Bachelor	4
Dawson (Vic.)	Certificate III and IV Level	5
Dawson (Vic.)	Bachelor	3
Dawson (Vic.)	Graduate Diploma and Graduate Certificate	3
Daylesford	Certificate nfd	38
Daylesford	Certificate I and II Level	23
Daylesford	Certificate III and IV Level	278
Daylesford	Advanced Diploma and Diploma	225
Daylesford	Bachelor	347
Daylesford	Graduate Diploma and Graduate Certificate	70
Daylesford	Postgraduate	99
Dean	Certificate III and IV Level	20
Dean	Advanced Diploma and Diploma	11
Dean	Bachelor	14
Dean	Graduate Diploma and Graduate Certificate	3
Deans Marsh	Certificate nfd	5
Deans Marsh	Certificate I and II Level	3
Deans Marsh	Certificate III and IV Level	41
Deans Marsh	Advanced Diploma and Diploma	37
Deans Marsh	Bachelor	27
Deans Marsh	Graduate Diploma and Graduate Certificate	10
Deans Marsh	Postgraduate	13
Deddick Valley	Advanced Diploma and Diploma	4
Dederang	Certificate nfd	4
Dederang	Certificate I and II Level	3
Dederang	Certificate III and IV Level	30
Dederang	Advanced Diploma and Diploma	22
Dederang	Bachelor	8
Dederang	Graduate Diploma and Graduate Certificate	3
Deep Lead	Certificate nfd	3
Deep Lead	Certificate I and II Level	4
Deep Lead	Certificate III and IV Level	36
Deep Lead	Advanced Diploma and Diploma	15
Deep Lead	Bachelor	4
Deep Lead	Graduate Diploma and Graduate Certificate	4
Deep Lead	Postgraduate	3
Deepdene (Vic.)	Certificate nfd	23
Deepdene (Vic.)	Certificate I and II Level	11
Deepdene (Vic.)	Certificate III and IV Level	73
Deepdene (Vic.)	Advanced Diploma and Diploma	175
Deepdene (Vic.)	Bachelor	537
Deepdene (Vic.)	Graduate Diploma and Graduate Certificate	55
Deepdene (Vic.)	Postgraduate	212
Deer Park	Certificate nfd	249
Deer Park	Certificate I and II Level	144
Deer Park	Certificate III and IV Level	1881
Deer Park	Advanced Diploma and Diploma	1145
Deer Park	Bachelor	1712
Deer Park	Graduate Diploma and Graduate Certificate	124
Deer Park	Postgraduate	436
Delacombe	Certificate nfd	78
Delacombe	Certificate I and II Level	62
Delacombe	Certificate III and IV Level	1063
Delacombe	Advanced Diploma and Diploma	392
Delacombe	Bachelor	427
Delacombe	Graduate Diploma and Graduate Certificate	84
Delacombe	Postgraduate	58
Delahey	Certificate nfd	108
Delahey	Certificate I and II Level	73
Delahey	Certificate III and IV Level	983
Delahey	Advanced Diploma and Diploma	520
Delahey	Bachelor	715
Delahey	Graduate Diploma and Graduate Certificate	65
Delahey	Postgraduate	122
Delatite	Bachelor	3
Delburn	Certificate III and IV Level	3
Delegate River	Certificate III and IV Level	3
Delegate River	Bachelor	4
Denicull Creek	Certificate III and IV Level	3
Denicull Creek	Advanced Diploma and Diploma	5
Denison	Certificate nfd	4
Denison	Certificate I and II Level	3
Denison	Certificate III and IV Level	72
Denison	Advanced Diploma and Diploma	33
Denison	Bachelor	34
Denison	Graduate Diploma and Graduate Certificate	3
Dennington	Certificate nfd	31
Dennington	Certificate I and II Level	23
Dennington	Certificate III and IV Level	374
Dennington	Advanced Diploma and Diploma	117
Dennington	Bachelor	133
Dennington	Graduate Diploma and Graduate Certificate	18
Dennington	Postgraduate	9
Denver	Certificate nfd	3
Denver	Certificate III and IV Level	17
Denver	Advanced Diploma and Diploma	14
Denver	Bachelor	19
Denver	Graduate Diploma and Graduate Certificate	9
Denver	Postgraduate	10
Derby (Vic.)	Certificate nfd	3
Derby (Vic.)	Certificate III and IV Level	3
Dereel	Certificate nfd	3
Dereel	Certificate I and II Level	8
Dereel	Certificate III and IV Level	98
Dereel	Advanced Diploma and Diploma	39
Dereel	Bachelor	33
Dereel	Graduate Diploma and Graduate Certificate	15
Dereel	Postgraduate	5
Dergholm	Certificate nfd	3
Dergholm	Certificate III and IV Level	9
Dergholm	Advanced Diploma and Diploma	3
Dergholm	Bachelor	3
Derrimut	Certificate nfd	120
Derrimut	Certificate I and II Level	65
Derrimut	Certificate III and IV Level	722
Derrimut	Advanced Diploma and Diploma	576
Derrimut	Bachelor	1118
Derrimut	Graduate Diploma and Graduate Certificate	69
Derrimut	Postgraduate	257
Derrinal	Certificate I and II Level	3
Derrinal	Certificate III and IV Level	5
Derrinal	Advanced Diploma and Diploma	4
Derrinal	Bachelor	13
Derrinallum	Certificate nfd	7
Derrinallum	Certificate I and II Level	3
Derrinallum	Certificate III and IV Level	46
Derrinallum	Advanced Diploma and Diploma	20
Derrinallum	Bachelor	32
Derrinallum	Graduate Diploma and Graduate Certificate	4
Derrinallum	Postgraduate	4
Devenish	Certificate nfd	3
Devenish	Certificate I and II Level	5
Devenish	Certificate III and IV Level	26
Devenish	Advanced Diploma and Diploma	11
Devenish	Bachelor	3
Devenish	Graduate Diploma and Graduate Certificate	5
Devils River	Bachelor	3
Devon Meadows	Certificate nfd	21
Devon Meadows	Certificate I and II Level	19
Devon Meadows	Certificate III and IV Level	279
Devon Meadows	Advanced Diploma and Diploma	106
Devon Meadows	Bachelor	73
Devon Meadows	Graduate Diploma and Graduate Certificate	13
Devon Meadows	Postgraduate	10
Devon North	Certificate nfd	5
Devon North	Certificate I and II Level	6
Devon North	Certificate III and IV Level	77
Devon North	Advanced Diploma and Diploma	31
Devon North	Bachelor	22
Devon North	Graduate Diploma and Graduate Certificate	7
Dewhurst	Certificate nfd	3
Dewhurst	Certificate III and IV Level	26
Dewhurst	Advanced Diploma and Diploma	16
Dewhurst	Bachelor	21
Dewhurst	Graduate Diploma and Graduate Certificate	6
Dewhurst	Postgraduate	3
Dhurringile	Certificate nfd	4
Dhurringile	Certificate III and IV Level	29
Dhurringile	Advanced Diploma and Diploma	12
Dhurringile	Bachelor	13
Dhurringile	Graduate Diploma and Graduate Certificate	5
Diamond Creek	Certificate nfd	156
Diamond Creek	Certificate I and II Level	75
Diamond Creek	Certificate III and IV Level	1838
Diamond Creek	Advanced Diploma and Diploma	1034
Diamond Creek	Bachelor	1525
Diamond Creek	Graduate Diploma and Graduate Certificate	331
Diamond Creek	Postgraduate	364
Digby	Certificate nfd	4
Digby	Certificate III and IV Level	16
Digby	Advanced Diploma and Diploma	12
Digby	Bachelor	6
Diggers Rest	Certificate nfd	61
Diggers Rest	Certificate I and II Level	25
Diggers Rest	Certificate III and IV Level	501
Diggers Rest	Advanced Diploma and Diploma	194
Diggers Rest	Bachelor	208
Diggers Rest	Graduate Diploma and Graduate Certificate	29
Diggers Rest	Postgraduate	37
Diggora	Certificate III and IV Level	16
Diggora	Advanced Diploma and Diploma	8
Diggora	Bachelor	9
Dimboola	Certificate nfd	23
Dimboola	Certificate I and II Level	17
Dimboola	Certificate III and IV Level	232
Dimboola	Advanced Diploma and Diploma	111
Dimboola	Bachelor	94
Dimboola	Graduate Diploma and Graduate Certificate	21
Dimboola	Postgraduate	14
Dingee	Certificate III and IV Level	36
Dingee	Advanced Diploma and Diploma	12
Dingee	Bachelor	9
Dingley Village	Certificate nfd	146
Dingley Village	Certificate I and II Level	75
Dingley Village	Certificate III and IV Level	1372
Dingley Village	Advanced Diploma and Diploma	942
Dingley Village	Bachelor	1207
Dingley Village	Graduate Diploma and Graduate Certificate	198
Dingley Village	Postgraduate	280
Dingwall	Certificate III and IV Level	12
Dingwall	Advanced Diploma and Diploma	4
Dingwall	Bachelor	7
Dinner Plain	Certificate I and II Level	5
Dinner Plain	Certificate III and IV Level	13
Dinner Plain	Advanced Diploma and Diploma	14
Dinner Plain	Bachelor	20
Dinner Plain	Graduate Diploma and Graduate Certificate	3
Dinner Plain	Postgraduate	7
Dixie (Vic.)	Certificate I and II Level	3
Dixie (Vic.)	Certificate III and IV Level	19
Dixie (Vic.)	Advanced Diploma and Diploma	12
Dixie (Vic.)	Bachelor	14
Dixie (Vic.)	Graduate Diploma and Graduate Certificate	6
Dixons Creek	Certificate nfd	7
Dixons Creek	Certificate I and II Level	4
Dixons Creek	Certificate III and IV Level	57
Dixons Creek	Advanced Diploma and Diploma	36
Dixons Creek	Bachelor	39
Dixons Creek	Postgraduate	12
Dobie	Certificate III and IV Level	6
Dobie	Advanced Diploma and Diploma	6
Docker	Certificate nfd	3
Docker	Certificate III and IV Level	15
Docker	Advanced Diploma and Diploma	17
Docker	Bachelor	7
Docker	Graduate Diploma and Graduate Certificate	4
Dockers Plains	Certificate III and IV Level	5
Dockers Plains	Advanced Diploma and Diploma	6
Dockers Plains	Bachelor	6
Docklands	Certificate nfd	123
Docklands	Certificate I and II Level	41
Docklands	Certificate III and IV Level	475
Docklands	Advanced Diploma and Diploma	856
Docklands	Bachelor	3272
Docklands	Graduate Diploma and Graduate Certificate	251
Docklands	Postgraduate	1259
Dollar	Certificate III and IV Level	9
Dollar	Advanced Diploma and Diploma	4
Dollar	Bachelor	9
Don Valley	Certificate nfd	12
Don Valley	Certificate I and II Level	7
Don Valley	Certificate III and IV Level	101
Don Valley	Advanced Diploma and Diploma	39
Don Valley	Bachelor	37
Don Valley	Graduate Diploma and Graduate Certificate	7
Don Valley	Postgraduate	10
Donald	Certificate nfd	11
Donald	Certificate I and II Level	22
Donald	Certificate III and IV Level	212
Donald	Advanced Diploma and Diploma	71
Donald	Bachelor	77
Donald	Graduate Diploma and Graduate Certificate	18
Donald	Postgraduate	5
Doncaster	Certificate nfd	309
Doncaster	Certificate I and II Level	90
Doncaster	Certificate III and IV Level	1504
Doncaster	Advanced Diploma and Diploma	1736
Doncaster	Bachelor	4032
Doncaster	Graduate Diploma and Graduate Certificate	463
Doncaster	Postgraduate	1548
Doncaster East	Certificate nfd	418
Doncaster East	Certificate I and II Level	123
Doncaster East	Certificate III and IV Level	2076
Doncaster East	Advanced Diploma and Diploma	2365
Doncaster East	Bachelor	5356
Doncaster East	Graduate Diploma and Graduate Certificate	583
Doncaster East	Postgraduate	1930
Donnybrook (Vic.)	Certificate I and II Level	3
Donnybrook (Vic.)	Certificate III and IV Level	26
Donnybrook (Vic.)	Advanced Diploma and Diploma	6
Donnybrook (Vic.)	Bachelor	3
Donvale	Certificate nfd	189
Donvale	Certificate I and II Level	67
Donvale	Certificate III and IV Level	1030
Donvale	Advanced Diploma and Diploma	1027
Donvale	Bachelor	2289
Donvale	Graduate Diploma and Graduate Certificate	319
Donvale	Postgraduate	641
Dooboobetic	Bachelor	3
Dooen	Certificate nfd	3
Dooen	Certificate III and IV Level	62
Dooen	Advanced Diploma and Diploma	23
Dooen	Bachelor	16
Dooen	Graduate Diploma and Graduate Certificate	3
Dooen	Postgraduate	3
Dookie	Certificate nfd	3
Dookie	Certificate I and II Level	9
Dookie	Certificate III and IV Level	53
Dookie	Advanced Diploma and Diploma	28
Dookie	Bachelor	26
Dookie	Postgraduate	8
Dookie College	Certificate III and IV Level	3
Dookie College	Bachelor	3
Dookie College	Postgraduate	3
Doreen	Certificate nfd	289
Doreen	Certificate I and II Level	167
Doreen	Certificate III and IV Level	3498
Doreen	Advanced Diploma and Diploma	1849
Doreen	Bachelor	1975
Doreen	Graduate Diploma and Graduate Certificate	330
Doreen	Postgraduate	412
Dorodong	Certificate III and IV Level	10
Douglas (Vic.)	Certificate I and II Level	3
Douglas (Vic.)	Advanced Diploma and Diploma	5
Douglas (Vic.)	Bachelor	6
Doveton	Certificate nfd	115
Doveton	Certificate I and II Level	105
Doveton	Certificate III and IV Level	1017
Doveton	Advanced Diploma and Diploma	546
Doveton	Bachelor	512
Doveton	Graduate Diploma and Graduate Certificate	46
Doveton	Postgraduate	141
Dreeite	Certificate I and II Level	3
Dreeite	Certificate III and IV Level	13
Dreeite	Advanced Diploma and Diploma	3
Dreeite	Bachelor	5
Dreeite South	Certificate III and IV Level	4
Dreeite South	Advanced Diploma and Diploma	3
Driffield	Certificate III and IV Level	17
Driffield	Advanced Diploma and Diploma	7
Driffield	Bachelor	5
Drik Drik	Certificate III and IV Level	8
Drik Drik	Advanced Diploma and Diploma	3
Drik Drik	Bachelor	3
Dromana	Certificate nfd	116
Dromana	Certificate I and II Level	50
Dromana	Certificate III and IV Level	965
Dromana	Advanced Diploma and Diploma	468
Dromana	Bachelor	515
Dromana	Graduate Diploma and Graduate Certificate	110
Dromana	Postgraduate	93
Drouin	Certificate nfd	195
Drouin	Certificate I and II Level	126
Drouin	Certificate III and IV Level	2231
Drouin	Advanced Diploma and Diploma	824
Drouin	Bachelor	803
Drouin	Graduate Diploma and Graduate Certificate	191
Drouin	Postgraduate	147
Drouin East	Certificate nfd	4
Drouin East	Certificate I and II Level	3
Drouin East	Certificate III and IV Level	33
Drouin East	Advanced Diploma and Diploma	12
Drouin East	Bachelor	13
Drouin East	Graduate Diploma and Graduate Certificate	5
Drouin South	Certificate nfd	3
Drouin South	Certificate I and II Level	3
Drouin South	Certificate III and IV Level	61
Drouin South	Advanced Diploma and Diploma	19
Drouin South	Bachelor	27
Drouin South	Graduate Diploma and Graduate Certificate	3
Drouin South	Postgraduate	5
Drouin West	Certificate nfd	12
Drouin West	Certificate I and II Level	3
Drouin West	Certificate III and IV Level	63
Drouin West	Advanced Diploma and Diploma	27
Drouin West	Bachelor	29
Drouin West	Graduate Diploma and Graduate Certificate	12
Drouin West	Postgraduate	3
Drumanure	Certificate III and IV Level	14
Drumborg	Certificate I and II Level	9
Drumborg	Certificate III and IV Level	22
Drumborg	Advanced Diploma and Diploma	9
Drumborg	Bachelor	10
Drumcondra	Certificate nfd	12
Drumcondra	Certificate I and II Level	3
Drumcondra	Certificate III and IV Level	47
Drumcondra	Advanced Diploma and Diploma	52
Drumcondra	Bachelor	101
Drumcondra	Graduate Diploma and Graduate Certificate	24
Drumcondra	Postgraduate	26
Drummartin	Certificate III and IV Level	11
Drummartin	Advanced Diploma and Diploma	5
Drummartin	Bachelor	4
Drummond	Certificate nfd	5
Drummond	Certificate I and II Level	3
Drummond	Certificate III and IV Level	36
Drummond	Advanced Diploma and Diploma	26
Drummond	Bachelor	32
Drummond	Graduate Diploma and Graduate Certificate	3
Drummond	Postgraduate	13
Drummond North	Certificate nfd	6
Drummond North	Certificate III and IV Level	29
Drummond North	Advanced Diploma and Diploma	14
Drummond North	Bachelor	19
Drummond North	Graduate Diploma and Graduate Certificate	6
Drummond North	Postgraduate	7
Drung	Certificate nfd	3
Drung	Certificate III and IV Level	24
Drung	Advanced Diploma and Diploma	5
Drung	Bachelor	7
Drung	Postgraduate	4
Dry Diggings	Certificate I and II Level	3
Dry Diggings	Certificate III and IV Level	3
Dry Diggings	Advanced Diploma and Diploma	3
Dry Diggings	Bachelor	5
Drysdale	Certificate nfd	73
Drysdale	Certificate I and II Level	40
Drysdale	Certificate III and IV Level	757
Drysdale	Advanced Diploma and Diploma	349
Drysdale	Bachelor	385
Drysdale	Graduate Diploma and Graduate Certificate	88
Drysdale	Postgraduate	78
Duchembegarra	Certificate III and IV Level	3
Duchembegarra	Bachelor	3
Dumbalk	Certificate nfd	4
Dumbalk	Certificate I and II Level	6
Dumbalk	Certificate III and IV Level	66
Dumbalk	Advanced Diploma and Diploma	21
Dumbalk	Bachelor	26
Dumbalk	Graduate Diploma and Graduate Certificate	7
Dumbalk	Postgraduate	5
Dumbalk North	Certificate III and IV Level	11
Dumbalk North	Advanced Diploma and Diploma	7
Dumbalk North	Bachelor	3
Dumosa	Advanced Diploma and Diploma	3
Dunach	Certificate III and IV Level	13
Dunach	Advanced Diploma and Diploma	3
Dunach	Bachelor	3
Dundonnell	Certificate III and IV Level	10
Dundonnell	Advanced Diploma and Diploma	10
Dundonnell	Bachelor	3
Dunkeld (Vic.)	Certificate nfd	3
Dunkeld (Vic.)	Certificate I and II Level	4
Dunkeld (Vic.)	Certificate III and IV Level	95
Dunkeld (Vic.)	Advanced Diploma and Diploma	59
Dunkeld (Vic.)	Bachelor	81
Dunkeld (Vic.)	Graduate Diploma and Graduate Certificate	24
Dunkeld (Vic.)	Postgraduate	22
Dunluce	Certificate III and IV Level	6
Dunluce	Bachelor	3
Dunneworthy	Certificate III and IV Level	3
Dunnstown	Certificate III and IV Level	43
Dunnstown	Advanced Diploma and Diploma	7
Dunnstown	Bachelor	19
Dunnstown	Graduate Diploma and Graduate Certificate	3
Dunnstown	Postgraduate	9
Dunolly (Vic.)	Certificate nfd	11
Dunolly (Vic.)	Certificate I and II Level	11
Dunolly (Vic.)	Certificate III and IV Level	140
Dunolly (Vic.)	Advanced Diploma and Diploma	40
Dunolly (Vic.)	Bachelor	43
Dunolly (Vic.)	Graduate Diploma and Graduate Certificate	7
Dunolly (Vic.)	Postgraduate	7
Dunrobin (Vic.)	Certificate nfd	3
Dunrobin (Vic.)	Certificate I and II Level	4
Dunrobin (Vic.)	Certificate III and IV Level	10
Dunrobin (Vic.)	Bachelor	4
Durham Lead	Certificate nfd	6
Durham Lead	Certificate I and II Level	4
Durham Lead	Certificate III and IV Level	72
Durham Lead	Advanced Diploma and Diploma	25
Durham Lead	Bachelor	48
Durham Lead	Graduate Diploma and Graduate Certificate	16
Durham Lead	Postgraduate	14
Durham Ox	Certificate III and IV Level	6
Durham Ox	Advanced Diploma and Diploma	10
Durham Ox	Bachelor	7
Dutson	Certificate III and IV Level	8
Dutton Way	Certificate nfd	3
Dutton Way	Certificate III and IV Level	22
Dutton Way	Advanced Diploma and Diploma	9
Dutton Way	Bachelor	3
Dutton Way	Graduate Diploma and Graduate Certificate	4
Dutton Way	Postgraduate	4
Duverney	Certificate III and IV Level	8
Duverney	Advanced Diploma and Diploma	3
Eagle Point	Certificate nfd	16
Eagle Point	Certificate I and II Level	19
Eagle Point	Certificate III and IV Level	201
Eagle Point	Advanced Diploma and Diploma	95
Eagle Point	Bachelor	102
Eagle Point	Graduate Diploma and Graduate Certificate	19
Eagle Point	Postgraduate	14
Eaglehawk	Certificate nfd	74
Eaglehawk	Certificate I and II Level	66
Eaglehawk	Certificate III and IV Level	954
Eaglehawk	Advanced Diploma and Diploma	319
Eaglehawk	Bachelor	313
Eaglehawk	Graduate Diploma and Graduate Certificate	70
Eaglehawk	Postgraduate	60
Eaglemont	Certificate nfd	52
Eaglemont	Certificate I and II Level	24
Eaglemont	Certificate III and IV Level	223
Eaglemont	Advanced Diploma and Diploma	277
Eaglemont	Bachelor	976
Eaglemont	Graduate Diploma and Graduate Certificate	159
Eaglemont	Postgraduate	399
Earlston	Certificate nfd	3
Earlston	Certificate III and IV Level	9
Earlston	Advanced Diploma and Diploma	10
Earlston	Bachelor	9
Earlston	Graduate Diploma and Graduate Certificate	3
Earlston	Postgraduate	7
East Bairnsdale	Certificate nfd	22
East Bairnsdale	Certificate I and II Level	15
East Bairnsdale	Certificate III and IV Level	178
East Bairnsdale	Advanced Diploma and Diploma	64
East Bairnsdale	Bachelor	56
East Bairnsdale	Graduate Diploma and Graduate Certificate	8
East Bairnsdale	Postgraduate	13
East Bendigo	Certificate nfd	34
East Bendigo	Certificate I and II Level	30
East Bendigo	Certificate III and IV Level	317
East Bendigo	Advanced Diploma and Diploma	155
East Bendigo	Bachelor	206
East Bendigo	Graduate Diploma and Graduate Certificate	52
East Bendigo	Postgraduate	47
East Geelong	Certificate nfd	49
East Geelong	Certificate I and II Level	30
East Geelong	Certificate III and IV Level	495
East Geelong	Advanced Diploma and Diploma	362
East Geelong	Bachelor	679
East Geelong	Graduate Diploma and Graduate Certificate	135
East Geelong	Postgraduate	149
East Melbourne	Certificate nfd	55
East Melbourne	Certificate I and II Level	18
East Melbourne	Certificate III and IV Level	167
East Melbourne	Advanced Diploma and Diploma	397
East Melbourne	Bachelor	1582
East Melbourne	Graduate Diploma and Graduate Certificate	211
East Melbourne	Postgraduate	709
East Sale	Certificate III and IV Level	15
East Sale	Advanced Diploma and Diploma	10
East Sale	Bachelor	35
East Sale	Graduate Diploma and Graduate Certificate	3
East Sale	Postgraduate	3
East Wangaratta	Certificate III and IV Level	13
East Wangaratta	Advanced Diploma and Diploma	3
East Wangaratta	Bachelor	14
East Wangaratta	Postgraduate	3
East Warburton	Certificate nfd	17
East Warburton	Certificate I and II Level	13
East Warburton	Certificate III and IV Level	155
East Warburton	Advanced Diploma and Diploma	64
East Warburton	Bachelor	77
East Warburton	Graduate Diploma and Graduate Certificate	8
East Warburton	Postgraduate	10
Eastern View	Certificate nfd	3
Eastern View	Certificate III and IV Level	6
Eastern View	Advanced Diploma and Diploma	4
Eastern View	Bachelor	5
Eastern View	Graduate Diploma and Graduate Certificate	5
Eastern View	Postgraduate	3
Eastville	Certificate III and IV Level	4
Eastwood (Vic.)	Certificate nfd	40
Eastwood (Vic.)	Certificate I and II Level	13
Eastwood (Vic.)	Certificate III and IV Level	413
Eastwood (Vic.)	Advanced Diploma and Diploma	183
Eastwood (Vic.)	Bachelor	193
Eastwood (Vic.)	Graduate Diploma and Graduate Certificate	31
Eastwood (Vic.)	Postgraduate	33
Ebden	Certificate III and IV Level	28
Ebden	Advanced Diploma and Diploma	7
Ebden	Bachelor	4
Ebden	Postgraduate	3
Echuca	Certificate nfd	180
Echuca	Certificate I and II Level	117
Echuca	Certificate III and IV Level	2332
Echuca	Advanced Diploma and Diploma	879
Echuca	Bachelor	994
Echuca	Graduate Diploma and Graduate Certificate	201
Echuca	Postgraduate	131
Echuca Village	Certificate nfd	12
Echuca Village	Certificate III and IV Level	107
Echuca Village	Advanced Diploma and Diploma	24
Echuca Village	Bachelor	38
Echuca Village	Graduate Diploma and Graduate Certificate	7
Echuca Village	Postgraduate	3
Echuca West	Certificate nfd	3
Echuca West	Certificate I and II Level	3
Echuca West	Certificate III and IV Level	76
Echuca West	Advanced Diploma and Diploma	20
Echuca West	Bachelor	26
Echuca West	Graduate Diploma and Graduate Certificate	3
Echuca West	Postgraduate	4
Ecklin South	Certificate nfd	3
Ecklin South	Certificate I and II Level	3
Ecklin South	Certificate III and IV Level	33
Ecklin South	Advanced Diploma and Diploma	12
Ecklin South	Bachelor	8
Ecklin South	Graduate Diploma and Graduate Certificate	7
Eddington	Certificate III and IV Level	21
Eddington	Advanced Diploma and Diploma	6
Eddington	Bachelor	9
Eden Park	Certificate nfd	19
Eden Park	Certificate I and II Level	5
Eden Park	Certificate III and IV Level	208
Eden Park	Advanced Diploma and Diploma	98
Eden Park	Bachelor	126
Eden Park	Graduate Diploma and Graduate Certificate	19
Eden Park	Postgraduate	20
Edenhope	Certificate nfd	12
Edenhope	Certificate I and II Level	20
Edenhope	Certificate III and IV Level	143
Edenhope	Advanced Diploma and Diploma	62
Edenhope	Bachelor	65
Edenhope	Graduate Diploma and Graduate Certificate	6
Edenhope	Postgraduate	9
Edgecombe	Certificate III and IV Level	18
Edgecombe	Advanced Diploma and Diploma	3
Edgecombe	Bachelor	11
Edgecombe	Graduate Diploma and Graduate Certificate	5
Edgecombe	Postgraduate	3
Edi	Certificate III and IV Level	22
Edi	Advanced Diploma and Diploma	4
Edi	Bachelor	4
Edi Upper	Certificate III and IV Level	16
Edi Upper	Advanced Diploma and Diploma	6
Edi Upper	Bachelor	10
Edithvale	Certificate nfd	84
Edithvale	Certificate I and II Level	40
Edithvale	Certificate III and IV Level	768
Edithvale	Advanced Diploma and Diploma	535
Edithvale	Bachelor	813
Edithvale	Graduate Diploma and Graduate Certificate	133
Edithvale	Postgraduate	212
Eganstown	Certificate nfd	6
Eganstown	Certificate III and IV Level	31
Eganstown	Advanced Diploma and Diploma	24
Eganstown	Bachelor	16
Eganstown	Graduate Diploma and Graduate Certificate	5
Eganstown	Postgraduate	9
Eildon	Certificate nfd	19
Eildon	Certificate I and II Level	6
Eildon	Certificate III and IV Level	201
Eildon	Advanced Diploma and Diploma	58
Eildon	Bachelor	41
Eildon	Graduate Diploma and Graduate Certificate	17
Eildon	Postgraduate	4
Elaine	Certificate I and II Level	3
Elaine	Certificate III and IV Level	32
Elaine	Advanced Diploma and Diploma	14
Elaine	Bachelor	16
Elaine	Graduate Diploma and Graduate Certificate	3
Elaine	Postgraduate	3
Eldorado	Certificate nfd	6
Eldorado	Certificate I and II Level	4
Eldorado	Certificate III and IV Level	73
Eldorado	Advanced Diploma and Diploma	36
Eldorado	Bachelor	28
Eldorado	Graduate Diploma and Graduate Certificate	8
Eldorado	Postgraduate	6
Elevated Plains	Certificate I and II Level	3
Elevated Plains	Certificate III and IV Level	5
Elevated Plains	Bachelor	3
Elevated Plains	Postgraduate	5
Elingamite	Certificate III and IV Level	5
Elingamite	Bachelor	9
Elingamite	Graduate Diploma and Graduate Certificate	4
Elingamite North	Certificate nfd	3
Elingamite North	Certificate III and IV Level	8
Elingamite North	Advanced Diploma and Diploma	3
Elingamite North	Bachelor	7
Ellaswood	Certificate nfd	3
Ellaswood	Certificate I and II Level	5
Ellaswood	Certificate III and IV Level	34
Ellaswood	Advanced Diploma and Diploma	16
Ellaswood	Bachelor	14
Ellaswood	Postgraduate	3
Ellerslie (Vic.)	Certificate nfd	3
Ellerslie (Vic.)	Certificate I and II Level	7
Ellerslie (Vic.)	Certificate III and IV Level	25
