SSC_NAME16	medianRent
Braemeadows	5200
Braemore	10400
Bramston Beach	13000
Branch Creek	
Branchview	
Brandon	10400
Brandy Creek (Qld)	17420
Branyan	17160
Brassall	15600
Bray Park (Qld)	18720
Breadalbane (Qld)	11180
Breakaway	26000
Breddan	14300
Brendale	17680
Bribie Island North	
Bridgeman Downs	23400
Bridges	16640
Brigalow	
Brightly	7696
Brighton (Qld)	18720
Brightview	15080
Brigooda	9620
Bringalily	6240
Brinsmead	20800
Brisbane Airport	
Brisbane City	28340
Broadbeach	18720
Broadbeach Waters	26000
Broadmere	
Broadwater (Qld)	12740
Broken River	
Bromelton	16120
Brookfield (Qld)	19448
Brookhill	14300
Brooklands	12740
Brookstead	8060
Brookwater	26416
Brooloo	13000
Brooweena	2860
Broughton (Qld)	8216
Brovinia	
Browns Plains (Qld)	17680
Broxburn	8060
Brush Creek	
Bryden	
Brymaroo	6448
Buaraba	
Buaraba South	
Bucasia	15600
Bucca (Qld)	12740
Buccan	21840
Buckingham (Qld)	
Buckland (Qld)	
Buddina	19500
Buderim	20800
Budgee	
Bukali	
Bulgun	15496
Bulimba	25220
Bullawarra	
Bullcamp	
Bulleringa	
Bulli Creek	
Bulloo Downs	
Bullyard	12220
Bulwer	
Bunburra	
Bundaberg Central	10400
Bundaberg East	14040
Bundaberg North	13260
Bundaberg South	11856
Bundaberg West	11700
Bundall	20800
Bundamba	15600
Bundi	
Bundoora (Qld)	
Bungaban	
Bungadoo	13000
Bungalow	12012
Bungeworgorai	
Bungil (Qld)	
Bungundarra	9880
Bungunya	
Bunjurgen	14040
Bunya	30056
Bunya Creek	
Bunya Mountains	2236
Burbank	15600
Burdell	17160
Burgowan	14560
Burketown	7280
Burleigh	
Burleigh Heads	20280
Burleigh Waters	21320
Burncluith	3900
Burnett Creek	
Burnett Heads	13780
Burnside (Qld)	19656
Burpengary	16900
Burpengary East	20800
Burra Burri	
Burrar Islet	
Burrum Heads	14040
Burrum River	13000
Burrum Town	13000
Burton (Qld)	
Burua	12740
Bushland Beach	18200
Bushley	
Butchers Creek	10816
Buxton (Qld)	12480
Bybera	
Byee	
Byellee	
Byfield	7800
Bymount	
Byrnestown	
Cabarlah	21476
Caboolture	15080
Caboolture South	14560
Caboonbah	
Cadarga	
Caffey	11960
Cainbable	13520
Cairdbeign	10400
Cairns City	18720
Cairns North	15600
Calamvale	20800
Calavos	6500
Calcium	
Caldervale	
Calen	7800
Calgoa	
Calico Creek	15080
Calingunee	
Callandoon	5200
Callemondah	
Callide	9100
Calliope (Qld)	13000
Caloundra	16120
Caloundra West	21840
Calvert (Qld)	13260
Camboon (Qld)	
Cambooya	13780
Cambridge (Qld)	
Cambroon	14040
Cameby	
Cameron Corner	
Camira (Qld)	17160
Camoola	
Camooweal	6500
Camp Creek (Qld)	9360
Camp Hill	21320
Camp Mountain	15600
Campaspe	
Campbell Creek	
Campbells Pocket	8320
Campwin Beach	14716
Canaga	3120
Canal Creek	
Cania	
Canina	15600
Cannindah	
Canning Creek	
Canningvale	8216
Cannon Creek (Scenic Rim - Qld)	9360
Cannon Creek (Southern Downs - Qld)	6396
Cannon Hill	22360
Cannon Valley	21840
Cannonvale	16120
Canoona	
Canungra	19240
Capalaba	18200
Cape Cleveland	9100
Cape Conway	
Cape Gloucester	
Cape Hillsborough	
Cape Tribulation	7800
Capella	9100
Captain Creek	10400
Captains Mountain	
Caravonica	16640
Carbine Creek	
Carbrook	10920
Cardstone	
Cardwell	11960
Carina (Qld)	21840
Carina Heights	20540
Carindale	25480
Carmila	3640
Carmoo	10400
Carnarvon Park	
Carneys Creek	
Carole Park	
Caroline Crossing	
Carpendale	13000
Carpentaria	
Carrandotta	
Carrara	20020
Carrington (Qld)	15600
Carruchan	9360
Carseldine	20800
Carstairs	2600
Carters Ridge	13520
Cashmere	23400
Cassowary	8840
Castaways Beach	30160
Castle Creek (Qld)	
Castle Hill (Qld)	24700
Cattle Creek (North Burnett - Qld)	
Cattle Creek (Toowoomba - Qld)	
Causeway Lake	12896
Cawarral	10400
Cawdor (Qld)	16120
Cecil Plains	7696
Cedar Creek (Gold Coast - Qld)	20800
Cedar Creek (Moreton Bay - Qld)	22100
Cedar Grove	20280
Cedar Pocket	15080
Cedar Vale	21996
Cedarton	8320
Cement Mills	
Centenary Heights	15080
Ceratodus	
Chahpingah	
Chambers Flat	11960
Chances Plain	3900
Chandler (Qld)	18200
Chapel Hill (Qld)	25740
Charlestown (Qld)	7800
Charleville	8840
Charlton (Qld)	15600
Charlwood	14300
Charters Towers City	10400
Chatsworth (Qld)	14196
Cheeseborough	
Chelmer	23920
Chelmsford	10400
Chelona	5200
Cheltenham (Qld)	
Cherbourg	5200
Chermside	18200
Chermside West	21580
Cherry Creek	5876
Cherry Gully	
Cherwell	
Chevallum	15028
Chewko	10400
Childers (Qld)	13000
Chillagoe	3016
Chinchilla	10920
Chinghee Creek	
Chirnside	
Chorregon	
Christmas Creek	9620
Churchable	16640
Churchill (Qld)	14560
Chuwar	17160
Cinnabar	9100
Clagiraba	20800
Clairview	8840
Clara Creek	
Claraville	
Clare (Qld)	7956
Clarendon (Qld)	13364
Clarke Creek	
Clayfield	18200
Clear Island Waters	23400
Clear Mountain	20280
Clemant	
Clermont	7800
Cleveland (Qld)	19500
Clifford	
Clifton (Qld)	11440
Clifton Beach (Qld)	16640
Clinton (Qld)	13000
Clintonvale	2600
Cloncurry	8060
Clontarf (Moreton Bay - Qld)	16120
Clontarf (Toowoomba - Qld)	
Closeburn	28600
Cloyna	6656
Cluden	14820
Clumber	
Coal Creek	
Coalbank	
Coalfalls	15340
Coalstoun Lakes	
Cobbs Hill	
Cobraball	
Cockatoo (Qld)	
Coconuts	12740
Coen	5200
Coes Creek	19240
Coles Creek	13000
Colevale	
Coleyville	5200
Colinton (Qld)	9100
Collaroy (Qld)	
College View	14560
Collingwood Park (Qld)	17160
Collinsville (Qld)	7800
Colosseum	
Columbia	13520
Columboola	10400
Comet	
Commissioners Flat	14300
Como (Qld)	
Comoon Loop	
Cona Creek	
Condamine	4160
Condamine Farms	
Condamine Plains	
Condon	15600
Conjuboy	
Conondale	10400
Consuelo	
Conway	10400
Conway Beach	8320
Coochiemudlo Island	14300
Coochin	9360
Coochin Creek	12636
Cooee Bay	14040
Cooeeimbardi	
Cooktown	10920
Coolabine	9100
Coolabunia	4160
Cooladdi	
Coolana	15080
Coolangatta (Qld)	17160
Coolbie	3588
Coolmunda	9620
Cooloola	
Cooloola Cove	14300
Cooloolabin	10920
Coolum Beach	19500
Coombabah	18980
Coomera	20800
Coominglah	
Coominglah Forest	
Coominya	12480
Coomoo	
Coomrith	
Coonambula	
Coonarr	13000
Coondoo	
Coongoola	
Coopers Plains	18200
Coorada	
Cooran	16536
Cooranga	2600
Cooroibah	20280
Cooroo Lands	
Coorooman	14300
Cooroy	17368
Cooroy Mountain	21840
Coorparoo	18720
Coorumba	8320
Coorumbene	
Cootharaba	14300
Coowonga	8320
Cooya Beach	11960
Cooyar	8320
Coppabella (Qld)	3120
Coquette Point	18200
Coral Cove	17680
Coral Sea	
Coralie	
Cordalba	13156
Cordelia	9880
Corella	16380
Corfield	
Corinda	18720
Coringa	7800
Corndale (Qld)	
Cornish Creek	
Cornubia	20800
Cornwall (Qld)	
Cosgrove (Qld)	14768
Cotherstone	
Cotswold Hills	20280
Cottonvale (Qld)	8320
Coulson	13520
Coverty	
Cow Bay	9100
Cowan Cowan	
Cowley	11960
Cowley Beach	7020
Cowley Creek	
Cracow	4836
Craiglie	16120
Craignish	17680
Cranbrook (Qld)	14820
Cranley	16640
Crawford	9880
Crediton	
Cremorne (Qld)	
Cressbrook	13000
Cressbrook Creek	
Crestmead	17680
Crimea	
Crinum	
Croftby	5200
Crohamhurst	15236
Cromarty	
Crossdale	
Crossroads	
Crowley Vale	11960
Crownthorpe	
Crows Nest (Qld)	12480
Croydon (Qld)	6916
Cryna	14456
Crystal Brook (Qld)	10400
Crystal Creek (Qld)	
Crystalbrook	
Cullinane	11960
Cungulla	10036
Cunnamulla	5200
Cunningham (Qld)	3276
Curra	13520
Currajah	
Currajong	13416
Curramore (Qld)	15080
Currimundi	20384
Currumbin	19760
Currumbin Valley	20800
Currumbin Waters	19760
Curtis Island	
Cushnie	9100
Cutella	
Cuttaburra	
Cynthia	
Cypress Gardens	
D'Aguilar	18720
Dagmar	
Dagun	10400
Daintree	5980
Daisy Hill (Qld)	19240
Dajarra	7280
Dakabin	18200
Dakenba	7800
Dalbeg	15080
Dalby	13000
Dalcouth	8996
Dalga	
Dallarnil	8320
Dalma	8476
Dalrymple Creek	
Dalrymple Heights	
Dalveen	10400
Dalwogon	
Dalysford	13520
Damascus	13000
Damper Creek	9360
Danbulla	
Danderoo	
Dangore	
Daradgee	11700
Dargal Road	7800
Darling Heights	16120
Darlington (Qld)	3640
Darr Creek	
Darra	17680
Darts Creek	
Dauan Island	4108
Daveson	
Dayboro	18356
Daymar	
Deagon	16848
Deception Bay	15860
Dedin	
Deebing Heights	19240
Deep Creek (Qld)	
Deepwater (Qld)	8736
Deeragun	15600
Deeral	10400
Degarra	6500
Degilbo	10400
Delan	10400
Delaneys Creek	15600
Depot Hill	11960
Derri Derra	7540
Derrymore	
Desailly	
Deuchar	12480
Devereux Creek	13000
Devon Park (Qld)	
Diamantina Lakes	
Diamond Valley	15600
Diamondvale	
Diamondy	
Dicky Beach	18200
Didcot	
Diddillibah	14560
Diglum	
Dimbulah	6240
Dingo	5200
Dingo Beach	13000
Dingo Pocket	13676
Dinmore	13000
Dirnbir	3900
Dirranbandi	2080
Dittmer	10660
Diwan	3172
Dixalea	2600
Dixie (Qld)	
Djarawong	13000
Djiru	
Djuan	
Doctor Creek	
Dolphin Heads	15600
Domville	
Donnybrook (Qld)	14820
Doolandella	18720
Doolbi	9880
Doomadgee	6240
Doonan	23400
Doongul	
Dotswood	2600
Doughboy	
Douglas (Toowoomba - Qld)	
Douglas (Townsville - Qld)	17680
Dowar Islet	
Downsfield	10400
Dows Creek	8320
Draper	26000
Drayton	13260
Drewvale	22880
Drillham	
Drillham South	
Drinan	11440
Dromedary (Qld)	
Drummondslope	
Duaringa	4680
Duchess	
Duckinwilla	
Ducklo	9880
Dugandan	14040
Duingal	
Dulacca	4680
Dulong	21060
Dululu	
Dumbleton	15600
Dumgree	
Dumpy Creek	
Dundarrah	
Dundas (Qld)	
Dundathu	16640
Dundowran	16640
Dundowran Beach	20800
Dunk	
Dunkeld (Qld)	
Dunmora	14040
Dunmore (Qld)	
Dunnrock	11544
Dunrobin (Qld)	
Dunwich	13000
Durack (Qld)	17160
Durah	
Durham	
Durham Downs	
Durong	1300
Dutton Park	18876
Dutton River	
Dykehead	
Dynevor	
Dysart (Qld)	4732
Eagle Farm	
Eagleby	16120
Eaglefield	
Earlville	13000
East Barron	13000
East Brisbane	20020
East Cooyar	
East Creek	
East Deep Creek	15080
East End	14976
East Feluga	13780
East Greenmount	13000
East Haldon	
East Innisfail	12480
East Ipswich	14040
East Mackay	13260
East Nanango	9880
East Palmerston	7800
East Russell	5720
East Toowoomba	13520
East Trinity	8580
Eastern Heights	14820
Eaton (Qld)	10400
Eatons Hill	22360
Ebbw Vale	14040
Ebenezer (Qld)	23400
Edens Landing	17680
Edge Hill	14560
Edmonton	16120
Edward River	
Eerwah Vale	16016
Egypt	
Eidsvold	5720
Eidsvold East	
Eidsvold West	
Eight Mile Creek (Qld)	
Eight Mile Plains	21580
Eimeo	15600
Einasleigh	
El Arish	13520
Elaman Creek	13780
Elanora	21840
Elbow Valley	
Electra	7800
Elgin (Qld)	
Elgin Vale	
Eli Waters	17160
Elimbah	17680
Ellangowan (Qld)	
Ellen Grove	15600
Ellerbeck	
Ellesmere	10400
Ellinjaa	12220
Ellinthorp	
Elliott (Qld)	13884
Elliott Heads	13520
Ellis Beach	
Elphinstone (Isaac - Qld)	
Elphinstone (Toowoomba - Qld)	
Emerald (Qld)	11960
Emu Creek (Qld)	
Emu Park	14040
Emu Vale	9360
England Creek	
Enoggera	18980
Enoggera Reservoir	17160
Epsom (Qld)	
Erakala	7800
Ernestina	
Eromanga	6240
Erub Island	7800
Esk (Qld)	12220
Eskdale (Qld)	
Esmeralda	
Etna Creek	9620
Eton	10920
Etty Bay	14300
Eubenangee	12636
Eudlo	16640
Eukey	5460
Euleilah	9776
Eulo	5200
Eumamurrin	
Eumundi	20800
Eungella (Qld)	9100
Eungella Dam	
Eungella Hinterland	
Euramo	9256
Eureka (Qld)	10400
Eurella	
Eurimbula	
Eurombah	
Eurong	
Euthulla	11960
Evans Landing	
Evanslea	5200
Evelyn	8060
Evergreen	
Everton Hills	21840
Everton Park	19760
Evora	
Fairdale	
Fairfield (Qld)	20280
Fairney View	14976
Fairy Bower	6760
Fairyland	
Fairymead	
Farleigh	13000
Farnborough	15600
Farnsfield	8476
Farrars Creek	
Fassifern (Qld)	
Fassifern Valley	
Federal (Qld)	15600
Felton	7800
Felton South	
Feluga	13000
Ferney	
Fernvale (Qld)	17160
Ferny Glen	16120
Ferny Grove	19760
Ferny Hills	20800
Ficks Crossing	
Fielding	
Fifteen Mile	
Fig Tree Pocket	28080
Finch Hatton	8320
Finlayvale	9100
Finnie	16380
Fisher (Qld)	
Fishermans Pocket	
Fishery Falls	3224
Fitzgerald Creek	
Fitzgibbon	19500
Fitzroy Island	
Flagstone Creek	9412
Flametree	11076
Flaxton	16536
Fletcher (Qld)	8632
Fletcher Creek	
Fleurbaix	13000
Flinders View	15600
Flinton	
Florence Bay	
Flying Fish Point	11440
Flying Fox (Qld)	21840
Fordsdale	9100
Foreshores	
Forest Creek	7800
Forest Glen (Qld)	23296
Forest Hill (Qld)	14560
Forest Lake	19240
Forest Ridge	
Forest Springs	
Forestdale	24440
Foresthome	5980
Forestvale	
Fork Lagoons	
Formartin	3952
Forrest Beach (Qld)	12480
Forsayth	676
Fortitude Valley	20800
Forty Mile	
Fossilbrook	
Foulden	
Four Ways	
Foxdale	8996
Frankfield	
Fraser Island	
Frazerview	8216
Fredericksfield	6240
Freestone	8840
Frenches Creek	11440
Frenchville	14560
Freshwater (Qld)	15600
Freshwater Point	
Friday Pocket	
Fulham (Qld)	
Gadgarra	
Gaeta	
Gailes	14040
Gainsford	
Gairloch	
Galilee	
Gamboola	
Gangalidda	
Garbutt	10400
Garfield (Qld)	
Gargett	10400
Garnant	4992
Garners Beach	
Garradunga	12740
Garrawalt	
Gatton	14040
Gaven	21840
Gayndah	10400
Gaythorne	17680
Geebung	20020
Geham	11440
Gemini Mountains	
Georgetown (Qld)	6240
Georgina (Qld)	
Germantown (Qld)	10400
Gheerulla	13936
Ghinghinda	
Gidya	
Gigoomgan	
Gilbert River	
Gilberton (Etheridge - Qld)	
Gilberton (Gold Coast - Qld)	13052
Gilla	
Gilldora	
Gilston	25220
Gin Gin (Qld)	11856
Gindie	
Gindoran	
Ginoondan	
Girraween (Qld)	
Giru	9620
Givelda	
Gladfield (Qld)	
Gladstone Central	10400
Gladstone Harbour	
Glamorgan Vale	9880
Glan Devon	10140
Glanmire (Qld)	
Glass House Mountains	18200
Glastonbury	14040
Glebe (Qld)	
Glen Allyn	14300
Glen Aplin	10920
Glen Boughton	
Glen Cairn	
Glen Echo	
Glen Eden	14040
Glen Esk	8840
Glen Isla	
Glen Niven	
Glen Russell	
Glen Ruth	
Glenarbon	
Glenaubyn	
Glenaven	
Glenbar	
Glencoe (Qld)	18200
Glendale (Qld)	18980
Glenden	1560
Gleneagle	18720
Glenella	18720
Glenfern (Qld)	
Glengallan	
Glenhaughton	
Glenlee (Qld)	18200
Glenleigh	
Glenlyon (Qld)	
Glenmoral	
Glenmorgan	
Glenorchy (Qld)	10400
Glenore Grove	15600
Glenrae	3900
Glenrock (Qld)	
Glenroy (Qld)	
Glenvale	17160
Glenview	18200
Glenwood (Qld)	11700
Godwin Beach	16120
Gogango	
Golden Beach (Qld)	17940
Golden Fleece	
Goldfields	
Goldsborough (Qld)	18720
Gooburrum	15600
Good Night	
Goodar	
Goodger	12896
Goodna	15600
Goodwood (Qld)	13260
Googa Creek	
Goolboo	
Goolman	
Goomally	
Goombi	
Goomboorian	13156
Goombungee	11960
Goomburra	3900
Goomeri	8996
Goomeribong	
Goondi	10556
Goondi Bend	11700
Goondi Hill	11128
Goondiwindi	13000
Goorganga Creek	
Goorganga Plains	
Gooroolba	
Gootchie	8320
Goovigen	5200
Goowarra	
Goranba	4576
Gordon Park	18200
Gordonbrook	7800
Gordonstone	
Gordonvale	14560
Gore	
Gowrie Junction	19760
Gowrie Little Plain	
Gowrie Mountain	14560
Gowrie Station	
Gracemere	15600
Graceville	24180
Grahams Creek	7540
Granadilla	11440
Grand Secret	10920
Grandchester	13000
Grange (Qld)	22360
Granite Vale	
Grant	
Grantham	13520
Granville (Qld)	11700
Grapetree	
Grassdale (Qld)	
Grasstree Beach	13000
Grays Gate	
Great Sandy Strait	
Green Hill	10140
Green Island	
Greenbank	23400
Greenlake	
Greenlands (Qld)	11180
Greenmount (Mackay - Qld)	15600
Greenmount (Toowoomba - Qld)	12116
Greens Creek (Qld)	13000
Greenslopes	18720
Greenswamp	7280
Greenup	
Greenvale (Qld)	
Greenview	9516
Greenwood (Qld)	15600
Gregors Creek	11180
Gregory (Qld)	
Gregory River (Bundaberg - Qld)	
Gregory River (Whitsunday - Qld)	3120
Greycliffe	
Greymare	7800
Griffin	20280
Groganville	
Groomsville	
Groper Creek	7800
Grosmont	
Grosvenor	
Guanaba	16900
Guijar Islet	
Gulf Of Carpentaria	
Gulliver	14040
Gulngai	
Guluguba	
Gumdale	26000
Gumlow	13000
Gumlu	2132
Gunalda	12480
Gundiah	5460
Gungaloon	
Gunnawarra	
Gunnewin	
Gunpowder	
Gunyarra	
Gurgeena	
Gurulmundi	
Guthalungra	
Gwambegwine	
Gympie	13000
Habana	14040
Haden	10036
Haigslea	12636
Hail Creek	
Haliday Bay	14560
Halifax	7540
Halliford	
Haly Creek	5980
Hamilton (Qld)	21840
Hamilton Creek	8060
Hamilton Plains	7800
Hampden (Qld)	6500
Hampton (Qld)	13000
Hannaford	
Happy Valley (Qld)	19760
Harlaxton	13520
Harlin	10400
Harrami	
Harriet	
Harristown	13780
Harrisville	13156
Hatton Vale	15860
Hawkins Creek	6916
Hawkwood	
Hawthorne	21840
Hay Point	15340
Hazeldean	14456
Hazledean	
Headington Hill	15600
Healy	18200
Heathwood	23400
Heatley	14560
Hebel	884
Helens Hill	7800
Helensvale	21840
Helidon	14040
Helidon Spa	13000
Hemmant	19760
Hendon (Qld)	12116
Hendra	25636
Herberton	10712
Heritage Park	20280
Hermit Park	12532
Herston	20800
Hervey Range	
Hibernia	
Hidden Valley (Qld)	19240
Hideaway Bay	13520
Highbury (Qld)	
Highfields (Qld)	20020
Highgate Hill	18980
Highgrove	
Highland Park	19760
Highland Plains (Maranoa - Qld)	
Highland Plains (Toowoomba - Qld)	
Highvale	24700
Highworth	20280
Hillcrest (Qld)	18200
Hillview	7800
Hinchinbrook (Qld)	
Hirstglen	11752
Hivesville	6760
Hobartville (Qld)	
Hodgleigh	11440
Hodgson	
Hodgson Vale	16016
Holland Park	18200
Holland Park West	19552
Holloways Beach	13520
Hollywell	26000
Holmview	20280
Holroyd River	
Home Creek	
Home Hill	11440
Homebush (Qld)	11076
Homestead	
Hookswood	
Hope Island	24700
Hope Vale	5460
Hopeland (Qld)	10400
Horn	9516
Horse Camp	13000
Horse Creek	7800
Horseshoe Bay	14196
Horseshoe Lagoon	2600
Horton	12480
Howard	11440
Howitt	
Hoya	12116
Hudson	10556
Hughenden	7020
Hull Heads	10400
Humboldt	
Humeburn	
Humphery	3640
Hunchy	19760
Hungerford (Qld)	
Hurricane	
Hutton Creek	
Hyde Park (Qld)	12012
Iama Island	6240
Ibis	
Idalia	19760
Ideraway	
Ilbilbie	
Ilfracombe	5200
Ilkley	15860
Illinbah	15600
Image Flat	18616
Imbil	13000
Inala	11440
Indooroopilly	22100
Ingberry	
Ingham	9880
Inglestone	
Inglewood (Qld)	9360
Ingoldsby	
Injinoo	6240
Injune	7020
Inkerman (Qld)	5460
Innes Park	15600
Innisfail	10400
Innisfail Estate	10400
Innisplain	5356
Innot Hot Springs	10400
Inskip	
Inverlaw	14196
Inverness	
Ipswich	12220
Iredale	
Iron Range	
Ironbark (Qld)	13000
Irongate	11960
Ironpot (Livingstone - Qld)	18200
Ironpot (South Burnett - Qld)	
Irvinebank	2600
Irvingdale	
Isis Central	
Isis River	
Isisford	4056
Isla	
Island Plantation	14040
Iveragh	4784
Ivory Creek	
Jackson	
Jackson North	
Jackson South	
Jacobs Well	19240
Jaffa	
Jaggan	11440
Jamboree Heights	20280
Jandowae	7800
Japoonvale	5720
Jardine	
Jardine River	
Jarra Creek	8736
Jarvisfield	11440
Jeebropilly	
Jellinbah	
Jensen	18200
Jericho (Qld)	4160
Jerona	
Jimboomba	20540
Jimbour East	2600
Jimbour West	4212
Jimna	7800
Jindalee (Qld)	21840
Jinghi	5200
Jobs Gate	
Johnsons Hill	
Johnstown	
Jollys Lookout	13676
Jondaryan	9100
Jones Gully	
Jones Hill	16640
Josephville	13780
Joskeleigh	
Joyner	20280
Jubilee Heights	14560
Jubilee Pocket	18200
Julago	10400
Julatten	11440
Julia Creek	5200
Junabee	13000
Junction View	
Jundah	4680
Kaban	13000
Kabra	10400
Kagaru	
Kaimkillenbun	9516
Kairabah	
Kairi	10036
Kalapa	
Kalbar	13000
Kalinga	20800
Kalkadoon	
Kalkie	15600
Kallangur	17420
Kalpowar	
Kalunga	
Kamerunga	19240
Kandanga	13000
Kandanga Creek	12740
Kangaroo Point (Qld)	23400
Kanigan	10400
Kanimbla (Qld)	21320
Kapaldo	
Karalee	20800
Karana Downs	18720
Karara	11440
Karawatha	
Karrabin	16796
Karragarra Island	12220
Karron	
Karumba	7800
Kawana	13000
Kawl Kawl	
Kawungan	15600
Kearneys Spring	15340
Kedron	18200
Kelsey Creek	3276
Kelso (Qld)	15080
Kelvin Grove	22100
Kelvinhaugh	8060
Kemmis	
Kenilworth	11700
Kenmore	23920
Kenmore Hills	26260
Kennedy	6760
Kensington (Qld)	11960
Kensington Grove	16640
Kents Lagoon	
Kents Pocket	
Kentville	13260
Keperra	18200
Kepnock	13520
Keppel Sands	13000
Keriri Island	6240
Kerry	10400
Kewarra Beach	20020
Keysland	
Kholo	15860
Khosh Bulduk	
Kia Ora (Qld)	10400
Kiamba	17940
Kianga (Qld)	10400
Kidaman Creek	7488
Kiels Mountain	18720
Kilbirnie	
Kilcoy	14560
Kilcummin	
Kilkivan	7800
Killaloe	
Killarney (Qld)	10400
Kilmorey Falls	
Kimberley (Qld)	
Kin Kin	15496
Kin Kora	11856
Kinbombi	
Kinchant Dam	
Kincora	5200
Kindon	
King Scrub	
Kingaham	
Kingaroy	12480
Kings Beach	16640
Kings Creek	8840
Kings Siding	
Kingsholme	15600
Kingsthorpe	13676
Kingston (Qld)	15600
Kinka Beach	13520
Kinkuna	7800
Kinleymore	6500
Kinnoul	
Kioma	1612
Kippa-Ring	17160
Kirknie	
Kirkwood	14560
Kirrama	
Kirwan	16120
Kitoba	
Kleinton	20280
Knapp Creek	
Koah	11700
Kobble Creek	22100
Kogan	11440
Kokotungo	5200
Kolonga	
Koombooloomba	
Koongal	12740
Kooralbyn	11856
Kooralgin	
Kooringal (Qld)	
Kooroomool	
Kooroongarra	
Koumala	6500
Kowanyama	3380
Kowguran	
Kragra	
Kulangoor	10920
Kulgun	18200
Kullogum	12480
Kulpi	9360
Kuluin	19240
Kumbarilla	
Kumbia	7800
Kunda Park	
Kunioon	
Kunwarara	
Kuraby	20280
Kuranda	11700
Kureelpa	18200
Kureen	15080
Kuridala	
Kurrimine Beach	13260
Kurrowah	
Kurumbul	
Kurwongbah	18200
Kuttabul	10920
Kybong	12896
Kynuna	
Kyoomba	
Labrador	17160
Laceys Creek	14300
Laglan	
Lagoon Pocket	15600
Laguna Quays	9516
Laidley	14040
Laidley Creek West	14560
Laidley Heights	15600
Laidley North	15340
Laidley South	14300
Lake Barrine	15236
Lake Borumba	
Lake Clarendon	9880
Lake Eacham	10400
Lake Macdonald	19396
Lake Manchester	
Lake Mary	
Lake Monduran	
Lake Proserpine	
Lake Tinaroo	
Lake Wivenhoe	
Lakefield	
Lakeland	4680
Lakes Creek	14560
Lakeside	
Lamb Island	10400
Lamb Range	
Lamington (Qld)	4420
Lammermoor	18876
Landers Shoot	9360
Landsborough (Qld)	17160
Lanefield	11440
Langlands	
Langlo	
Langshaw	9100
Lannercost	10920
Lansdowne (Qld)	
Lanskey	10400
Larapinta (Qld)	
Laravale	13780
Lark Hill	24700
Laura (Qld)	5720
Lavelle	
Lawes	13000
Lawgi Dawes	
Lawn Hill	
Lawnton	15340
Leafdale	
Lefthand Branch	
Leichhardt (Qld)	13520
Lemontree	
Leslie	
Leslie Dam	10140
Lethebrook	11700
Leyburn	9776
Leydens Hill	
Lilydale (Qld)	13000
Lilyvale (Central Highlands - Qld)	
Lilyvale (Toowoomba - Qld)	
Limestone (Qld)	
Limestone Creek	
Limestone Ridges	12376
Limevale	7176
Linden (Qld)	
Linthorpe	10400
Linville	9100
Little Mountain	21580
Little Mulgrave	10400
Lizard	
Llanarth (Qld)	
Loch Lomond	10400
Lochington	
Lockhart River	5616
Lockrose	14040
Lockyer (Qld)	16016
Lockyer Waters	16796
Logan Central	13780
Logan Reserve	20280
Logan Village	21320
Loganholme	18980
Loganlea	17160
Lonesome Creek	3640
Long Flat (Qld)	13416
Long Pocket	5460
Longreach (Qld)	10400
Lota	20540
Lotus Creek	
Low Isles	
Lower Beechmont	20696
Lower Cowley	
Lower Cressbrook	
Lower Daintree	7488
Lower Mount Walker	14560
Lower Tenthill	7800
Lower Tully	9776
Lower Wonga	7540
Lowesby	
Lowestoff	
Lowmead	
Lowood	14560
Lucinda	10140
Lumeah (Qld)	
Lumholtz	
Lundavra	
Luscombe	26780
Lutwyche	18980
Lynam	
Lyndhurst (Qld)	
Lyndside	
Lyons (Qld)	
Lyra	9308
Lytton	
Ma Ma Creek	9360
Maadi	9880
Maalan	
Maaroom	10660
Mabuiag Island	5200
Macalister	5200
Macalister Range	
Macfarlane	
Macgregor (Qld)	22100
Machans Beach	16640
Machine Creek	
Mackay	10400
Mackay Harbour	20800
Mackenzie (Brisbane - Qld)	28600
Mackenzie (Central Highlands - Qld)	
Mackenzie River	
Macknade	8320
Maclagan	7176
Macleay Island	12740
Magnolia	13520
Maidenhead	
Maidenwell	5200
Main Beach	23036
Majors Creek (Qld)	9100
Malanda	10400
Malarga	
Maleny	17420
Malling	
Malmoe	
Malpas-Trenton	
Malu	
Mamu	
Manapouri	
Mandalay	17836
Maneroo	
Mango Hill	19760
Manly (Qld)	20280
Manly West	20800
Mannuem	520
Manoora (Qld)	12480
Mansfield (Qld)	20800
Mantuan Downs	
Manumbar	
Manunda	11960
Manyung	10660
Mapleton	15600
Mapoon	6344
Maramie	
Marburg	14040
Marcoola	18720
Marcus Beach	19500
Mareeba	13000
Margate (Qld)	15340
Maria Creeks	13000
Marian	16900
Marlborough	2756
Marmadua	
Marmor	
Marodian	
Maroochy River	20956
Maroochydore	17680
Maroon	4992
Maroondan	11700
Marsden	18200
Marshlands	
Martyville	
Maryborough (Qld)	11960
Maryborough West	13676
Marys Creek	
Maryvale (Livingstone - Qld)	
Maryvale (Southern Downs - Qld)	10400
Masig Island	6240
Massie	9360
Maudsland	23660
Maxwelton	
May Downs	
McCutcheon	
McDesme	10400
McDowall	20696
McEwens Beach	14040
McIlwraith	9880
McIntosh Creek	
McKinlay	
Meadowbrook	18980
Meadowvale	10400
Meandarra	5200
Meikleville Hill	15340
Melawondi	9360
Meldale	18200
Melrose (Qld)	
