SSC_NAME16	Sex	employmentToPopulation
Mia Mia (Vic.)	F	34.9
Mia Mia (Vic.)	M	39.2
Mickleham	F	62.4
Mickleham	M	72.4
Middle Creek	F	42.9
Middle Creek	M	85.7
Middle Park (Vic.)	F	56.8
Middle Park (Vic.)	M	65.5
Middle Tarwin	F	82.9
Middle Tarwin	M	64.9
Miepoll	F	44.7
Miepoll	M	38.9
Miga Lake	F	62.5
Miga Lake	M	100
Milawa	F	58.8
Milawa	M	70
Mildura	F	46.3
Mildura	M	52.5
Mill Park	F	54.2
Mill Park	M	64.5
Millbrook (Vic.)	F	53
Millbrook (Vic.)	M	57.1
Millgrove	F	43.8
Millgrove	M	54.4
Milloo	F	46.2
Milloo	M	78.6
Milltown	F	56
Milltown	M	30.8
Mincha	F	45
Mincha	M	39.3
Mincha West	F	63.6
Mincha West	M	100
Miners Rest	F	68.4
Miners Rest	M	75
Mingay	F	56.5
Mingay	M	61.9
Minhamite	F	81.8
Minhamite	M	73.8
Minimay	F	63
Minimay	M	62.5
Mininera	F	41.9
Mininera	M	50
Minjah	F	55.6
Minjah	M	16.7
Minmindie	F	100
Minmindie	M	75
Minyip	F	31.7
Minyip	M	42.6
Miram	F	29.4
Miram	M	72.2
Mirboo	F	46.9
Mirboo	M	58.9
Mirboo North	F	44.9
Mirboo North	M	54.1
Mirranatwa	F	80
Mirranatwa	M	38.5
Mitcham (Vic.)	F	57.7
Mitcham (Vic.)	M	67.5
Mitchell Park (Vic.)	F	58.6
Mitchell Park (Vic.)	M	59.9
Mitchellstown	F	37.5
Mitchellstown	M	42.3
Mitiamo	F	39.1
Mitiamo	M	65.3
Mitre	F	82.6
Mitre	M	87.1
Mitta Mitta	F	52.2
Mitta Mitta	M	55.9
Mittyack	F	100
Mittyack	M	40
Mockinya	F	42.9
Mockinya	M	111.1
Modella	F	47.4
Modella	M	71.9
Modewarre	F	61.7
Modewarre	M	72.7
Moe	F	37.2
Moe	M	43.2
Moe South	F	62.6
Moe South	M	62.4
Moggs Creek	F	54.1
Moggs Creek	M	65.9
Moglonemby	M	50
Mokepilly	M	100
Molesworth (Vic.)	F	66.7
Molesworth (Vic.)	M	58.8
Moliagul	F	31
Moliagul	M	29.5
Molka	F	44.4
Molka	M	61.1
Mollongghip	F	44.2
Mollongghip	M	39.5
Mologa	F	46.2
Mologa	M	100
Molyullah	F	39.2
Molyullah	M	59.3
Monbulk	F	55.3
Monbulk	M	67
Monegeetta	F	67.1
Monegeetta	M	69.1
Mongans Bridge	F	47.4
Mongans Bridge	M	94.4
Monomeith	F	53.1
Monomeith	M	76.9
Mont Albert	F	57
Mont Albert	M	64.5
Mont Albert North	F	54.7
Mont Albert North	M	61.8
Montgomery	F	61.9
Montgomery	M	32
Montmorency	F	59.8
Montmorency	M	67.5
Montrose (Vic.)	F	56
Montrose (Vic.)	M	66.5
Moolap	F	43.6
Moolap	M	50.2
Moolerr	F	110
Moolerr	M	62.5
Moolort	F	57.1
Moolort	M	66.7
Moonambel	F	43.6
Moonambel	M	41.7
Moondarra	F	45
Moondarra	M	36.8
Moonee Ponds	F	60.1
Moonee Ponds	M	67.1
Moonlight Flat (Central Goldfields - Vic.)	F	63.3
Moonlight Flat (Central Goldfields - Vic.)	M	50
Moonlight Flat (Mount Alexander - Vic.)	F	74.3
Moonlight Flat (Mount Alexander - Vic.)	M	74.3
Moora (Vic.)	F	60
Moora (Vic.)	M	40
Moorabbin	F	54.4
Moorabbin	M	62.5
Moorabool	F	43.6
Moorabool	M	51.7
Mooralla	F	78.6
Mooralla	M	82.9
Moorilim	F	91.7
Moorilim	M	100
Moormbool West	F	60
Moorngag	F	46.2
Moorngag	M	62.5
Moorooduc	F	59.9
Moorooduc	M	67.7
Mooroolbark	F	58.7
Mooroolbark	M	67.9
Mooroopna	F	46
Mooroopna	M	51.9
Mooroopna North	F	54.2
Mooroopna North	M	74.5
Mooroopna North West	F	46.2
Mooroopna North West	M	72.4
Moranding	F	66.7
Moranding	M	55.1
Mordialloc	F	59.7
Mordialloc	M	68
Morgiana	F	66.7
Morgiana	M	90.9
Moriac	F	68.2
Moriac	M	77.1
Mornington (Vic.)	F	46.4
Mornington (Vic.)	M	55.4
Morrisons	F	63.5
Morrisons	M	49.1
Mortlake (Vic.)	F	41.1
Mortlake (Vic.)	M	52.4
Morwell	F	35.5
Morwell	M	42.5
Mossiface	F	58.9
Mossiface	M	66.7
Mount Alfred	M	81.8
Mount Beauty	F	42.3
Mount Beauty	M	46.2
Mount Beckworth	F	75
Mount Beckworth	M	100
Mount Best	M	42.9
Mount Bolton	F	85.7
Mount Bolton	M	58.8
Mount Bruno	F	36.8
Mount Bruno	M	32.1
Mount Buller	F	60.2
Mount Buller	M	62.6
Mount Burnett	F	51.6
Mount Burnett	M	55.6
Mount Bute	F	56.5
Mount Bute	M	63.6
Mount Camel	F	40.9
Mount Camel	M	39.1
Mount Cameron	F	100
Mount Clear	F	53.7
Mount Clear	M	57
Mount Cole	F	66.7
Mount Cole	M	40
Mount Cole Creek	M	100
Mount Cottrell	F	35.6
Mount Cottrell	M	40.9
Mount Dandenong	F	54.3
Mount Dandenong	M	62.9
Mount Doran	F	52.3
Mount Doran	M	43.2
Mount Duneed	F	66.7
Mount Duneed	M	71
Mount Eccles	F	51.1
Mount Eccles	M	56.1
Mount Egerton	F	57.5
Mount Egerton	M	67.2
Mount Eliza	F	54.2
Mount Eliza	M	63.8
Mount Emu	F	75
Mount Emu	M	33.3
Mount Evelyn	F	60.4
Mount Evelyn	M	69.3
Mount Franklin	F	67.6
Mount Franklin	M	77.8
Mount Glasgow	F	51.6
Mount Glasgow	M	17.9
Mount Helen	F	57.9
Mount Helen	M	60.8
Mount Hooghly	F	133.3
Mount Hooghly	M	120
Mount Lonarch	F	16.7
Mount Lonarch	M	33.3
Mount Macedon	F	54.2
Mount Macedon	M	67.5
Mount Major	F	60
Mount Major	M	166.7
Mount Martha	F	54.5
Mount Martha	M	63.7
Mount Mercer	F	91.3
Mount Mercer	M	69.2
Mount Moriac	F	55.1
Mount Moriac	M	75
Mount Napier	M	175
Mount Pleasant (Vic.)	F	50.4
Mount Pleasant (Vic.)	M	58.9
Mount Prospect	F	72.7
Mount Prospect	M	70.6
Mount Richmond	F	77.3
Mount Richmond	M	81.3
Mount Rowan	F	48.4
Mount Rowan	M	58.9
Mount Taylor	F	54.8
Mount Taylor	M	53.8
Mount Toolebewong	F	48.2
Mount Toolebewong	M	40.4
Mount Wallace	F	46.5
Mount Wallace	M	54
Mount Waverley	F	50.2
Mount Waverley	M	59
Mountain Bay	F	46.7
Mountain Bay	M	42.9
Mountain View (Vic.)	F	34.2
Mountain View (Vic.)	M	69.7
Moutajup	F	60.7
Moutajup	M	80
Moyhu	F	51.1
Moyhu	M	58.9
Moyreisk	F	45.5
Moyreisk	M	47.1
Moyston	F	55.1
Moyston	M	68.6
Muckatah	F	52.4
Muckatah	M	63.5
Muckleford	F	55.8
Muckleford	M	51.4
Muckleford South	F	47.1
Muckleford South	M	42.1
Mudgegonga	F	76.7
Mudgegonga	M	72.8
Mulgrave (Vic.)	F	49.8
Mulgrave (Vic.)	M	60.3
Mumbannar	F	45.8
Mumbannar	M	86.8
Mundoona	F	88.9
Mundoona	M	68.5
Munro	F	50
Munro	M	54.1
Muntham	F	33.3
Muntham	M	21.4
Murchison (Vic.)	F	41.1
Murchison (Vic.)	M	42
Murchison East	F	43.9
Murchison East	M	37.7
Murchison North	F	53
Murchison North	M	74.4
Murgheboluc	F	61.7
Murgheboluc	M	58.5
Murmungee	F	46.2
Murmungee	M	67.9
Murnungin	F	166.7
Murnungin	M	42.9
Murphys Creek (Vic.)	F	64.3
Murphys Creek (Vic.)	M	61.9
Murra Warra	F	61.9
Murra Warra	M	77.8
Murrabit	F	54.8
Murrabit	M	59.7
Murrabit West	F	21.4
Murrabit West	M	40
Murrawee	F	65.1
Murrawee	M	56.6
Murray-Sunset	M	100
Murraydale	F	61.5
Murraydale	M	77.1
Murrayville	F	48.6
Murrayville	M	62.4
Murrindal	F	50
Murrindal	M	30
Murrindindi	F	40.8
Murrindindi	M	68.1
Murroon	F	65.6
Murroon	M	78.8
Murrumbeena	F	59.7
Murrumbeena	M	67.1
Murtoa	F	42.8
Murtoa	M	52.1
Musk	F	30.6
Musk	M	43.4
Musk Vale	F	47.1
Musk Vale	M	53.2
Muskerry	F	44.4
Muskerry	M	85.2
Myall (Buloke - Vic.)	M	100
Myall (Gannawarra - Vic.)	F	55.3
Myall (Gannawarra - Vic.)	M	76.1
Myamyn	F	50
Myamyn	M	53.3
Myers Flat	F	59
Myers Flat	M	64.7
Myola (Vic.)	F	16.7
Myola (Vic.)	M	62.5
Myrniong	F	61.1
Myrniong	M	68.8
Myrrhee	F	65
Myrrhee	M	73.4
Myrtle Creek (Vic.)	F	83.3
Myrtle Creek (Vic.)	M	48.4
Myrtlebank	F	56.5
Myrtlebank	M	62
Myrtleford	F	44.3
Myrtleford	M	50.9
Mysia	F	110
Mysia	M	43.8
Mystic Park	F	35.4
Mystic Park	M	47.7
Mywee	F	100
Mywee	M	40
Nagambie	F	43.3
Nagambie	M	56.4
Nalangil	F	75.9
Nalangil	M	84
Nalinga	F	50
Nalinga	M	155.6
Nambrok	F	66.7
Nambrok	M	72.8
Nandaly	F	30.8
Nandaly	M	40
Nangana	F	57.9
Nangana	M	50
Nangeela	M	62.5
Nangiloc	F	30.8
Nangiloc	M	47.5
Nanneella	F	63.1
Nanneella	M	80
Napoleons	F	58.7
Napoleons	M	62.8
Nar Nar Goon	F	63.2
Nar Nar Goon	M	70.8
Nar Nar Goon North	F	59.5
Nar Nar Goon North	M	68.8
Narbethong (Vic.)	F	55.4
Narbethong (Vic.)	M	62.9
Nareeb	F	25
Nareeb	M	47.1
Nareen	F	55.6
Nareen	M	66.7
Nareewillock	F	30
Nareewillock	M	70
Nariel Valley	F	58.3
Nariel Valley	M	42.2
Naring	F	62.2
Naring	M	79.5
Naringal	F	45.7
Naringal	M	69.4
Naringal East	F	62.9
Naringal East	M	73
Naroghid	F	95.8
Naroghid	M	73.3
Narracan	F	49.5
Narracan	M	65.7
Narraport	F	36.8
Narraport	M	56
Narrapumelap South	F	90
Narrapumelap South	M	90
Narrawong	F	51.8
Narrawong	M	57.1
Narre Warren	F	52.4
Narre Warren	M	66.1
Narre Warren East	F	47.9
Narre Warren East	M	65.8
Narre Warren North	F	57.3
Narre Warren North	M	67.4
Narre Warren South	F	57.6
Narre Warren South	M	69.2
Narrung (Vic.)	M	100
Nathalia	F	48.4
Nathalia	M	55.5
Natimuk	F	43.7
Natimuk	M	62.1
Natte Yallock	F	40
Natte Yallock	M	77.1
Natya	F	70.6
Natya	M	63.2
Navarre	F	51.2
Navarre	M	40.5
Navigators	F	55.2
Navigators	M	63.2
Nayook	F	38.2
Nayook	M	46.2
Neds Corner	M	100
Neereman	F	46.2
Neereman	M	50
Neerim	F	58.3
Neerim	M	56.5
Neerim East	F	58.5
Neerim East	M	65.8
Neerim Junction	F	52.5
Neerim Junction	M	41.1
Neerim North	F	66.7
Neerim North	M	35.3
Neerim South	F	44.3
Neerim South	M	55.3
Neilborough	F	51.4
Neilborough	M	51.6
Nelson (Vic.)	F	46
Nelson (Vic.)	M	43.5
Nerrena	F	53.6
Nerrena	M	67.7
Nerrin Nerrin	F	41.2
Nerrin Nerrin	M	100
Nerrina	F	64.7
Nerrina	M	76.2
Nerring	F	116.7
Nerring	M	75
Netherby (Vic.)	F	55
Netherby (Vic.)	M	68.6
Neuarpurr	F	81.3
Neuarpurr	M	109.5
New Gisborne	F	57.8
New Gisborne	M	65.6
Newborough	F	42.6
Newborough	M	50.9
Newbridge (Vic.)	F	42.9
Newbridge (Vic.)	M	52.2
Newbury	F	45.2
Newbury	M	59.4
Newcomb	F	44
Newcomb	M	53.8
Newfield	F	44
Newfield	M	61.8
Newham	F	54.6
Newham	M	59.3
Newhaven	F	49.2
Newhaven	M	50
Newington (Vic.)	F	53.7
Newington (Vic.)	M	57.2
Newlands Arm	F	38.2
Newlands Arm	M	38.2
Newlyn	F	58.6
Newlyn	M	81.3
Newlyn North	F	37.7
Newlyn North	M	46.6
Newmerella	F	45.6
Newmerella	M	54
Newport (Vic.)	F	63.9
Newport (Vic.)	M	71.5
Newry	F	60.5
Newry	M	64
Newstead (Vic.)	F	42.8
Newstead (Vic.)	M	50.6
Newtown (Golden Plains - Vic.)	F	41.3
Newtown (Golden Plains - Vic.)	M	52.1
Newtown (Greater Geelong - Vic.)	F	56.3
Newtown (Greater Geelong - Vic.)	M	63.6
Nhill	F	46.1
Nhill	M	58.4
Nichols Point	F	65.1
Nichols Point	M	66.5
Nicholson (Vic.)	F	49.3
Nicholson (Vic.)	M	51.4
Niddrie	F	60.9
Niddrie	M	68.1
Nilma	F	56.7
Nilma	M	66.9
Nilma North	F	56.6
Nilma North	M	60.6
Ninda	M	42.9
Nine Mile (Vic.)	M	21.4
Nintingbool	F	57.1
Nintingbool	M	70.5
Ninyeunook	M	100
Nirranda	F	56.5
Nirranda	M	56.7
Nirranda East	M	150
Nirranda South	F	83.3
Nirranda South	M	91.4
Noble Park	F	41.4
Noble Park	M	56.4
Noble Park North	F	43.6
Noble Park North	M	55.3
Noojee	F	42.3
Noojee	M	44.9
Noorat	F	58.1
Noorat	M	65.1
Noorat East	F	27.3
Noorat East	M	87.5
Noorinbee	F	58.3
Noorinbee	M	43.9
Noorinbee North	M	40
Noradjuha	F	83.9
Noradjuha	M	79.4
Norlane	F	29.9
Norlane	M	39.1
Normanville (Vic.)	F	100
Normanville (Vic.)	M	88.9
Norong	F	68.6
Norong	M	57.8
North Bendigo	F	45.8
North Bendigo	M	52.9
North Blackwood	F	50
North Blackwood	M	52.2
North Geelong	F	39.5
North Geelong	M	51.9
North Melbourne	F	49.9
North Melbourne	M	52.7
North Shore (Vic.)	F	48.7
North Shore (Vic.)	M	55.9
North Wangaratta	F	56.9
North Wangaratta	M	54.4
North Warrandyte	F	63.4
North Warrandyte	M	68
North Wonthaggi	F	45.5
North Wonthaggi	M	54
Northcote	F	64.4
Northcote	M	67.2
Northwood (Vic.)	F	59.5
Northwood (Vic.)	M	59.5
Norval	F	70.6
Norval	M	58.8
Notting Hill	F	44.1
Notting Hill	M	50.9
Nowa Nowa	F	49.4
Nowa Nowa	M	48.4
Nowhere Creek	F	33.3
Nowhere Creek	M	116.7
Nowie	F	200
Nowie	M	27.3
Nug Nug	F	54.5
Nug Nug	M	33.3
Nuggetty	M	61.1
Nulla Vale	F	60.9
Nulla Vale	M	71
Nullawarre	F	54.6
Nullawarre	M	66.3
Nullawarre North	F	52.9
Nullawarre North	M	63.3
Nullawil	F	62.1
Nullawil	M	63.4
Numurkah	F	44.2
Numurkah	M	53.2
Nunawading	F	52.4
Nunawading	M	63.3
Nungurner	F	45.2
Nungurner	M	50
Nurcoung	F	52.9
Nurcoung	M	55
Nurrabiel	F	68.4
Nurrabiel	M	59.1
Nutfield	F	43.8
Nutfield	M	48.3
Nyah	F	42.6
Nyah	M	43.7
Nyah West	F	29.7
Nyah West	M	36.6
Nyarrin	F	50
Nyarrin	M	50
Nyora (Vic.)	F	52.7
Nyora (Vic.)	M	63.5
Nyrraby	F	75
Nyrraby	M	66.7
Oak Park	F	56.5
Oak Park	M	66
Oaklands Junction	F	58.6
Oaklands Junction	M	73.2
Oakleigh	F	53.4
Oakleigh	M	61.2
Oakleigh East	F	49.8
Oakleigh East	M	58.9
Oakleigh South	F	52.9
Oakleigh South	M	61.3
Oakvale	F	75
Oakvale	M	100
Ocean Grove	F	55.3
Ocean Grove	M	62.5
Officer	F	67.1
Officer	M	77.5
Officer South	F	59
Officer South	M	63.3
Old Tallangatta	F	18.8
Old Tallangatta	M	43.8
Olinda (Vic.)	F	58
Olinda (Vic.)	M	64.2
Ombersley	F	64.5
Ombersley	M	68.1
Omeo	F	54.2
Omeo	M	56.1
Ondit	F	54.8
Ondit	M	73.8
Orbost	F	34.8
Orbost	M	38.2
Orford (Vic.)	F	51.2
Orford (Vic.)	M	68.8
Ormond	F	59.7
Ormond	M	68.2
Orrvale	F	52.4
Orrvale	M	62.2
Osbornes Flat	F	70
Osbornes Flat	M	70
Outtrim	F	56.3
Outtrim	M	57.4
Ouyen	F	42.5
Ouyen	M	52.7
Ovens	F	66
Ovens	M	58.6
Oxley (Vic.)	F	61.3
Oxley (Vic.)	M	66
Oxley Flats	F	66.7
Oxley Flats	M	75.9
Ozenkadnook	F	66.7
Ozenkadnook	M	100
Paaratte	F	57.1
Paaratte	M	57.1
Pakenham	F	52.8
Pakenham	M	67.5
Pakenham South	F	61.2
Pakenham South	M	64.6
Pakenham Upper	F	62
Pakenham Upper	M	67.8
Panitya (Vic.)	F	74.1
Panitya (Vic.)	M	88
Panmure	F	52.2
Panmure	M	71.7
Panton Hill	F	61.9
Panton Hill	M	67.7
Paradise (Vic.)	F	66.7
Paradise (Vic.)	M	31.6
Paradise Beach	F	36.5
Paradise Beach	M	28
Paraparap	F	60.7
Paraparap	M	63.6
Park Orchards	F	61.2
Park Orchards	M	66.8
Parkdale	F	59.4
Parkdale	M	66.8
Parkville (Vic.)	F	49.4
Parkville (Vic.)	M	51.3
Parwan	F	62.7
Parwan	M	72.1
Paschendale	F	30.8
Paschendale	M	63.6
Pascoe Vale	F	53.9
Pascoe Vale	M	64.2
Pascoe Vale South	F	57.3
Pascoe Vale South	M	64.5
Pastoria	F	81.3
Pastoria	M	75
Pastoria East	F	81.3
Pastoria East	M	40
Patchewollock	F	48.9
Patchewollock	M	44.4
Patho	F	52.5
Patho	M	76
Patterson Lakes	F	56.2
Patterson Lakes	M	65.5
Patyah	F	60
Patyah	M	60.9
Paynesville (Vic.)	F	32.7
Paynesville (Vic.)	M	35.2
Pearcedale	F	62.2
Pearcedale	M	67.8
Pearsondale	F	62.3
Pearsondale	M	59.6
Peechelba	F	55.4
Peechelba	M	50
Peechelba East	F	40.9
Peechelba East	M	57.9
Pelluebla	F	50
Pelluebla	M	53.3
Pennyroyal	F	60.6
Pennyroyal	M	51.2
Penshurst (Vic.)	F	43.1
Penshurst (Vic.)	M	56.3
Pental Island	F	58.8
Pental Island	M	55.6
Pentland Hills	F	50
Pentland Hills	M	68.8
Percydale	F	50
Percydale	M	12
Peronne	F	45.8
Peronne	M	41.7
Perry Bridge	F	74.2
Perry Bridge	M	61.5
Peterborough (Vic.)	F	46.2
Peterborough (Vic.)	M	62.4
Pheasant Creek (Vic.)	F	44.9
Pheasant Creek (Vic.)	M	67.7
Piangil	F	45.2
Piangil	M	51.6
Picola	F	61.5
Picola	M	69.4
Picola West	F	125
Picola West	M	80
Piedmont	F	25
Piedmont	M	29.2
Pigeon Ponds	F	57.1
Pigeon Ponds	M	90.9
Piggoreet	F	72.7
Piggoreet	M	50
Pimpinio	F	58.6
Pimpinio	M	68.1
Pine Grove (Vic.)	F	38.9
Pine Grove (Vic.)	M	50
Pine Lodge (Vic.)	F	74.2
Pine Lodge (Vic.)	M	76.1
Pine Mountain (Vic.)	F	68.8
Pine Mountain (Vic.)	M	93.3
Pioneer Bay	F	36.5
Pioneer Bay	M	41.5
Pipers Creek	F	54.2
Pipers Creek	M	55.7
Piries	F	54.5
Piries	M	62.5
Pirron Yallock	F	39.1
Pirron Yallock	M	56.9
Pitfield	F	42.1
Pitfield	M	52
Pittong	F	80
Pittong	M	66.7
Plenty (Vic.)	F	67.2
Plenty (Vic.)	M	70.4
Plumpton (Vic.)	F	64.7
Plumpton (Vic.)	M	75
Point Cook	F	58.3
Point Cook	M	74.3
Point Leo	F	50
Point Leo	M	56.3
Point Lonsdale	F	35.2
Point Lonsdale	M	44.2
Pomborneit	F	80
Pomborneit	M	57.1
Pomborneit East	F	76.9
Pomborneit East	M	155.6
Pomborneit North	F	50
Pomborneit North	M	33.3
Pomonal	F	58.7
Pomonal	M	60.3
Pompapiel	F	18.2
Pompapiel	M	58.3
Poolaijelo	F	53.3
Poolaijelo	M	57.9
Pootilla	F	80.8
Pootilla	M	57.9
Poowong	F	51.5
Poowong	M	68.5
Poowong East	F	60
Poowong East	M	59.4
Poowong North	F	59.2
Poowong North	M	62.7
Porcupine Ridge	F	43.3
Porcupine Ridge	M	50.8
Porepunkah	F	58.2
Porepunkah	M	59.9
Port Albert	F	38.7
Port Albert	M	36.2
Port Campbell	F	65.1
Port Campbell	M	65.8
Port Fairy	F	45.2
Port Fairy	M	53.2
Port Franklin	F	50.9
Port Franklin	M	63.3
Port Melbourne	F	60.3
Port Melbourne	M	68.1
Port Welshpool	F	34.1
Port Welshpool	M	39.4
Portarlington	F	30.6
Portarlington	M	38
Portland (Vic.)	F	43.5
Portland (Vic.)	M	52.8
Portland North	F	61.5
Portland North	M	66.4
Portland West	F	63
Portland West	M	64.8
Portsea	F	29.1
Portsea	M	47
Pound Creek	F	68.2
Pound Creek	M	59.5
Powelltown	F	44.2
Powelltown	M	53.8
Powers Creek	M	100
Powlett Plains	F	25
Powlett Plains	M	63.2
Prahran	F	64.2
Prahran	M	69.1
Prairie (Vic.)	F	60
Prairie (Vic.)	M	60
Pranjip	F	37.5
Pranjip	M	77.8
Preston (Vic.)	F	54.1
Preston (Vic.)	M	60
Princes Hill	F	57.5
Princes Hill	M	62.6
Princetown	F	64.4
Princetown	M	61.3
Puckapunyal	F	50.2
Puckapunyal	M	88.5
Pura Pura	F	50
Pura Pura	M	50
Purdeet	F	120
Purdeet	M	100
Purnim	F	53.1
Purnim	M	61.5
Purnim West	F	52.9
Purnim West	M	92.3
Pyalong	F	55.2
Pyalong	M	61.3
Pyramid Hill	F	44.4
Pyramid Hill	M	54.7
Quambatook	F	29.7
Quambatook	M	43.8
Quantong	F	59.8
Quantong	M	63.4
Quarry Hill	F	59.3
Quarry Hill	M	63.7
Queenscliff (Vic.)	F	40.1
Queenscliff (Vic.)	M	48.8
Raglan (Vic.)	F	46.5
Raglan (Vic.)	M	54.8
Rainbow	F	40.8
Rainbow	M	45.8
Ranceby	F	52.4
Ranceby	M	60
Rathscar	F	88.9
Rathscar	M	76.9
Rathscar West	F	66.7
Rathscar West	M	37.5
Ravenhall	M	0.4
Ravenswood (Vic.)	F	60.1
Ravenswood (Vic.)	M	68.6
Ravenswood South	F	65.5
Ravenswood South	M	58.8
Rawson	F	38.1
Rawson	M	49.1
Raymond Island	F	29.3
Raymond Island	M	22.7
Raywood	F	39.3
Raywood	M	53.7
Red Cliffs	F	46.5
Red Cliffs	M	54
Red Hill (Vic.)	F	57.1
Red Hill (Vic.)	M	61.8
Red Hill South	F	52.2
Red Hill South	M	54.6
Red Lion	F	73.3
Red Lion	M	43.4
Redan	F	45.5
Redan	M	52.7
Redbank (Vic.)	F	35.6
Redbank (Vic.)	M	34.8
Redcastle	F	13
Redcastle	M	56.5
Redesdale	F	45.6
Redesdale	M	46.6
Reedy Creek (Vic.)	F	48.3
Reedy Creek (Vic.)	M	68.2
Reedy Dam	F	50
Reedy Dam	M	100
Reedy Flat	F	20
Reedy Flat	M	76.2
Reedy Lake	F	100
Reedy Lake	M	100
Reefton (Vic.)	F	54.2
Reefton (Vic.)	M	53.6
Research	F	61.2
Research	M	71.3
Reservoir (Vic.)	F	45.6
Reservoir (Vic.)	M	56
Rheola	F	58.3
Rheola	M	70
Rhyll	F	46.6
Rhyll	M	51.7
Rhymney	F	61.9
Rhymney	M	83.3
Rich Avon	M	100
Rich Avon West	F	46.2
Rich Avon West	M	66.7
Richmond (Vic.)	F	65
Richmond (Vic.)	M	70.5
Riddells Creek	F	63.8
Riddells Creek	M	68.2
Riggs Creek	F	42.9
Riggs Creek	M	40
Ringwood (Vic.)	F	52.2
Ringwood (Vic.)	M	63.6
Ringwood East	F	54.7
Ringwood East	M	64.8
Ringwood North	F	58.2
Ringwood North	M	67.4
Ripplebrook	F	52.3
Ripplebrook	M	58.4
Rippleside	F	57.4
Rippleside	M	66.4
Ripponlea	F	66.7
Ripponlea	M	68.2
Riverside (Vic.)	F	67
Riverside (Vic.)	M	70.2
Riverslea	F	58.2
Riverslea	M	72.3
Robertsons Beach	F	25.9
Robertsons Beach	M	16.7
Robinvale	F	40.2
Robinvale	M	51
Rochester (Vic.)	F	41.3
Rochester (Vic.)	M	50
Rochford	F	24.1
Rochford	M	40.7
Rockbank	F	43.2
Rockbank	M	50.9
Rocklyn	F	26.9
Rocklyn	M	53.3
Rokeby (Vic.)	F	63.5
Rokeby (Vic.)	M	67.1
Rokewood	F	44.3
Rokewood	M	58
Rokewood Junction	F	84.6
Rokewood Junction	M	73.7
Romsey	F	54.2
Romsey	M	65
Rosanna	F	51.5
Rosanna	M	62.4
Rose River	F	46.7
Rose River	M	30
Rosebrook (Vic.)	F	50
Rosebrook (Vic.)	M	69.6
Rosebud	F	40.4
Rosebud	M	48.9
Rosebud West	F	29.7
Rosebud West	M	35.4
Rosedale (Vic.)	F	49.2
Rosedale (Vic.)	M	52.6
Rosewhite	F	42.9
Rosewhite	M	75.4
Roslynmead	F	55.6
Roslynmead	M	66.7
Ross Creek (Vic.)	F	65.3
Ross Creek (Vic.)	M	67.8
Rossbridge	F	37.5
Rossbridge	M	27.3
Rostron	F	100
Rostron	M	75
Rowsley	F	63.7
Rowsley	M	65
Rowville	F	60.8
Rowville	M	70.2
Roxburgh Park	F	38.6
Roxburgh Park	M	54
Rubicon	F	47.6
Rubicon	M	44
Ruby	F	67.5
Ruby	M	63.2
Ruffy	F	63.6
Ruffy	M	50.9
Running Creek (Vic.)	F	47.1
Running Creek (Vic.)	M	90
Runnymede (Vic.)	F	54.2
Runnymede (Vic.)	M	75
Rupanyup	F	41
Rupanyup	M	48.2
Rushworth	F	36.6
Rushworth	M	42
Russells Bridge	F	70.4
Russells Bridge	M	62.5
Rutherglen	F	50.5
Rutherglen	M	57.7
Ryanston	F	60.7
Ryanston	M	57
Rye	F	45.5
Rye	M	50.8
Rythdale	F	20
Rythdale	M	64.7
Safety Beach (Vic.)	F	44.1
Safety Beach (Vic.)	M	53.7
Sailors Falls	F	45.5
Sailors Falls	M	51.6
Sailors Gully	F	50
Sailors Gully	M	53.1
Sailors Hill	F	71
Sailors Hill	M	45.7
Sale	F	47.3
Sale	M	56.4
Salisbury West	F	90
Salisbury West	M	157.1
Samaria	F	40.9
Samaria	M	40
San Remo (Vic.)	F	44.5
San Remo (Vic.)	M	49.1
Sandford (Vic.)	F	36.2
Sandford (Vic.)	M	37.5
Sandhurst	F	66.6
Sandhurst	M	74.8
Sandon (Vic.)	F	47.1
Sandon (Vic.)	M	63
Sandringham (Vic.)	F	53.8
Sandringham (Vic.)	M	64.7
Sandy Creek (Vic.)	F	61.1
Sandy Creek (Vic.)	M	75.3
Sandy Point (Vic.)	F	40.5
Sandy Point (Vic.)	M	42.7
Sarsfield	F	50.6
Sarsfield	M	53.6
Sassafras (Vic.)	F	60.5
Sassafras (Vic.)	M	65.8
Sawmill Settlement	F	45
Sawmill Settlement	M	57.9
Scarsdale	F	51
Scarsdale	M	56
Scoresby	F	56.9
Scoresby	M	66
Scotchmans Lead	F	65.1
Scotchmans Lead	M	76.9
Scotsburn	F	59.2
Scotsburn	M	56.7
Scotts Creek (Vic.)	F	64.7
Scotts Creek (Vic.)	M	67
Sea Lake	F	37.5
Sea Lake	M	45.6
Seabrook	F	55.1
Seabrook	M	66.6
Seacombe	F	100
Seacombe	M	44.4
Seaford (Vic.)	F	51.8
Seaford (Vic.)	M	59.6
Seaholme	F	53.7
Seaholme	M	61.7
Seaspray	F	35.7
Seaspray	M	41.8
Seaton (Vic.)	F	52.9
Seaton (Vic.)	M	70.3
Seaview	F	43.8
Seaview	M	58.5
Sebastian	F	39.3
Sebastian	M	60.9
Sebastopol (Vic.)	F	41
Sebastopol (Vic.)	M	50.5
