SSC_NAME16	employmentToPopulation
Alexandra Headland	55.7
Alexandra Hills	63.5
Algester	60.2
Alice Creek	75.9
Alice River	67.5
Allan	67.1
Allandale (Qld)	56.5
Allenstown	48.8
Allenview	61.3
Alligator Creek (Mackay - Qld)	59.2
Alligator Creek (Townsville - Qld)	65
Allora	46
Alloway	63.1
Almaden	34.5
Aloomba	63.5
Alpha	70.3
Alton Downs	63.8
Alva	47.3
Amamoor	50.3
Amamoor Creek	42.2
Amaroo (Qld)	110
Amberley	88
Ambrose	45.9
Amby	47.9
Amiens	47.8
Amity	39.9
Andergrove	59.7
Anderleigh	42.4
Andromache	46.5
Anduramba	66.2
Annandale (Qld)	63.5
Annerley	64.1
Anstead	63.9
Anthony	50.6
Antigua	42.9
Apple Tree Creek	43.5
Applethorpe	51.6
Araluen (Qld)	50
Aramac	54.5
Aramara	37.7
Arana Hills	66.9
Aranbanga	120
Aratula (Qld)	52
Arcadia (Qld)	36.4
Arcadia Valley	72.6
Archer River	31.6
Archerfield	50.2
Arcturus	85.7
Argoon (Qld)	71.7
Argyll	68.2
Armstrong Beach	51.4
Armstrong Creek (Qld)	60.7
Aroona	59.7
Arriga	10.4
Arundel	55.3
Ascot (Brisbane - Qld)	63.9
Ascot (Toowoomba - Qld)	71.4
Ashfield (Qld)	67.4
Ashgrove	68.1
Ashmore	55
Ashwell	56.9
Aspley	57
Atherton	47.7
Athol	63.2
Atkinsons Dam	38.3
Aubigny	69.1
Auburn (Qld)	85.7
Auchenflower	66.1
Augathella	58.1
Augustine Heights	75.8
Aurukun	26.2
Austinville	57.4
Avenell Heights	43
Avoca (Qld)	44.9
Avoca Vale	48.1
Avondale (Qld)	46
Ayr	53.1
Babinda (Qld)	45.7
Back Plains	77.8
Badu Island	34.5
Baffle Creek	24.8
Baffle West	88.9
Bahrs Scrub	66.2
Bajool	50.4
Bakers Bend	79.2
Bakers Creek (Qld)	59
Baking Board	58
Balberra	54.5
Balcomba	69.2
Bald Hills (Qld)	62.6
Bald Knob	54.4
Balgal Beach	32
Balgowan (Qld)	27.3
Ball Bay	44.5
Ballandean	60.3
Ballard	61.3
Ballaroo	97.1
Ballogie	18.2
Balmoral (Qld)	68.9
Balmoral Ridge	51.8
Balnagowan	75.3
Bamaga	55.4
Bambaroo	46.8
Bamboo	66.4
Bamboo Creek	63.2
Ban Ban	89.7
Ban Ban Springs	50
Banana	67.3
Bancroft	59.3
Bangalee (Qld)	59.3
Banks Pocket	67.2
Banksia Beach	38.5
Bannockburn (Qld)	63.5
Banyo	62.1
Bapaume	54.8
Barakula	50
Baralaba	56.3
Barambah	48.8
Barcaldine	59.8
Barcaldine Downs	42.9
Bardon	67.9
Baree	40.8
Barellan Point	63.3
Bargara	44.2
Bargunyah	70.6
Barker Creek Flat	51.2
Barkly (Qld)	67.9
Barlil	70.4
Barlows Hill	53.9
Barmaryee	63
Barmoya	61.4
Barnard	95.5
Barney Point	38.4
Barney View	52.9
Barramornie	64.3
Barratta (Qld)	67.8
Barrine	54.7
Barringha	53.2
Barron	31.6
Bartle Frere	63.6
Basalt (Qld)	60.6
Basin Pocket	52.8
Battery Hill	52.2
Bauhinia	48.3
Bauple	31.4
Bayrick	120
Bayview Heights	62.4
Beach Holm	46.9
Beachmere	40.5
Beaconsfield (Qld)	58.8
Beatrice	56.2
Beaudesert	42.3
Beaufort (Qld)	76.9
Beaver Rock	48.9
Bedourie	61.5
Beebo	51.5
Beecher	62.4
Beechmont	58.3
Beelbee	21.4
Beelbi Creek	57
Beenaam Valley	45.1
Beenleigh	47.2
Beerburrum	51.4
Beeron	70
Beerwah	53.3
Begonia	97.2
Beilba	40
Belcong	73.5
Belgian Gardens	59.2
Belivah	64.4
Bell (Qld)	53
Bella Creek	21.4
Bellara	32.6
Bellbird Park	59.8
Bellbowrie	64.8
Bellenden Ker	59.2
Belli Park	55.6
Bellmere	53.1
Bells Bridge	39.9
Bells Creek	42.9
Bellthorpe	49.5
Belmont (Qld)	67.7
Belmunda	71.4
Belvedere	57.9
Belyando	70.2
Bemerside	51.5
Benair	78.4
Benaraby	60.1
Benarkin	5.9
Benarkin North	21.5
Benholme	52.8
Benobble	60
Benowa	54.9
Bentley Park	62.8
Berajondo	41.4
Berat	74.2
Bergen	63.2
Berrinba	63.6
Berserker	49.8
Bethania	41
Biarra	49.5
Biboohra	56.1
Biddaddaba	48.7
Biddeston	63.9
Bidwill (Qld)	49.6
Biggenden	30.9
Biggera Waters	53
Bilinga	47.1
Billa Billa	62.8
Biloela	64.7
Bilyana	56.2
Bindebango	90
Bingegang	100
Bingil Bay	47.6
Binjour	54.9
Binna Burra (Qld)	75
Birdsville	71.8
Birkalla	62.1
Birkdale	60.2
Birnam (Scenic Rim - Qld)	63.5
Birnam (Toowoomba - Qld)	58.2
Birtinya	64
Black Duck Creek	75
Black Jack	58.7
Black Mountain (Qld)	53.3
Black River (Qld)	60.1
Black Snake	62
Blackall	56.8
Blackbull	100
Blackbutt (Qld)	30.1
Blackbutt North	24.9
Blackbutt South	35
Blackrock	63.3
Blacks Beach	59.4
Blacksoil	41.8
Blackstone	58.3
Blackswamp	43.5
Blackwater	65.9
Blanchview	58
Blantyre	57.7
Blaxland (Qld)	82.8
Blenheim	54.3
Bli Bli	55.2
Bloomfield	39.9
Bloomsbury	45.4
Blue Mountain	59.4
Blue Mountain Heights	63.5
Bluewater	57.2
Bluewater Park	63.3
Bluff	68.5
Blythdale	70.3
Boatman	133.3
Bogandilla	80
Bogie	56.3
Bohle	50.6
Bohle Plains	70.5
Boigu Island	28.2
Bokarina	60.1
Bollier	46.7
Bollon	61.8
Bombeeta	59.1
Bon Accord	76.9
Bondoola	56.1
Bongaree	26.5
Bongeen	54.9
Bonnie Doon (Qld)	72.6
Bonogin	65.9
Bonshaw (Qld)	71.4
Bony Mountain	45.3
Boodua	56.2
Boogan	68.4
Booie	52.2
Boolboonda	23.5
Boolburra	90
Boompa	52.9
Boonah (Qld)	42.7
Boonara	80
Boonarga	60
Boondall	59.7
Boondooma	60.7
Boonooroo	27.6
Booral (Qld)	48.3
Booroobin	45
Booubyjan	71.6
Booval	41.7
Booyal	42.5
Borallon	58.2
Boreen Point	35
Boronia Heights	55.3
Bororen	57
Bouldercombe	55.8
Boulia	59.4
Bowen	51.9
Bowen Hills	63.5
Bowenville	72.4
Boyland	64.5
Boyne Island	59.5
Boyne Valley	53
Boynedale	35.3
Boyneside	61.4
Boynewood	61.5
Bracalba	53.1
Bracewell	45.9
Bracken Ridge	62.2
Braemeadows	63.5
Braemore	40.8
Bramston Beach	39.5
Branch Creek	63.3
Branchview	81.8
Brandon	62.1
Brandy Creek (Qld)	69.7
Branyan	55.7
Brassall	54.1
Bray Park (Qld)	59.4
Breadalbane (Qld)	87.5
Breakaway	72.5
Breddan	57
Brendale	59.6
Bridgeman Downs	62.8
Bridges	66.8
Brigalow	62
Brightly	68.9
Brighton (Qld)	61.3
Brightview	51.8
Brigooda	33.3
Bringalily	57.1
Brinsmead	68.9
Brisbane City	54.5
Broadbeach	53.5
Broadbeach Waters	57.8
Broadmere	69.8
Broadwater (Qld)	50
Broken River	47.1
Bromelton	62.4
Brookfield (Qld)	57.9
Brookhill	58.3
Brooklands	46.5
Brookstead	65.9
Brookwater	75.9
Brooloo	46.1
Brooweena	30.1
Broughton (Qld)	54.4
Brovinia	75
Browns Plains (Qld)	54
Broxburn	48.8
Brush Creek	55.9
Bryden	39.4
Brymaroo	68.3
Buaraba	46.8
Bucasia	62.2
Bucca (Qld)	44.8
Buccan	63.7
Buckland (Qld)	64.7
Buddina	56.6
Buderim	54.4
Budgee	90.6
Bukali	60.5
Bulgun	67.7
Bulimba	66.8
Bullawarra	100
Bullcamp	34.6
Bulli Creek	66.7
Bullyard	39.4
Bulwer	61.4
Bunburra	43
Bundaberg Central	49.2
Bundaberg East	47.3
Bundaberg North	37.6
Bundaberg South	40.3
Bundaberg West	41.7
Bundall	60.2
Bundamba	51.5
Bundi	50
Bundoora (Qld)	30
Bungaban	102.4
Bungadoo	48.2
Bungalow	50.3
Bungeworgorai	78.2
Bungil (Qld)	95.8
Bungundarra	54.5
Bungunya	73.3
Bunjurgen	58.4
Bunya	69.6
Bunya Creek	60.3
Bunya Mountains	50.4
Burbank	56.8
Burdell	74.5
Burgowan	46.9
Burketown	56.3
Burleigh	73
Burleigh Heads	57.1
Burleigh Waters	58
Burncluith	51.5
Burnett Creek	25
Burnett Heads	40.3
Burnside (Qld)	56
Burpengary	58.8
Burpengary East	53.5
Burra Burri	65.6
Burrum Heads	25.4
Burrum River	35.4
Burrum Town	19.6
Burton (Qld)	51.7
Burua	64.1
Bushland Beach	66.1
Bushley	78.3
Butchers Creek	59.3
Buxton (Qld)	24.1
Byee	48
Byfield	43.6
Bymount	84
Byrnestown	32.1
Cabarlah	64.9
Caboolture	47.3
Caboolture South	42.4
Caboonbah	40
Cadarga	63.6
Caffey	50.9
Cainbable	60.3
Cairdbeign	71
Cairns City	46.3
Cairns North	53.8
Calamvale	60.3
Calavos	56.1
Calcium	19
Caldervale	72.7
Calen	52
Calgoa	77.8
Calico Creek	54.8
Calingunee	81.8
Callandoon	73.1
Callide	68.2
Calliope (Qld)	59.2
Caloundra	35.1
Caloundra West	56.7
Calvert (Qld)	54.5
Camboon (Qld)	82.4
Cambooya	59
Cambridge (Qld)	66.7
Cambroon	43.8
Cameby	48.1
Cameron Corner	60
Camira (Qld)	61.5
Camoola	65.2
Camooweal	51.2
Camp Creek (Qld)	55.5
Camp Hill	69.4
Camp Mountain	63.3
Campaspe	64.3
Campbell Creek	66.7
Campbells Pocket	44.6
Campwin Beach	53.2
Canaga	69.6
Canal Creek	50
Cania	40.9
Canina	47.9
Cannindah	65.2
Canning Creek	160
Canningvale	52.1
Cannon Creek (Scenic Rim - Qld)	53.1
Cannon Creek (Southern Downs - Qld)	36.1
Cannon Hill	64.8
Cannon Valley	67.2
Cannonvale	61.3
Canoona	45.5
Canungra	60
Capalaba	63.1
Cape Cleveland	42.6
Cape Gloucester	46.4
Cape Hillsborough	50
Cape Tribulation	65.1
Capella	61.8
Captain Creek	42.6
Captains Mountain	53.7
Caravonica	65.9
Carbine Creek	64.7
Carbrook	53.2
Cardstone	100
Cardwell	37.5
Carina (Qld)	63
Carina Heights	65.1
Carindale	61.5
Carmila	51.7
Carmoo	43.1
Carnarvon Park	100
Carneys Creek	58.5
Caroline Crossing	38.5
Carpendale	72.5
Carpentaria	92.3
Carrara	59
Carrington (Qld)	59.1
Carruchan	53.5
Carseldine	57.6
Carstairs	71.8
Carters Ridge	53.6
Cashmere	72.2
Cassowary	72.5
Castaways Beach	59.1
Castle Creek (Qld)	100
Castle Hill (Qld)	68.2
Cattle Creek (North Burnett - Qld)	33.3
Cattle Creek (Toowoomba - Qld)	92.9
Causeway Lake	34.8
Cawarral	59.2
Cawdor (Qld)	73
Cecil Plains	56.3
Cedar Creek (Gold Coast - Qld)	58.7
Cedar Creek (Moreton Bay - Qld)	66.7
Cedar Grove	64.7
Cedar Pocket	51.6
Cedar Vale	63.6
Cedarton	51.5
Cement Mills	46.2
Centenary Heights	55.2
Ceratodus	29.2
Chahpingah	45.8
Chambers Flat	59.4
Chances Plain	79.5
Chandler (Qld)	61.3
Chapel Hill (Qld)	60.4
Charlestown (Qld)	65.5
Charleville	59.2
Charlton (Qld)	66.7
Charlwood	56.8
Charters Towers City	42.5
Chatsworth (Qld)	48.9
Cheeseborough	233.3
Chelmer	62.6
Chelmsford	53.1
Chelona	58.5
Cheltenham (Qld)	42.9
Cherbourg	16.2
Chermside	53.4
Chermside West	58
Cherry Creek	44.7
Chevallum	60.7
Chewko	51.7
Childers (Qld)	37.4
Chillagoe	40.9
Chinchilla	54.4
Chinghee Creek	42.1
Chirnside	95
Chorregon	46.3
Christmas Creek	53.2
Churchable	41.1
Churchill (Qld)	51.4
Chuwar	68.1
Cinnabar	76.4
Clagiraba	68.4
Clairview	27.9
Clara Creek	70.3
Claraville	100
Clare (Qld)	64.5
Clarendon (Qld)	57.8
Clarke Creek	100
Clayfield	65.6
Clear Island Waters	49.2
Clear Mountain	62.5
Clermont	59.3
Cleveland (Qld)	51.8
Clifford	59.1
Clifton (Qld)	38.4
Clifton Beach (Qld)	57.5
Clinton (Qld)	61.7
Clintonvale	50
Cloncurry	62.8
Clontarf (Moreton Bay - Qld)	52.9
Clontarf (Toowoomba - Qld)	108.3
Closeburn	60.2
Cloyna	44.2
Cluden	59.7
Clumber	48.4
Coal Creek	34.9
Coalbank	88.5
Coalfalls	55.7
Coalstoun Lakes	68.1
Cobbs Hill	71.4
Cobraball	50.9
Cockatoo (Qld)	58.1
Coconuts	45
Coen	48
Coes Creek	58.1
Coles Creek	45.7
Colevale	85.7
Coleyville	68.9
Colinton (Qld)	47.6
Collaroy (Qld)	100
College View	48.7
Collingwood Park (Qld)	61.3
Collinsville (Qld)	46.1
Colosseum	54.2
Columbia	62.7
Columboola	68.4
Comet	69
Commissioners Flat	104.8
Como (Qld)	43.2
Comoon Loop	46.2
Cona Creek	85.2
Condamine	70.8
Condamine Farms	40.9
Condamine Plains	75
Condon	49.1
Conondale	47.6
Consuelo	85.7
Conway	59.3
Conway Beach	38.7
Coochiemudlo Island	37.3
Coochin	70.1
Coochin Creek	47.1
Cooee Bay	51.1
Cooeeimbardi	60
Cooktown	50
Coolabine	44.3
Coolabunia	73.4
Cooladdi	72.7
Coolana	51
Coolangatta (Qld)	46.7
Coolbie	53.4
Coolmunda	54.1
Cooloola Cove	25.6
Cooloolabin	52.6
Coolum Beach	55.8
Coombabah	45.4
Coomera	65.6
Coominglah	125
Coominya	40.8
Coomoo	100
Coomrith	67.6
Coonambula	29.6
Coonarr	46.4
Coondoo	60.3
Coongoola	33.3
Coopers Plains	53
Coorada	100
Cooran	52.3
Cooranga	60.2
Cooroibah	55.9
Coorooman	60.8
Cooroy	48.5
Cooroy Mountain	45.3
Coorparoo	67.9
Coorumba	69.3
Coorumbene	80
Cootharaba	45.4
Coowonga	48.1
Cooya Beach	57.6
Cooyar	27.6
Coppabella (Qld)	48.5
Coquette Point	47.8
Coral Cove	49.2
Coral Sea	65.8
Coralie	100
Cordalba	40.9
Cordelia	50
Corella	52.7
Corfield	73.2
Corinda	60.6
Coringa	48.6
Corndale (Qld)	67.6
Cornish Creek	75
Cornubia	67.9
Cornwall (Qld)	83.3
Cosgrove (Qld)	72.2
Cotswold Hills	64.5
Cottonvale (Qld)	55.6
Coulson	64.5
Coverty	28.6
Cow Bay	44.4
Cowan Cowan	35.7
Cowley	52.2
Cowley Beach	20.5
Cowley Creek	53.3
Cracow	65.8
Craiglie	56.2
Craignish	50.2
Cranbrook (Qld)	50.7
Cranley	41.4
Crawford	74.6
Crediton	44.6
Cremorne (Qld)	43.3
Cressbrook	50
Cressbrook Creek	46.2
Crestmead	53.2
Crimea	42.9
Crinum	54.4
Croftby	50
Crohamhurst	52.4
Cromarty	57.1
Crossdale	42
Crossroads	49.5
Crowley Vale	40.5
Crownthorpe	53.8
Crows Nest (Qld)	37.1
Croydon (Qld)	46.3
Cryna	68.4
Crystal Brook (Qld)	65
Crystal Creek (Qld)	27.3
Crystalbrook	60
Cullinane	56
Cungulla	47.2
Cunnamulla	53
Cunningham (Qld)	54.9
Curra	35.1
Currajah	74
Currajong	55.9
Curramore (Qld)	51.5
Currimundi	52.2
Currumbin	59.8
Currumbin Valley	58.2
Currumbin Waters	56.9
Curtis Island	79.6
Cushnie	62.4
Cutella	56.5
Cuttaburra	133.3
Cynthia	48
Cypress Gardens	11.8
D'Aguilar	55
Dagun	55.6
Daintree	59.3
Daisy Hill (Qld)	62.5
Dajarra	46.9
Dakabin	66.2
Dakenba	68.8
Dalbeg	84.8
Dalby	58.7
Dalcouth	43.8
Dalga	100
Dallarnil	39.2
Dalma	75
Dalrymple Creek	63.3
Dalrymple Heights	50
Dalveen	50
Dalwogon	64
Dalysford	37.2
Damascus	43.9
Damper Creek	40.5
Danbulla	51.2
Danderoo	50
Dangore	50
Daradgee	43.9
Dargal Road	72.6
Darling Heights	52.1
Darlington (Qld)	70.8
Darr Creek	81.8
Darra	51.9
Darts Creek	39.8
Dauan Island	34.5
Daveson	71.4
Dayboro	63.5
Daymar	87
Deagon	56.8
Deception Bay	47.3
Deebing Heights	73.2
Deep Creek (Qld)	110
Deepwater (Qld)	19.4
Deeragun	55.8
Deeral	49.6
Degarra	16.7
Degilbo	41.5
Delan	37.8
Delaneys Creek	59.2
Depot Hill	43.3
Derri Derra	67.5
Derrymore	56.9
Deuchar	55.2
Devereux Creek	62.8
Devon Park (Qld)	74.2
Diamantina Lakes	76.5
Diamond Valley	54.5
Diamondvale	82.1
Diamondy	70.7
Dicky Beach	43.3
Didcot	42.9
Diddillibah	51.8
Diglum	74.1
Dimbulah	51.8
Dingo	59.9
Dingo Beach	34.6
Dingo Pocket	67.9
Dinmore	38.4
Dirnbir	80
Dirranbandi	57.5
Dittmer	50
Diwan	58.9
Dixalea	68.8
Dixie (Qld)	92.9
Djarawong	55.4
Djuan	57.1
Doctor Creek	60.7
Dolphin Heads	61.2
Donnybrook (Qld)	39.8
Doolandella	61
Doolbi	30.8
Doomadgee	32.3
Doonan	57.3
Doongul	14.8
Dotswood	69.6
Douglas (Toowoomba - Qld)	58.3
Douglas (Townsville - Qld)	59.4
Downsfield	27.2
Dows Creek	62.3
Draper	65.2
Drayton	55.5
Drewvale	63.8
Drillham	65.2
Drillham South	64.7
Drinan	39.6
Drummondslope	81.3
Duaringa	61.8
Duchess	86.4
Duckinwilla	50
Ducklo	44.3
Dugandan	53.1
Duingal	41.7
Dulacca	61.6
Dulong	54.5
Dululu	57.4
Dumbleton	58.6
Dumgree	67.4
Dumpy Creek	45.5
Dundas (Qld)	54.8
Dundathu	54.4
Dundowran	47.9
Dundowran Beach	49.1
Dunk	76.2
Dunkeld (Qld)	71.4
Dunmora	56
Dunmore (Qld)	73.7
Dunnrock	46.8
Dunrobin (Qld)	85.7
Dunwich	49.8
Durack (Qld)	47.2
Durham	55.9
Durham Downs	50.9
Durong	38.4
Dutton Park	53.1
Dutton River	61.5
Dykehead	140
Dynevor	120
Dysart (Qld)	57.2
Eagleby	41.6
Earlville	50
East Barron	60.5
East Brisbane	65.9
East Cooyar	27.3
East Deep Creek	49.2
East End	63
East Feluga	68
East Greenmount	58.3
East Haldon	60
East Innisfail	47.5
East Ipswich	54.1
East Mackay	54.3
East Nanango	41.4
East Palmerston	70.9
East Russell	41.8
East Toowoomba	59.6
East Trinity	46.4
Eastern Heights	48
Eaton (Qld)	75.7
Eatons Hill	71.5
Ebbw Vale	44.9
Ebenezer (Qld)	52.7
Edens Landing	58.5
Edge Hill	64
Edmonton	59.1
Eerwah Vale	51.4
Eidsvold	40.9
Eidsvold East	68.8
Eidsvold West	57.4
Eight Mile Plains	56.3
Eimeo	67.3
Einasleigh	41.1
El Arish	47.5
Elaman Creek	63.9
Elanora	56.5
Elbow Valley	71.6
Electra	61.4
Elgin (Qld)	89.3
Elgin Vale	20
Eli Waters	35.9
Elimbah	60.6
Ellangowan (Qld)	75.2
Ellen Grove	40.8
Ellerbeck	45.7
Ellesmere	36.8
Ellinjaa	53.8
Ellinthorp	50
Elliott (Qld)	45.9
Elliott Heads	42.4
Ellis Beach	41.2
Elphinstone (Toowoomba - Qld)	56.6
Emerald (Qld)	66.6
Emu Creek (Qld)	51.5
Emu Park	43.9
Emu Vale	55.3
England Creek	40.7
Enoggera	71.3
Enoggera Reservoir	56.3
Epsom (Qld)	72.7
Erakala	68.9
Ernestina	76.9
Eromanga	74.5
Erub Island	32.9
Esk (Qld)	34.3
Eskdale (Qld)	85.2
Esmeralda	100
Etna Creek	17.6
Eton	56.2
Etty Bay	60.8
Eubenangee	54.8
Eudlo	55.3
Eukey	46.7
Euleilah	27.5
Eulo	75.3
Eumamurrin	62.9
Eumundi	54.5
Eungella (Qld)	34.4
Eungella Dam	83.3
Eungella Hinterland	100
Euramo	64.1
Eureka (Qld)	47.1
Eurella	21.4
Eurimbula	75
Eurombah	76.8
Eurong	57.4
Euthulla	65.8
Evans Landing	64.4
Evanslea	53.8
Evelyn	41.5
Evergreen	50
Everton Hills	68.8
Everton Park	65
Fairdale	92.6
Fairfield (Qld)	64.5
Fairney View	54
Fairy Bower	68.4
Fairyland	60.7
Fairymead	65.4
Farleigh	64
Farnborough	52.2
Farnsfield	61.6
Fassifern (Qld)	57.9
Fassifern Valley	76.4
Federal (Qld)	58.2
Felton	68.8
Felton South	74.4
Feluga	70.7
Ferney	44.3
Fernvale (Qld)	55.7
Ferny Glen	42.5
Ferny Grove	62.3
Ferny Hills	65.3
Ficks Crossing	75
Fielding	100
Fifteen Mile	68.4
Fig Tree Pocket	62.6
Finch Hatton	49.3
Finlayvale	77.8
Finnie	44
Fishermans Pocket	37
Fishery Falls	53.7
Fitzgerald Creek	57.6
Fitzgibbon	64.3
Fitzroy Island	68.2
Flagstone Creek	65.2
Flametree	44.8
Flaxton	42
Fletcher (Qld)	47.6
Fleurbaix	62.9
Flinders View	62.7
Flinton	44
Flying Fish Point	43.2
Flying Fox (Qld)	76
Fordsdale	57.9
Foreshores	50.9
Forest Creek	38.2
Forest Glen (Qld)	55.9
Forest Hill (Qld)	52.1
Forest Lake	63.7
Forest Ridge	36.6
Forest Springs	67.3
Forestdale	65.6
Foresthome	67.1
Forestvale	74.4
Formartin	81.8
Forrest Beach (Qld)	43.9
Forsayth	51.4
Fortitude Valley	65.9
Forty Mile	72.7
Fossilbrook	100
Four Ways	86.7
Foxdale	75.3
Frankfield	81
Fraser Island	53.2
Frazerview	31
Fredericksfield	68.4
Freestone	60.6
Frenches Creek	52.2
Frenchville	59.6
Freshwater (Qld)	68
Freshwater Point	60
Friday Pocket	79.3
Fulham (Qld)	66.7
Gaeta	24.8
Gailes	43.6
Gainsford	68.8
Gairloch	60
Galilee	71.4
Gamboola	50
Garbutt	43.4
Garfield (Qld)	75
Gargett	57
Garnant	50
Garners Beach	29.2
Garradunga	69.2
Gatton	49.3
Gaven	63.1
Gayndah	49.9
Gaythorne	65.5
Geebung	63.4
Geham	53.5
Gemini Mountains	75.8
Georgetown (Qld)	64.1
Georgina (Qld)	100
Germantown (Qld)	60.4
Gheerulla	52.2
Ghinghinda	56.3
Gigoomgan	66.7
Gilbert River	58.8
Gilberton (Etheridge - Qld)	50
Gilberton (Gold Coast - Qld)	31.8
Gilla	60
Gilldora	55.9
Gilston	66.4
Gin Gin (Qld)	32.9
Gindie	75.2
Ginoondan	142.9
Giru	56.9
Givelda	54.1
Gladfield (Qld)	63.8
Gladstone Central	49.6
Gladstone Harbour	13
Glamorgan Vale	48.7
Glan Devon	47.3
Glass House Mountains	55.3
Glastonbury	53
Glebe (Qld)	107.1
Glen Allyn	49.6
Glen Aplin	47.5
Glen Boughton	22.7
Glen Cairn	54.3
Glen Echo	33.3
Glen Eden	63.8
Glen Esk	32.7
Glen Isla	71.4
Glen Niven	68.7
Glen Russell	27.3
Glenarbon	45.5
Glenaubyn	58.6
Glenaven	57.4
Glenbar	36.4
Glencoe (Qld)	58
Glendale (Qld)	65.6
Glenden	72.2
Gleneagle	57.8
Glenella	65.8
Glenfern (Qld)	30
Glengallan	45.7
Glenhaughton	116.7
Glenlee (Qld)	63.1
Glenleigh	46.4
Glenlyon (Qld)	48.1
Glenmoral	89.2
Glenmorgan	80
Glenorchy (Qld)	42.9
Glenore Grove	51
Glenrae	74
Glenrock (Qld)	62.2
Glenroy (Qld)	66.7
Glenvale	62.1
Glenview	62.3
Glenwood (Qld)	20.7
Godwin Beach	54.2
Gogango	74.2
Golden Beach (Qld)	41.5
Golden Fleece	32.5
Goldfields	28.6
Goldsborough (Qld)	68.7
Gooburrum	56.1
Good Night	33.9
Goodar	68.8
Goodger	52.6
Goodna	47.1
Goodwood (Qld)	47.5
Googa Creek	48.7
Goolboo	45.5
Goolman	85
Goomally	44.4
Goombi	64
Goomboorian	50.8
Goombungee	51.2
Goomburra	58.6
Goomeri	35.9
Goomeribong	63.2
Goondi	57.5
Goondi Bend	48.9
Goondi Hill	31.1
Goondiwindi	60.9
Goorganga Creek	44.4
Gooroolba	100
Gootchie	19
Goovigen	64.2
Goowarra	40
Goranba	26.8
Gordon Park	71.2
Gordonbrook	62
Gordonstone	100
Gordonvale	56.9
Gore	41.9
Gowrie Junction	67.5
Gowrie Little Plain	66
Gowrie Mountain	69.3
Gowrie Station	54.5
Gracemere	58.8
Graceville	67
Grahams Creek	47.8
Granadilla	52.3
Grand Secret	60.5
Grandchester	52.2
Grange (Qld)	71.7
Grant	100
Grantham	48.9
Granville (Qld)	36.3
Grapetree	82.6
Grasstree Beach	51.7
Grays Gate	62.1
Green Hill	66.9
Green Island	73.9
Greenbank	62.2
Greenlands (Qld)	46.8
Greenmount (Mackay - Qld)	65.5
Greenmount (Toowoomba - Qld)	57.5
Greens Creek (Qld)	55.4
Greenslopes	68.2
Greenswamp	66.7
Greenup	55.6
Greenvale (Qld)	42.4
Greenview	63
Greenwood (Qld)	63
Gregors Creek	52.2
Gregory (Qld)	42.6
Gregory River (Bundaberg - Qld)	56.3
Gregory River (Whitsunday - Qld)	53.4
Greycliffe	86.4
Greymare	53.2
Griffin	72.6
Groganville	85.7
Groomsville	54.8
Groper Creek	32.7
Grosmont	69.8
Grosvenor	53.3
Guanaba	58.9
Gulliver	52.2
Guluguba	67.7
Gumdale	69.9
Gumlow	68
Gumlu	58.9
Gunalda	32.7
Gundiah	33.3
Gungaloon	63.6
Gunnawarra	50
Gunnewin	66.7
Gunpowder	56.4
Gunyarra	50
Gurgeena	34.8
Gurulmundi	37.5
Guthalungra	57.5
Gwambegwine	93.3
Gympie	41.5
Habana	66.8
Haden	63.9
Haigslea	55.9
Hail Creek	65
Haliday Bay	43.2
Halifax	45.7
Haly Creek	67
Hamilton (Qld)	64.6
Hamilton Creek	46.1
Hamilton Plains	50
Hampden (Qld)	59.3
Hampton (Qld)	59.2
Hannaford	75.8
Happy Valley (Qld)	65.8
Harlaxton	47
Harlin	59.3
Harrami	71
Harriet	75
Harristown	47.1
Harrisville	62.4
Hatton Vale	58.3
Hawkins Creek	66.7
Hawkwood	50
Hawthorne	72.2
Hay Point	53.6
Hazeldean	46.5
Hazledean	55.6
Headington Hill	72.2
Healy	73
Heathwood	70.6
Heatley	46.2
Hebel	58.1
Helens Hill	53
Helensvale	58.6
Helidon	51.5
Helidon Spa	55.1
Hemmant	67.5
Hendon (Qld)	45.1
Hendra	66.3
Herberton	37.4
Heritage Park	65.6
Hermit Park	59
Herston	54.4
Hervey Range	60.6
Hibernia	63.6
Hidden Valley (Qld)	59
Hideaway Bay	40.2
Highfields (Qld)	59.4
Highgate Hill	61.3
Highgrove	105.3
Highland Park	58.6
Highland Plains (Maranoa - Qld)	75
Highland Plains (Toowoomba - Qld)	78.1
Highvale	65.4
Highworth	51.3
Hillcrest (Qld)	61.9
Hillview	49.2
Hirstglen	55.2
Hivesville	29.1
Hobartville (Qld)	77.1
Hodgleigh	44.4
Hodgson	75
Hodgson Vale	69.9
Holland Park	63.7
Holland Park West	65.1
Holloways Beach	56.9
Hollywell	56.8
Holmview	63.7
Home Creek	65.2
Home Hill	49.6
Homebush (Qld)	61.8
Homestead	40.5
Hookswood	56
Hope Island	51.8
Hope Vale	35.9
Hopeland (Qld)	67.9
Horn	51.4
Horse Camp	26.4
Horse Creek	26
Horseshoe Bay	53.3
Horseshoe Lagoon	57.9
Horton	44
Howard	26.5
Howitt	29.2
Hoya	52.6
Hudson	40.6
Hughenden	59
Hull Heads	32
Humboldt	50
Humeburn	23.8
Humphery	45.5
Hunchy	58
Hungerford (Qld)	30.4
Hurricane	64.7
Hutton Creek	94.4
