SSC_NAME16	HomeCensusNight	persons
Albion (Brisbane - Qld)	1	2163
Albion (Richmond - Qld)	1	16
Alderley	0	360
Alderley	1	5758
Aldershot	0	29
Aldershot	1	1124
Alexandra (Qld)	0	10
Alexandra (Qld)	1	183
Alexandra Headland	0	258
Alexandra Headland	1	3701
Alexandra Hills	0	631
Alexandra Hills	1	15621
Algester	0	308
Algester	1	8125
Alice Creek	0	4
Alice Creek	1	55
Alice River	0	129
Alice River	1	2300
Allan	1	87
Allandale (Qld)	1	56
Allenstown	0	194
Allenstown	1	2591
Allenview	0	9
Allenview	1	179
Alligator Creek (Mackay - Qld)	0	60
Alligator Creek (Mackay - Qld)	1	728
Alligator Creek (Townsville - Qld)	0	63
Alligator Creek (Townsville - Qld)	1	1287
Allora	0	82
Allora	1	1144
Alloway	0	24
Alloway	1	461
Almaden	0	5
Almaden	1	66
Aloomba	0	20
Aloomba	1	511
Alpha	0	45
Alpha	1	291
Alsace	1	3
Alton Downs	0	102
Alton Downs	1	1177
Alva	0	29
Alva	1	253
Amamoor	0	38
Amamoor	1	599
Amamoor Creek	1	52
Amaroo (Qld)	1	22
Amberley	0	56
Amberley	1	193
Ambrose	0	17
Ambrose	1	200
Amby	0	7
Amby	1	84
Amiens	0	12
Amiens	1	279
Amity	0	47
Amity	1	348
Andergrove	0	790
Andergrove	1	8630
Anderleigh	0	3
Anderleigh	1	91
Andromache	0	3
Andromache	1	45
Anduramba	0	3
Anduramba	1	76
Annandale (Qld)	0	401
Annandale (Qld)	1	8177
Annerley	0	524
Annerley	1	10807
Anstead	0	68
Anstead	1	1444
Anthony	0	3
Anthony	1	110
Antigua	0	9
Antigua	1	123
Apple Tree Creek	0	33
Apple Tree Creek	1	606
Applethorpe	0	26
Applethorpe	1	478
Araluen (Qld)	0	40
Araluen (Qld)	1	574
Aramac	0	32
Aramac	1	273
Aramara	0	8
Aramara	1	52
Arana Hills	0	281
Arana Hills	1	6533
Aranbanga	1	10
Aratula (Qld)	0	20
Aratula (Qld)	1	513
Arcadia (Qld)	0	33
Arcadia (Qld)	1	215
Arcadia Valley	0	8
Arcadia Valley	1	91
Archer River	1	16
Archerfield	0	35
Archerfield	1	505
Arcturus	0	6
Arcturus	1	69
Argoon (Qld)	0	9
Argoon (Qld)	1	148
Argyll	1	25
Armstrong Beach	0	84
Armstrong Beach	1	780
Armstrong Creek (Qld)	0	14
Armstrong Creek (Qld)	1	309
Aroona	0	140
Aroona	1	3152
Arriga	0	6
Arriga	1	1078
Arundel	0	416
Arundel	1	9835
Ascot (Brisbane - Qld)	0	312
Ascot (Brisbane - Qld)	1	5462
Ascot (Toowoomba - Qld)	0	3
Ascot (Toowoomba - Qld)	1	27
Ashfield (Qld)	0	46
Ashfield (Qld)	1	746
Ashgrove	0	752
Ashgrove	1	12289
Ashmore	0	468
Ashmore	1	11444
Ashwell	0	5
Ashwell	1	77
Aspley	0	444
Aspley	1	11665
Atherton	0	377
Atherton	1	6954
Athol	0	4
Athol	1	129
Atkinsons Dam	0	19
Atkinsons Dam	1	188
Aubigny	0	11
Aubigny	1	243
Auburn (Qld)	0	3
Auburn (Qld)	1	23
Auchenflower	0	346
Auchenflower	1	5524
Augathella	0	53
Augathella	1	398
Augustine Heights	0	123
Augustine Heights	1	4756
Aurukun	0	108
Aurukun	1	1166
Austinville	0	12
Austinville	1	349
Avenell Heights	0	254
Avenell Heights	1	4617
Avoca (Qld)	0	206
Avoca (Qld)	1	4695
Avoca Vale	0	3
Avoca Vale	1	27
Avondale (Qld)	0	52
Avondale (Qld)	1	588
Ayr	0	393
Ayr	1	8350
Babinda (Qld)	0	74
Babinda (Qld)	1	1180
Back Plains	0	3
Back Plains	1	72
Badu Island	0	106
Badu Island	1	705
Baffle Creek	0	19
Baffle Creek	1	136
Baffle West	1	15
Bahrs Scrub	0	95
Bahrs Scrub	1	1830
Bajool	0	34
Bajool	1	425
Bakers Bend	0	4
Bakers Bend	1	29
Bakers Creek (Qld)	0	98
Bakers Creek (Qld)	1	1062
Baking Board	0	9
Baking Board	1	90
Balberra	0	25
Balberra	1	430
Balcomba	1	16
Bald Hills (Qld)	0	237
Bald Hills (Qld)	1	6260
Bald Knob	0	19
Bald Knob	1	230
Balgal Beach	0	89
Balgal Beach	1	878
Balgowan (Qld)	1	14
Ball Bay	0	39
Ball Bay	1	320
Ballandean	0	12
Ballandean	1	321
Ballard	1	154
Ballaroo	0	3
Ballaroo	1	38
Ballogie	0	16
Ballogie	1	260
Balmoral (Qld)	0	198
Balmoral (Qld)	1	3691
Balmoral Ridge	0	14
Balmoral Ridge	1	259
Balnagowan	0	26
Balnagowan	1	395
Bamaga	0	82
Bamaga	1	1081
Bambaroo	0	9
Bambaroo	1	114
Bamboo	0	7
Bamboo	1	127
Bamboo Creek	0	10
Bamboo Creek	1	90
Ban Ban	1	35
Ban Ban Springs	1	7
Banana	0	23
Banana	1	338
Bancroft	0	3
Bancroft	1	96
Bangalee (Qld)	0	18
Bangalee (Qld)	1	162
Bangall	1	4
Banks Creek	1	5
Banks Pocket	0	7
Banks Pocket	1	150
Banksia Beach	0	305
Banksia Beach	1	5688
Bannockburn (Qld)	0	45
Bannockburn (Qld)	1	704
Banyo	0	289
Banyo	1	5574
Bapaume	0	10
Bapaume	1	119
Barakula	1	13
Baralaba	0	22
Baralaba	1	284
Barambah	0	3
Barambah	1	41
Barcaldine	0	146
Barcaldine	1	1273
Barcaldine Downs	1	14
Bardon	0	512
Bardon	1	8987
Baree	0	7
Baree	1	159
Barellan Point	0	60
Barellan Point	1	1096
Bargara	0	494
Bargara	1	6986
Bargunyah	1	31
Barker Creek Flat	1	50
Barkly (Qld)	0	3
Barkly (Qld)	1	26
Barlil	0	5
Barlil	1	35
Barlows Hill	0	91
Barlows Hill	1	688
Barlyne	1	3
Barmaryee	0	68
Barmaryee	1	815
Barmoya	0	4
Barmoya	1	74
Barnard	1	29
Barney Point	0	89
Barney Point	1	1005
Barney View	0	5
Barney View	1	54
Baroondah	1	4
Barramornie	0	3
Barramornie	1	16
Barratta (Qld)	1	68
Barrine	0	14
Barrine	1	229
Barringha	1	57
Barringun	1	3
Barron	0	4
Barron	1	38
Bartle Frere	0	13
Bartle Frere	1	121
Basalt (Qld)	0	13
Basalt (Qld)	1	179
Basin Pocket	0	37
Basin Pocket	1	851
Battery Hill	0	124
Battery Hill	1	2415
Bauhinia	0	8
Bauhinia	1	35
Bauple	0	44
Bauple	1	602
Bauple Forest	1	7
Bayrick	1	9
Bayview Heights	0	190
Bayview Heights	1	4047
Beach Holm	1	26
Beachmere	0	265
Beachmere	1	3848
Beaconsfield (Qld)	0	419
Beaconsfield (Qld)	1	5073
Beatrice	0	7
Beatrice	1	92
Beaudesert	0	288
Beaudesert	1	6107
Beaufort (Qld)	1	41
Beaver Rock	0	9
Beaver Rock	1	41
Bedourie	0	7
Bedourie	1	115
Beebo	0	5
Beebo	1	80
Beecher	0	52
Beecher	1	810
Beechmont	0	48
Beechmont	1	791
Beelbee	1	23
Beelbi Creek	0	7
Beelbi Creek	1	132
Beenaam Valley	0	8
Beenaam Valley	1	55
Beenleigh	0	434
Beenleigh	1	7823
Beerburrum	0	30
Beerburrum	1	733
Beeron	1	12
Beerwah	0	319
Beerwah	1	6446
Begonia	0	5
Begonia	1	46
Beilba	1	49
Belcong	0	6
Belcong	1	40
Belgian Gardens	0	139
Belgian Gardens	1	1932
Belivah	0	22
Belivah	1	299
Bell (Qld)	0	34
Bell (Qld)	1	469
Bella Creek	0	4
Bella Creek	1	44
Bellara	0	180
Bellara	1	3044
Bellbird Park	0	279
Bellbird Park	1	6461
Bellbowrie	0	186
Bellbowrie	1	5276
Bellenden Ker	0	17
Bellenden Ker	1	240
Belli Park	0	47
Belli Park	1	629
Bellmere	0	237
Bellmere	1	5628
Bells Bridge	0	24
Bells Bridge	1	176
Bells Creek	0	11
Bells Creek	1	89
Bellthorpe	0	3
Bellthorpe	1	117
Belmont (Qld)	0	178
Belmont (Qld)	1	4197
Belmunda	0	3
Belmunda	1	4
Belvedere	0	38
Belvedere	1	864
Belyando	1	61
Bemerside	0	11
Bemerside	1	235
Benair	0	13
Benair	1	129
Benaraby	0	69
Benaraby	1	1149
Benarkin	0	6
Benarkin	1	49
Benarkin North	0	25
Benarkin North	1	297
Benholme	0	3
Benholme	1	90
Benobble	1	43
Benowa	0	340
Benowa	1	8395
Bentley Park	0	401
Bentley Park	1	7617
Berajondo	1	65
Berat	0	6
Berat	1	111
Bergen	0	3
Bergen	1	66
Berrinba	0	43
Berrinba	1	1303
Berserker	0	405
Berserker	1	6478
Bethania	0	216
Bethania	1	5167
Biarra	0	4
Biarra	1	251
Biboohra	0	44
Biboohra	1	521
Biddaddaba	0	4
Biddaddaba	1	165
Biddeston	0	20
Biddeston	1	264
Bidwill (Qld)	0	27
Bidwill (Qld)	1	464
Biggenden	0	75
Biggenden	1	772
Biggera Waters	0	392
Biggera Waters	1	8145
Bilinga	0	126
Bilinga	1	1678
Billa Billa	0	10
Billa Billa	1	98
Biloela	0	296
Biloela	1	5466
Bilyana	0	16
Bilyana	1	160
Bindebango	1	10
Bingegang	0	3
Bingegang	1	15
Bingil Bay	0	31
Bingil Bay	1	396
Binjour	1	98
Binna Burra (Qld)	1	4
Birdsville	0	40
Birdsville	1	101
Birkalla	0	3
Birkalla	1	128
Birkdale	0	621
Birkdale	1	13874
Birnam (Scenic Rim - Qld)	0	4
Birnam (Scenic Rim - Qld)	1	100
Birnam (Toowoomba - Qld)	1	66
Birtinya	0	81
Birtinya	1	1848
Black Duck Creek	1	18
Black Jack	0	19
Black Jack	1	148
Black Mountain (Qld)	0	89
Black Mountain (Qld)	1	1350
Black River (Qld)	0	97
Black River (Qld)	1	1382
Black Snake	0	5
Black Snake	1	72
Blackall	0	141
Blackall	1	1269
Blackbull	1	3
Blackbutt (Qld)	0	63
Blackbutt (Qld)	1	771
Blackbutt North	0	30
Blackbutt North	1	410
Blackbutt South	0	10
Blackbutt South	1	162
Blackrock	0	8
Blackrock	1	307
Blacks Beach	0	356
Blacks Beach	1	3505
Blacksoil	1	108
Blackstone	0	44
Blackstone	1	983
Blackswamp	1	57
Blackwater	0	311
Blackwater	1	4437
Blanchview	0	12
Blanchview	1	181
Blantyre	1	57
Blaxland (Qld)	1	32
Blenheim	0	13
Blenheim	1	281
Bli Bli	0	388
Bli Bli	1	7408
Bloomfield	0	15
Bloomfield	1	190
Bloomsbury	0	54
Bloomsbury	1	544
Blue Mountain	0	3
Blue Mountain	1	86
Blue Mountain Heights	0	55
Blue Mountain Heights	1	873
Bluewater	0	57
Bluewater	1	983
Bluewater Park	0	61
Bluewater Park	1	932
Bluff	0	35
Bluff	1	333
Blythdale	0	7
Blythdale	1	32
Boatman	1	5
Bogandilla	0	3
Bogandilla	1	23
Bogie	0	20
Bogie	1	145
Bohle	1	83
Bohle Plains	0	165
Bohle Plains	1	3036
Boigu Island	0	22
Boigu Island	1	244
Bokarina	0	66
Bokarina	1	1287
Bollier	0	6
Bollier	1	191
Bollon	0	23
Bollon	1	198
Bombeeta	0	10
Bombeeta	1	127
Bon Accord	1	19
Bondoola	0	52
Bondoola	1	483
Bongaree	0	416
Bongaree	1	6536
Bongeen	0	11
Bongeen	1	61
Bonnie Doon (Qld)	0	27
Bonnie Doon (Qld)	1	346
Bonogin	0	213
Bonogin	1	4358
Bonshaw (Qld)	0	6
Bonshaw (Qld)	1	35
Bony Mountain	0	3
Bony Mountain	1	90
Boodua	0	9
Boodua	1	84
Boogan	0	5
Boogan	1	120
Booie	0	38
Booie	1	1001
Boolboonda	0	7
Boolboonda	1	43
Boolburra	1	25
Boompa	0	3
Boompa	1	83
Boonah (Qld)	0	103
Boonah (Qld)	1	2384
Boonara	0	3
Boonara	1	70
Boonarga	1	36
Boondall	0	345
Boondall	1	8872
Boondooma	0	9
Boondooma	1	66
Boonooroo	0	30
Boonooroo	1	287
Boonooroo Plains	1	3
Booral (Qld)	0	93
Booral (Qld)	1	1445
Booroobin	0	10
Booroobin	1	246
Booubyjan	0	19
Booubyjan	1	91
Booval	0	119
Booval	1	2502
Booyal	0	25
Booyal	1	256
Borallon	0	4
Borallon	1	76
Boreen Point	0	22
Boreen Point	1	312
Boronia Heights	0	272
Boronia Heights	1	7594
Bororen	0	39
Bororen	1	358
Boulder Creek	0	3
Boulder Creek	1	7
Bouldercombe	0	88
Bouldercombe	1	1004
Boulia	0	46
Boulia	1	256
Bowen	0	667
Bowen	1	9707
Bowen Hills	0	166
Bowen Hills	1	3061
Bowenville	0	14
Bowenville	1	238
Boyland	0	40
Boyland	1	778
Boyne Island	0	321
Boyne Island	1	4432
Boyne Valley	0	19
Boyne Valley	1	339
Boynedale	1	17
Boyneside	0	3
Boyneside	1	56
Boynewood	0	4
Boynewood	1	172
Bracalba	0	5
Bracalba	1	110
Bracewell	0	20
Bracewell	1	174
Bracken Ridge	0	633
Bracken Ridge	1	16304
Braemeadows	0	10
Braemeadows	1	280
Braemore	0	9
Braemore	1	128
Bramston Beach	0	17
Bramston Beach	1	154
Branch Creek	1	29
Branchview	1	17
Brandon	0	66
Brandon	1	1029
Brandy Creek (Qld)	0	8
Brandy Creek (Qld)	1	103
Branyan	0	251
Branyan	1	3884
Brassall	0	427
Brassall	1	10471
Bray Park (Qld)	0	417
Bray Park (Qld)	1	9827
Breadalbane (Qld)	1	26
Breakaway	0	11
Breakaway	1	186
Breddan	0	27
Breddan	1	454
Brendale	0	97
Brendale	1	2665
Bridgeman Downs	0	340
Bridgeman Downs	1	8100
Bridges	0	19
Bridges	1	263
Brigalow	0	20
Brigalow	1	150
Brightly	0	13
Brightly	1	59
Brighton (Qld)	0	459
Brighton (Qld)	1	9020
Brightview	0	32
Brightview	1	779
Brigooda	0	4
Brigooda	1	30
Bringalily	0	7
Bringalily	1	77
Brinsmead	0	310
Brinsmead	1	5052
Brisbane City	0	471
Brisbane City	1	8988
Broadbeach	0	310
Broadbeach	1	5210
Broadbeach Waters	0	388
Broadbeach Waters	1	7391
Broadmere	0	6
Broadmere	1	42
Broadwater (Qld)	0	23
Broadwater (Qld)	1	273
Broken River	1	21
Bromelton	0	11
Bromelton	1	145
Brookfield (Qld)	0	169
Brookfield (Qld)	1	3355
Brookhill	0	4
Brookhill	1	73
Brooklands	0	14
Brooklands	1	287
Brookstead	0	32
Brookstead	1	191
Brookwater	0	85
Brookwater	1	2062
Brooloo	0	28
Brooloo	1	319
Brooweena	0	5
Brooweena	1	94
Broughton (Qld)	0	68
Broughton (Qld)	1	653
Brovinia	1	10
Browns Plains (Qld)	0	234
Browns Plains (Qld)	1	6073
Broxburn	0	7
Broxburn	1	139
Brush Creek	1	40
Bryden	1	28
Brymaroo	0	7
Brymaroo	1	131
Buaraba	0	13
Buaraba	1	165
Buaraba South	1	3
Bucasia	0	416
Bucasia	1	4353
Bucca (Qld)	0	62
Bucca (Qld)	1	966
Buccan	0	100
Buccan	1	1720
Buckland (Qld)	0	3
Buckland (Qld)	1	35
Buddina	0	247
Buddina	1	3638
Buderim	0	1573
Buderim	1	27780
Budgee	1	35
Bukali	0	12
Bukali	1	53
Bulgun	0	14
Bulgun	1	260
Bulimba	0	413
Bulimba	1	6426
Bullawarra	1	5
Bullcamp	1	58
Bulli Creek	1	6
Bullyard	0	21
Bullyard	1	172
Bulwer	0	13
Bulwer	1	32
Bunburra	0	7
Bunburra	1	85
Bundaberg Central	0	23
Bundaberg Central	1	296
Bundaberg East	0	171
Bundaberg East	1	2612
Bundaberg North	0	320
Bundaberg North	1	5131
Bundaberg South	0	213
Bundaberg South	1	3087
Bundaberg West	0	150
Bundaberg West	1	2350
Bundall	0	224
Bundall	1	4299
Bundamba	0	296
Bundamba	1	6216
Bundi	1	35
Bundoora (Qld)	1	15
Bungaban	1	49
Bungadoo	0	18
Bungadoo	1	300
Bungalow	0	126
Bungalow	1	2030
Bungeworgorai	0	8
Bungeworgorai	1	71
Bungil (Qld)	0	3
Bungil (Qld)	1	24
Bungundarra	0	47
Bungundarra	1	489
Bungunya	0	7
Bungunya	1	69
Bunjurgen	0	3
Bunjurgen	1	113
Bunya	0	103
Bunya	1	1815
Bunya Creek	1	78
Bunya Mountains	0	4
Bunya Mountains	1	136
Burbank	0	64
Burbank	1	989
Burdell	0	441
Burdell	1	5372
Burgowan	1	42
Burketown	0	19
Burketown	1	217
Burleigh	0	8
Burleigh	1	29
Burleigh Heads	0	653
Burleigh Heads	1	9425
Burleigh Waters	0	539
Burleigh Waters	1	13766
Burncluith	0	11
Burncluith	1	138
Burnett Creek	1	11
Burnett Heads	0	201
Burnett Heads	1	2455
Burnside (Qld)	0	112
Burnside (Qld)	1	2291
Burpengary	0	653
Burpengary	1	13367
Burpengary East	0	257
Burpengary East	1	6178
Burra Burri	1	30
Burrum Heads	0	215
Burrum Heads	1	1854
Burrum River	0	10
Burrum River	1	245
Burrum Town	0	14
Burrum Town	1	156
Burton (Qld)	1	29
Burua	0	43
Burua	1	737
Bushland Beach	0	378
Bushland Beach	1	5805
Bushley	1	24
Butchers Creek	0	7
Butchers Creek	1	102
Buxton (Qld)	0	33
Buxton (Qld)	1	395
Bybera	1	4
Byee	1	33
Byfield	0	23
Byfield	1	276
Bymount	1	32
Byrnestown	0	4
Byrnestown	1	32
Cabarlah	0	64
Cabarlah	1	1012
Caboolture	0	1161
Caboolture	1	25276
Caboolture South	0	250
Caboolture South	1	5053
Caboonbah	1	14
Cadarga	1	16
Caffey	0	3
Caffey	1	64
Cainbable	0	10
Cainbable	1	64
Cairdbeign	0	6
Cairdbeign	1	83
Cairns City	0	199
Cairns City	1	2541
Cairns North	0	425
Cairns North	1	4769
Calamvale	0	534
Calamvale	1	16591
Calavos	0	21
Calavos	1	310
Calcium	0	7
Calcium	1	16
Caldervale	1	11
Calen	0	35
Calen	1	355
Calgoa	1	9
Calico Creek	0	6
Calico Creek	1	152
Calingunee	0	3
Calingunee	1	20
Callandoon	0	9
Callandoon	1	23
Callemondah	0	8
Callemondah	1	11
Callide	0	3
Callide	1	85
Calliope (Qld)	0	265
Calliope (Qld)	1	4835
Caloundra	0	226
Caloundra	1	3693
Caloundra West	0	261
Caloundra West	1	6031
Calvert (Qld)	0	11
Calvert (Qld)	1	298
Camboon (Qld)	0	7
Camboon (Qld)	1	93
Cambooya	0	88
Cambooya	1	1497
Cambridge (Qld)	0	3
Cambridge (Qld)	1	42
Cambroon	0	14
Cambroon	1	204
Cameby	0	6
Cameby	1	57
Cameron Corner	1	5
Camira (Qld)	0	325
Camira (Qld)	1	7089
Camoola	0	3
Camoola	1	27
Camooweal	0	39
Camooweal	1	176
Camp Creek (Qld)	0	11
Camp Creek (Qld)	1	178
Camp Hill	0	512
Camp Hill	1	10688
Camp Mountain	0	90
Camp Mountain	1	1322
Campaspe	0	4
Campaspe	1	114
Campbell Creek	1	7
Campbells Pocket	0	3
Campbells Pocket	1	83
Campwin Beach	0	63
Campwin Beach	1	461
Canaga	0	3
Canaga	1	108
Canal Creek	0	3
Canal Creek	1	8
Cania	0	3
Cania	1	30
Canina	0	31
Canina	1	339
Cannindah	1	29
Canning Creek	1	5
Canningvale	0	8
Canningvale	1	135
Cannon Creek (Scenic Rim - Qld)	0	7
Cannon Creek (Scenic Rim - Qld)	1	72
Cannon Creek (Southern Downs - Qld)	0	3
Cannon Creek (Southern Downs - Qld)	1	41
Cannon Hill	0	213
Cannon Hill	1	5323
Cannon Valley	0	97
Cannon Valley	1	863
Cannonvale	0	426
Cannonvale	1	5295
Canoona	0	7
Canoona	1	79
Canungra	0	43
Canungra	1	1189
Capalaba	0	718
Capalaba	1	16615
Cape Cleveland	0	18
Cape Cleveland	1	143
Cape Gloucester	0	6
Cape Gloucester	1	58
Cape Hillsborough	1	44
Cape Tribulation	0	8
Cape Tribulation	1	110
Capella	0	61
Capella	1	947
Captain Creek	0	54
Captain Creek	1	306
Captains Mountain	0	3
Captains Mountain	1	76
Caravonica	0	101
Caravonica	1	1890
Carbine Creek	0	3
Carbine Creek	1	19
Carbrook	0	65
Carbrook	1	1156
Cardstone	1	17
Cardwell	0	82
Cardwell	1	1224
Carina (Qld)	0	464
Carina (Qld)	1	10558
Carina Heights	0	307
Carina Heights	1	6427
Carindale	0	629
Carindale	1	15108
Carmila	0	31
Carmila	1	300
Carmoo	0	23
Carmoo	1	152
Carnarvon Park	1	3
Carneys Creek	0	5
Carneys Creek	1	50
Carole Park	0	4
Caroline Crossing	1	14
Carpendale	0	9
Carpendale	1	126
Carpentaria	1	14
Carrara	0	508
Carrara	1	11553
Carrington (Qld)	0	12
Carrington (Qld)	1	178
Carruchan	0	9
Carruchan	1	251
Carseldine	0	349
Carseldine	1	9193
Carstairs	1	118
Carters Ridge	0	22
Carters Ridge	1	450
Cashmere	0	210
Cashmere	1	4705
Cassowary	0	3
Cassowary	1	113
Castaways Beach	0	30
Castaways Beach	1	621
Castle Creek (Qld)	1	26
Castle Hill (Qld)	0	70
Castle Hill (Qld)	1	868
Cattle Creek (North Burnett - Qld)	1	28
Cattle Creek (Toowoomba - Qld)	1	19
Causeway Lake	0	16
Causeway Lake	1	103
Cawarral	0	48
Cawarral	1	781
Cawdor (Qld)	0	10
Cawdor (Qld)	1	346
Cecil Plains	0	17
Cecil Plains	1	414
Cedar Creek (Gold Coast - Qld)	0	54
Cedar Creek (Gold Coast - Qld)	1	783
Cedar Creek (Moreton Bay - Qld)	0	34
Cedar Creek (Moreton Bay - Qld)	1	706
Cedar Grove	0	77
Cedar Grove	1	1965
Cedar Pocket	0	23
Cedar Pocket	1	313
Cedar Vale	0	117
Cedar Vale	1	2675
Cedarton	0	8
Cedarton	1	112
Cement Mills	1	11
Centenary Heights	0	267
Centenary Heights	1	5804
Ceratodus	1	25
Chahpingah	0	5
Chahpingah	1	24
Chambers Flat	0	105
Chambers Flat	1	2227
Chances Plain	0	8
Chances Plain	1	143
Chandler (Qld)	0	74
Chandler (Qld)	1	1364
Chapel Hill (Qld)	0	486
Chapel Hill (Qld)	1	9631
Charlestown (Qld)	0	9
Charlestown (Qld)	1	59
Charleville	0	292
Charleville	1	3042
Charlton (Qld)	0	7
Charlton (Qld)	1	108
Charlwood	0	3
Charlwood	1	137
Charters Towers City	0	124
Charters Towers City	1	2006
Chatsworth (Qld)	0	45
Chatsworth (Qld)	1	1007
Cheeseborough	1	3
Chelmer	0	174
Chelmer	1	2825
Chelmsford	0	13
Chelmsford	1	110
Chelona	0	7
Chelona	1	94
Cheltenham (Qld)	0	5
Cheltenham (Qld)	1	10
Cherbourg	0	31
Cherbourg	1	1235
Chermside	0	382
Chermside	1	8939
Chermside West	0	209
Chermside West	1	6248
Cherry Creek	0	5
Cherry Creek	1	39
Cherry Gully	1	9
Cherwell	0	3
Cherwell	1	5
Chevallum	0	21
Chevallum	1	426
Chewko	0	5
Chewko	1	188
Childers (Qld)	0	120
Childers (Qld)	1	1467
Chillagoe	0	32
Chillagoe	1	217
Chinchilla	0	396
Chinchilla	1	6217
Chinghee Creek	1	29
Chirnside	1	30
Chorregon	0	12
Chorregon	1	46
Christmas Creek	0	3
Christmas Creek	1	52
Churchable	0	17
Churchable	1	243
Churchill (Qld)	0	90
Churchill (Qld)	1	1769
Chuwar	0	107
Chuwar	1	2137
Cinnabar	0	8
Cinnabar	1	67
Clagiraba	0	29
Clagiraba	1	567
Clairview	0	13
Clairview	1	127
Clara Creek	0	3
Clara Creek	1	37
Claraville	1	5
Clare (Qld)	0	6
Clare (Qld)	1	188
Clarendon (Qld)	0	7
Clarendon (Qld)	1	236
Clarke Creek	1	30
Clayfield	0	554
Clayfield	1	10000
Clear Island Waters	0	148
Clear Island Waters	1	3966
Clear Mountain	0	27
Clear Mountain	1	703
Clermont	0	211
Clermont	1	2816
Cleveland (Qld)	0	802
Cleveland (Qld)	1	13993
Clifford	1	26
Clifton (Qld)	0	80
Clifton (Qld)	1	1369
Clifton Beach (Qld)	0	180
Clifton Beach (Qld)	1	2960
Clinton (Qld)	0	348
Clinton (Qld)	1	5575
Clintonvale	0	12
Clintonvale	1	69
Cloncurry	0	171
Cloncurry	1	2549
Clontarf (Moreton Bay - Qld)	0	367
Clontarf (Moreton Bay - Qld)	1	7913
Clontarf (Toowoomba - Qld)	1	25
Closeburn	0	55
Closeburn	1	537
Cloyna	0	7
Cloyna	1	135
Cluden	0	31
Cluden	1	395
Clumber	1	60
Coal Creek	0	3
Coal Creek	1	44
Coalbank	0	5
Coalbank	1	27
Coalfalls	0	47
Coalfalls	1	892
Coalstoun Lakes	0	9
Coalstoun Lakes	1	108
Cobbs Hill	1	22
Cobraball	0	3
Cobraball	1	64
Cockatoo (Qld)	1	36
Coconuts	0	13
Coconuts	1	207
Coen	0	17
Coen	1	354
Coes Creek	0	75
Coes Creek	1	1318
Coles Creek	0	3
Coles Creek	1	36
Colevale	1	17
Coleyville	0	4
Coleyville	1	179
Colinton (Qld)	1	76
Collaroy (Qld)	1	9
College View	0	11
College View	1	77
Collingwood Park (Qld)	0	268
Collingwood Park (Qld)	1	6834
Collinsville (Qld)	0	107
Collinsville (Qld)	1	1141
Colosseum	0	10
Colosseum	1	214
Columbia	0	3
Columbia	1	93
Columboola	0	7
Columboola	1	66
Comet	0	37
Comet	1	462
Commissioners Flat	0	3
Commissioners Flat	1	27
Como (Qld)	0	3
Como (Qld)	1	41
Comoon Loop	0	8
Comoon Loop	1	43
Cona Creek	0	7
Cona Creek	1	80
Condamine	0	53
Condamine	1	331
Condamine Farms	0	3
Condamine Farms	1	19
Condamine Plains	0	3
Condamine Plains	1	100
Condon	0	293
Condon	1	5486
Conjuboy	1	3
Conondale	0	50
Conondale	1	806
Consuelo	0	3
Consuelo	1	31
Conway	0	23
Conway	1	169
Conway Beach	0	11
Conway Beach	1	68
Coochiemudlo Island	0	70
Coochiemudlo Island	1	684
Coochin	1	95
Coochin Creek	0	7
Coochin Creek	1	72
Cooee Bay	0	95
Cooee Bay	1	820
Cooeeimbardi	0	4
Cooeeimbardi	1	4
Cooktown	0	251
Cooktown	1	2380
Coolabine	0	5
Coolabine	1	68
Coolabunia	0	6
Coolabunia	1	157
Cooladdi	1	16
Coolana	0	7
Coolana	1	178
Coolangatta (Qld)	0	445
Coolangatta (Qld)	1	5501
Coolbie	0	7
Coolbie	1	96
Coolmunda	0	4
Coolmunda	1	138
Cooloola	1	3
Cooloola Cove	0	195
Cooloola Cove	1	2436
Cooloolabin	0	16
Cooloolabin	1	239
Coolum Beach	0	520
Coolum Beach	1	7977
Coombabah	0	408
Coombabah	1	9974
Coomera	0	495
Coomera	1	12812
Coominglah	1	18
Coominya	0	46
Coominya	1	1152
Coomoo	1	23
Coomrith	0	7
Coomrith	1	37
Coonambula	0	3
Coonambula	1	67
Coonarr	0	20
Coonarr	1	238
Coondoo	0	3
Coondoo	1	63
Coongoola	1	10
Coopers Plains	0	255
Coopers Plains	1	5228
Coorada	1	4
Cooran	0	88
Cooran	1	1536
Cooranga	0	14
Cooranga	1	117
Cooroibah	0	94
Cooroibah	1	1946
Cooroo Lands	1	3
Coorooman	1	85
Cooroy	0	237
Cooroy	1	3550
Cooroy Mountain	0	15
Cooroy Mountain	1	129
Coorparoo	0	748
Coorparoo	1	15536
Coorumba	0	11
Coorumba	1	110
Coorumbene	1	6
Cootharaba	0	46
Cootharaba	1	791
Coowonga	0	21
Coowonga	1	227
Cooya Beach	0	46
Cooya Beach	1	495
Cooyar	0	27
Cooyar	1	201
Coppabella (Qld)	0	26
Coppabella (Qld)	1	441
Coquette Point	0	6
Coquette Point	1	63
Coral Cove	0	66
Coral Cove	1	1200
Coral Sea	0	10
Coral Sea	1	95
Coralie	0	6
Cordalba	0	18
Cordalba	1	428
Cordelia	0	9
Cordelia	1	205
Corella	0	3
