SSC_NAME16	labourForceParticipation
Bunnan	53.6
Bunyah	47.1
Bunyan	66.1
Burcher	46.6
Bureen	71.7
Burnt Bridge	22.2
Burnt Yards	42.3
Buronga	59.6
Burra (Queanbeyan-Palerang Regional - NSW)	60.4
Burra (Snowy Valleys - NSW)	56
Burra Creek	64.3
Burraboi	74.5
Burradoo	41.8
Burraga	61.2
Burragate	52.2
Burrandana	72.7
Burraneer	66.7
Burrangong	62.1
Burrapine	18.9
Burrawang	57.2
Burrell Creek	49.5
Burren Junction	62.6
Burrier	54.8
Burrill Lake	44.7
Burringbar	57.6
Burrinjuck	29.4
Burroway	62.8
Burrumbuttock	69.1
Burrundulla	65.2
Burwood (NSW)	55.2
Burwood Heights	55.5
Busby	42.8
Busbys Flat	55.2
Bushells Ridge	27.8
Buttaba	58.2
Buttai	80
Butterwick	61.2
Buxton (NSW)	70.3
Byabarra	59.4
Byangum	56.4
Bylong	84.2
Byng	75
Byrock	47.5
Byron Bay	51.6
Byrrill Creek	41.8
Bywong	67.8
Cabarita (NSW)	60.3
Cabarita Beach	67.4
Cabbage Tree Island (Ballina - NSW)	19.6
Cabramatta	49
Cabramatta West	50
Cabramurra	60
Caddens	62.1
Cadgee (NSW)	44.4
Caffreys Flat	37.2
Calala	64.9
Calderwood	70.4
Caldwell	70.8
Calga	58.9
Califat	83.3
Calimo	62.7
Callaghan	50.4
Callaghans Creek	100
Callala Bay	48.3
Callala Beach	40.1
Calliope (NSW)	59
Caloola	48.6
Camberwell (NSW)	49.2
Cambewarra	68.1
Cambewarra Village	68.1
Camboon (NSW)	37.9
Cambra	56.7
Cambridge Gardens	69
Cambridge Park	62
Camden	58.8
Camden Head	38.3
Camden Park (NSW)	75.6
Camden South	66.6
Cameron Park	72.9
Camerons Creek	54.3
Camira (NSW)	22.6
Cammeray	72.7
Camp Creek (NSW)	45
Campbelltown (NSW)	54.8
Camperdown (NSW)	66.9
Campsie	58.2
Campvale	63.4
Cams Wharf	60.3
Canada Bay	63.8
Canadian Lead	33.3
Canbelego	59.3
Candelo	58.7
Cangai	39.3
Caniaba	65.8
Canley Heights	51.4
Canley Vale	49.3
Canobolas	71.2
Canoelands	69.3
Canonba	76.5
Canowindra	54.3
Canterbury (NSW)	63.4
Canton Beach	27.8
Canyonleigh	64.2
Caparra	42.9
Capeen Creek	160
Capertee	50.8
Capoompeta	100
Captains Flat	64.4
Carabost	58.1
Caragabal	58.3
Carcalgong	44.7
Carcoar	44.9
Cardiff (NSW)	60.6
Cardiff Heights	56
Cardiff South	64.3
Carey Bay	40.8
Cargo	62.8
Carinda	77.9
Caringbah	65.5
Caringbah South	64.1
Carlaminda	63
Carlingford	59.7
Carlton (NSW)	62.6
Carnes Hill	71.6
Carnham	100
Carool	57.7
Caroona	54.4
Carramar (NSW)	46.9
Carrathool	65.3
Carrick (NSW)	67.3
Carrington (Mid-Coast - NSW)	36.7
Carrington (Newcastle - NSW)	66.1
Carrington Falls	61.1
Carroll	52.9
Carrowbrook	48.1
Carrs Creek	63.1
Carrs Island	57.1
Carrs Peninsula	50
Carss Park	56.8
Cartwright	38.9
Cartwrights Hill	59.7
Carwell	87.5
Carwoola	65
Casino	45.5
Cassilis (NSW)	65.8
Castle Cove	58.1
Castle Doyle	77.2
Castle Hill (NSW)	63.6
Castle Rock	62.8
Castlecrag	63
Castlereagh	62.1
Casuarina (NSW)	68.4
Casula	58
Catalina	41.5
Cataract	87.5
Cathcart (NSW)	53.4
Catherine Field	58.6
Catherine Hill Bay	56.1
Cathundral	66.7
Cattai	68.8
Cattle Creek (NSW)	77.3
Cavan (NSW)	70
Caves Beach	55.4
Cawdor (NSW)	62.6
Cawongla	50.9
Cecil Hills	63.8
Cecil Park	63.6
Cedar Brush Creek	65.5
Cedar Creek (Cessnock - NSW)	53.6
Cedar Creek (Tweed - NSW)	16.7
Cedar Party	48.7
Cedar Point	62.8
Centennial Park (NSW)	71.8
Central Colo	69.6
Central Macdonald	59.1
Central Mangrove	70.9
Central Tilba	52.9
Cessnock	45.4
Chain Valley Bay	39.6
Chakola	54.1
Chambigne	54.3
Charbon	35.6
Charles Sturt University	48.5
Charlestown (NSW)	62.2
Charleys Forest	41.5
Charlotte Bay	47.3
Charlton (NSW)	66.7
Charmhaven	55.4
Chatham Valley	64
Chatsbury	63.2
Chatswood	59.7
Chatswood West	62.8
Chatsworth (NSW)	58.9
Cheero Point	64
Cheltenham (NSW)	65
Cherry Tree Hill	40.3
Cherrybrook	64.4
Chester Hill	49.4
Chichester (NSW)	50
Chifley (NSW)	59.3
Chilcotts Creek	100
Chilcotts Grass	63
Chillingham	44.7
Chinderah	34.5
Chinnock	52.4
Chippendale	52.2
Chipping Norton	62.1
Chisholm (NSW)	77
Chiswick	67.8
Chittaway Bay	62.4
Chittaway Point	65.9
Chowan Creek	8.8
Church Point	57.7
Clandulla	35.3
Clare (NSW)	87.5
Claremont Meadows	74.6
Clarence	47.4
Clarence Town	59.7
Clarendon (NSW)	65.3
Clarenza	56.5
Clareville	56.4
Claymore	31.6
Clear Creek	70.8
Clear Range	84
Clearfield	30
Clemton Park	51.3
Clergate	69.4
Cleveland (NSW)	73.7
Clifden	55
Cliftleigh	61.3
Clifton (NSW)	59.3
Clifton Grove	65.5
Clontarf (NSW)	60.2
Clothiers Creek	64.2
Clouds Creek	133.3
Clovelly	71.9
Clunes (NSW)	64.1
Clybucca	62.3
Clyde (NSW)	50
Clydesdale (NSW)	67.2
Coal Point	57.1
Coalcliff	65.2
Coaldale	58.5
Coasters Retreat	20.5
Cobaki	66.9
Cobaki Lakes	70.3
Cobar	59.9
Cobar Park	46.4
Cobargo	45.5
Cobark	45.5
Cobbadah	77.3
Cobbitty	65.5
Cobramunga	48.3
Cockwhy	64.3
Codrington (NSW)	60.8
Coffee Camp	50.8
Coffs Harbour	51.4
Coggan	75
Cogra Bay	84.6
Coila	40.9
Coldstream (NSW)	61.5
Coleambally	63.9
Colebee	75.6
Coledale	66.9
Colinroobie	51.1
Colinton (NSW)	65.4
Collarenebri	48
Collaroy (NSW)	67
Collaroy Plateau	68.8
Collector	66.7
Collendina	66.7
Collerina	69.7
Collie (NSW)	71.4
Collingullie	62.8
Collingwood (NSW)	64.1
Collins Creek	54.5
Collombatti	45.6
Colly Blue	30.8
Colo (Hawkesbury - NSW)	83.7
Colo Heights	50.6
Colo Vale	61.6
Colyton	58.9
Comara	33.3
Combaning	68.9
Combara	54.7
Comberton	19.2
Comboyne	54.5
Come By Chance	65.7
Comerong Island	125
Commissioners Creek	35.2
Como (NSW)	70.2
Comobella	53.5
Conargo	59
Concord	61.8
Concord West	61.5
Condell Park	53.9
Condobolin	55.4
Condong	55.5
Coneac	18.8
Congarinni	52.7
Congarinni North	53.6
Congewai	55.6
Congo	46.2
Conimbia	81.8
Coniston	53.6
Conjola	68.5
Conjola Park	47.5
Connells Point	62.3
Constitution Hill	58.6
Coogee (NSW)	72.7
