SSC_NAME16	Sex	labourForceParticipation
Gowrie Station	M	33.3
Gracemere	F	60.6
Gracemere	M	71
Graceville	F	65.4
Graceville	M	75.8
Grahams Creek	F	38.3
Grahams Creek	M	45
Granadilla	F	66.7
Granadilla	M	62.2
Grand Secret	F	51.5
Grand Secret	M	60
Grandchester	F	49.7
Grandchester	M	62.5
Grange (Qld)	F	70.3
Grange (Qld)	M	79.3
Grant	F	100
Grant	M	100
Grantham	F	50.8
Grantham	M	55.7
Granville (Qld)	F	37.4
Granville (Qld)	M	46.1
Grapetree	F	70.6
Grapetree	M	72.7
Grasstree Beach	F	58
Grasstree Beach	M	57.8
Grays Gate	F	53.8
Grays Gate	M	68.4
Green Hill	F	66.7
Green Hill	M	76.7
Green Island	F	62.5
Green Island	M	80
Greenbank	F	62.2
Greenbank	M	71
Greenlands (Qld)	F	46.1
Greenlands (Qld)	M	51.4
Greenmount (Mackay - Qld)	F	64.3
Greenmount (Mackay - Qld)	M	72.2
Greenmount (Toowoomba - Qld)	F	55.7
Greenmount (Toowoomba - Qld)	M	71.8
Greens Creek (Qld)	F	61
Greens Creek (Qld)	M	64.3
Greenslopes	F	70.5
Greenslopes	M	75
Greenswamp	F	56.3
Greenswamp	M	94.1
Greenup	F	71.4
Greenup	M	112.5
Greenvale (Qld)	F	44.3
Greenvale (Qld)	M	48
Greenview	F	48.6
Greenview	M	71.8
Greenwood (Qld)	F	50
Greenwood (Qld)	M	47.1
Gregors Creek	F	51.5
Gregors Creek	M	72.2
Gregory (Qld)	F	46.2
Gregory (Qld)	M	70
Gregory River (Bundaberg - Qld)	F	48
Gregory River (Bundaberg - Qld)	M	60
Gregory River (Whitsunday - Qld)	F	55.1
Gregory River (Whitsunday - Qld)	M	57.3
Greycliffe	F	45.5
Greycliffe	M	109.1
Greymare	F	70.8
Greymare	M	53.6
Griffin	F	72
Griffin	M	83
Groganville	M	80
Groomsville	F	64.4
Groomsville	M	59.1
Groper Creek	F	33.3
Groper Creek	M	43.3
Grosmont	F	68.3
Grosmont	M	66.7
Grosvenor	F	33.3
Grosvenor	M	33.3
Guanaba	F	58.1
Guanaba	M	67.3
Gulliver	F	55.5
Gulliver	M	61
Guluguba	F	50
Guluguba	M	83.3
Gumdale	F	70.7
Gumdale	M	75.2
Gumlow	F	72.4
Gumlow	M	70.6
Gumlu	F	57.4
Gumlu	M	57.3
Gunalda	F	37.8
Gunalda	M	36.3
Gundiah	F	37.8
Gundiah	M	40.7
Gungaloon	F	57.1
Gungaloon	M	25
Gunnawarra	M	100
Gunnewin	F	94.1
Gunnewin	M	95.5
Gunpowder	F	90
Gunpowder	M	56
Gunyarra	F	60
Gunyarra	M	57.1
Gurgeena	F	23.1
Gurgeena	M	33.3
Gurulmundi	M	100
Guthalungra	F	38.7
Guthalungra	M	63.5
Gwambegwine	F	100
Gwambegwine	M	100
Gympie	F	42.8
Gympie	M	52.4
Habana	F	67.5
Habana	M	73.5
Haden	F	58.9
Haden	M	77.3
Haigslea	F	57.7
Haigslea	M	62.4
Hail Creek	F	50
Hail Creek	M	66.7
Haliday Bay	F	51.6
Haliday Bay	M	45.1
Halifax	F	38.7
Halifax	M	56.6
Haly Creek	F	59.3
Haly Creek	M	73.1
Hamilton (Qld)	F	63.8
Hamilton (Qld)	M	72.4
Hamilton Creek	F	43.6
Hamilton Creek	M	61.7
Hamilton Plains	F	41.2
Hamilton Plains	M	58.8
Hampden (Qld)	F	61
Hampden (Qld)	M	64.9
Hampton (Qld)	F	62.2
Hampton (Qld)	M	62.2
Hannaford	F	69
Hannaford	M	87.8
Happy Valley (Qld)	F	67.3
Happy Valley (Qld)	M	73.7
Harlaxton	F	48.7
Harlaxton	M	58.2
Harlin	F	59.4
Harlin	M	67.1
Harrami	F	70.6
Harrami	M	64.7
Harristown	F	45.8
Harristown	M	59
Harrisville	F	63.9
Harrisville	M	66.9
Hatton Vale	F	58.4
Hatton Vale	M	68.1
Hawkins Creek	F	60.7
Hawkins Creek	M	70.8
Hawkwood	F	50
Hawkwood	M	80
Hawthorne	F	71.4
Hawthorne	M	79.1
Hay Point	F	52.6
Hay Point	M	65.1
Hazeldean	F	46.6
Hazeldean	M	47.9
Hazledean	F	133.3
Hazledean	M	75
Headington Hill	F	84
Headington Hill	M	81.5
Healy	F	72.5
Healy	M	80.7
Heathwood	F	71.9
Heathwood	M	80.2
Heatley	F	50
Heatley	M	57.9
Hebel	F	72.7
Hebel	M	64.7
Helens Hill	F	48.7
Helens Hill	M	70.2
Helensvale	F	58.6
Helensvale	M	67.2
Helidon	F	50
Helidon	M	62.7
Helidon Spa	F	55.8
Helidon Spa	M	60.6
Hemmant	F	70.1
Hemmant	M	73.5
Hendon (Qld)	F	46.3
Hendon (Qld)	M	55.4
Hendra	F	66.1
Hendra	M	73.1
Herberton	F	39.2
Herberton	M	49.5
Heritage Park	F	65.2
Heritage Park	M	74.7
Hermit Park	F	62.3
Hermit Park	M	66.7
Herston	F	57.2
Herston	M	61.3
Hervey Range	F	61.7
Hervey Range	M	56.4
Hibernia	F	68.2
Hibernia	M	72.7
Hidden Valley (Qld)	F	66
Hidden Valley (Qld)	M	58.9
Hideaway Bay	F	36.9
Hideaway Bay	M	49
Highfields (Qld)	F	58.7
Highfields (Qld)	M	65.9
Highgate Hill	F	64.2
Highgate Hill	M	68.7
Highgrove	F	66.7
Highgrove	M	90
Highland Park	F	58.8
Highland Park	M	66.5
Highland Plains (Maranoa - Qld)	M	100
Highland Plains (Toowoomba - Qld)	F	87.5
Highland Plains (Toowoomba - Qld)	M	71.4
Highvale	F	66.1
Highvale	M	72.9
Highworth	F	58.7
Highworth	M	59.8
Hillcrest (Qld)	F	63.2
Hillcrest (Qld)	M	72.7
Hillview	F	43.3
Hillview	M	53.1
Hirstglen	F	55.3
Hirstglen	M	53.3
Hivesville	F	38.2
Hivesville	M	31.3
Hobartville (Qld)	F	85
Hobartville (Qld)	M	106.3
Hodgleigh	F	50
Hodgleigh	M	50
Hodgson	F	90
Hodgson	M	77.8
Hodgson Vale	F	70.5
Hodgson Vale	M	75
Holland Park	F	63.1
Holland Park	M	72.6
Holland Park West	F	64.9
Holland Park West	M	72.8
Holloways Beach	F	60.7
Holloways Beach	M	64.1
Hollywell	F	56.5
Hollywell	M	62.9
Holmview	F	61.3
Holmview	M	75.7
Home Creek	F	62.5
Home Creek	M	150
Home Hill	F	49.5
Home Hill	M	57.2
Homebush (Qld)	F	58.5
Homebush (Qld)	M	68.1
Homestead	F	36.8
Homestead	M	23.8
Hookswood	F	105.6
Hookswood	M	50
Hope Island	F	50.7
Hope Island	M	59.6
Hope Vale	F	53.9
Hope Vale	M	62
Hopeland (Qld)	F	64.7
Hopeland (Qld)	M	75.4
Horn	F	54.4
Horn	M	54.9
Horse Camp	F	29.3
Horse Camp	M	35.4
Horse Creek	F	26.5
Horse Creek	M	34
Horseshoe Bay	F	56.3
Horseshoe Bay	M	59
Horseshoe Lagoon	F	59
Horseshoe Lagoon	M	73.6
Horton	F	44.9
Horton	M	33.8
Howard	F	31.3
Howard	M	30.5
Howitt	M	40
Hoya	F	57
Hoya	M	51
Hudson	F	42.5
Hudson	M	51.2
Hughenden	F	56.5
Hughenden	M	66.9
Hull Heads	F	39.1
Hull Heads	M	36.7
Humboldt	F	100
Humboldt	M	80
Humeburn	F	33.3
Humeburn	M	50
Humphery	F	77.8
Humphery	M	57.1
Hunchy	F	59.9
Hunchy	M	64.6
Hungerford (Qld)	F	50
Hungerford (Qld)	M	38.5
Hurricane	M	66.7
Hutton Creek	F	100
Hutton Creek	M	100
Hyde Park (Qld)	F	64.3
Hyde Park (Qld)	M	69.7
Iama Island	F	23.4
Iama Island	M	37.5
Ibis	M	80
Idalia	F	76.2
Idalia	M	81.1
Ideraway	F	41.7
Ideraway	M	69.2
Ilbilbie	F	43.4
Ilbilbie	M	44.8
Ilfracombe	F	70.3
Ilfracombe	M	78.5
Ilkley	F	63.3
Ilkley	M	70.3
Illinbah	F	56.1
Illinbah	M	60.3
Image Flat	F	55.8
Image Flat	M	59
Imbil	F	42.6
Imbil	M	48.2
Inala	F	37.7
Inala	M	49.8
Indooroopilly	F	58.5
Indooroopilly	M	67.7
Ingberry	F	100
Ingberry	M	100
Ingham	F	44.3
Ingham	M	55.1
Inglestone	F	78.9
Inglestone	M	90.6
Inglewood (Qld)	F	46.8
Inglewood (Qld)	M	58
Ingoldsby	F	44.4
Ingoldsby	M	84.6
Injinoo	F	34.5
Injinoo	M	50.3
Injune	F	67
Injune	M	67.5
Inkerman (Qld)	F	49.2
Inkerman (Qld)	M	71.9
Innes Park	F	57
Innes Park	M	61.6
Innisfail	F	43.6
Innisfail	M	52.1
Innisfail Estate	F	47.2
Innisfail Estate	M	55.6
Innisplain	F	71.4
Innisplain	M	68.3
Innot Hot Springs	F	50
Innot Hot Springs	M	37.9
Inskip	M	23.1
Inverlaw	F	56.6
Inverlaw	M	54
Inverness	F	58.5
Inverness	M	45.6
Ipswich	F	45.2
Ipswich	M	49.7
Iredale	F	52.4
Iredale	M	65.5
Iron Range	M	66.7
Ironbark (Qld)	F	61.4
Ironbark (Qld)	M	27.4
Irongate	F	63.3
Irongate	M	77.1
Ironpot (Livingstone - Qld)	F	67.3
Ironpot (Livingstone - Qld)	M	66.7
Ironpot (South Burnett - Qld)	F	60
Ironpot (South Burnett - Qld)	M	105.6
Irvinebank	F	28.6
Irvinebank	M	30.5
Irvingdale	F	68.6
Irvingdale	M	87.8
Isis Central	F	52.4
Isis Central	M	60.7
Isis River	F	27.8
Isis River	M	51
Isisford	F	55.3
Isisford	M	67.7
Isla	F	63.9
Isla	M	77.9
Island Plantation	F	61.3
Island Plantation	M	62.9
Iveragh	F	48.3
Iveragh	M	59.6
Ivory Creek	F	16.7
Ivory Creek	M	40.9
Jackson	F	63.6
Jackson	M	64.5
Jackson North	F	65.4
Jackson North	M	78.6
Jackson South	F	100
Jackson South	M	60
Jacobs Well	F	60.2
Jacobs Well	M	66
Jaffa	F	23.1
Jaffa	M	37.5
Jaggan	F	51.3
Jaggan	M	56.8
Jamboree Heights	F	64.9
Jamboree Heights	M	73.3
Jandowae	F	39.8
Jandowae	M	49.5
Japoonvale	F	60.3
Japoonvale	M	57.6
Jardine	F	57.1
Jardine	M	66.7
Jarra Creek	F	64.4
Jarra Creek	M	79.6
Jarvisfield	F	61.8
Jarvisfield	M	76.7
Jellinbah	F	81.8
Jellinbah	M	80
Jensen	F	66.2
Jensen	M	69.9
Jericho (Qld)	F	32.6
Jericho (Qld)	M	48
Jerona	F	21.4
Jerona	M	14.8
Jimboomba	F	64.4
Jimboomba	M	72.8
Jimbour East	F	66.3
Jimbour East	M	84
Jimbour West	F	68.2
Jimbour West	M	89.5
Jimna	F	32.1
Jimna	M	44.7
Jindalee (Qld)	F	65.6
Jindalee (Qld)	M	71.5
Jinghi	F	63.3
Jinghi	M	92.9
Jobs Gate	F	100
Jobs Gate	M	100
Johnsons Hill	M	60
Johnstown	F	58.3
Johnstown	M	62.5
Jollys Lookout	F	44.8
Jollys Lookout	M	76
Jondaryan	F	57.9
Jondaryan	M	69.6
Jones Gully	F	100
Jones Gully	M	100
Jones Hill	F	56.3
Jones Hill	M	68.5
Josephville	F	59.7
Josephville	M	73.4
Joskeleigh	F	34.6
Joskeleigh	M	41.4
Joyner	F	68.1
Joyner	M	74.8
Jubilee Heights	F	66.7
Jubilee Heights	M	63.2
Jubilee Pocket	F	66
Jubilee Pocket	M	68.5
Julago	F	62.5
Julago	M	59.6
Julatten	F	47.7
Julatten	M	52.5
Julia Creek	F	63.8
Julia Creek	M	75.9
Junabee	F	64.1
Junabee	M	73.1
Junction View	F	26.7
Junction View	M	40
Jundah	F	80.6
Jundah	M	78.8
Kaban	F	60
Kaban	M	55.8
Kabra	F	60.6
Kabra	M	63.6
Kagaru	F	100
Kagaru	M	33.3
Kaimkillenbun	F	56.4
Kaimkillenbun	M	65.2
Kairi	F	50
Kairi	M	64.2
Kalapa	F	44.1
Kalapa	M	55.3
Kalbar	F	51.1
Kalbar	M	59.9
Kalinga	F	61.1
Kalinga	M	73.8
Kalkadoon	F	42.9
Kalkadoon	M	60
Kalkie	F	57.9
Kalkie	M	62.1
Kallangur	F	58.4
Kallangur	M	69.3
Kalpowar	F	27.6
Kalpowar	M	76.9
Kalunga	F	57.6
Kalunga	M	52.5
Kamerunga	F	64.3
Kamerunga	M	66
Kandanga	F	51
Kandanga	M	55.5
Kandanga Creek	F	59.3
Kandanga Creek	M	60
Kangaroo Point (Qld)	F	64.9
Kangaroo Point (Qld)	M	71.9
Kanigan	F	36
Kanigan	M	46
Kanimbla (Qld)	F	68.7
Kanimbla (Qld)	M	74.7
Kapaldo	F	40
Kapaldo	M	66.7
Karalee	F	69.3
Karalee	M	75.1
Karana Downs	F	68.3
Karana Downs	M	75
Karara	F	29.4
Karara	M	49.1
Karawatha	M	30
Karrabin	F	66.5
Karrabin	M	63
Karragarra Island	F	36.2
Karragarra Island	M	41.4
Karumba	F	56.9
Karumba	M	54.7
Kawana	F	51.4
Kawana	M	63.3
Kawl Kawl	F	37.5
Kawl Kawl	M	125
Kawungan	F	43.4
Kawungan	M	49.7
Kearneys Spring	F	50.2
Kearneys Spring	M	60.4
Kedron	F	67.9
Kedron	M	76.5
Kelsey Creek	F	57.1
Kelsey Creek	M	73.7
Kelso (Qld)	F	58.7
Kelso (Qld)	M	65.3
Kelvin Grove	F	56.7
Kelvin Grove	M	60
Kelvinhaugh	F	92.9
Kelvinhaugh	M	63.2
Kemmis	M	100
Kenilworth	F	51.4
Kenilworth	M	58.5
Kenmore	F	62.1
Kenmore	M	70.5
Kenmore Hills	F	54.8
Kenmore Hills	M	62.5
Kennedy	F	58.3
Kennedy	M	55.1
Kensington (Qld)	F	48
Kensington (Qld)	M	47.3
Kensington Grove	F	59.5
Kensington Grove	M	65
Kents Lagoon	F	55
Kents Lagoon	M	66.7
Kents Pocket	F	33.3
Kents Pocket	M	50
Kentville	F	50
Kentville	M	51.1
Keperra	F	53.7
Keperra	M	64.4
Kepnock	F	45.9
Kepnock	M	54.6
Keppel Sands	F	41.6
Keppel Sands	M	45.9
Keriri Island	F	37.1
Keriri Island	M	60.5
Kerry	F	63.6
Kerry	M	74.6
Kewarra Beach	F	64
Kewarra Beach	M	68.7
Keysland	F	50
Keysland	M	150
Kholo	F	61.4
Kholo	M	69.9
Khosh Bulduk	F	87.5
Khosh Bulduk	M	75
Kia Ora (Qld)	F	46.3
Kia Ora (Qld)	M	50
Kiamba	F	59.5
Kiamba	M	54.4
Kianga (Qld)	F	70.6
Kianga (Qld)	M	68.9
Kidaman Creek	F	43.4
Kidaman Creek	M	59
Kiels Mountain	F	62.1
Kiels Mountain	M	67.1
Kilbirnie	F	74.1
Kilbirnie	M	61.9
Kilcoy	F	48.1
Kilcoy	M	59.6
Kilcummin	F	73.3
Kilcummin	M	86.5
Kilkivan	F	39.3
Kilkivan	M	44
Killaloe	F	58.8
Killaloe	M	69.8
Killarney (Qld)	F	42
Killarney (Qld)	M	55.2
Kimberley (Qld)	F	25
Kimberley (Qld)	M	43.5
Kin Kin	F	49.3
Kin Kin	M	47.4
Kin Kora	F	60.9
Kin Kora	M	76.9
Kinbombi	F	50
Kinbombi	M	100
Kinchant Dam	F	51.2
Kinchant Dam	M	71.7
Kincora	F	70
Kincora	M	95.2
Kindon	F	80
Kindon	M	25
King Scrub	F	60.2
King Scrub	M	72.3
Kingaham	M	80
Kingaroy	F	52
Kingaroy	M	60.9
Kings Beach	F	49.9
Kings Beach	M	57.5
Kings Creek	F	38.7
Kings Creek	M	71.4
Kings Siding	F	100
Kings Siding	M	100
Kingsholme	F	64.6
Kingsholme	M	68.7
Kingsthorpe	F	56.6
Kingsthorpe	M	70
Kingston (Qld)	F	43
Kingston (Qld)	M	56.3
Kinka Beach	F	35.4
Kinka Beach	M	45.4
Kinkuna	F	60.5
Kinkuna	M	74.5
Kinleymore	F	52.8
Kinleymore	M	46.2
Kinnoul	F	60.7
Kinnoul	M	71.4
Kioma	F	122.2
Kioma	M	66.7
Kippa-Ring	F	49.6
Kippa-Ring	M	61.3
Kirknie	F	42.1
Kirknie	M	81.3
Kirkwood	F	67.9
Kirkwood	M	83.9
Kirrama	M	75
Kirwan	F	62.9
Kirwan	M	69.2
Kitoba	F	80
Kitoba	M	50
Kleinton	F	70.2
Kleinton	M	75.4
Knapp Creek	F	58.6
Knapp Creek	M	44
Koah	F	59.9
Koah	M	63.6
Kobble Creek	F	65.8
Kobble Creek	M	69.4
Kogan	F	41.5
Kogan	M	39.5
Kokotungo	F	81.1
Kokotungo	M	73.3
Kolonga	F	21.1
Kolonga	M	23.8
Koongal	F	57.5
Koongal	M	64.1
Kooralbyn	F	43.3
Kooralbyn	M	48.7
Kooralgin	F	85
Kooralgin	M	104.8
Kooringal (Qld)	F	30
Kooringal (Qld)	M	13
Kooroongarra	F	60
Kooroongarra	M	74.1
Koumala	F	55.8
Koumala	M	70.5
Kowanyama	F	47.4
Kowanyama	M	56.7
Kowguran	F	61.1
Kowguran	M	61.5
Kragra	F	120
Kragra	M	81.8
Kulangoor	F	53.4
Kulangoor	M	52.5
Kulgun	F	76
Kulgun	M	64
Kullogum	F	31.8
Kullogum	M	31
Kulpi	F	82.4
Kulpi	M	77.1
Kuluin	F	57.9
Kuluin	M	67
Kumbarilla	F	22.4
Kumbarilla	M	49.5
Kumbia	F	43.1
Kumbia	M	53.7
Kunda Park	F	72.7
Kunda Park	M	93.3
Kunioon	F	91.7
Kunioon	M	38.5
Kunwarara	F	48.5
Kunwarara	M	78.1
Kuraby	F	56.3
Kuraby	M	71.6
Kuranda	F	51.4
Kuranda	M	53.3
Kureelpa	F	56.8
Kureelpa	M	61.1
Kureen	F	73.9
Kureen	M	70
Kuridala	M	60
Kurrimine Beach	F	45.6
Kurrimine Beach	M	50.8
Kurrowah	F	20
Kurrowah	M	50
Kurumbul	F	81
Kurumbul	M	52.6
Kurwongbah	F	59.4
Kurwongbah	M	68.3
Kuttabul	F	61.9
Kuttabul	M	72
Kybong	F	43.4
Kybong	M	43.6
Kynuna	F	69.6
Kynuna	M	90
Kyoomba	F	47.2
Kyoomba	M	72.7
Labrador	F	51.1
Labrador	M	58.3
Laceys Creek	F	62.3
Laceys Creek	M	75.7
Laglan	F	100
Lagoon Pocket	F	54.2
Lagoon Pocket	M	54.7
Laguna Quays	F	40.9
Laguna Quays	M	44.1
Laidley	F	39
Laidley	M	47.6
Laidley Creek West	F	65.1
Laidley Creek West	M	61.3
Laidley Heights	F	49.1
Laidley Heights	M	51.9
Laidley North	F	52.8
Laidley North	M	67.8
Laidley South	F	56.2
Laidley South	M	71
Lake Barrine	F	46.4
Lake Barrine	M	50
Lake Clarendon	F	57.1
Lake Clarendon	M	61.5
Lake Eacham	F	60.7
Lake Eacham	M	61.1
Lake Macdonald	F	51.7
Lake Macdonald	M	59.4
Lake Manchester	F	30
Lake Manchester	M	50
Lake Mary	F	65.9
Lake Mary	M	65.8
Lake Monduran	M	100
Lake Proserpine	F	60
Lake Proserpine	M	75
Lake Wivenhoe	F	100
Lake Wivenhoe	M	100
Lakefield	F	100
Lakefield	M	83.3
Lakeland	F	64.2
Lakeland	M	60.1
Lakes Creek	F	62.7
Lakes Creek	M	72.7
Lakeside	F	50
Lakeside	M	50
Lamb Island	F	27.7
Lamb Island	M	28.7
Lamington (Qld)	F	48.7
Lamington (Qld)	M	71.1
Lammermoor	F	63
Lammermoor	M	67.2
Landers Shoot	F	62.4
Landers Shoot	M	63.1
Landsborough (Qld)	F	56.6
Landsborough (Qld)	M	62.7
Lanefield	F	61.9
Lanefield	M	56.1
Langlands	M	42.9
Langlo	F	58.8
Langlo	M	73.9
Langshaw	F	46.6
Langshaw	M	62
Lannercost	F	59.6
Lannercost	M	70.6
Lansdowne (Qld)	F	100
Lansdowne (Qld)	M	100
Lanskey	F	52.2
Lanskey	M	61.5
Laravale	F	64.6
Laravale	M	72.6
Lark Hill	F	78.3
Lark Hill	M	63.6
Laura (Qld)	F	29.7
Laura (Qld)	M	47.7
Lavelle	F	33.3
Lavelle	M	50
Lawes	F	30.2
Lawes	M	29.3
Lawgi Dawes	F	77.4
Lawgi Dawes	M	77.2
Lawn Hill	F	80
Lawn Hill	M	77.8
Lawnton	F	57.1
Lawnton	M	65.1
Leafdale	F	87.5
Leafdale	M	45.5
Lefthand Branch	F	57.6
Lefthand Branch	M	52.8
Leichhardt (Qld)	F	42.6
Leichhardt (Qld)	M	53.3
Lemontree	F	63.6
Lemontree	M	90.5
Leslie	F	140
Leslie	M	100
Leslie Dam	F	53.4
Leslie Dam	M	50
Lethebrook	F	40
Lethebrook	M	56
Leyburn	F	42.5
Leyburn	M	42.5
Lilydale (Qld)	F	71.9
Lilydale (Qld)	M	78.8
Lilyvale (Central Highlands - Qld)	F	80
Lilyvale (Central Highlands - Qld)	M	95
Lilyvale (Toowoomba - Qld)	F	30
Lilyvale (Toowoomba - Qld)	M	47.8
Limestone Creek	F	63
Limestone Creek	M	63.7
Limestone Ridges	F	60
Limestone Ridges	M	81.5
Limevale	F	37.5
Limevale	M	52
Linden (Qld)	F	100
Linden (Qld)	M	92.3
Linthorpe	F	68.8
Linthorpe	M	73.5
Linville	F	32.8
Linville	M	45.9
Little Mountain	F	55.1
Little Mountain	M	63.1
Little Mulgrave	F	70.2
Little Mulgrave	M	75.7
Lizard	F	87.5
Lizard	M	83.3
Llanarth (Qld)	F	29.4
Llanarth (Qld)	M	69.2
Loch Lomond	F	48.9
Loch Lomond	M	63.8
Lochington	F	68.2
Lochington	M	53.8
Lockhart River	F	41.5
Lockhart River	M	51.4
Lockrose	F	45.9
Lockrose	M	54
Lockyer (Qld)	F	62.5
Lockyer (Qld)	M	68.4
Lockyer Waters	F	41.2
Lockyer Waters	M	48.6
Logan Central	F	36.5
Logan Central	M	50.7
Logan Reserve	F	61.2
Logan Reserve	M	74.4
Logan Village	F	58.8
Logan Village	M	67.2
Loganholme	F	66
Loganholme	M	73.2
Loganlea	F	50.5
Loganlea	M	61.7
Lonesome Creek	F	77.6
Lonesome Creek	M	80.3
Long Flat (Qld)	F	51.7
Long Flat (Qld)	M	79.3
Long Pocket	F	64.7
Long Pocket	M	73.9
Longreach (Qld)	F	65.6
Longreach (Qld)	M	69.3
Lota	F	60
Lota	M	70.1
Lotus Creek	F	66.7
Lotus Creek	M	93.1
Lower Beechmont	F	63
Lower Beechmont	M	69.5
Lower Cowley	F	88.2
Lower Cowley	M	60
Lower Cressbrook	F	40
Lower Daintree	F	67.6
Lower Daintree	M	52
Lower Mount Walker	F	66.7
Lower Mount Walker	M	72.2
Lower Tenthill	F	58.3
Lower Tenthill	M	64.4
Lower Tully	F	63
Lower Tully	M	69.4
Lower Wonga	F	48.5
Lower Wonga	M	56.4
Lowesby	F	100
Lowesby	M	100
Lowestoff	F	109.1
Lowestoff	M	100
Lowmead	F	45.2
Lowmead	M	46.7
Lowood	F	43.1
Lowood	M	53
Lucinda	F	31.3
Lucinda	M	39.2
Lundavra	F	58.3
Lundavra	M	87.2
Luscombe	F	60.9
Luscombe	M	74.4
Lutwyche	F	72.6
Lutwyche	M	77
Lynam	M	37.5
Lyndhurst (Qld)	F	60
Lyndhurst (Qld)	M	100
Lyons (Qld)	F	66.7
Lyons (Qld)	M	29.4
Lyra	F	52.4
Lyra	M	85.7
Lytton	M	50
Ma Ma Creek	F	50.8
Ma Ma Creek	M	57.4
Maadi	F	52.9
Maadi	M	34.8
Maalan	F	23.1
Maalan	M	100
Maaroom	F	34.4
Maaroom	M	23.7
Mabuiag Island	F	28.6
Mabuiag Island	M	37.5
Macalister	F	56.9
Macalister	M	69.1
Macfarlane	F	54.5
Macfarlane	M	87.5
Macgregor (Qld)	F	48.3
Macgregor (Qld)	M	58.6
Machans Beach	F	51.9
Machans Beach	M	49.9
Machine Creek	F	43.5
Machine Creek	M	77.5
Mackay	F	52.4
Mackay	M	60.7
Mackay Harbour	F	56.1
Mackay Harbour	M	66.5
Mackenzie (Brisbane - Qld)	F	70.4
Mackenzie (Brisbane - Qld)	M	77.9
Mackenzie (Central Highlands - Qld)	F	80
Mackenzie (Central Highlands - Qld)	M	100
Mackenzie River	F	62.5
Mackenzie River	M	64.3
Macknade	F	53.7
Macknade	M	67.3
Maclagan	F	55.2
Maclagan	M	68.8
Macleay Island	F	28.7
Macleay Island	M	33
Magnolia	F	59.2
Magnolia	M	55.6
Maidenhead	F	66.7
Maidenhead	M	100
Maidenwell	F	44
Maidenwell	M	47.8
Main Beach	F	52
Main Beach	M	57.2
Majors Creek (Qld)	F	63.6
Majors Creek (Qld)	M	59.9
Malanda	F	45.8
Malanda	M	51.5
Malarga	F	133.3
Malarga	M	60
Maleny	F	41.9
Maleny	M	47.5
Malling	F	42.9
Malling	M	53.8
Malmoe	F	60
Malmoe	M	50
Malpas-Trenton	F	100
Malpas-Trenton	M	100
Malu	F	133.3
Malu	M	80
Manapouri	F	68
Manapouri	M	83.3
Mandalay	F	60.9
Mandalay	M	66.7
Maneroo	F	72.2
Maneroo	M	68.4
Mango Hill	F	69.3
Mango Hill	M	79.7
Manly (Qld)	F	62.8
Manly (Qld)	M	68
Manly West	F	60.4
Manly West	M	69.3
Mannuem	F	62.5
Mannuem	M	70
Manoora (Qld)	F	50.3
Manoora (Qld)	M	55.1
Mansfield (Qld)	F	59.2
Mansfield (Qld)	M	66.2
Mantuan Downs	F	61.5
Mantuan Downs	M	125
Manumbar	F	63.2
Manumbar	M	70.8
Manunda	F	50.2
Manunda	M	53.3
Manyung	F	53.6
Manyung	M	46.7
Mapleton	F	41
Mapleton	M	46.8
Mapoon	F	41.4
Mapoon	M	55.8
Maramie	F	100
Maramie	M	100
Marburg	F	56.6
Marburg	M	63.3
Marcoola	F	61.2
Marcoola	M	67.8
Marcus Beach	F	61.2
Marcus Beach	M	65.9
Mareeba	F	50.3
Mareeba	M	55.9
Margate (Qld)	F	51.4
Margate (Qld)	M	61.1
Maria Creeks	F	45.7
Maria Creeks	M	72.9
Marian	F	63.5
Marian	M	74.7
Marlborough	F	73.1
Marlborough	M	73.5
Marmadua	F	100
Marmor	F	57.3
Marmor	M	54
Maroochy River	F	63.7
Maroochy River	M	69
Maroochydore	F	51.3
Maroochydore	M	57.8
Maroon	F	54
Maroon	M	64.4
Maroondan	F	38.4
Maroondan	M	40.1
Marsden	F	51.1
Marsden	M	65.1
Marshlands	M	50
Martyville	F	56.3
Martyville	M	81
Maryborough (Qld)	F	39
Maryborough (Qld)	M	45.9
Maryborough West	F	47.4
Maryborough West	M	49.8
Marys Creek	F	66.7
Marys Creek	M	75
Maryvale (Livingstone - Qld)	F	85.7
Maryvale (Livingstone - Qld)	M	100
Maryvale (Southern Downs - Qld)	F	35
Maryvale (Southern Downs - Qld)	M	43.9
Masig Island	F	36.6
Masig Island	M	51.1
Massie	F	73.5
Massie	M	77.6
Maudsland	F	69.7
Maudsland	M	78.7
Maxwelton	F	44.4
Maxwelton	M	90
May Downs	F	86.7
May Downs	M	94.7
McCutcheon	F	44.4
McCutcheon	M	46.2
McDesme	F	56.9
McDesme	M	79.1
McDowall	F	66.8
McDowall	M	74.1
McEwens Beach	F	57.8
McEwens Beach	M	64.4
McIlwraith	F	48.7
McIlwraith	M	46.3
McIntosh Creek	F	66.7
McIntosh Creek	M	74.4
McKinlay	F	76.5
McKinlay	M	82.6
Meadowbrook	F	57.2
Meadowbrook	M	66.9
Meadowvale	F	51.1
Meadowvale	M	58.5
Meandarra	F	51.9
Meandarra	M	71
Meikleville Hill	F	53.8
Meikleville Hill	M	53.1
Melawondi	F	45.5
Melawondi	M	38.5
Meldale	F	48.6
Meldale	M	48.6
Memerambi	F	49.5
