SSC_NAME16	unemployment
East Maitland	7.9
East Ryde	4.5
East Seaham	4.4
East Tamworth	4.8
East Wagga Wagga	7.3
East Wardell	5.8
Eastern Creek	5.2
Eastgardens	3.3
Eastlakes	8.6
Eastwood (NSW)	8
Eatonsville	15.3
Ebenezer (NSW)	3.9
Ebor	4.7
Eden	7.1
Eden Creek	12.3
Edensor Park	8
Edgecliff	3.3
Edgeroi	11.9
Edgeworth	6.7
Edmondson Park	6.1
Eglinton (NSW)	3.7
Elands	23.2
Elanora Heights	3.1
Elderslie (Camden - NSW)	4.1
Elderslie (Singleton - NSW)	4.3
Eleebana	5.2
Elermore Vale	7.9
Elizabeth Bay	3.7
Elizabeth Beach	2.9
Elizabeth Hills	4.7
Ellalong	6
Elland	3
Ellangowan (NSW)	9.4
Ellenborough	7.5
Ellis Lane	4.2
Elong Elong	6
Elsmore	4.8
Eltham (NSW)	2.7
Emerald Beach	6.9
Emerton	14.4
Emmaville	13.9
Empire Bay	5.6
Empire Vale	3.8
Emu Heights (NSW)	3.9
Emu Plains	4.4
Emu Swamp	3.4
Enfield (NSW)	5.5
Engadine	3
Englorie Park	8.5
Enmore (Inner West - NSW)	4.6
Enngonia	10.8
Epping (NSW)	7.4
Erina	5
Erina Heights	4.7
Ermington	5.7
Erowal Bay	7.5
Erskine Park	4.8
Erskineville	3.4
Erudgere	5.7
Eschol Park	6.3
Estella	4.6
Ettalong Beach	9.2
Ettamogah	10.3
Ettrick (NSW)	7.5
Euabalong	6.2
Euchareena	4.1
Eugowra	3.7
Eumungerie	7.5
Eungai Creek	15.4
Eungai Rail	23.1
Eungella (NSW)	7.8
Eureka (NSW)	6.2
Eurimbla	15
Eurobodalla	7.9
Euroka	6.6
Eurunderee	3
Euston	3.3
Evans Head	7
Evans Plains	5.6
Eveleigh	6.4
Eviron	5.4
Ewingar	32
Ewingsdale	4.4
Exeter (NSW)	4
Failford	5.9
Fairfield (NSW)	14.6
Fairfield East	10.7
Fairfield Heights	11.8
Fairfield West	9.8
Fairlight	3.2
Fairy Hill	7.6
Fairy Meadow	9.3
Falls Creek (NSW)	3.9
Far Meadow	3
Farley	2.8
Farmborough Heights	4.7
Farrants Hill	9.3
Farringdon	30
Fassifern (NSW)	8
Faulconbridge	4.1
Faulkland	7
Fawcetts Plain	12.7
Federal (NSW)	6.2
Fennell Bay	10.4
Fern Bay	6.3
Fernbank Creek	6.1
Fernbrook	13.8
Fernhill	8.8
Fernleigh	4.3
Fernmount	4.7
Fernvale (NSW)	5.1
Ferodale	6.5
Fiddletown	2.2
Fifield	7.1
Figtree	5.9
Fingal Bay	7.8
Fingal Head	8.1
Finley	4.9
Firefly	7.1
Fishermans Bay	10.7
Fishermans Paradise	7.6
Fishermans Reach	6.9
Fishing Point	6.8
Five Dock	4.4
Fletcher (NSW)	5.6
Flinders (NSW)	5.7
Floraville	4.3
Forbes (NSW)	6
Forbesdale	5.1
Fords Bridge	14.3
Forest Grove (NSW)	6.1
Forest Hill (NSW)	3.9
Forest Lodge	6
Forest Reefs	6
Forestville (NSW)	3.6
Forresters Beach	4.3
Forster (NSW)	7.9
Fortis Creek	36.4
Fountaindale	3.6
Frazers Creek	3.6
Frederickton	8.2
Freemans Reach	3.3
Freemans Waterhole	19.6
Frenchs Forest	4
Freshwater (NSW)	2.8
Frog Rock	4.5
Frogmore	4.6
Frogs Hollow	6.7
Fullerton	10.3
Fullerton Cove	6.3
Galong	7.4
Galston	3.5
Ganmain	11.8
Garah	1.8
Garden Suburb	5
Garthowen	4.4
Gateshead	11.2
Geneva	8.3
Georges Hall	5.8
Georges Plains	7.6
Georgetown (NSW)	7.7
Georgica	2.8
Gerogery	3
Gerringong	3.4
Gerroa	4.4
Geurie	5.2
Ghinni Ghinni	13
Ghoolendaadi	10.7
Giants Creek	9.1
Gibberagee	30
Gilgai	9.2
Gilgandra	7.1
Gillenbah	4.9
Gillieston Heights	5.8
Gilmore (NSW)	3.1
Gin Gin (NSW)	6
Girards Hill	11.1
Girilambone	5.9
Girralong	23.5
Girraween (NSW)	7.3
Girvan	11.1
Gladesville	4.2
Gladstone (NSW)	12.3
Glanmire (NSW)	8.9
Glebe (NSW)	6.7
Glen Alpine	4.8
Glen Innes	8.3
Glen Oak	5.6
Glen William	4.3
Glenbawn	7
Glenbrook	3.5
Glencoe (NSW)	9.8
Glendale (NSW)	8.5
Glendenning	7.2
Glendon	10.9
Glendon Brook	2.1
Glenfield (NSW)	7.9
Glenfield Park	5.1
Glengarrie	8.2
Glenhaven	3.8
Gleniffer	6.4
Glenmore Park	3.9
Glenning Valley	4.1
Glenorie	2.8
Glenreagh	9.4
Glenridding	8.8
Glenroy (Albury - NSW)	5.9
Glenthorne	4.3
Glenugie	9.2
Glenwood (NSW)	6.1
Glossodia	3
Gloucester	8.5
Gobbagombalin	2.1
Gocup	3.8
Godfreys Creek	10.8
Gogeldrie	5.4
Gol Gol	3.2
Golspie	9.5
Gongolgon	18.2
Good Hope	3.2
Goodnight	6.3
Goodooga	19.1
Googong	2.1
Goolmangar	4.2
Gooloogong	2.5
Goombargana	13.8
Goonellabah	6.9
Goonengerry	10.7
Goonumbla	4.5
Gordon (NSW)	5.9
Gormans Hill	8.4
Gorokan	9.3
Gosford	9.8
Gosforth	8.3
Goulburn	6.9
Gowrie (Singleton - NSW)	4.8
Grabben Gullen	3.6
Grafton	8.7
Granville (NSW)	10.7
Grasmere	2.2
Grattai	7.9
Gravesend	3.6
Grays Point	3.3
Green Pigeon	7
Green Point (Central Coast - NSW)	6
Green Point (Mid-Coast - NSW)	11.9
Green Valley (NSW)	8.3
Greenacre	8.8
Greendale (Bega Valley - NSW)	10.2
Greendale (Liverpool - NSW)	8.2
Greenethorpe	7.1
Greenfield Park	8.5
Greenhill (NSW)	7.9
Greenhills Beach	2.2
Greenleigh	3.5
Greenridge	4.5
Greenwell Point	6.5
Greenwich	4.4
Gregory Hills	3.7
Grenfell	5.9
Gresford	3.8
Greta (NSW)	8.6
Greta Main	8.8
Grevillia	13.3
Greystanes	5.8
Griffith (NSW)	5.4
Grong Grong	3.1
Grose Vale	2.2
Grose Wold	3
Guildford (NSW)	11.1
Guildford West	7.8
Gulargambone	13.1
Gulgong	8.6
Gulmarrad	5.4
Gum Flat	8.3
Gum Scrub	5.1
Gumly Gumly	2.1
Gumma	5.2
Gunbar	8.3
Gundagai	4.4
Gundaroo	1.9
Gundary	5
Gunderman	5.6
Gundy	2.9
Gungal	14.9
Gunnedah	5.6
Gunning	5.4
Gurley	5.1
Gurranang	30
Guyong	5.1
Guyra	5.7
Gwabegar	20.8
Gwandalan	6.8
Gwynneville	15.8
Gymea	3.9
Gymea Bay	3
Haberfield	4
Halekulani	10.1
Halfway Creek	24.2
Hallidays Point	3.8
Halls Creek (NSW)	6.6
Hallsville	3.6
Hamilton (NSW)	7.1
Hamilton East	6.2
Hamilton North	5.5
Hamilton South	8.2
Hamilton Valley	6.4
Hamlyn Terrace	6.5
Hammondville	5
Hanging Rock	8.3
Hannam Vale	5.3
Hanwood	4.8
Harden	5.3
Hardys Bay	3
Hargraves	4.4
Harrington	11.4
Harrington Park	4.4
Harris Park	9
Hartley (NSW)	5.9
Hartley Vale	7.7
Harwood	8.2
Hassall Grove	6.8
Hastings Point	9.9
Hat Head	3.4
Hawkesbury Heights	1.2
Hawks Nest	10.4
Hay (NSW)	4.9
Hay South	4.8
Haymarket	9.2
Haywards Bay	3.4
Hazelbrook	4.1
Heathcote (NSW)	3.7
Heatherbrae	11.3
Hebersham	10.3
Heckenberg	13
Heddon Greta	6.3
Helensburgh	3.7
Henley	1.2
Henty (NSW)	5.5
Hermitage Flat	14.5
Hernani	4.3
Herons Creek	8.3
Hexham (NSW)	6.4
Hickeys Creek	6.3
High Range	1.5
Highfields (NSW)	4.3
Hill Top (Wingecarribee - NSW)	4.6
Hilldale	7.5
Hillgrove (Armidale Regional - NSW)	8.9
Hillgrove (Wagga Wagga - NSW)	14.3
Hillsborough (Lake Macquarie - NSW)	6.2
Hillsborough (Maitland - NSW)	12
Hillsdale	6.6
Hillston	4.5
Hillville	10
Hillvue	4.2
Hinchinbrook (NSW)	8
Hinton	2.2
Hobartville (NSW)	5.3
Hobbys Yards	7
Holbrook	4.4
Holgate	3.3
Holmesville	6.9
Holroyd	7.6
Holsworthy	4.5
Homebush (NSW)	7.5
Homebush West	8.3
Homeleigh	6.5
Hopkins Creek	14
