SSC_NAME16	Age	persons
Auburn Vale	35-44	16
Auburn Vale	45-54	18
Auburn Vale	55-64	21
Auburn Vale	65-74	14
Auburn Vale	75-84	11
Auburn Vale	85+	3
Austinmer	0-4	152
Austinmer	5-14	365
Austinmer	15-19	148
Austinmer	20-24	139
Austinmer	25-34	243
Austinmer	35-44	350
Austinmer	45-54	363
Austinmer	55-64	386
Austinmer	65-74	259
Austinmer	75-84	112
Austinmer	85+	34
Austral	0-4	131
Austral	5-14	370
Austral	15-19	202
Austral	20-24	241
Austral	25-34	288
Austral	35-44	336
Austral	45-54	433
Austral	55-64	325
Austral	65-74	326
Austral	75-84	214
Austral	85+	162
Austral Eden	0-4	3
Austral Eden	5-14	23
Austral Eden	15-19	4
Austral Eden	20-24	12
Austral Eden	25-34	15
Austral Eden	35-44	17
Austral Eden	45-54	31
Austral Eden	55-64	18
Austral Eden	65-74	21
Austral Eden	75-84	15
Avalon Beach	0-4	560
Avalon Beach	5-14	1408
Avalon Beach	15-19	688
Avalon Beach	20-24	501
Avalon Beach	25-34	651
Avalon Beach	35-44	1155
Avalon Beach	45-54	1621
Avalon Beach	55-64	1492
Avalon Beach	65-74	1066
Avalon Beach	75-84	493
Avalon Beach	85+	273
Avisford	5-14	3
Avisford	25-34	3
Avisford	45-54	5
Avisford	55-64	3
Avisford	65-74	3
Avoca (NSW)	0-4	7
Avoca (NSW)	5-14	31
Avoca (NSW)	15-19	13
Avoca (NSW)	20-24	5
Avoca (NSW)	25-34	12
Avoca (NSW)	35-44	17
Avoca (NSW)	45-54	36
Avoca (NSW)	55-64	26
Avoca (NSW)	65-74	40
Avoca (NSW)	75-84	7
Avoca Beach	0-4	264
Avoca Beach	5-14	742
Avoca Beach	15-19	344
Avoca Beach	20-24	228
Avoca Beach	25-34	378
Avoca Beach	35-44	602
Avoca Beach	45-54	724
Avoca Beach	55-64	602
Avoca Beach	65-74	446
Avoca Beach	75-84	191
Avoca Beach	85+	58
Avondale (NSW)	0-4	109
Avondale (NSW)	5-14	191
Avondale (NSW)	15-19	88
Avondale (NSW)	20-24	100
Avondale (NSW)	25-34	224
Avondale (NSW)	35-44	167
Avondale (NSW)	45-54	261
Avondale (NSW)	55-64	261
