SSC_NAME16	medianMortgageRepayment
Wy Yung	16896
Wycheproof	7800
Wycheproof South	
Wychitella	11700
Wychitella North	
Wye River	16908
Wyelangta	17520
Wyndham Vale	19200
Wyuna (Vic.)	20796
Wyuna East	13440
Yaapeet	7800
Yabba North	11640
Yabba South	36924
Yackandandah	18720
Yalca	17160
Yalla-Y-Poora	
Yallambie	23400
Yallourn	11700
Yallourn North	11436
Yalmy	
Yambuk	12996
Yambuna	18720
Yan Yean	23400
Yanac	16608
Yanakie	13152
Yando	
Yandoit	10272
Yandoit Hills	20544
Yangery	15600
Yangoura	
Yannathan	20796
Yapeen	15600
Yarck	17160
Yarpturk	22404
Yarra Glen	23400
Yarra Junction	18204
Yarraberb	
Yarragon	16068
Yarragon South	14352
Yarram	12996
Yarrambat	26400
Yarraville	26004
Yarrawalla	7800
Yarrawonga (Vic.)	16116
Yarrawonga South	
Yarroweyah	16848
Yatchaw	
Yawong Hills	
Yea	15600
Yellingbo	20796
Yelta (Vic.)	14484
Yendon	17688
Yeo	16800
Yeodene	15600
Yering	26004
Yeungroon	
Yeungroon East	
Yielima	20808
Yinnar	15600
Yinnar South	18180
York Plains (Vic.)	
Youanmite	11796
Youarang	
Yulecart	16932
Yundool	11700
Yuroke	21204
Yuulong	
Zeerust	16500
Zumsteins	
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Abbeywood	
Abbotsford (Qld)	
Abercorn	
Abergowrie	16644
Abingdon Downs	
Abington (Qld)	18204
Acacia Ridge	18204
Acland	
Adare	20796
Adavale	
Adelaide Park	23400
Advancetown	27924
Aeroglen	20796
Agnes Water	20280
Airdmillan	26304
Airlie Beach	26208
Airville	20280
Aitkenvale	19236
Alabama Hill	12996
Albany Creek	23400
Alberta	
Alberton (Qld)	23400
Albinia	
Albion (Brisbane - Qld)	24000
Albion (Richmond - Qld)	
Alderley	26004
Aldershot	12996
Aldoga	
Alexandra (Qld)	21060
Alexandra Headland	21948
Alexandra Hills	21840
Algester	21036
Alice Creek	
Alice River	24960
Allan	15600
Allandale (Qld)	15108
Allenstown	15600
Allenview	21576
Alligator Creek (Mackay - Qld)	26004
Alligator Creek (Townsville - Qld)	24000
Allora	15600
Alloway	18204
Almaden	
Aloomba	20604
Alpha	13656
Alsace	
Alton Downs	22104
Alva	14400
Amamoor	15600
Amamoor Creek	16116
Amaroo (Qld)	
Amber	
Amberley	
Ambrose	18000
Amby	4608
Amiens	15300
Amity	19968
Andergrove	22356
Anderleigh	15084
Andromache	
Anduramba	
Annandale (Qld)	21924
Annerley	24000
Anstead	26004
Anthony	16080
Antigua	12996
Apple Tree Creek	14400
Applethorpe	17628
Arafura Sea	
Araluen (Qld)	20088
Aramac	5436
Aramara	7800
Arana Hills	23400
Aranbanga	
Aratula (Qld)	18000
Arbouin	
Arcadia (Qld)	13524
Arcadia Valley	
Archer River	
Archerfield	17160
Arcturus	
Argoon (Qld)	26004
Argyll	
Armstrong Beach	23400
Armstrong Creek (Qld)	25356
Aroona	23400
Arriga	32892
Arundel	21600
Ascot (Brisbane - Qld)	28956
Ascot (Toowoomba - Qld)	16536
Ashfield (Qld)	22884
Ashgrove	29568
Ashmore	22260
Ashwell	18408
Aspley	24000
Atherton	16980
Athol	28248
Atkinsons Dam	13200
Aubigny	20400
Auburn (Qld)	
Auchenflower	26004
Augathella	5196
Augustine Heights	27600
Aurukun	
Austinville	19200
Avenell Heights	15600
Avoca (Qld)	17820
Avoca Vale	
Avondale (Qld)	13836
Ayr	15756
Babinda (Qld)	14904
Back Plains	18000
Badu Island	
Baffle Creek	15600
Baffle West	
Bahrs Scrub	23400
Bajool	20004
Bakers Bend	13008
Bakers Creek (Qld)	22800
Baking Board	23400
Balberra	22104
Balcomba	
Bald Hills (Qld)	20796
Bald Knob	23400
Balgal Beach	17424
Balgowan (Qld)	
Ball Bay	20604
Ballandean	13380
Ballard	15456
Ballaroo	15600
Ballogie	10404
Balmoral (Qld)	28800
Balmoral Ridge	26136
Balnagowan	28704
Bamaga	
Bambaroo	13776
Bamboo	31200
Bamboo Creek	21300
Ban Ban	
Ban Ban Springs	
Banana	15600
Bancroft	18204
Bangalee (Qld)	25788
Bangall	
Banks Creek	
Banks Pocket	22368
Banksia Beach	21600
Bannockburn (Qld)	21852
Banyo	23400
Bapaume	15600
Barakula	
Baralaba	8712
Barambah	20400
Barcaldine	14400
Barcaldine Downs	
Bardon	31200
Baree	10404
Barellan Point	21600
Bargara	19224
Bargunyah	15900
Barker Creek Flat	9888
Barkly (Qld)	
Barlil	8700
Barlows Hill	23400
Barlyne	
Barmaryee	23964
Barmoya	26604
Barnard	
Barney Point	19200
Barney View	
Baroondah	
Barramornie	
Barratta (Qld)	12000
Barrine	25896
Barringha	21060
Barringun	
Barron	
Barron Gorge	
Bartle Frere	13524
Barwidgi	
Basalt (Qld)	
Basilisk	
Basin Pocket	15600
Battery Hill	19812
Bauhinia	
Bauple	11508
Bauple Forest	
Bayrick	
Bayview Heights	20220
Beach Holm	
Beachmere	18204
Beaconsfield (Qld)	24444
Beatrice	8808
Beaudesert	17304
Beaufort (Qld)	7500
Beaver Rock	15936
Bedourie	
Beebo	6000
Beecher	26004
Beechmont	20640
Beelbee	
Beelbi Creek	16800
Beenaam Valley	20796
Beenleigh	18000
Beerburrum	22608
Beeron	24960
Beerwah	20796
Begonia	
Beilba	
Belcong	
Belgian Gardens	18792
Belivah	21600
Bell (Qld)	12996
Bella Creek	10920
Bellara	17160
Bellbird Park	19764
Bellbowrie	24000
Bellenden Ker	14760
Bellevue (Qld)	
Bellfield (Qld)	
Belli Park	18204
Bellmere	20088
Bells Bridge	14304
Bells Creek	27876
Bellthorpe	17184
Belmont (Qld)	24696
Belmunda	
Belvedere	17628
Belyando	
Bemerside	15888
Benair	19164
Benaraby	28596
Benarkin	
Benarkin North	11700
Benholme	26004
Benobble	
Benowa	24696
Bentley Park	20340
Berajondo	24000
Berat	24000
Bergen	15864
Berrinba	23136
Berserker	15600
Bethania	18204
Biarra	16800
Biboohra	20604
Biddaddaba	19800
Biddeston	15600
Bidwill (Qld)	15600
Biggenden	10404
Biggera Waters	20796
Bilinga	20796
Billa Billa	
Biloela	19104
Bilyana	13704
Bindebango	
Bingegang	
Bingil Bay	16644
Binjour	9156
Binna Burra (Qld)	
Birdsville	
Birkalla	30744
Birkdale	23532
Birnam (Scenic Rim - Qld)	24000
Birnam (Toowoomba - Qld)	19500
Birtinya	30000
Black Duck Creek	
Black Jack	16896
Black Mountain (Qld)	20796
Black River (Qld)	20796
Black Snake	17076
Blackall	10404
Blackbull	
Blackbutt (Qld)	11436
Blackbutt North	10488
Blackbutt South	12624
Blackdown	
Blackrock	15600
Blacks Beach	26004
Blacksoil	18204
Blackstone	18204
Blackswamp	18204
Blackwater	18240
Blairmore	
Blanchview	18204
Blantyre	10404
Blaxland (Qld)	
Blenheim	16800
Bli Bli	21348
Bloomfield	12168
Bloomsbury	17076
Blue Mountain	
Blue Mountain Heights	26004
Bluewater	20796
Bluewater Park	24000
Bluff	18204
Blythdale	
Boatman	
Bogandilla	
Bogie	11388
Bohle	
Bohle Plains	24000
Boigu Island	
Bokarina	23400
Bollier	15600
Bollon	6432
Bolwarra (Qld)	
Bombeeta	12996
Bon Accord	
Bondoola	23400
Bongaree	17424
Bongeen	
Bonnie Doon (Qld)	23088
Bonogin	26736
Bonshaw (Qld)	
Bony Mountain	14004
Boodua	15600
Boogan	24960
Booie	19500
Boolboonda	
Boolburra	
Boompa	3900
Boonah (Qld)	15600
Boonara	21300
Boonarga	
Boondall	21564
Boondandilla	
Boondooma	6000
Boonooroo	14400
Boonooroo Plains	
Booral (Qld)	16800
Booroobin	22452
Booubyjan	24000
Booval	15600
Booyal	11424
Borallon	31200
Boreen Point	12996
Boronia Heights	18720
Bororen	18204
Boulder Creek	
Bouldercombe	20412
Boulia	10872
Bountiful Islands	
Bowen	20796
Bowen Hills	24000
Bowenville	15600
Boyland	26004
Boyne Island	24696
Boyne Valley	13932
Boynedale	
Boyneside	
Boynewood	15900
Bracalba	20796
Bracewell	27816
Bracken Ridge	21720
Braemeadows	14556
Braemore	10404
Bramston Beach	13500
Branch Creek	
Branchview	
Brandon	15600
Brandy Creek (Qld)	20796
Branyan	18984
Brassall	18204
Bray Park (Qld)	20796
Breadalbane (Qld)	
Breakaway	27600
Breddan	18204
Brendale	16644
Bribie Island North	
Bridgeman Downs	27144
Bridges	20796
Brigalow	10404
Brightly	14808
Brighton (Qld)	23400
Brightview	18000
Brigooda	
Bringalily	10800
Brinsmead	21600
Brisbane Airport	
Brisbane City	24000
Broadbeach	20796
Broadbeach Waters	26004
Broadmere	
Broadwater (Qld)	17160
Broken River	
Bromelton	25272
Brookfield (Qld)	30000
Brookhill	26208
Brooklands	10404
Brookstead	11280
Brookwater	31200
Brooloo	13200
Brooweena	7932
Broughton (Qld)	19200
Brovinia	
Browns Plains (Qld)	17940
Broxburn	23400
Brush Creek	16020
Bryden	
Brymaroo	14928
Buaraba	18000
Buaraba South	
Bucasia	24696
Bucca (Qld)	16644
Buccan	24732
Buckingham (Qld)	
Buckland (Qld)	
Buddina	23988
Buderim	22824
Budgee	15600
Bukali	17400
Bulgun	15600
Bulimba	32748
Bullawarra	
Bullcamp	15600
Bulleringa	
Bulli Creek	
Bulloo Downs	
Bullyard	13260
Bulwer	
Bunburra	17652
Bundaberg Central	
Bundaberg East	16116
Bundaberg North	15600
Bundaberg South	14040
Bundaberg West	14664
Bundall	26328
Bundamba	16800
Bundi	
Bundoora (Qld)	
Bungaban	
Bungadoo	16248
Bungalow	16644
Bungeworgorai	16800
Bungil (Qld)	
Bungundarra	23400
Bungunya	
Bunjurgen	21996
Bunya	26004
Bunya Creek	21204
Bunya Mountains	24240
Burbank	31200
Burdell	23400
Burgowan	15600
Burketown	
Burleigh	
Burleigh Heads	23400
Burleigh Waters	22800
Burncluith	25596
Burnett Creek	
Burnett Heads	15000
Burnside (Qld)	20472
Burpengary	20796
Burpengary East	24000
Burra Burri	
Burrar Islet	
Burrum Heads	17100
Burrum River	13908
Burrum Town	13524
Burton (Qld)	
Burua	29748
Bushland Beach	24000
Bushley	15600
Butchers Creek	9360
Buxton (Qld)	10404
Bybera	
Byee	
Byellee	
Byfield	15816
Bymount	
Byrnestown	
Cabarlah	20796
Caboolture	18960
Caboolture South	16896
Caboonbah	
Cadarga	
Caffey	15600
Cainbable	28596
Cairdbeign	22008
Cairns City	23148
Cairns North	16896
Calamvale	21600
Calavos	16896
Calcium	
Caldervale	
Calen	16740
Calgoa	
Calico Creek	14556
Calingunee	
Callandoon	
Callemondah	
Callide	30036
Calliope (Qld)	25200
Caloundra	18204
Caloundra West	22152
Calvert (Qld)	18468
Camboon (Qld)	
Cambooya	17400
Cambridge (Qld)	
Cambroon	15000
Cameby	24000
Cameron Corner	
Camira (Qld)	19764
Camoola	
Camooweal	
Camp Creek (Qld)	24000
Camp Hill	28368
Camp Mountain	28596
Campaspe	12000
Campbell Creek	
Campbells Pocket	36000
Campwin Beach	20796
Canaga	28608
Canal Creek	
Cania	
Canina	18456
Cannindah	
Canning Creek	
Canningvale	18204
Cannon Creek (Scenic Rim - Qld)	13524
Cannon Creek (Southern Downs - Qld)	11700
Cannon Hill	25476
Cannon Valley	26400
Cannonvale	21600
Canoona	26004
Canungra	21324
Capalaba	22200
Cape Cleveland	21972
Cape Conway	
Cape Gloucester	16260
Cape Hillsborough	22800
Cape Tribulation	13032
Capella	20928
Captain Creek	19500
Captains Mountain	20400
Caravonica	19452
Carbine Creek	
Carbrook	30600
Cardstone	
Cardwell	15600
Carina (Qld)	24000
Carina Heights	24000
Carindale	26004
Carmila	14400
Carmoo	14088
Carnarvon Park	
Carneys Creek	
Carole Park	
Caroline Crossing	
Carpendale	19500
Carpentaria	
Carrandotta	
Carrara	22104
Carrington (Qld)	20400
Carruchan	15600
Carseldine	24000
Carstairs	19236
Carters Ridge	18828
Cashmere	26004
Cassowary	25200
Castaways Beach	24000
Castle Creek (Qld)	
Castle Hill (Qld)	36000
Cattle Creek (North Burnett - Qld)	
Cattle Creek (Toowoomba - Qld)	
Causeway Lake	18720
Cawarral	20796
Cawdor (Qld)	26844
Cecil Plains	8280
Cedar Creek (Gold Coast - Qld)	23664
Cedar Creek (Moreton Bay - Qld)	31200
Cedar Grove	22152
Cedar Pocket	15600
Cedar Vale	23964
Cedarton	15600
Cement Mills	
Centenary Heights	18204
Ceratodus	
Chahpingah	
Chambers Flat	24000
Chances Plain	18204
Chandler (Qld)	33804
Chapel Hill (Qld)	26004
Charlestown (Qld)	15576
Charleville	12996
Charlton (Qld)	30000
Charlwood	12264
Charters Towers City	14304
Chatsworth (Qld)	18600
Cheeseborough	
Chelmer	31200
Chelmsford	24600
Chelona	32400
Cheltenham (Qld)	
Cherbourg	
Chermside	21588
Chermside West	23784
Cherry Creek	19764
Cherry Gully	
Cherwell	
Chevallum	21060
Chewko	20796
Childers (Qld)	13656
Chillagoe	6024
Chinchilla	19848
Chinghee Creek	
Chirnside	
Chorregon	
Christmas Creek	17640
Churchable	20400
Churchill (Qld)	15600
Chuwar	22800
Cinnabar	23700
Clagiraba	24948
Clairview	13200
Clara Creek	
Claraville	
Clare (Qld)	12000
Clarendon (Qld)	16740
Clarke Creek	
Clayfield	25200
Clear Island Waters	25008
Clear Mountain	29016
Clemant	
Clermont	19008
Cleveland (Qld)	23400
Clifford	
Clifton (Qld)	13356
Clifton Beach (Qld)	24000
Clinton (Qld)	23400
Clintonvale	9096
Cloncurry	18204
Clontarf (Moreton Bay - Qld)	20400
Clontarf (Toowoomba - Qld)	
Closeburn	28704
Cloyna	12996
Cluden	20664
Clumber	16776
Coal Creek	20700
Coalbank	
Coalfalls	18204
Coalstoun Lakes	12996
Cobbs Hill	
Cobraball	15600
Cockatoo (Qld)	
Coconuts	16680
Coen	8808
Coes Creek	18984
Coles Creek	19524
Colevale	19800
Coleyville	15084
Colinton (Qld)	15600
Collaroy (Qld)	
College View	
Collingwood Park (Qld)	19236
Collinsville (Qld)	14400
Colosseum	20796
Columbia	16908
Columboola	14400
Comet	25488
Commissioners Flat	
Como (Qld)	12996
Comoon Loop	
Cona Creek	10404
Condamine	19704
Condamine Farms	
Condamine Plains	
Condon	18204
Conjuboy	
Conondale	14784
Consuelo	
Conway	20796
Conway Beach	18000
Coochiemudlo Island	14760
Coochin	12996
Coochin Creek	28596
Cooee Bay	20748
Cooeeimbardi	
Cooktown	15600
Coolabine	29700
Coolabunia	19836
Cooladdi	
Coolana	19188
Coolangatta (Qld)	19236
Coolbie	17220
Coolmunda	10200
Cooloola	
Cooloola Cove	13596
Cooloolabin	19884
Coolum Beach	21600
Coombabah	20280
Coomera	25224
Coominglah	
Coominglah Forest	
Coominya	15540
Coomoo	
Coomrith	
Coonambula	11700
Coonarr	18204
Coondoo	26004
Coongoola	
Coopers Plains	20400
Coorada	
Cooran	16536
Cooranga	26004
Cooroibah	22104
Cooroo Lands	
Coorooman	18204
Cooroy	19668
Cooroy Mountain	29304
Coorparoo	24000
Coorumba	18204
Coorumbene	
Cootharaba	19800
Coowonga	26004
Cooya Beach	15864
Cooyar	9216
Coppabella (Qld)	
Coquette Point	21300
Coral Cove	20796
Coral Sea	
Coralie	
Cordalba	12996
Cordelia	12216
Corella	20796
Corfield	
Corinda	25740
Coringa	12528
Corndale (Qld)	
Cornish Creek	
Cornubia	24000
Cornwall (Qld)	
Cosgrove (Qld)	24000
Cotherstone	
Cotswold Hills	20796
Cottonvale (Qld)	15600
Coulson	23916
Coverty	10404
Cow Bay	9600
Cowan Cowan	
Cowley	12996
Cowley Beach	12996
Cowley Creek	
Cracow	
Craiglie	23400
Craignish	20796
Cranbrook (Qld)	18132
Cranley	19764
Crawford	18000
Crediton	21792
Cremorne (Qld)	
Cressbrook	16932
Cressbrook Creek	
Crestmead	18204
Crimea	
Crinum	37704
Croftby	15600
Crohamhurst	18000
Cromarty	
Crossdale	
Crossroads	
Crowley Vale	10404
Crownthorpe	15972
Crows Nest (Qld)	15600
Croydon (Qld)	4020
Cryna	12000
Crystal Brook (Qld)	15600
Crystal Creek (Qld)	
Crystalbrook	
Cullinane	14400
Cungulla	16800
Cunnamulla	6768
Cunningham (Qld)	18204
Curra	15084
Currajah	14304
Currajong	18720
Curramore (Qld)	18372
Currimundi	21192
Currumbin	21840
Currumbin Valley	24000
Currumbin Waters	23400
Curtis Island	
Cushnie	16908
Cutella	
Cuttaburra	
Cynthia	
Cypress Gardens	8736
D'Aguilar	20796
Dagmar	
Dagun	17688
Daintree	10896
Daisy Hill (Qld)	21972
Dajarra	
Dakabin	23400
Dakenba	9408
Dalbeg	
Dalby	17760
Dalcouth	18204
Dalga	
Dallarnil	11760
Dalma	29772
Dalrymple Creek	15588
Dalrymple Heights	20796
Dalveen	13656
Dalwogon	11460
Dalysford	10404
Damascus	15600
Damper Creek	
Danbulla	22920
Danderoo	23400
Dangore	11340
Daradgee	11184
Dargal Road	26004
Darling Heights	17160
Darlington (Qld)	24000
Darr Creek	
Darra	18600
Darts Creek	20796
Dauan Island	
Daveson	
Dayboro	25608
Daymar	
Deagon	21168
Deception Bay	18456
Dedin	
Deebing Heights	24000
Deep Creek (Qld)	
Deepwater (Qld)	10008
Deeragun	20340
Deeral	12996
Degarra	11964
Degilbo	10404
Delan	11400
Delaneys Creek	21600
Depot Hill	12000
Derri Derra	18744
Derrymore	24048
Desailly	
Deuchar	16248
Devereux Creek	24000
Devon Park (Qld)	19200
Diamantina Lakes	
Diamond Valley	21600
Diamondvale	18000
Diamondy	17676
Dicky Beach	20796
Didcot	9876
Diddillibah	20796
Diglum	
Dimbulah	15600
Dingo	12996
Dingo Beach	15000
Dingo Pocket	18204
Dinmore	13104
Dirnbir	10404
Dirranbandi	8760
Dittmer	11436
Diwan	13800
Dixalea	22800
Dixie (Qld)	
Djarawong	21600
Djiru	
Djuan	23292
Doctor Creek	
Dolphin Heads	31200
Domville	
Donnybrook (Qld)	17520
Doolandella	23400
Doolbi	15600
Doomadgee	
Doonan	23556
Doongul	
Dotswood	16200
Doughboy	
Douglas (Toowoomba - Qld)	14220
Douglas (Townsville - Qld)	22308
Dowar Islet	
Downsfield	9600
Dows Creek	23700
Draper	26004
Drayton	18000
Drewvale	25200
Drillham	12000
Drillham South	16980
Drinan	14340
Dromedary (Qld)	
Drummondslope	
Duaringa	8268
Duchess	
Duckinwilla	
Ducklo	19116
Dugandan	18204
Duingal	12948
Dulacca	7608
Dulong	23496
Dululu	17520
Dumbleton	20796
Dumgree	15600
Dumpy Creek	
Dundarrah	
Dundas (Qld)	17472
Dundathu	15600
Dundowran	19896
Dundowran Beach	20640
Dunk	
Dunkeld (Qld)	
Dunmora	18204
Dunmore (Qld)	
Dunnrock	14700
Dunrobin (Qld)	
Dunwich	20796
Durack (Qld)	20796
Durah	
Durham	
Durham Downs	
Durong	11520
Dutton Park	26004
Dutton River	
Dykehead	
Dynevor	
Dysart (Qld)	10008
Eagle Farm	
Eagleby	16032
Eaglefield	
Earlville	18204
East Barron	25044
East Brisbane	24312
East Cooyar	
East Creek	
East Deep Creek	16416
East End	35364
East Feluga	19032
East Greenmount	19500
East Haldon	28596
East Innisfail	14928
East Ipswich	15600
East Mackay	20796
East Nanango	12876
East Palmerston	16728
East Russell	7200
East Toowoomba	20796
East Trinity	20400
Eastern Heights	16800
Eaton (Qld)	15600
Eatons Hill	25548
Ebbw Vale	14400
Ebenezer (Qld)	19380
Edens Landing	18732
Edge Hill	19764
Edmonton	19236
Edward River	
Eerwah Vale	20796
Egypt	
Eidsvold	11856
Eidsvold East	9612
Eidsvold West	
Eight Mile Creek (Qld)	
Eight Mile Plains	22848
Eimeo	26004
Einasleigh	14856
El Arish	12996
Elaman Creek	18204
Elanora	23400
Elbow Valley	19812
Electra	18204
Elgin (Qld)	
Elgin Vale	
Eli Waters	16848
Elimbah	22104
Ellangowan (Qld)	20136
Ellen Grove	15600
Ellerbeck	13056
Ellesmere	13092
Ellinjaa	
Ellinthorp	
Elliott (Qld)	19224
Elliott Heads	15600
Ellis Beach	
Elphinstone (Isaac - Qld)	
Elphinstone (Toowoomba - Qld)	
Emerald (Qld)	24000
Emu Creek (Qld)	18204
Emu Park	20796
Emu Vale	15696
England Creek	14040
Enoggera	24444
Enoggera Reservoir	22200
Epsom (Qld)	
Erakala	30000
Ernestina	
Eromanga	3120
Erub Island	
Esk (Qld)	12996
Eskdale (Qld)	14208
Esmeralda	
Etna Creek	15600
Eton	21600
Etty Bay	20796
Eubenangee	18204
Eudlo	19224
Eukey	20796
Euleilah	10404
Eulo	
Eumamurrin	19404
Eumundi	20796
Eungella (Qld)	18204
Eungella Dam	
Eungella Hinterland	
Euramo	10716
Eureka (Qld)	20580
Eurella	
Eurimbula	
Eurombah	
Eurong	
Euthulla	22200
Evans Landing	
Evanslea	
Evelyn	9600
Evergreen	
Everton Hills	24000
Everton Park	23400
Evora	
Fairdale	15576
Fairfield (Qld)	24000
Fairney View	21900
Fairy Bower	17232
Fairyland	22800
Fairymead	
Farleigh	21636
Farnborough	15600
Farnsfield	9108
Farrars Creek	
Fassifern (Qld)	
Fassifern Valley	19356
Federal (Qld)	15600
Felton	19200
Felton South	14400
Feluga	16860
Ferney	22692
Fernvale (Qld)	20796
Ferny Glen	18564
Ferny Grove	23400
Ferny Hills	23916
Ficks Crossing	17676
Fielding	
Fifteen Mile	
Fig Tree Pocket	33780
Finch Hatton	18000
Finlayvale	
Finnie	15600
Fisher (Qld)	
Fishermans Pocket	14400
Fishery Falls	20796
Fitzgerald Creek	15600
Fitzgibbon	20796
Fitzroy Island	
Flagstone Creek	23160
Flametree	16428
Flaxton	20796
Fletcher (Qld)	13200
Fletcher Creek	
Fleurbaix	
Flinders View	18960
Flinton	
Florence Bay	
Flying Fish Point	13200
Flying Fox (Qld)	20796
Fordsdale	
Foreshores	24000
Forest Creek	14124
Forest Glen (Qld)	25200
Forest Hill (Qld)	15600
Forest Lake	20796
Forest Ridge	4884
Forest Springs	17352
Forestdale	25200
Foresthome	13824
Forestvale	
Fork Lagoons	
Formartin	
Forrest Beach (Qld)	15600
Forsayth	9360
Fortitude Valley	24000
Forty Mile	
Fossilbrook	
Foulden	
Four Ways	
Foxdale	19308
Frankfield	
Fraser Island	24672
Frazerview	
Fredericksfield	15216
Freestone	22104
Frenches Creek	21588
Frenchville	19548
Freshwater (Qld)	19092
Freshwater Point	19500
Friday Pocket	19800
Fulham (Qld)	21540
Gadgarra	
Gaeta	6240
Gailes	15600
Gainsford	
Gairloch	
Galilee	
Gamboola	
Gangalidda	
Garbutt	16800
Garfield (Qld)	
Gargett	26004
Garnant	28800
Garners Beach	
Garradunga	17676
Garrawalt	
Gatton	17676
Gaven	24000
Gayndah	12996
Gaythorne	23844
Geebung	23400
Geham	24348
Gemini Mountains	
Georgetown (Qld)	8208
Georgina (Qld)	
Germantown (Qld)	16908
Gheerulla	14400
Ghinghinda	
Gidya	
Gigoomgan	
Gilbert River	
Gilberton (Etheridge - Qld)	
Gilberton (Gold Coast - Qld)	
Gilla	24420
Gilldora	13392
Gilston	26004
Gin Gin (Qld)	10404
Gindie	17676
Gindoran	
Ginoondan	
Girraween (Qld)	
Giru	11904
Givelda	10800
Gladfield (Qld)	10800
Gladstone Central	20796
Gladstone Harbour	
Glamorgan Vale	20796
Glan Devon	14304
Glanmire (Qld)	
Glass House Mountains	21324
Glastonbury	16800
Glebe (Qld)	
Glen Allyn	13548
Glen Aplin	13524
Glen Boughton	
Glen Cairn	22260
Glen Echo	24000
Glen Eden	26004
Glen Esk	27300
Glen Isla	
Glen Niven	15600
Glen Russell	
Glen Ruth	
Glenarbon	
Glenaubyn	
Glenaven	12636
Glenbar	
Glencoe (Qld)	18252
Glendale (Qld)	24444
Glenden	19080
Gleneagle	22620
Glenella	26004
Glenfern (Qld)	
Glengallan	24000
Glenhaughton	
Glenlee (Qld)	22692
Glenleigh	
Glenlyon (Qld)	
Glenmoral	
Glenmorgan	6000
Glenorchy (Qld)	14304
Glenore Grove	15600
Glenrae	23664
Glenrock (Qld)	19740
Glenroy (Qld)	
Glenvale	20280
Glenview	24720
Glenwood (Qld)	10404
Godwin Beach	17676
Gogango	20796
Golden Beach (Qld)	20796
Golden Fleece	13608
Goldfields	
Goldsborough (Qld)	23400
Gooburrum	18204
Good Night	9492
Goodar	480
Goodger	19500
Goodna	17364
Goodwood (Qld)	19764
Googa Creek	15600
Goolboo	
Goolman	30420
Goomally	
Goombi	
Goomboorian	14400
Goombungee	14304
Goomburra	18720
Goomeri	11964
Goomeribong	18204
Goondi	
Goondi Bend	14280
Goondi Hill	14040
Goondiwindi	18204
Goorganga Creek	
Goorganga Plains	
Gooroolba	
Gootchie	7800
Goovigen	11004
Goowarra	
Goranba	12480
Gordon Park	26004
Gordonbrook	20796
Gordonstone	
Gordonvale	19500
Gore	22368
Gowrie Junction	21576
Gowrie Little Plain	24000
Gowrie Mountain	14400
Gowrie Station	
Gracemere	20796
Graceville	28596
Grahams Creek	21600
Granadilla	8844
Grand Secret	16800
Grandchester	18000
Grange (Qld)	27600
Granite Vale	
Grant	
Grantham	15600
Granville (Qld)	13992
Grapetree	
Grassdale (Qld)	
Grasstree Beach	22356
Grays Gate	17352
Great Sandy Strait	
Green Hill	24396
Green Island	
Greenbank	24120
Greenlake	
Greenlands (Qld)	14136
Greenmount (Mackay - Qld)	23400
Greenmount (Toowoomba - Qld)	15444
Greens Creek (Qld)	17184
Greenslopes	24000
Greenswamp	18900
Greenup	
Greenvale (Qld)	4680
Greenview	18204
Greenwood (Qld)	
Gregors Creek	18000
Gregory (Qld)	
Gregory River (Bundaberg - Qld)	18600
Gregory River (Whitsunday - Qld)	20796
Greycliffe	
Greymare	22248
Griffin	24600
Groganville	
Groomsville	24228
Groper Creek	8400
Grosmont	
Grosvenor	
Guanaba	26004
Guijar Islet	
Gulf Of Carpentaria	
Gulliver	18204
Gulngai	
Guluguba	
Gumdale	30000
Gumlow	27564
Gumlu	11436
Gunalda	13524
Gundiah	10800
Gungaloon	14556
Gunnawarra	
Gunnewin	13800
Gunpowder	
Gunyarra	
Gurgeena	
Gurulmundi	
Guthalungra	
Gwambegwine	
Gympie	14400
Habana	28596
Haden	15600
Haigslea	22104
Hail Creek	
Haliday Bay	20796
Halifax	12324
Halliford	
Haly Creek	12000
Hamilton (Qld)	26400
Hamilton Creek	15756
Hamilton Plains	16920
Hampden (Qld)	24000
Hampton (Qld)	20604
Hannaford	
Happy Valley (Qld)	24156
Harlaxton	15600
Harlin	16908
Harrami	
Harriet	
Harristown	16644
Harrisville	17508
Hatton Vale	20796
Hawkins Creek	17556
Hawkwood	
Hawthorne	31200
Hay Point	23964
Hazeldean	18984
Hazledean	
Headington Hill	624
Healy	24000
Heathwood	26400
Heatley	18000
Hebel	4200
Helens Hill	10404
Helensvale	24000
Helidon	15600
Helidon Spa	20796
Hemmant	22848
Hendon (Qld)	12996
Hendra	31200
Herberton	12996
Heritage Park	22356
Hermit Park	19032
Herston	24732
Hervey Range	23400
Hibernia	
Hidden Valley (Qld)	23868
Hideaway Bay	15600
Highbury (Qld)	
Highfields (Qld)	22104
Highgate Hill	24792
Highgrove	
Highland Park	21600
Highland Plains (Maranoa - Qld)	
Highland Plains (Toowoomba - Qld)	28596
Highvale	30000
Highworth	18204
Hillcrest (Qld)	19200
Hillview	16776
Hinchinbrook (Qld)	
Hirstglen	12300
Hivesville	8424
Hobartville (Qld)	
Hodgleigh	14112
Hodgson	30048
Hodgson Vale	26004
Holland Park	26004
Holland Park West	26004
Holloways Beach	17160
Hollywell	25416
Holmview	20748
Holroyd River	
Home Creek	
Home Hill	14160
Homebush (Qld)	23700
Homestead	10656
Hookswood	15600
