SSC_NAME16	MotorVehicles.min	occupied_private_dwellings
Khosh Bulduk	2	4
Khosh Bulduk	3	4
Khosh Bulduk	4	4
Kia Ora (Qld)		7
Kia Ora (Qld)	0	3
Kia Ora (Qld)	1	31
Kia Ora (Qld)	2	27
Kia Ora (Qld)	3	14
Kia Ora (Qld)	4	6
Kiamba	1	12
Kiamba	2	24
Kiamba	3	12
Kiamba	4	8
Kianga (Qld)		5
Kianga (Qld)	1	13
Kianga (Qld)	2	20
Kianga (Qld)	3	17
Kianga (Qld)	4	14
Kidaman Creek		3
Kidaman Creek	1	16
Kidaman Creek	2	27
Kidaman Creek	3	5
Kidaman Creek	4	3
Kiels Mountain		3
Kiels Mountain	0	3
Kiels Mountain	1	32
Kiels Mountain	2	95
Kiels Mountain	3	44
Kiels Mountain	4	34
Kilbirnie	1	4
Kilbirnie	2	7
Kilbirnie	3	3
Kilbirnie	4	4
Kilcoy		49
Kilcoy	0	37
Kilcoy	1	267
Kilcoy	2	218
Kilcoy	3	77
Kilcoy	4	33
Kilcummin		7
Kilcummin	1	14
Kilcummin	2	24
Kilcummin	3	7
Kilcummin	4	24
Kilkivan		23
Kilkivan	0	18
Kilkivan	1	108
Kilkivan	2	106
Kilkivan	3	38
Kilkivan	4	21
Killaloe		3
Killaloe	1	4
Killaloe	2	19
Killaloe	3	9
Killarney (Qld)		9
Killarney (Qld)	0	15
Killarney (Qld)	1	131
Killarney (Qld)	2	123
Killarney (Qld)	3	57
Killarney (Qld)	4	25
Kimberley (Qld)	1	5
Kimberley (Qld)	2	6
Kimberley (Qld)	3	4
Kin Kin		6
Kin Kin	0	5
Kin Kin	1	100
Kin Kin	2	106
Kin Kin	3	36
Kin Kin	4	22
Kin Kora		30
Kin Kora	0	52
Kin Kora	1	292
Kin Kora	2	382
Kin Kora	3	145
Kin Kora	4	49
Kinbombi	1	3
Kinbombi	2	3
Kinbombi	4	5
Kinchant Dam		9
Kinchant Dam	1	8
Kinchant Dam	2	10
Kinchant Dam	3	9
Kinchant Dam	4	4
Kincora	1	4
Kincora	2	6
Kincora	3	6
Kincora	4	3
Kindon	2	3
King Scrub	1	8
King Scrub	2	41
King Scrub	3	33
King Scrub	4	10
Kingaham	2	3
Kingaroy		162
Kingaroy	0	270
Kingaroy	1	1480
Kingaroy	2	1285
Kingaroy	3	411
Kingaroy	4	197
Kings Beach		48
Kings Beach	0	107
Kings Beach	1	677
Kings Beach	2	365
Kings Beach	3	58
Kings Beach	4	25
Kings Creek		3
Kings Creek	2	9
Kings Creek	3	4
Kings Creek	4	6
Kings Siding	2	3
Kings Siding	3	4
Kingsholme	1	12
Kingsholme	2	29
Kingsholme	3	17
Kingsholme	4	17
Kingsthorpe		16
Kingsthorpe	0	9
Kingsthorpe	1	156
Kingsthorpe	2	288
Kingsthorpe	3	109
Kingsthorpe	4	70
Kingston (Qld)		148
Kingston (Qld)	0	287
Kingston (Qld)	1	1107
Kingston (Qld)	2	986
Kingston (Qld)	3	373
Kingston (Qld)	4	197
Kinka Beach		17
Kinka Beach	0	21
Kinka Beach	1	118
Kinka Beach	2	77
Kinka Beach	3	20
Kinka Beach	4	8
Kinkuna		4
Kinkuna	1	16
Kinkuna	2	19
Kinkuna	3	10
Kinkuna	4	5
Kinleymore	1	4
Kinleymore	2	8
Kinleymore	3	7
Kinleymore	4	7
Kinnoul	2	4
Kinnoul	3	9
Kinnoul	4	8
Kioma	2	4
Kippa-Ring		135
Kippa-Ring	0	292
Kippa-Ring	1	1394
Kippa-Ring	2	1195
Kippa-Ring	3	401
Kippa-Ring	4	194
Kirknie	1	5
Kirknie	2	8
Kirknie	3	4
Kirknie	4	8
Kirkwood		5
Kirkwood	0	16
Kirkwood	1	194
Kirkwood	2	364
Kirkwood	3	83
Kirkwood	4	35
Kirwan		208
Kirwan	0	320
Kirwan	1	2342
Kirwan	2	3066
Kirwan	3	956
Kirwan	4	428
Kitoba	1	3
Kitoba	2	3
Kleinton		13
Kleinton	1	111
Kleinton	2	267
Kleinton	3	68
Kleinton	4	50
Knapp Creek	1	3
Knapp Creek	2	3
Knapp Creek	3	3
Knapp Creek	4	8
Koah		12
Koah	0	4
Koah	1	59
Koah	2	77
Koah	3	42
Koah	4	16
Kobble Creek	1	30
Kobble Creek	2	84
Kobble Creek	3	42
Kobble Creek	4	42
Kogan		3
Kogan	1	22
Kogan	2	23
Kogan	3	8
Kogan	4	6
Kokotungo		4
Kokotungo	1	3
Kokotungo	2	10
Kokotungo	4	16
Kolonga	1	10
Kolonga	2	5
Kolonga	3	7
Koongal		55
Koongal	0	107
Koongal	1	554
Koongal	2	571
Koongal	3	165
Koongal	4	84
Kooralbyn		25
Kooralbyn	0	17
Kooralbyn	1	268
Kooralbyn	2	238
Kooralbyn	3	86
Kooralbyn	4	36
Kooralgin	2	3
Kooralgin	3	5
Kooralgin	4	8
Kooringal (Qld)	1	3
Kooringal (Qld)	2	6
Kooroongarra		3
Kooroongarra	1	3
Kooroongarra	2	9
Kooroongarra	3	7
Koumala		7
Koumala	0	4
Koumala	1	59
Koumala	2	107
Koumala	3	54
Koumala	4	49
Kowanyama		9
Kowanyama	0	120
Kowanyama	1	71
Kowanyama	2	33
Kowanyama	3	7
Kowanyama	4	3
Kowguran	1	3
Kowguran	2	5
Kowguran	3	3
Kowguran	4	8
Kragra	3	5
Kragra	4	3
Kulangoor		6
Kulangoor	0	19
Kulangoor	1	53
Kulangoor	2	56
Kulangoor	3	23
Kulangoor	4	25
Kulgun	1	4
Kulgun	2	5
Kulgun	3	3
Kulgun	4	6
Kullogum	1	11
Kullogum	2	19
Kullogum	3	3
Kullogum	4	3
Kulpi		3
Kulpi	1	7
Kulpi	2	13
Kulpi	3	8
Kulpi	4	5
Kuluin		13
Kuluin	0	19
Kuluin	1	245
Kuluin	2	351
Kuluin	3	97
Kuluin	4	61
Kumbarilla		3
Kumbarilla	1	14
Kumbarilla	2	15
Kumbarilla	3	13
Kumbarilla	4	5
Kumbia		4
Kumbia	0	3
Kumbia	1	43
Kumbia	2	56
Kumbia	3	11
Kumbia	4	9
Kunda Park	1	4
Kunda Park	2	3
Kunda Park	4	3
Kunioon	2	3
Kunioon	4	3
Kunwarara		4
Kunwarara	1	4
Kunwarara	2	7
Kunwarara	3	10
Kunwarara	4	4
Kuraby		55
Kuraby	0	51
Kuraby	1	606
Kuraby	2	1130
Kuraby	3	363
Kuraby	4	155
Kuranda		53
Kuranda	0	69
Kuranda	1	393
Kuranda	2	395
Kuranda	3	133
Kuranda	4	55
Kureelpa		3
Kureelpa	1	51
Kureelpa	2	131
Kureelpa	3	79
Kureelpa	4	35
Kureen	1	12
Kureen	2	28
Kureen	3	12
Kureen	4	6
Kuridala	1	5
Kuridala	2	3
Kurrimine Beach		10
Kurrimine Beach	0	7
Kurrimine Beach	1	146
Kurrimine Beach	2	113
Kurrimine Beach	3	41
Kurrimine Beach	4	9
Kurrowah	1	5
Kurrowah	2	3
Kurrowah	4	3
Kurumbul	1	3
Kurumbul	2	4
Kurumbul	3	7
Kurumbul	4	3
Kurwongbah		10
Kurwongbah	0	4
Kurwongbah	1	76
Kurwongbah	2	158
Kurwongbah	3	95
Kurwongbah	4	94
Kuttabul		13
Kuttabul	0	7
Kuttabul	1	47
Kuttabul	2	103
Kuttabul	3	33
Kuttabul	4	42
Kybong		11
Kybong	0	7
Kybong	1	63
Kybong	2	42
Kybong	3	22
Kybong	4	14
Kynuna	1	3
Kynuna	2	8
Kynuna	3	3
Kynuna	4	3
Kyoomba	1	8
Kyoomba	2	11
Kyoomba	3	3
Kyoomba	4	4
Labrador		327
Labrador	0	687
Labrador	1	3544
Labrador	2	2261
Labrador	3	446
Labrador	4	171
Laceys Creek		4
Laceys Creek	1	11
Laceys Creek	2	37
Laceys Creek	3	15
Laceys Creek	4	15
Lagoon Pocket		7
Lagoon Pocket	1	10
Lagoon Pocket	2	21
Lagoon Pocket	3	10
Lagoon Pocket	4	3
Laguna Quays		6
Laguna Quays	1	12
Laguna Quays	2	5
Laguna Quays	3	3
Laidley		131
Laidley	0	103
Laidley	1	514
Laidley	2	408
Laidley	3	159
Laidley	4	69
Laidley Creek West		3
Laidley Creek West	1	27
Laidley Creek West	2	20
Laidley Creek West	3	8
Laidley Creek West	4	10
Laidley Heights		14
Laidley Heights	0	9
Laidley Heights	1	112
Laidley Heights	2	187
Laidley Heights	3	68
Laidley Heights	4	47
Laidley North	0	3
Laidley North	1	46
Laidley North	2	60
Laidley North	3	17
Laidley North	4	8
Laidley South		3
Laidley South	1	26
Laidley South	2	36
Laidley South	3	16
Laidley South	4	16
Lake Barrine	1	22
Lake Barrine	2	34
Lake Barrine	3	11
Lake Barrine	4	3
Lake Clarendon		3
Lake Clarendon	0	3
Lake Clarendon	1	15
Lake Clarendon	2	31
Lake Clarendon	3	22
Lake Clarendon	4	12
Lake Eacham		8
Lake Eacham	0	3
Lake Eacham	1	39
Lake Eacham	2	71
Lake Eacham	3	27
Lake Eacham	4	14
Lake Macdonald		3
Lake Macdonald	0	6
Lake Macdonald	1	94
Lake Macdonald	2	214
Lake Macdonald	3	91
Lake Macdonald	4	51
Lake Manchester	2	4
Lake Manchester	3	4
Lake Mary		3
Lake Mary	1	3
Lake Mary	2	11
Lake Mary	3	8
Lake Mary	4	5
Lake Proserpine	1	3
Lakefield		3
Lakefield	1	4
Lakeland		22
Lakeland	0	3
Lakeland	1	16
Lakeland	2	22
Lakeland	3	13
Lakeland	4	4
Lakes Creek		8
Lakes Creek	0	9
Lakes Creek	1	49
Lakes Creek	2	63
Lakes Creek	3	27
Lakes Creek	4	30
Lakeside		3
Lakeside	1	12
Lakeside	2	4
Lakeside	3	3
Lakeside	4	3
Lamb Island		5
Lamb Island	0	42
Lamb Island	1	121
Lamb Island	2	34
Lamb Island	3	3
Lamington (Qld)		3
Lamington (Qld)	1	11
Lamington (Qld)	2	9
Lamington (Qld)	3	8
Lamington (Qld)	4	7
Lammermoor		24
Lammermoor	0	11
Lammermoor	1	230
Lammermoor	2	328
Lammermoor	3	105
Lammermoor	4	37
Landers Shoot		3
Landers Shoot	1	9
Landers Shoot	2	39
Landers Shoot	3	15
Landers Shoot	4	19
Landsborough (Qld)		49
Landsborough (Qld)	0	46
Landsborough (Qld)	1	379
Landsborough (Qld)	2	505
Landsborough (Qld)	3	226
Landsborough (Qld)	4	144
Lanefield		3
Lanefield	1	10
Lanefield	2	14
Lanefield	3	6
Lanefield	4	7
Langlo	1	3
Langlo	2	7
Langlo	3	3
Langlo	4	3
Langshaw		3
Langshaw	1	23
Langshaw	2	30
Langshaw	3	10
Langshaw	4	10
Lannercost		4
Lannercost	0	3
Lannercost	1	9
Lannercost	2	20
Lannercost	3	11
Lannercost	4	6
Lanskey	1	12
Lanskey	2	8
Lanskey	3	4
Lanskey	4	3
Laravale		8
Laravale	1	14
Laravale	2	25
Laravale	3	15
Laravale	4	11
Lark Hill	1	3
Lark Hill	2	9
Lark Hill	3	8
Laura (Qld)		13
Laura (Qld)	0	12
Laura (Qld)	1	17
Laura (Qld)	2	14
Laura (Qld)	3	9
Laura (Qld)	4	4
Lavelle		3
Lawes		3
Lawes	0	3
Lawes	1	7
Lawes	2	6
Lawgi Dawes	1	3
Lawgi Dawes	2	21
Lawgi Dawes	3	14
Lawgi Dawes	4	11
Lawn Hill	1	3
Lawnton		59
Lawnton	0	184
Lawnton	1	822
Lawnton	2	710
Lawnton	3	236
Lawnton	4	110
Leafdale	2	4
Leafdale	3	4
Lefthand Branch		3
Lefthand Branch	1	4
Lefthand Branch	2	11
Lefthand Branch	3	6
Lefthand Branch	4	4
Leichhardt (Qld)		66
Leichhardt (Qld)	0	142
Leichhardt (Qld)	1	597
Leichhardt (Qld)	2	394
Leichhardt (Qld)	3	111
Leichhardt (Qld)	4	35
Lemontree	2	3
Lemontree	3	3
Lemontree	4	3
Leslie Dam	1	10
Leslie Dam	2	27
Leslie Dam	3	13
Leslie Dam	4	4
Lethebrook	1	9
Lethebrook	2	8
Lethebrook	3	3
Lethebrook	4	4
Leyburn		12
Leyburn	0	4
Leyburn	1	53
Leyburn	2	72
Leyburn	3	26
Leyburn	4	18
Lilydale (Qld)	1	9
Lilydale (Qld)	2	11
Lilydale (Qld)	3	7
Lilydale (Qld)	4	3
Lilyvale (Central Highlands - Qld)	1	3
Lilyvale (Central Highlands - Qld)	2	4
Lilyvale (Central Highlands - Qld)	3	9
Lilyvale (Central Highlands - Qld)	4	8
Lilyvale (Toowoomba - Qld)	1	3
Lilyvale (Toowoomba - Qld)	2	10
Lilyvale (Toowoomba - Qld)	3	4
Lilyvale (Toowoomba - Qld)	4	5
Limestone Creek	1	9
Limestone Creek	2	22
Limestone Creek	3	20
Limestone Creek	4	11
Limestone Ridges	1	3
Limestone Ridges	2	13
Limestone Ridges	3	8
Limestone Ridges	4	8
Limevale		4
Limevale	1	3
Limevale	2	8
Limevale	3	5
Linden (Qld)	2	4
Linden (Qld)	3	4
Linthorpe		5
Linthorpe	1	13
Linthorpe	2	49
Linthorpe	3	41
Linthorpe	4	32
Linville	0	3
Linville	1	25
Linville	2	18
Linville	3	8
Linville	4	3
Little Mountain		76
Little Mountain	0	121
Little Mountain	1	1131
Little Mountain	2	1393
Little Mountain	3	503
Little Mountain	4	276
Little Mulgrave		3
Little Mulgrave	1	27
Little Mulgrave	2	36
Little Mulgrave	3	11
Little Mulgrave	4	10
Lizard	0	6
Llanarth (Qld)	1	3
Llanarth (Qld)	4	4
Loch Lomond	1	3
Loch Lomond	2	18
Loch Lomond	3	7
Loch Lomond	4	6
Lochington	1	3
Lochington	2	6
Lochington	4	5
Lockhart River		9
Lockhart River	0	48
Lockhart River	1	56
Lockhart River	2	23
Lockhart River	3	7
Lockrose		16
Lockrose	0	6
Lockrose	1	51
Lockrose	2	61
Lockrose	3	37
Lockrose	4	18
Lockyer (Qld)	1	8
Lockyer (Qld)	2	14
Lockyer (Qld)	3	7
Lockyer (Qld)	4	5
Lockyer Waters		5
Lockyer Waters	0	3
Lockyer Waters	1	48
Lockyer Waters	2	59
Lockyer Waters	3	22
Lockyer Waters	4	26
Logan Central		135
Logan Central	0	333
Logan Central	1	783
Logan Central	2	427
Logan Central	3	178
Logan Central	4	72
Logan Reserve		24
Logan Reserve	0	8
Logan Reserve	1	249
Logan Reserve	2	451
Logan Reserve	3	178
Logan Reserve	4	126
Logan Village		37
Logan Village	0	16
Logan Village	1	235
Logan Village	2	497
Logan Village	3	306
Logan Village	4	260
Loganholme		53
Loganholme	0	35
Loganholme	1	461
Loganholme	2	916
Loganholme	3	354
Loganholme	4	197
Loganlea		102
Loganlea	0	166
Loganlea	1	826
Loganlea	2	782
Loganlea	3	254
Loganlea	4	130
Lonesome Creek	1	9
Lonesome Creek	2	19
Lonesome Creek	3	16
Lonesome Creek	4	19
Long Flat (Qld)	1	13
Long Flat (Qld)	2	11
Long Flat (Qld)	4	4
Long Pocket	1	7
Long Pocket	2	35
Long Pocket	3	22
Longreach (Qld)		50
Longreach (Qld)	0	80
Longreach (Qld)	1	400
Longreach (Qld)	2	387
Longreach (Qld)	3	130
Longreach (Qld)	4	71
Lota		15
Lota	0	55
Lota	1	375
Lota	2	479
Lota	3	144
Lota	4	72
Lotus Creek	1	7
Lotus Creek	2	11
Lotus Creek	3	4
Lotus Creek	4	8
Lower Beechmont		12
Lower Beechmont	1	112
Lower Beechmont	2	166
Lower Beechmont	3	60
Lower Beechmont	4	41
Lower Cowley	1	5
Lower Cowley	2	7
Lower Cowley	4	3
Lower Cressbrook	2	3
Lower Daintree		4
Lower Daintree	1	12
Lower Daintree	2	23
Lower Daintree	3	5
Lower Daintree	4	3
Lower Mount Walker	1	11
Lower Mount Walker	2	24
Lower Mount Walker	3	12
Lower Mount Walker	4	11
Lower Tenthill		4
Lower Tenthill	0	3
Lower Tenthill	1	20
Lower Tenthill	2	28
Lower Tenthill	3	17
Lower Tenthill	4	16
Lower Tully	1	6
Lower Tully	2	8
Lower Tully	3	11
Lower Wonga		6
Lower Wonga	1	23
Lower Wonga	2	49
Lower Wonga	3	15
Lower Wonga	4	16
Lowestoff	2	4
Lowestoff	3	3
Lowestoff	4	8
Lowmead	1	20
Lowmead	2	29
Lowmead	3	4
Lowmead	4	3
Lowood		50
Lowood	0	73
Lowood	1	538
Lowood	2	442
Lowood	3	181
Lowood	4	112
Lucinda		3
Lucinda	0	6
Lucinda	1	73
Lucinda	2	78
Lucinda	3	15
Lucinda	4	8
Lundavra	1	11
Lundavra	2	10
Lundavra	3	6
Lundavra	4	4
Luscombe	1	11
Luscombe	2	35
Luscombe	3	22
Luscombe	4	19
Lutwyche		41
Lutwyche	0	187
Lutwyche	1	747
Lutwyche	2	402
Lutwyche	3	100
Lutwyche	4	38
Lyons (Qld)	1	8
Lyons (Qld)	3	3
Lyra	1	5
Lyra	2	5
Lyra	3	5
Lytton	2	3
Ma Ma Creek		3
Ma Ma Creek	1	12
Ma Ma Creek	2	17
Ma Ma Creek	3	13
Ma Ma Creek	4	7
Maadi	1	6
Maadi	2	5
Maadi	3	3
Maalan	1	6
Maalan	2	3
Maalan	4	3
Maaroom		4
Maaroom	0	3
Maaroom	1	47
Maaroom	2	40
Maaroom	3	18
Mabuiag Island	0	29
Mabuiag Island	1	7
Mabuiag Island	2	4
Macalister	1	15
Macalister	2	26
Macalister	3	11
Macalister	4	6
Macfarlane	3	3
Macgregor (Qld)		64
Macgregor (Qld)	0	153
Macgregor (Qld)	1	587
Macgregor (Qld)	2	620
Macgregor (Qld)	3	221
Macgregor (Qld)	4	137
Machans Beach		12
Machans Beach	0	18
Machans Beach	1	121
Machans Beach	2	128
Machans Beach	3	37
Machans Beach	4	14
Machine Creek	1	10
Machine Creek	2	17
Machine Creek	3	11
Machine Creek	4	8
Mackay		68
Mackay	0	286
Mackay	1	666
Mackay	2	319
Mackay	3	93
Mackay	4	28
Mackay Harbour		7
Mackay Harbour	0	14
Mackay Harbour	1	87
Mackay Harbour	2	89
Mackay Harbour	3	20
Mackay Harbour	4	3
Mackenzie (Brisbane - Qld)		10
Mackenzie (Brisbane - Qld)	1	107
Mackenzie (Brisbane - Qld)	2	294
Mackenzie (Brisbane - Qld)	3	123
Mackenzie (Brisbane - Qld)	4	67
Mackenzie (Central Highlands - Qld)	1	7
Mackenzie (Central Highlands - Qld)	2	3
Mackenzie (Central Highlands - Qld)	4	4
Mackenzie River	3	8
Mackenzie River	4	5
Macknade		3
Macknade	1	21
Macknade	2	42
Macknade	3	13
Macknade	4	9
Maclagan		6
Maclagan	1	16
Maclagan	2	18
Maclagan	3	16
Maclagan	4	10
Macleay Island		43
Macleay Island	0	130
Macleay Island	1	670
Macleay Island	2	327
Macleay Island	3	69
Macleay Island	4	18
Magnolia	1	5
Magnolia	2	15
Magnolia	3	9
Magnolia	4	4
Maidenhead	2	5
Maidenwell		3
Maidenwell	1	29
Maidenwell	2	28
Maidenwell	3	8
Maidenwell	4	12
Main Beach		51
Main Beach	0	88
Main Beach	1	857
Main Beach	2	560
Main Beach	3	79
Main Beach	4	36
Majors Creek (Qld)	0	3
Majors Creek (Qld)	1	25
Majors Creek (Qld)	2	54
Majors Creek (Qld)	3	20
Majors Creek (Qld)	4	16
Malanda		31
Malanda	0	35
Malanda	1	270
Malanda	2	253
Malanda	3	98
Malanda	4	52
Maleny		50
Maleny	0	66
Maleny	1	685
Maleny	2	544
Maleny	3	144
Maleny	4	66
Malling	1	3
Malling	3	3
Malling	4	4
Malmoe	2	5
Malmoe	3	4
Malpas-Trenton		3
Malpas-Trenton	3	3
Malu	4	3
Manapouri	1	3
Manapouri	2	5
Manapouri	3	9
Manapouri	4	3
Mandalay		5
Mandalay	1	47
Mandalay	2	35
Mandalay	3	16
Mandalay	4	3
Maneroo	3	8
Maneroo	4	6
Mango Hill		57
Mango Hill	0	90
Mango Hill	1	767
Mango Hill	2	1243
Mango Hill	3	364
Mango Hill	4	152
Manly (Qld)		42
Manly (Qld)	0	87
Manly (Qld)	1	555
Manly (Qld)	2	613
Manly (Qld)	3	169
Manly (Qld)	4	73
Manly West		113
Manly West	0	250
Manly West	1	1393
Manly West	2	1700
Manly West	3	591
Manly West	4	244
Mannuem	1	4
Mannuem	2	10
Mannuem	3	8
Mannuem	4	5
Manoora (Qld)		193
Manoora (Qld)	0	377
Manoora (Qld)	1	1060
Manoora (Qld)	2	500
Manoora (Qld)	3	109
Manoora (Qld)	4	53
Mansfield (Qld)		67
Mansfield (Qld)	0	140
Mansfield (Qld)	1	914
Mansfield (Qld)	2	1168
Mansfield (Qld)	3	382
Mansfield (Qld)	4	186
Mantuan Downs	1	5
Mantuan Downs	2	4
Mantuan Downs	4	7
Manumbar		3
Manumbar	2	3
Manumbar	3	5
Manumbar	4	6
Manunda		134
Manunda	0	339
Manunda	1	990
Manunda	2	450
Manunda	3	118
Manunda	4	38
Manyung	1	10
Manyung	2	13
Manyung	3	7
Mapleton		17
Mapleton	0	16
Mapleton	1	243
Mapleton	2	237
Mapleton	3	81
Mapleton	4	44
Mapoon		4
Mapoon	0	37
Mapoon	1	19
Mapoon	2	18
Maramie	2	4
Marburg		5
Marburg	0	4
Marburg	1	71
Marburg	2	131
Marburg	3	63
Marburg	4	41
Marcoola		37
Marcoola	0	44
Marcoola	1	537
Marcoola	2	511
Marcoola	3	136
Marcoola	4	44
Marcus Beach		12
Marcus Beach	0	6
Marcus Beach	1	106
Marcus Beach	2	127
Marcus Beach	3	34
Marcus Beach	4	10
Mareeba		193
Mareeba	0	332
Mareeba	1	1301
Mareeba	2	1364
Mareeba	3	493
Mareeba	4	277
Margate (Qld)		122
Margate (Qld)	0	366
Margate (Qld)	1	1243
Margate (Qld)	2	983
Margate (Qld)	3	286
Margate (Qld)	4	128
Maria Creeks	1	13
Maria Creeks	2	23
Maria Creeks	4	3
Marian		32
Marian	0	17
Marian	1	248
Marian	2	593
Marian	3	216
Marian	4	82
Marlborough		4
Marlborough	0	3
Marlborough	1	12
Marlborough	2	23
Marlborough	3	10
Marlborough	4	12
Marmor		3
Marmor	1	21
Marmor	2	33
Marmor	3	17
Marmor	4	8
Maroochy River		9
Maroochy River	0	4
Maroochy River	1	88
Maroochy River	2	225
Maroochy River	3	87
Maroochy River	4	67
Maroochydore		363
Maroochydore	0	609
Maroochydore	1	3455
Maroochydore	2	2200
Maroochydore	3	540
Maroochydore	4	222
Maroon		3
Maroon	1	12
Maroon	2	24
Maroon	3	15
Maroon	4	3
Maroondan		7
Maroondan	1	35
Maroondan	2	62
Maroondan	3	13
Maroondan	4	13
Marsden		172
Marsden	0	213
Marsden	1	1200
Marsden	2	1429
Marsden	3	524
Marsden	4	274
Martyville	1	15
Martyville	2	19
Martyville	3	7
Martyville	4	3
Maryborough (Qld)		332
Maryborough (Qld)	0	731
Maryborough (Qld)	1	2671
Maryborough (Qld)	2	1742
Maryborough (Qld)	3	513
Maryborough (Qld)	4	208
Maryborough West		5
Maryborough West	0	7
Maryborough West	1	68
Maryborough West	2	89
Maryborough West	3	27
Maryborough West	4	19
Marys Creek	1	7
Marys Creek	2	9
Marys Creek	3	4
Marys Creek	4	5
Maryvale (Livingstone - Qld)		4
Maryvale (Livingstone - Qld)	2	4
Maryvale (Livingstone - Qld)	4	3
Maryvale (Southern Downs - Qld)		4
Maryvale (Southern Downs - Qld)	1	36
Maryvale (Southern Downs - Qld)	2	47
Maryvale (Southern Downs - Qld)	3	13
Maryvale (Southern Downs - Qld)	4	9
Masig Island	0	35
Masig Island	1	12
Masig Island	2	5
Masig Island	3	4
Massie	1	8
Massie	2	12
Massie	3	7
Massie	4	7
Maudsland		30
Maudsland	0	8
Maudsland	1	254
Maudsland	2	774
Maudsland	3	334
Maudsland	4	155
Maxwelton	1	4
Maxwelton	2	3
May Downs	2	5
May Downs	3	8
May Downs	4	16
McCutcheon	2	3
McDesme	1	13
McDesme	2	45
McDesme	3	14
McDesme	4	14
McDowall		39
McDowall	0	39
McDowall	1	683
McDowall	2	1131
McDowall	3	386
McDowall	4	178
McEwens Beach	0	4
McEwens Beach	1	27
McEwens Beach	2	23
McEwens Beach	3	13
McEwens Beach	4	6
McIlwraith	1	29
McIlwraith	2	29
McIlwraith	3	15
McIlwraith	4	3
McIntosh Creek	1	7
McIntosh Creek	2	12
McIntosh Creek	3	3
McIntosh Creek	4	14
McKinlay	1	3
McKinlay	2	6
McKinlay	3	7
McKinlay	4	15
Meadowbrook		40
Meadowbrook	0	31
Meadowbrook	1	295
Meadowbrook	2	355
Meadowbrook	3	136
Meadowbrook	4	95
Meadowvale		3
Meadowvale	0	4
Meadowvale	1	24
Meadowvale	2	51
Meadowvale	3	24
Meadowvale	4	30
Meandarra	0	4
Meandarra	1	20
Meandarra	2	42
Meandarra	3	16
Meandarra	4	14
Meikleville Hill		11
Meikleville Hill	0	10
Meikleville Hill	1	55
Meikleville Hill	2	74
Meikleville Hill	3	18
Meikleville Hill	4	8
Melawondi	1	3
Meldale		7
Meldale	1	18
Meldale	2	37
Meldale	3	14
Meldale	4	19
Memerambi		6
Memerambi	0	5
Memerambi	1	20
Memerambi	2	32
Memerambi	3	19
Memerambi	4	12
Mena Creek		3
Mena Creek	0	3
Mena Creek	1	32
Mena Creek	2	24
Mena Creek	3	17
Mena Creek	4	3
Menzies (Qld)		20
Menzies (Qld)	0	44
Menzies (Qld)	1	144
Menzies (Qld)	2	108
Menzies (Qld)	3	36
Menzies (Qld)	4	21
Mer Island		4
Mer Island	0	47
Mer Island	1	25
Mer Island	2	8
Meridan Plains		31
Meridan Plains	0	29
Meridan Plains	1	504
Meridan Plains	2	533
Meridan Plains	3	134
Meridan Plains	4	54
Meringandan	1	30
Meringandan	2	71
Meringandan	3	33
Meringandan	4	16
Meringandan West		14
Meringandan West	0	7
Meringandan West	1	133
Meringandan West	2	346
Meringandan West	3	139
Meringandan West	4	63
Merlwood	1	5
Merlwood	2	17
Merlwood	3	6
Merlwood	4	4
Mermaid Beach		101
Mermaid Beach	0	177
Mermaid Beach	1	1184
Mermaid Beach	2	983
Mermaid Beach	3	223
Mermaid Beach	4	94
Mermaid Waters		174
Mermaid Waters	0	279
Mermaid Waters	1	1641
Mermaid Waters	2	1771
Mermaid Waters	3	470
Mermaid Waters	4	245
Merrimac		93
Merrimac	0	110
Merrimac	1	837
Merrimac	2	995
Merrimac	3	279
Merrimac	4	97
Merritts Creek	1	3
Merritts Creek	2	10
Merritts Creek	3	7
Merritts Creek	4	3
Merryburn	1	21
Merryburn	2	26
Merryburn	3	9
Merryburn	4	7
Mexico	3	3
Mexico	4	3
Mia Mia (Qld)	1	6
Mia Mia (Qld)	2	13
Mia Mia (Qld)	3	6
Mia Mia (Qld)	4	8
Miallo		10
Miallo	0	3
Miallo	1	38
Miallo	2	56
Miallo	3	18
Miallo	4	10
Miami		117
Miami	0	204
Miami	1	1060
Miami	2	1076
Miami	3	265
Miami	4	103
Miara		3
Miara	1	12
Miara	2	7
Mica Creek		13
Mica Creek	1	9
Mica Creek	2	13
Mica Creek	3	9
Mica Creek	4	14
Middle Park (Qld)		22
Middle Park (Qld)	0	29
Middle Park (Qld)	1	404
Middle Park (Qld)	2	620
Middle Park (Qld)	3	195
Middle Park (Qld)	4	74
Middle Ridge		45
Middle Ridge	0	40
Middle Ridge	1	608
Middle Ridge	2	1120
Middle Ridge	3	328
Middle Ridge	4	158
Middlebrook	1	10
Middlebrook	2	9
Middlebrook	3	3
Middlebrook	4	3
Middlemount		14
Middlemount	0	10
Middlemount	1	149
Middlemount	2	239
Middlemount	3	61
Middlemount	4	29
Midge Point		14
Midge Point	0	8
Midge Point	1	62
Midge Point	2	54
Midge Point	3	26
Midge Point	4	6
Midgee (Qld)	1	3
Midgee (Qld)	2	6
Midgee (Qld)	4	3
Midgenoo	1	4
