SSC_NAME16	medianTotalFamilyIncome
Carina Heights	101556
Carindale	122980
Carmila	74360
Carmoo	68224
Carnarvon Park	
Carneys Creek	61724
Carole Park	
Caroline Crossing	
Carpendale	100724
Carpentaria	
Carrandotta	
Carrara	84552
Carrington (Qld)	92092
Carruchan	57824
Carseldine	106964
Carstairs	79092
Carters Ridge	75088
Cashmere	127244
Cassowary	106860
Castaways Beach	89024
Castle Creek (Qld)	117000
Castle Hill (Qld)	176124
Cattle Creek (North Burnett - Qld)	40248
Cattle Creek (Toowoomba - Qld)	110448
Causeway Lake	55224
Cawarral	92144
Cawdor (Qld)	116064
Cecil Plains	71500
Cedar Creek (Gold Coast - Qld)	100932
Cedar Creek (Moreton Bay - Qld)	126100
Cedar Grove	98124
Cedar Pocket	57824
Cedar Vale	99008
Cedarton	71500
Cement Mills	
Centenary Heights	75556
Ceratodus	84500
Chahpingah	
Chambers Flat	92144
Chances Plain	109772
Chandler (Qld)	124904
Chapel Hill (Qld)	137488
Charlestown (Qld)	71500
Charleville	83668
Charlton (Qld)	84500
Charlwood	48256
Charters Towers City	61048
Chatsworth (Qld)	67704
Cheeseborough	
Chelmer	159328
Chelmsford	68224
Chelona	123448
Cheltenham (Qld)	
Cherbourg	39832
Chermside	80548
Chermside West	104364
Cherry Creek	49348
Cherry Gully	
Cherwell	
Chevallum	80184
Chewko	55224
Childers (Qld)	48880
Chillagoe	49348
Chinchilla	87568
Chinghee Creek	71500
Chirnside	117000
Chorregon	107224
Christmas Creek	48516
Churchable	63648
Churchill (Qld)	70096
Chuwar	106964
Cinnabar	86632
Clagiraba	101972
Clairview	40404
Clara Creek	71500
Claraville	
Clare (Qld)	88504
Clarendon (Qld)	62608
Clarke Creek	117000
Clayfield	123292
Clear Island Waters	87620
Clear Mountain	122668
Clemant	
Clermont	102804
Cleveland (Qld)	89232
Clifford	97448
Clifton (Qld)	56524
Clifton Beach (Qld)	82264
Clinton (Qld)	104104
Clintonvale	84500
Cloncurry	113984
Clontarf (Moreton Bay - Qld)	76908
Clontarf (Toowoomba - Qld)	169000
Closeburn	125320
Cloyna	63336
Cluden	91988
Clumber	58500
Coal Creek	84500
Coalbank	37700
Coalfalls	71500
Coalstoun Lakes	85748
Cobbs Hill	
Cobraball	71500
Cockatoo (Qld)	81224
Coconuts	67132
Coen	69732
Coes Creek	74464
Coles Creek	71448
Colevale	74724
Coleyville	105612
Colinton (Qld)	53872
Collaroy (Qld)	
College View	84448
Collingwood Park (Qld)	81276
Collinsville (Qld)	72072
Colosseum	73632
Columbia	94224
Columboola	68224
Comet	109876
Commissioners Flat	112632
Como (Qld)	68224
Comoon Loop	39624
Cona Creek	93184
Condamine	84500
Condamine Farms	
Condamine Plains	117000
Condon	71864
Conjuboy	
Conondale	50752
Consuelo	71500
Conway	79612
Conway Beach	60632
Coochiemudlo Island	57616
Coochin	68224
Coochin Creek	75816
Cooee Bay	68796
Cooeeimbardi	
Cooktown	74516
Coolabine	68224
Coolabunia	87048
Cooladdi	
Coolana	66248
Coolangatta (Qld)	72228
Coolbie	58500
Coolmunda	72540
Cooloola	
Cooloola Cove	41288
Cooloolabin	62192
Coolum Beach	77584
Coombabah	65104
Coomera	91312
Coominglah	97500
Coominglah Forest	
Coominya	63388
Coomoo	
Coomrith	71500
Coonambula	50232
Coonarr	55224
Coondoo	84500
Coongoola	162448
Coopers Plains	76232
Coorada	
Cooran	64012
Cooranga	71500
Cooroibah	71864
Cooroo Lands	
Coorooman	84448
Cooroy	68276
Cooroy Mountain	94224
Coorparoo	120120
Coorumba	74724
Coorumbene	
Cootharaba	62348
Coowonga	72540
Cooya Beach	67652
Cooyar	42848
Coppabella (Qld)	132600
Coquette Point	61724
Coral Cove	74412
Coral Sea	84448
Coralie	
Cordalba	45396
Cordelia	60424
Corella	94224
Corfield	70200
Corinda	120952
Coringa	54184
Corndale (Qld)	74724
Cornish Creek	58500
Cornubia	112372
Cornwall (Qld)	
Cosgrove (Qld)	68588
Cotherstone	
Cotswold Hills	103792
Cottonvale (Qld)	55224
Coulson	82316
Coverty	40768
Cow Bay	58500
Cowan Cowan	71500
Cowley	87724
Cowley Beach	46748
Cowley Creek	
Cracow	84500
Craiglie	91260
Craignish	69316
Cranbrook (Qld)	77064
Cranley	69420
Crawford	71500
Crediton	55224
Cremorne (Qld)	58500
Cressbrook	68224
Cressbrook Creek	
Crestmead	71656
Crimea	74724
Crinum	110500
Croftby	60632
Crohamhurst	66872
Cromarty	99632
Crossdale	55224
Crossroads	107692
Crowley Vale	58448
Crownthorpe	58500
Crows Nest (Qld)	54548
Croydon (Qld)	63856
Cryna	75816
Crystal Brook (Qld)	62816
Crystal Creek (Qld)	
Crystalbrook	
Cullinane	92300
Cungulla	66092
Cunnamulla	67028
Cunningham (Qld)	58500
Curra	50388
Currajah	95316
Currajong	78104
Curramore (Qld)	69108
Currimundi	73008
Currumbin	94952
Currumbin Valley	90584
Currumbin Waters	80704
Curtis Island	44200
Cushnie	100048
Cutella	61724
Cuttaburra	90948
Cynthia	46800
Cypress Gardens	38428
D'Aguilar	82264
Dagmar	
Dagun	63648
Daintree	80132
Daisy Hill (Qld)	97656
Dajarra	53612
Dakabin	89908
Dakenba	107224
Dalbeg	38636
Dalby	82732
Dalcouth	60216
Dalga	
Dallarnil	42172
Dalma	88348
Dalrymple Creek	88816
Dalrymple Heights	37700
Dalveen	58968
Dalwogon	84448
Dalysford	47788
Damascus	57408
Damper Creek	46800
Danbulla	46800
Danderoo	84500
Dangore	57200
Daradgee	61724
Dargal Road	123448
Darling Heights	72904
Darlington (Qld)	92612
Darr Creek	
Darra	72228
Darts Creek	105612
Dauan Island	46800
Daveson	84500
Dayboro	105404
Daymar	71448
Deagon	89856
Deception Bay	66040
Dedin	
Deebing Heights	116012
Deep Creek (Qld)	84448
Deepwater (Qld)	40716
Deeragun	73944
Deeral	67184
Degarra	68224
Degilbo	48724
Delan	52624
Delaneys Creek	86372
Depot Hill	52208
Derri Derra	86632
Derrymore	71500
Desailly	
Deuchar	69836
Devereux Creek	99632
Devon Park (Qld)	143000
Diamantina Lakes	97448
Diamond Valley	86216
Diamondvale	114400
Diamondy	58500
Dicky Beach	79976
Didcot	68224
Diddillibah	77272
Diglum	54184
Dimbulah	56420
Dingo	85748
Dingo Beach	59748
Dingo Pocket	105612
Dinmore	52624
Dirnbir	81224
Dirranbandi	65884
Dittmer	62816
Diwan	66300
Dixalea	55224
Dixie (Qld)	
Djarawong	58500
Djiru	
Djuan	69836
Doctor Creek	84448
Dolphin Heads	140088
Domville	
Donnybrook (Qld)	59228
Doolandella	87516
Doolbi	46800
Doomadgee	38740
Doonan	86476
Doongul	31148
Dotswood	93184
Doughboy	
Douglas (Toowoomba - Qld)	76856
Douglas (Townsville - Qld)	110604
Dowar Islet	
Downsfield	45032
Dows Creek	84500
Draper	131092
Drayton	68120
Drewvale	103792
Drillham	80184
Drillham South	71500
Drinan	56836
Dromedary (Qld)	
Drummondslope	84500
Duaringa	76076
Duchess	142948
Duckinwilla	97448
Ducklo	65624
Dugandan	71500
Duingal	29900
Dulacca	66872
Dulong	84500
Dululu	49348
Dumbleton	111228
Dumgree	71500
Dumpy Creek	
Dundarrah	
Dundas (Qld)	84500
Dundathu	77116
Dundowran	63804
Dundowran Beach	73632
Dunk	
Dunkeld (Qld)	46800
Dunmora	77012
Dunmore (Qld)	116948
Dunnrock	46800
Dunrobin (Qld)	97500
Dunwich	64012
Durack (Qld)	72176
Durah	
Durham	
Durham Downs	97448
Durong	41184
Dutton Park	99528
Dutton River	62816
Dykehead	
Dynevor	100724
Dysart (Qld)	121212
Eagle Farm	
Eagleby	56368
Eaglefield	
Earlville	72020
East Barron	100724
East Brisbane	120692
East Cooyar	
East Creek	
East Deep Creek	64064
East End	56316
East Feluga	79872
East Greenmount	78936
East Haldon	110448
East Innisfail	64792
East Ipswich	69784
East Mackay	88608
East Nanango	56316
East Palmerston	75348
East Russell	68224
East Toowoomba	107900
East Trinity	100724
Eastern Heights	73268
Eaton (Qld)	74724
Eatons Hill	125736
Ebbw Vale	62608
Ebenezer (Qld)	81224
Edens Landing	81536
Edge Hill	94016
Edmonton	76752
Edward River	
Eerwah Vale	71084
Egypt	
Eidsvold	46800
Eidsvold East	58500
Eidsvold West	94224
Eight Mile Creek (Qld)	
Eight Mile Plains	88608
Eimeo	111800
Einasleigh	59748
El Arish	60632
Elaman Creek	58448
Elanora	85592
Elbow Valley	70200
Electra	66092
Elgin (Qld)	129948
Elgin Vale	
Eli Waters	55588
Elimbah	93236
Ellangowan (Qld)	93756
Ellen Grove	55016
Ellerbeck	48516
Ellesmere	47164
Ellinjaa	84500
Ellinthorp	68224
Elliott (Qld)	80184
Elliott Heads	59488
Ellis Beach	
Elphinstone (Isaac - Qld)	
Elphinstone (Toowoomba - Qld)	71500
Emerald (Qld)	111228
Emu Creek (Qld)	55224
Emu Park	66716
Emu Vale	42640
England Creek	68224
Enoggera	117988
Enoggera Reservoir	53248
Epsom (Qld)	
Erakala	129272
Ernestina	66248
Eromanga	73632
Erub Island	38324
Esk (Qld)	49764
Eskdale (Qld)	71500
Esmeralda	
Etna Creek	106860
Eton	76492
Etty Bay	79872
Eubenangee	73112
Eudlo	75504
Eukey	58500
Euleilah	40248
Eulo	61724
Eumamurrin	112632
Eumundi	77740
Eungella (Qld)	47632
Eungella Dam	116948
Eungella Hinterland	
Euramo	82316
Eureka (Qld)	58500
Eurella	
Eurimbula	
Eurombah	100724
Eurong	
Euthulla	112996
Evans Landing	117000
Evanslea	110500
Evelyn	49088
Evergreen	84500
Everton Hills	113360
Everton Park	104208
Evora	
Fairdale	44200
Fairfield (Qld)	114244
Fairney View	71500
Fairy Bower	71500
Fairyland	84448
Fairymead	55224
Farleigh	101452
Farnborough	74724
Farnsfield	84500
Farrars Creek	
Fassifern (Qld)	81848
Fassifern Valley	66612
Federal (Qld)	70564
Felton	71500
Felton South	58500
Feluga	100360
Ferney	68224
Fernvale (Qld)	79820
Ferny Glen	71500
Ferny Grove	111176
Ferny Hills	108992
Ficks Crossing	81224
Fielding	
Fifteen Mile	138632
Fig Tree Pocket	172276
Finch Hatton	67756
Finlayvale	71500
Finnie	100724
Fisher (Qld)	
Fishermans Pocket	117000
Fishery Falls	86632
Fitzgerald Creek	108316
Fitzgibbon	95212
Fitzroy Island	
Flagstone Creek	79612
Flametree	58500
Flaxton	71916
Fletcher (Qld)	67184
Fletcher Creek	
Fleurbaix	74724
Flinders View	99112
Flinton	58500
Florence Bay	
Flying Fish Point	65520
Flying Fox (Qld)	136500
Fordsdale	94224
Foreshores	68224
Forest Creek	58500
Forest Glen (Qld)	84916
Forest Hill (Qld)	72176
Forest Lake	97968
Forest Ridge	32968
Forest Springs	73632
Forestdale	118352
Foresthome	86112
Forestvale	84500
Fork Lagoons	
Formartin	94224
Forrest Beach (Qld)	59540
Forsayth	58500
Fortitude Valley	109824
Forty Mile	
Fossilbrook	
Foulden	
Four Ways	
Foxdale	94224
Frankfield	75816
Fraser Island	53612
Frazerview	46748
Fredericksfield	72644
Freestone	75192
Frenches Creek	68224
Frenchville	90740
Freshwater (Qld)	99892
Freshwater Point	95316
Friday Pocket	99632
Fulham (Qld)	46800
Gadgarra	
Gaeta	40248
Gailes	58136
Gainsford	129948
Gairloch	81224
Galilee	
Gamboola	
Gangalidda	
Garbutt	59436
Garfield (Qld)	38948
Gargett	99632
Garnant	94224
Garners Beach	58448
Garradunga	72540
Garrawalt	
Gatton	64792
Gaven	91676
Gayndah	64116
Gaythorne	108004
Geebung	101816
Geham	89752
Gemini Mountains	71500
Georgetown (Qld)	62088
Georgina (Qld)	
Germantown (Qld)	62816
Gheerulla	67184
Ghinghinda	90948
Gidya	
Gigoomgan	97500
Gilbert River	155948
Gilberton (Etheridge - Qld)	
Gilberton (Gold Coast - Qld)	49348
Gilla	81224
Gilldora	103948
Gilston	101608
Gin Gin (Qld)	43992
Gindie	92040
Gindoran	
Ginoondan	
Girraween (Qld)	
Giru	74256
Givelda	58448
Gladfield (Qld)	84448
Gladstone Central	100880
Gladstone Harbour	37700
Glamorgan Vale	73632
Glan Devon	61724
Glanmire (Qld)	
Glass House Mountains	78052
Glastonbury	63752
Glebe (Qld)	39624
Glen Allyn	65936
Glen Aplin	58188
Glen Boughton	46748
Glen Cairn	69316
Glen Echo	37648
Glen Eden	116688
Glen Esk	40248
Glen Isla	84448
Glen Niven	69836
Glen Russell	
Glen Ruth	
Glenarbon	55224
Glenaubyn	117000
Glenaven	68224
Glenbar	55224
Glencoe (Qld)	99112
Glendale (Qld)	109512
Glenden	137488
Gleneagle	73372
Glenella	119132
Glenfern (Qld)	
Glengallan	55224
Glenhaughton	72748
Glenlee (Qld)	107484
Glenleigh	58448
Glenlyon (Qld)	71500
Glenmoral	100724
Glenmorgan	59384
Glenorchy (Qld)	53300
Glenore Grove	75036
Glenrae	71500
Glenrock (Qld)	58448
Glenroy (Qld)	68224
Glenvale	88296
Glenview	92924
Glenwood (Qld)	40352
Godwin Beach	61932
Gogango	106548
Golden Beach (Qld)	64636
Golden Fleece	58448
Goldfields	53248
Goldsborough (Qld)	102648
Gooburrum	87984
Good Night	50232
Goodar	112632
Goodger	58500
Goodna	66508
Goodwood (Qld)	68224
Googa Creek	68224
Goolboo	84500
Goolman	117000
Goomally	71500
Goombi	61724
Goomboorian	64584
Goombungee	62920
Goomburra	57044
Goomeri	46332
Goomeribong	74724
Goondi	55224
Goondi Bend	56992
Goondi Hill	56108
Goondiwindi	88244
Goorganga Creek	
Goorganga Plains	
Gooroolba	
Gootchie	38792
Goovigen	57200
Goowarra	
Goranba	44200
Gordon Park	127400
Gordonbrook	92612
Gordonstone	
Gordonvale	78780
Gore	97500
Gowrie Junction	100308
Gowrie Little Plain	108316
Gowrie Mountain	86112
Gowrie Station	29900
Gracemere	79716
Graceville	146328
Grahams Creek	81224
Granadilla	55224
Grand Secret	56316
Grandchester	79508
Grange (Qld)	157352
Granite Vale	
Grant	
Grantham	70512
Granville (Qld)	50804
Grapetree	110448
Grassdale (Qld)	
Grasstree Beach	86632
Grays Gate	123448
Great Sandy Strait	
Green Hill	111800
Green Island	
Greenbank	98176
Greenlake	
Greenlands (Qld)	68900
Greenmount (Mackay - Qld)	93964
Greenmount (Toowoomba - Qld)	76596
Greens Creek (Qld)	78676
Greenslopes	112788
Greenswamp	66612
Greenup	59748
Greenvale (Qld)	53612
Greenview	66612
Greenwood (Qld)	50024
Gregors Creek	61048
Gregory (Qld)	71448
Gregory River (Bundaberg - Qld)	55224
Gregory River (Whitsunday - Qld)	76856
Greycliffe	71500
Greymare	94224
Griffin	97552
Groganville	
Groomsville	94224
Groper Creek	54132
Grosmont	61048
Grosvenor	88816
Guanaba	103324
Guijar Islet	
Gulf Of Carpentaria	
Gulliver	71500
Gulngai	
Guluguba	53300
Gumdale	153660
Gumlow	102648
Gumlu	64012
Gunalda	52676
Gundiah	47788
Gungaloon	46800
Gunnawarra	
Gunnewin	84500
Gunpowder	97500
Gunyarra	116948
Gurgeena	42848
Gurulmundi	
Guthalungra	110500
Gwambegwine	58500
Gympie	56420
Habana	115232
Haden	77012
Haigslea	90116
Hail Creek	168948
Haliday Bay	54184
Halifax	63544
Halliford	
Haly Creek	72748
Hamilton (Qld)	130780
Hamilton Creek	75816
Hamilton Plains	58500
Hampden (Qld)	93600
Hampton (Qld)	72280
Hannaford	53300
Happy Valley (Qld)	131404
Harlaxton	61256
Harlin	61724
Harrami	84500
Harriet	
Harristown	67392
Harrisville	74724
Hatton Vale	83304
Hawkins Creek	68692
Hawkwood	69316
Hawthorne	158964
Hay Point	83616
Hazeldean	80444
Hazledean	
Headington Hill	46800
Healy	145132
Heathwood	119132
Heatley	67652
Hebel	54132
Helens Hill	101816
Helensvale	95992
Helidon	63752
Helidon Spa	94796
Hemmant	99528
Hendon (Qld)	61724
Hendra	141804
Herberton	51220
Heritage Park	95368
Hermit Park	81536
Herston	102804
Hervey Range	92456
Hibernia	68224
Hidden Valley (Qld)	85280
Hideaway Bay	59176
Highbury (Qld)	
Highfields (Qld)	101660
Highgate Hill	110552
Highgrove	68224
Highland Park	77740
Highland Plains (Maranoa - Qld)	
Highland Plains (Toowoomba - Qld)	87724
Highvale	141336
Highworth	71500
Hillcrest (Qld)	79144
Hillview	58500
Hinchinbrook (Qld)	
Hirstglen	94224
Hivesville	38376
Hobartville (Qld)	90948
Hodgleigh	71500
Hodgson	117000
Hodgson Vale	121472
Holland Park	122304
Holland Park West	119600
Holloways Beach	78156
Hollywell	99008
Holmview	80236
Holroyd River	
Home Creek	117000
Home Hill	69940
Homebush (Qld)	94224
Homestead	38948
Hookswood	43316
Hope Island	103636
Hope Vale	40508
Hopeland (Qld)	84500
Horn	74724
Horse Camp	41392
Horse Creek	46800
Horseshoe Bay	62920
Horseshoe Lagoon	75816
Horton	55900
Howard	47684
Howitt	
Hoya	82836
Hudson	53248
Hughenden	73944
Hull Heads	56316
Humboldt	
Humeburn	71500
Humphery	143000
Hunchy	92716
Hungerford (Qld)	
Hurricane	
Hutton Creek	84448
Hyde Park (Qld)	77688
Iama Island	38584
Ibis	
Idalia	122616
Ideraway	61724
Ilbilbie	69628
Ilfracombe	79612
Ilkley	95524
Illinbah	72748
Image Flat	83408
Imbil	53560
Inala	48048
Indooroopilly	114036
Ingberry	90948
Ingham	68172
Inglestone	82628
Inglewood (Qld)	61984
Ingoldsby	73112
Injinoo	45344
Injune	73112
Inkerman (Qld)	56316
Innes Park	76804
Innisfail	56212
Innisfail Estate	65624
Innisplain	75816
Innot Hot Springs	54132
Inskip	
Inverlaw	82836
Inverness	94224
Ipswich	71500
Iredale	68224
Iron Range	
Ironbark (Qld)	87724
Irongate	74724
Ironpot (Livingstone - Qld)	92612
Ironpot (South Burnett - Qld)	84500
Irvinebank	38324
Irvingdale	94224
Isis Central	67600
Isis River	59748
Isisford	55224
Isla	70200
Island Plantation	86632
Iveragh	87724
Ivory Creek	46800
Jackson	68224
Jackson North	61724
Jackson South	
Jacobs Well	93184
Jaffa	39624
Jaggan	56316
Jamboree Heights	96044
Jandowae	60788
Japoonvale	55224
Jardine	68224
Jardine River	
Jarra Creek	86112
Jarvisfield	95524
Jeebropilly	
Jellinbah	100724
Jensen	91260
Jericho (Qld)	49868
Jerona	23400
Jimboomba	94328
Jimbour East	82316
Jimbour West	71500
Jimna	53248
Jindalee (Qld)	111748
Jinghi	84448
Jobs Gate	
Johnsons Hill	
Johnstown	97448
Jollys Lookout	117000
Jondaryan	72748
Jones Gully	
Jones Hill	74828
Josephville	80184
Joskeleigh	58500
Joyner	106236
Jubilee Heights	91884
Jubilee Pocket	83304
Julago	84500
Julatten	67496
Julia Creek	76960
Junabee	71500
Junction View	49348
Jundah	84448
Kaban	46800
Kabra	69628
Kagaru	
Kaimkillenbun	57668
Kairabah	
Kairi	70616
Kalapa	82316
Kalbar	72696
Kalinga	173732
Kalkadoon	84500
Kalkie	78104
Kallangur	75868
Kalpowar	46800
Kalunga	54184
Kamerunga	98020
Kandanga	63284
Kandanga Creek	56836
Kangaroo Point (Qld)	119860
Kanigan	54184
Kanimbla (Qld)	109200
Kapaldo	49348
Karalee	115908
Karana Downs	112008
Karara	47788
Karawatha	58500
Karrabin	96564
Karragarra Island	68900
Karron	
Karumba	75816
Kawana	79404
Kawl Kawl	71500
Kawungan	59696
Kearneys Spring	72020
Kedron	117884
Kelsey Creek	94224
Kelso (Qld)	75816
Kelvin Grove	98644
Kelvinhaugh	61724
Kemmis	
Kenilworth	57200
Kenmore	121056
Kenmore Hills	138216
Kennedy	54600
Kensington (Qld)	61256
Kensington Grove	87256
Kents Lagoon	97500
Kents Pocket	110448
Kentville	62816
Keperra	85280
Kepnock	60788
Keppel Sands	57928
Keriri Island	59176
Kerry	71968
Kewarra Beach	88036
Keysland	
Kholo	109356
Khosh Bulduk	71500
Kia Ora (Qld)	53612
Kiamba	82316
Kianga (Qld)	106132
Kidaman Creek	75816
Kiels Mountain	95836
Kilbirnie	97500
Kilcoy	71656
Kilcummin	97500
Kilkivan	45968
Killaloe	86112
Killarney (Qld)	55952
Kilmorey Falls	
Kimberley (Qld)	129948
Kin Kin	60840
Kin Kora	101348
Kinbombi	55224
Kinchant Dam	94224
Kincora	97500
Kindon	117000
King Scrub	123968
Kingaham	
Kingaroy	69108
Kings Beach	66924
Kings Creek	92248
Kings Siding	169000
Kingsholme	93184
Kingsthorpe	77116
Kingston (Qld)	59540
Kinka Beach	52364
Kinkuna	82316
Kinleymore	67132
Kinnoul	84500
Kioma	60632
Kippa-Ring	69004
Kirknie	71448
Kirkwood	115076
Kirrama	
Kirwan	88452
Kitoba	37700
Kleinton	107172
Knapp Creek	101816
Koah	66924
Kobble Creek	110500
Kogan	50908
Kokotungo	117000
Kolonga	37700
Koombooloomba	
Koongal	71188
Kooralbyn	53664
Kooralgin	71448
Kooringal (Qld)	71500
Kooroomool	
Kooroongarra	73632
Koumala	89752
Kowanyama	43732
Kowguran	46748
Kragra	117000
Kulangoor	69316
Kulgun	79612
Kullogum	53300
Kulpi	58500
Kuluin	77220
Kumbarilla	42588
Kumbia	65624
Kunda Park	103948
Kunioon	108316
Kunwarara	44200
Kuraby	95836
Kuranda	65728
Kureelpa	77636
Kureen	68224
Kuridala	
Kurrimine Beach	59332
Kurrowah	84448
Kurumbul	86632
Kurwongbah	91676
Kuttabul	96408
Kybong	63960
Kynuna	77948
Kyoomba	67600
Labrador	66664
Laceys Creek	117000
Laglan	
Lagoon Pocket	72384
Laguna Quays	84500
Laidley	55016
Laidley Creek West	75816
Laidley Heights	64740
Laidley North	65520
Laidley South	72540
Lake Barrine	67132
Lake Borumba	
Lake Clarendon	92040
Lake Eacham	69108
Lake Macdonald	73528
Lake Manchester	103948
Lake Mary	86632
Lake Monduran	
Lake Proserpine	
Lake Tinaroo	
Lake Wivenhoe	
Lakefield	
Lakeland	68224
Lakes Creek	83200
Lakeside	37700
Lamb Island	38688
Lamb Range	
Lamington (Qld)	101816
Lammermoor	100724
Landers Shoot	94224
Landsborough (Qld)	72852
Lanefield	99632
Langlands	
Langlo	35100
Langshaw	57200
Lannercost	67132
Lansdowne (Qld)	
Lanskey	117000
Larapinta (Qld)	
Laravale	76076
Lark Hill	84448
Laura (Qld)	48828
Lavelle	97448
Lawes	49348
Lawgi Dawes	92612
Lawn Hill	84448
Lawnton	76076
Leafdale	68224
Lefthand Branch	61724
Leichhardt (Qld)	53300
Lemontree	93184
Leslie	58448
Leslie Dam	79612
Lethebrook	68224
Leyburn	49348
Leydens Hill	
Lilydale (Qld)	100724
Lilyvale (Central Highlands - Qld)	97500
Lilyvale (Toowoomba - Qld)	108316
Limestone (Qld)	
Limestone Creek	81224
Limestone Ridges	97500
Limevale	56316
Linden (Qld)	169000
Linthorpe	91728
Linville	46176
Little Mountain	80288
Little Mulgrave	86112
Lizard	77948
Llanarth (Qld)	71448
Loch Lomond	71500
Lochington	97448
Lockhart River	42120
Lockrose	55120
Lockyer (Qld)	76648
Lockyer Waters	58084
Logan Central	50492
Logan Reserve	85852
Logan Village	91312
Loganholme	86736
Loganlea	67704
Lonesome Creek	86632
Long Flat (Qld)	63336
Long Pocket	80132
Longreach (Qld)	86580
Lota	112216
Lotus Creek	79092
Low Isles	
Lower Beechmont	81692
Lower Cowley	48412
Lower Cressbrook	
Lower Daintree	67132
Lower Mount Walker	101348
Lower Tenthill	71968
Lower Tully	71500
Lower Wonga	61360
Lowesby	71500
Lowestoff	142948
Lowmead	47424
Lowood	59540
Lucinda	57200
Lumeah (Qld)	
Lumholtz	
Lundavra	86632
Luscombe	113724
Lutwyche	109044
Lynam	
Lyndhurst (Qld)	
Lyndside	
Lyons (Qld)	103948
Lyra	68224
Lytton	
Ma Ma Creek	62192
Maadi	62816
Maalan	58500
Maaroom	42172
Mabuiag Island	48828
Macalister	71500
Macalister Range	
Macfarlane	46800
Macgregor (Qld)	73112
Machans Beach	90428
Machine Creek	93600
Mackay	72644
Mackay Harbour	125996
Mackenzie (Brisbane - Qld)	139672
Mackenzie (Central Highlands - Qld)	134316
Mackenzie River	108316
Macknade	69316
Maclagan	84500
Macleay Island	41392
Magnolia	71500
Maidenhead	33748
Maidenwell	50648
Main Beach	105404
Majors Creek (Qld)	75816
Malanda	63232
Malarga	
Maleny	63856
Malling	56836
Malmoe	58500
Malpas-Trenton	55224
Malu	68224
Mamu	
Manapouri	93184
Mandalay	68692
Maneroo	53248
Mango Hill	102856
Manly (Qld)	119080
Manly West	103220
Mannuem	69836
Manoora (Qld)	55172
Mansfield (Qld)	98956
Mantuan Downs	110500
Manumbar	71500
Manunda	59124
Manyung	69316
Mapleton	63440
Mapoon	52780
Maramie	97448
Marburg	76076
Marcoola	72384
Marcus Beach	83668
Mareeba	67496
Margate (Qld)	72696
Maria Creeks	58500
Marian	108992
Marlborough	68900
Marmadua	
Marmor	66612
Marodian	
Maroochy River	94536
Maroochydore	70356
Maroon	69836
Maroondan	47268
Marsden	69784
Marshlands	
Martyville	80184
Maryborough (Qld)	53924
Maryborough West	66508
Marys Creek	66612
Maryvale (Livingstone - Qld)	84500
Maryvale (Southern Downs - Qld)	54860
Masig Island	36712
Massie	66040
Maudsland	112892
Maxwelton	
May Downs	133224
McCutcheon	49348
McDesme	98384
McDowall	120172
McEwens Beach	97500
McIlwraith	61724
McIntosh Creek	61724
McKinlay	87724
Meadowbrook	86060
Meadowvale	70980
Meandarra	69316
Meikleville Hill	75192
Melawondi	37700
Meldale	61724
Melrose (Qld)	
Memerambi	68224
Mena Creek	73632
Mentmore	
Menzies (Qld)	105092
Mer Island	48516
Meridan Plains	75400
Meringandan	95836
Meringandan West	96408
Merlwood	82836
Mermaid Beach	94432
Mermaid Waters	83824
Merrimac	82420
Merritts Creek	101816
Merryburn	88348
Merryvale	
Mexico	108316
Mia Mia (Qld)	97500
Miallo	75452
Miami	95888
Miara	84448
Mica Creek	133224
Middle Park (Qld)	112580
Middle Ridge	112944
Middlebrook	55224
Middlemount	134212
Middleton (Qld)	
Midge Point	58916
Midgee (Qld)	97448
Midgenoo	67132
Midgeree Bar	68224
Mighell	53612
Milbong	68900
Miles	74360
Miles End	131404
Milford	82316
Millaa Millaa	50492
Millaroo	61724
Millbank (Qld)	58864
Millchester	71968
Millmerran	69836
Millmerran Downs	38636
Millmerran Woods	43316
Millstream (Qld)	52364
Millwood	72748
Milman	93184
Milora	108316
Milton (Qld)	121836
Mimosa (Qld)	64948
Min Min	
Minbun	61724
Minden	78780
Minerva	112632
Mingo	46748
Mingoola (Qld)	64948
Minnamoolka	61724
Minnie Downs	
Minyama	83980
Mirani	95316
Miriam Vale	70408
Mirriwinni	70408
Missen Flat	142948
Mission Beach	66196
Mission River	40040
Mistake Creek	90948
Mitchell (Qld)	70252
Mitchelton	117780
Miva	46800
Moa Island	45916
Moffat Beach	85540
Moffatdale	60892
Moggill	117052
Molangul	142948
Molendinar	81588
Mon Repos	84448
Mona Mona	46748
Mona Park	127348
Monal	58500
Monduran	60632
Mondure	53612
Monkland	52988
Monogorilby	24648
Mons	117624
Monsildale	97500
Monto	58708
Montrose (Southern Downs - Qld)	
Montrose (Western Downs - Qld)	68224
Montville	65312
Moodlu	74464
Mooga	
Moogerah	65884
Moola	97448
Moolboolaman	47788
Mooloo	86892
Mooloolaba	77584
Mooloolah Valley	81172
Moombra	49348
Moombria	
Moomin	67132
Moondooner	58500
Moonford	54132
Moongan	56316
Moonie	66612
Moorang	71500
Moore	44720
Moore Park Beach	54964
Moores Pocket	58136
Moorina (Qld)	104832
Moorland (Qld)	82836
Mooroobool	78416
Moorooka	105768
Moraby	84500
Moranbah	141232
Morayfield	72852
Moregatta	
Morella	71500
Moresby (Qld)	73632
Moreton Bay	
