SSC_NAME16	medianTotalPersonalIncome
Cremorne (Qld)	29848
Cressbrook	26312
Cressbrook Creek	30836
Crestmead	31512
Crimea	23400
Crinum	57824
Croftby	30940
Crohamhurst	26624
Cromarty	35724
Crossdale	19708
Crossroads	32448
Crowley Vale	19916
Crownthorpe	24388
Crows Nest (Qld)	24024
Croydon (Qld)	26260
Cryna	29224
Crystal Brook (Qld)	29900
Crystal Creek (Qld)	18200
Crystalbrook	37700
Cullinane	30992
Cungulla	25688
Cunnamulla	29900
Cunningham (Qld)	26572
Curra	22412
Currajah	42484
Currajong	32500
Curramore (Qld)	26520
Currimundi	29588
Currumbin	39104
Currumbin Valley	32084
Currumbin Waters	31980
Curtis Island	146016
Cushnie	29900
Cutella	29900
Cuttaburra	46748
Cynthia	38948
Cypress Gardens	18200
D'Aguilar	34944
Dagmar	
Dagun	29588
Daintree	25116
Daisy Hill (Qld)	38584
Dajarra	29380
Dakabin	39988
Dakenba	41912
Dalbeg	44356
Dalby	34632
Dalcouth	23868
Dalga	
Dallarnil	21580
Dalma	40092
Dalrymple Creek	35568
Dalrymple Heights	24024
Dalveen	25584
Dalwogon	29900
Dalysford	20436
Damascus	23140
Damper Creek	23400
Danbulla	22100
Danderoo	31824
Dangore	25324
Daradgee	27924
Dargal Road	45916
Darling Heights	26416
Darlington (Qld)	34736
Darr Creek	20748
Darra	28600
Darts Creek	22620
Dauan Island	29276
Daveson	39624
Dayboro	38116
Daymar	39624
Deagon	34008
Deception Bay	28444
Dedin	
Deebing Heights	50960
Deep Creek (Qld)	42900
Deepwater (Qld)	19240
Deeragun	34216
Deeral	25012
Degarra	23400
Degilbo	20644
Delan	20904
Delaneys Creek	32656
Depot Hill	23660
Derri Derra	37700
Derrymore	32448
Desailly	
Deuchar	26520
Devereux Creek	33124
Devon Park (Qld)	63336
Diamantina Lakes	32968
Diamond Valley	30472
Diamondvale	44148
Diamondy	22516
Dicky Beach	28132
Didcot	27560
Diddillibah	29328
Diglum	27456
Dimbulah	25844
Dingo	39624
Dingo Beach	24128
Dingo Pocket	36400
Dinmore	24180
Dirnbir	19708
Dirranbandi	32396
Dittmer	25584
Diwan	24492
Dixalea	24492
Dixie (Qld)	29848
Djarawong	24128
Djiru	
Djuan	27092
Doctor Creek	28912
Dolphin Heads	53092
Domville	
Donnybrook (Qld)	25844
Doolandella	36400
Doolbi	24128
Doomadgee	15496
Doonan	33072
Doongul	18200
Dotswood	30316
Doughboy	16900
Douglas (Toowoomba - Qld)	27300
Douglas (Townsville - Qld)	30004
Dowar Islet	
Downsfield	21112
Dows Creek	31824
Draper	43628
Drayton	30784
Drewvale	37596
Drillham	25220
Drillham South	29900
Drinan	25376
Dromedary (Qld)	23400
Drummondslope	55224
Duaringa	40092
Duchess	38792
Duckinwilla	35724
Ducklo	22516
Dugandan	28860
Duingal	21424
Dulacca	32344
Dulong	33540
Dululu	23816
Dumbleton	38948
Dumgree	25532
Dumpy Creek	49348
Dundarrah	26624
Dundas (Qld)	25116
Dundathu	29900
Dundowran	26052
Dundowran Beach	28392
Dunk	42848
Dunkeld (Qld)	26936
Dunmora	26520
Dunmore (Qld)	35100
Dunnrock	24960
Dunrobin (Qld)	54132
Dunwich	28340
Durack (Qld)	27404
Durah	
Durham	92612
Durham Downs	79248
Durong	19968
Dutton Park	28548
Dutton River	30628
Dykehead	23348
Dynevor	49348
Dysart (Qld)	57876
Eagle Farm	
Eagleby	26156
Eaglefield	
Earlville	30888
East Barron	38428
East Brisbane	44408
East Cooyar	20748
East Creek	
East Deep Creek	25844
East End	24908
East Feluga	30992
East Greenmount	31720
East Haldon	37648
East Innisfail	27248
East Ipswich	31876
East Mackay	36868
East Nanango	22152
East Palmerston	34060
East Russell	26988
East Toowoomba	42120
East Trinity	37700
Eastern Heights	30524
Eaton (Qld)	29120
Eatons Hill	46072
Ebbw Vale	28704
Ebenezer (Qld)	29484
Edens Landing	34840
Edge Hill	40248
Edmonton	34632
Edward River	
Eerwah Vale	28548
Egypt	31148
Eidsvold	22724
Eidsvold East	25116
Eidsvold West	38324
Eight Mile Creek (Qld)	
Eight Mile Plains	31512
Eimeo	44720
Einasleigh	26416
El Arish	26832
Elaman Creek	24128
Elanora	31668
Elbow Valley	34684
Electra	26884
Elgin (Qld)	32448
Elgin Vale	23400
Eli Waters	24804
Elimbah	32396
Ellangowan (Qld)	33436
Ellen Grove	23556
Ellerbeck	23192
Ellesmere	21268
Ellinjaa	37700
Ellinthorp	27924
Elliott (Qld)	36400
Elliott Heads	26260
Ellis Beach	44200
Elphinstone (Isaac - Qld)	18200
Elphinstone (Toowoomba - Qld)	36036
Emerald (Qld)	45344
Emu Creek (Qld)	21164
Emu Park	27872
Emu Vale	22100
England Creek	27924
Enoggera	50908
Enoggera Reservoir	37648
Epsom (Qld)	49348
Erakala	49504
Ernestina	18200
Eromanga	36868
Erub Island	18824
Esk (Qld)	22880
Eskdale (Qld)	38948
Esmeralda	46800
Etna Creek	39312
Eton	33904
Etty Bay	36192
Eubenangee	35048
Eudlo	29068
Eukey	22620
Euleilah	20852
Eulo	29900
Eumamurrin	45916
Eumundi	31772
Eungella (Qld)	22620
Eungella Dam	49348
Eungella Hinterland	
Euramo	37336
Eureka (Qld)	21684
Eurella	
Eurimbula	
Eurombah	48516
Eurong	34424
Euthulla	44044
Evans Landing	66092
Evanslea	35724
Evelyn	24752
Evergreen	23400
Everton Hills	45656
Everton Park	43680
Evora	
Fairdale	19916
Fairfield (Qld)	35152
Fairney View	28756
Fairy Bower	26572
Fairyland	37648
Fairymead	28236
Farleigh	38896
Farnborough	30264
Farnsfield	32292
Farrars Creek	
Fassifern (Qld)	13988
Fassifern Valley	30576
Federal (Qld)	26936
Felton	32500
Felton South	27560
Feluga	39988
Ferney	29328
Fernvale (Qld)	33176
Ferny Glen	26936
Ferny Grove	42068
Ferny Hills	41288
Ficks Crossing	31824
Fielding	71448
Fifteen Mile	50232
Fig Tree Pocket	52260
Finch Hatton	24544
Finlayvale	37700
Finnie	39884
Fisher (Qld)	
Fishermans Pocket	31148
Fishery Falls	36140
Fitzgerald Creek	35360
Fitzgibbon	41132
Fitzroy Island	51220
Flagstone Creek	35360
Flametree	27924
Flaxton	28496
Fletcher (Qld)	22360
Fletcher Creek	
Fleurbaix	34788
Flinders View	38116
Flinton	24648
Florence Bay	
Flying Fish Point	27144
Flying Fox (Qld)	48048
Fordsdale	20540
Foreshores	25168
Forest Creek	25480
Forest Glen (Qld)	34892
Forest Hill (Qld)	25740
Forest Lake	38584
Forest Ridge	20228
Forest Springs	35360
Forestdale	41132
Foresthome	32188
Forestvale	37700
Fork Lagoons	
Formartin	48048
Forrest Beach (Qld)	26312
Forsayth	20956
Fortitude Valley	47580
Forty Mile	54184
Fossilbrook	27924
Foulden	16900
Four Ways	43836
Foxdale	34788
Frankfield	45032
Fraser Island	35308
Frazerview	29848
Fredericksfield	27612
Freestone	26988
Frenches Creek	28600
Frenchville	36608
Freshwater (Qld)	45604
Freshwater Point	38948
Friday Pocket	40560
Fulham (Qld)	24648
Gadgarra	
Gaeta	18460
Gailes	24752
Gainsford	20748
Gairloch	30628
Galilee	29900
Gamboola	36400
Gangalidda	
Garbutt	29484
Garfield (Qld)	23400
Gargett	30368
Garnant	33280
Garners Beach	25116
Garradunga	33436
Garrawalt	
Gatton	27040
Gaven	32292
Gayndah	27456
Gaythorne	44564
Geebung	39572
Geham	31876
Gemini Mountains	34788
Georgetown (Qld)	29224
Georgina (Qld)	43316
Germantown (Qld)	25324
Gheerulla	26364
Ghinghinda	49348
Gidya	
Gigoomgan	42224
Gilbert River	46800
Gilberton (Etheridge - Qld)	23400
Gilberton (Gold Coast - Qld)	24388
Gilla	35724
Gilldora	31148
Gilston	39832
Gin Gin (Qld)	22984
Gindie	38636
Gindoran	
Ginoondan	46800
Girraween (Qld)	
Giru	31772
Givelda	19188
Gladfield (Qld)	39208
Gladstone Central	39104
Gladstone Harbour	21216
Glamorgan Vale	31512
Glan Devon	24648
Glanmire (Qld)	21320
Glass House Mountains	30108
Glastonbury	24544
Glebe (Qld)	27924
Glen Allyn	27196
Glen Aplin	24544
Glen Boughton	24024
Glen Cairn	29120
Glen Echo	22048
Glen Eden	44512
Glen Esk	20228
Glen Isla	35100
Glen Niven	31824
Glen Russell	23400
Glen Ruth	
Glenarbon	20176
Glenaubyn	36400
Glenaven	27924
Glenbar	25324
Glencoe (Qld)	35048
Glendale (Qld)	40092
Glenden	64376
Gleneagle	31772
Glenella	43940
Glenfern (Qld)	22100
Glengallan	28600
Glenhaughton	29224
Glenlee (Qld)	36088
Glenleigh	22360
Glenlyon (Qld)	35048
Glenmoral	47788
Glenmorgan	34216
Glenorchy (Qld)	23764
Glenore Grove	28808
Glenrae	36608
Glenrock (Qld)	19448
Glenroy (Qld)	31148
Glenvale	38116
Glenview	33228
Glenwood (Qld)	19916
Godwin Beach	30576
Gogango	32656
Golden Beach (Qld)	28496
Golden Fleece	17836
Goldfields	19448
Goldsborough (Qld)	41704
Gooburrum	34424
Good Night	20592
Goodar	38636
Goodger	22880
Goodna	28860
Goodwood (Qld)	20488
Googa Creek	22880
Goolboo	42848
Goolman	42588
Goomally	27248
Goombi	28600
Goomboorian	25688
Goombungee	26884
Goomburra	23452
Goomeri	22776
Goomeribong	34216
Goondi	27300
Goondi Bend	26312
Goondi Hill	23868
Goondiwindi	37960
Goorganga Creek	46800
Goorganga Plains	
Gooroolba	24232
Gootchie	18928
Goovigen	25584
Goowarra	29900
Goranba	23088
Gordon Park	51740
Gordonbrook	33384
Gordonstone	
Gordonvale	34216
Gore	24648
Gowrie Junction	39260
Gowrie Little Plain	44200
Gowrie Mountain	40508
Gowrie Station	18148
Gracemere	35152
Graceville	48984
Grahams Creek	34788
Granadilla	25636
Grand Secret	27196
Grandchester	27716
Grange (Qld)	54392
Granite Vale	
Grant	29900
Grantham	26832
Granville (Qld)	23400
Grapetree	36400
Grassdale (Qld)	
Grasstree Beach	36712
Grays Gate	39624
Great Sandy Strait	
Green Hill	38428
Green Island	43316
Greenbank	35100
Greenlake	
Greenlands (Qld)	24336
Greenmount (Mackay - Qld)	35516
Greenmount (Toowoomba - Qld)	34008
Greens Creek (Qld)	28184
Greenslopes	44408
Greenswamp	23400
Greenup	19708
Greenvale (Qld)	26416
Greenview	28912
Greenwood (Qld)	28236
Gregors Creek	27664
Gregory (Qld)	31512
Gregory River (Bundaberg - Qld)	27924
Gregory River (Whitsunday - Qld)	30056
Greycliffe	38948
Greymare	30628
Griffin	46176
Groganville	116948
Groomsville	42068
Groper Creek	22516
Grosmont	29900
Grosvenor	53872
Guanaba	39208
Guijar Islet	
Gulf Of Carpentaria	
Gulliver	30992
Gulngai	
Guluguba	24024
Gumdale	49712
Gumlow	43784
Gumlu	34164
Gunalda	21736
Gundiah	23192
Gungaloon	21320
Gunnawarra	24648
Gunnewin	40092
Gunpowder	39624
Gunyarra	46800
Gurgeena	22880
Gurulmundi	24648
Guthalungra	38428
Gwambegwine	25116
Gympie	25480
Habana	39104
Haden	30836
Haigslea	33644
Hail Creek	89336
Haliday Bay	27092
Halifax	25272
Halliford	
Haly Creek	28288
Hamilton (Qld)	56264
Hamilton Creek	29224
Hamilton Plains	24128
Hampden (Qld)	34632
Hampton (Qld)	31148
Hannaford	27092
Happy Valley (Qld)	49816
Harlaxton	27040
Harlin	26156
Harrami	22724
Harriet	71448
Harristown	28652
Harrisville	34008
Hatton Vale	30992
Hawkins Creek	28288
Hawkwood	25116
Hawthorne	58448
Hay Point	33852
Hazeldean	28236
Hazledean	29900
Headington Hill	19188
Healy	63648
Heathwood	44512
Heatley	27508
Hebel	22828
Helens Hill	23608
Helensvale	34788
Helidon	29744
Helidon Spa	31044
Hemmant	40560
Hendon (Qld)	27664
Hendra	51584
Herberton	24024
Heritage Park	36452
Hermit Park	35152
Herston	32448
Hervey Range	36140
Hibernia	35724
Hidden Valley (Qld)	36608
Hideaway Bay	26208
Highbury (Qld)	
Highfields (Qld)	37024
Highgate Hill	37908
Highgrove	35100
Highland Park	32916
Highland Plains (Maranoa - Qld)	46800
Highland Plains (Toowoomba - Qld)	24648
Highvale	43628
Highworth	36140
Hillcrest (Qld)	35360
Hillview	31824
Hinchinbrook (Qld)	
Hirstglen	24232
Hivesville	20228
Hobartville (Qld)	32760
Hodgleigh	22516
Hodgson	44148
Hodgson Vale	46800
Holland Park	41808
Holland Park West	44304
Holloways Beach	34580
Hollywell	38896
Holmview	38376
Holroyd River	
Home Creek	37700
Home Hill	29744
Homebush (Qld)	44564
Homestead	20124
Hookswood	19916
Hope Island	39780
Hope Vale	17212
Hopeland (Qld)	36712
Horn	29224
Horse Camp	20020
Horse Creek	22516
Horseshoe Bay	28964
Horseshoe Lagoon	29016
Horton	21944
Howard	22724
Howitt	32760
Hoya	35880
Hudson	24076
Hughenden	32396
Hull Heads	25324
Humboldt	64948
Humeburn	22100
Humphery	68224
Hunchy	32136
Hungerford (Qld)	45032
Hurricane	9724
Hutton Creek	53300
Hyde Park (Qld)	35048
Iama Island	19136
Ibis	
Idalia	53456
Ideraway	25428
Ilbilbie	24388
Ilfracombe	36920
Ilkley	36400
Illinbah	27716
Image Flat	32136
Imbil	23816
Inala	20488
Indooroopilly	36504
Ingberry	44720
Ingham	26364
Inglestone	32968
Inglewood (Qld)	29120
Ingoldsby	38636
Injinoo	18252
Injune	34216
Inkerman (Qld)	25324
Innes Park	30992
Innisfail	25324
Innisfail Estate	28080
Innisplain	43316
Innot Hot Springs	20020
Inskip	16848
Inverlaw	29276
Inverness	23816
Ipswich	25168
Iredale	29380
Iron Range	20228
Ironbark (Qld)	32552
Irongate	30836
Ironpot (Livingstone - Qld)	40508
Ironpot (South Burnett - Qld)	38948
Irvinebank	22412
Irvingdale	42796
Isis Central	28652
Isis River	19552
Isisford	23972
Isla	35620
Island Plantation	27924
Iveragh	34892
Ivory Creek	20540
Jackson	23400
Jackson North	28912
Jackson South	50024
Jacobs Well	37908
Jaffa	23400
Jaggan	27040
Jamboree Heights	38740
Jandowae	24596
Japoonvale	21684
Jardine	19916
Jardine River	
Jarra Creek	30420
Jarvisfield	37232
Jeebropilly	
Jellinbah	46800
Jensen	37284
Jericho (Qld)	23868
Jerona	22984
Jimboomba	36712
Jimbour East	34788
Jimbour West	32968
Jimna	18824
Jindalee (Qld)	40924
Jinghi	34788
Jobs Gate	37700
Johnsons Hill	16484
Johnstown	37700
Jollys Lookout	37700
Jondaryan	34372
Jones Gully	29848
Jones Hill	31980
Josephville	30628
Joskeleigh	24024
Joyner	37336
Jubilee Heights	47060
Jubilee Pocket	39832
Julago	27924
Julatten	26572
Julia Creek	39052
Junabee	32916
Junction View	26728
Jundah	43576
Kaban	24232
Kabra	31200
Kagaru	18200
Kaimkillenbun	30368
Kairabah	
Kairi	31616
Kalapa	28340
Kalbar	28080
Kalinga	46696
Kalkadoon	58448
Kalkie	31564
Kallangur	34268
Kalpowar	18512
Kalunga	27924
Kamerunga	40560
Kandanga	25844
Kandanga Creek	24752
Kangaroo Point (Qld)	49764
Kanigan	22880
Kanimbla (Qld)	43056
Kapaldo	25116
Karalee	43368
Karana Downs	44304
Karara	19396
Karawatha	27924
Karrabin	35152
Karragarra Island	25740
Karron	
Karumba	33644
Kawana	31200
Kawl Kawl	24648
Kawungan	25168
Kearneys Spring	32136
Kedron	47060
Kelsey Creek	32292
Kelso (Qld)	33124
Kelvin Grove	30316
Kelvinhaugh	29900
Kemmis	97500
Kenilworth	25896
Kenmore	43316
Kenmore Hills	40768
Kennedy	25636
Kensington (Qld)	25064
Kensington Grove	33228
Kents Lagoon	40248
Kents Pocket	35724
Kentville	25272
Keperra	34216
Kepnock	25480
Keppel Sands	26312
Keriri Island	23504
Kerry	31668
Kewarra Beach	38324
Keysland	22516
Kholo	38896
Khosh Bulduk	30836
Kia Ora (Qld)	26208
Kiamba	32760
Kianga (Qld)	40352
Kidaman Creek	30628
Kiels Mountain	34736
Kilbirnie	29900
Kilcoy	30420
Kilcummin	42952
Kilkivan	21684
Killaloe	35048
Killarney (Qld)	24336
Kilmorey Falls	
Kimberley (Qld)	27924
Kin Kin	25012
Kin Kora	37128
Kinbombi	37700
Kinchant Dam	30732
Kincora	53872
Kindon	55224
King Scrub	42692
Kingaham	31148
Kingaroy	29640
Kings Beach	32760
Kings Creek	34424
Kings Siding	53612
Kingsholme	34008
Kingsthorpe	32552
Kingston (Qld)	24544
Kinka Beach	25220
Kinkuna	38064
Kinleymore	22724
Kinnoul	31148
Kioma	28600
Kippa-Ring	28496
Kirknie	25740
Kirkwood	47736
Kirrama	29900
Kirwan	35932
Kitoba	19032
Kleinton	45032
Knapp Creek	29900
Koah	29692
Kobble Creek	42744
Kogan	23972
Kokotungo	43004
Kolonga	20436
Koombooloomba	
Koongal	31408
Kooralbyn	24076
Kooralgin	32084
Kooringal (Qld)	24024
Kooroomool	
Kooroongarra	27300
Koumala	33852
Kowanyama	17784
Kowguran	24908
Kragra	54132
Kulangoor	26468
Kulgun	30992
Kullogum	18772
Kulpi	29900
Kuluin	31980
Kumbarilla	22360
Kumbia	25376
Kunda Park	35360
Kunioon	44200
Kunwarara	19916
Kuraby	32864
Kuranda	26468
Kureelpa	32032
Kureen	28912
Kuridala	23400
Kurrimine Beach	28548
Kurrowah	42848
Kurumbul	46800
Kurwongbah	34268
Kuttabul	32604
Kybong	24284
Kynuna	29900
Kyoomba	24648
Labrador	29068
Laceys Creek	36244
Laglan	
Lagoon Pocket	28236
Laguna Quays	25324
Laidley	24284
Laidley Creek West	30836
Laidley Heights	24648
Laidley North	26364
Laidley South	28132
Lake Barrine	29640
Lake Borumba	31824
Lake Clarendon	34944
Lake Eacham	30056
Lake Macdonald	31616
Lake Manchester	30836
Lake Mary	26572
Lake Monduran	
Lake Proserpine	55224
Lake Tinaroo	
Lake Wivenhoe	58500
Lakefield	66092
Lakeland	38168
Lakes Creek	34424
Lakeside	21164
Lamb Island	21268
Lamb Range	
Lamington (Qld)	33020
Lammermoor	39260
Landers Shoot	35828
Landsborough (Qld)	29484
Lanefield	38948
Langlands	31824
Langlo	16692
Langshaw	27300
Lannercost	27248
Lansdowne (Qld)	55224
Lanskey	37700
Larapinta (Qld)	
Laravale	33124
Lark Hill	38324
Laura (Qld)	20280
Lavelle	43316
Lawes	4264
Lawgi Dawes	37336
Lawn Hill	43316
Lawnton	32552
Leafdale	31824
Lefthand Branch	24024
Leichhardt (Qld)	25688
Lemontree	48724
Leslie	29900
Leslie Dam	33332
Lethebrook	31408
Leyburn	21580
Leydens Hill	
Lilydale (Qld)	38428
Lilyvale (Central Highlands - Qld)	36400
Lilyvale (Toowoomba - Qld)	30836
Limestone (Qld)	
Limestone Creek	32708
Limestone Ridges	37388
Limevale	20072
Linden (Qld)	82316
Linthorpe	33124
Linville	21320
Little Mountain	30576
Little Mulgrave	38532
Lizard	40508
Llanarth (Qld)	43316
Loch Lomond	25324
Lochington	35100
Lockhart River	17732
Lockrose	24076
Lockyer (Qld)	38428
Lockyer Waters	24648
Logan Central	21944
Logan Reserve	36816
Logan Village	35100
Loganholme	37180
Loganlea	28600
Lonesome Creek	42900
Long Flat (Qld)	30316
Long Pocket	35724
Longreach (Qld)	38844
Lota	39832
Lotus Creek	36036
Low Isles	
Lower Beechmont	37232
Lower Cowley	24648
Lower Cressbrook	
Lower Daintree	29432
Lower Mount Walker	36712
Lower Tenthill	30472
Lower Tully	31148
Lower Wonga	26624
Lowesby	38948
Lowestoff	66612
Lowmead	20436
Lowood	25376
Lucinda	26780
Lumeah (Qld)	
Lumholtz	
Lundavra	45916
Luscombe	43420
Lutwyche	47476
Lynam	49348
Lyndhurst (Qld)	39624
Lyndside	
Lyons (Qld)	22048
Lyra	30992
Lytton	
Ma Ma Creek	26260
Maadi	29120
Maalan	25428
Maaroom	21476
Mabuiag Island	19188
Macalister	40092
Macalister Range	
Macfarlane	23400
Macgregor (Qld)	22932
Machans Beach	36816
Machine Creek	25688
Mackay	31460
Mackay Harbour	58656
Mackenzie (Brisbane - Qld)	44772
Mackenzie (Central Highlands - Qld)	59540
Mackenzie River	49348
Macknade	30784
Maclagan	29588
Macleay Island	21580
Magnolia	23868
Maidenhead	12948
Maidenwell	22932
Main Beach	45188
Majors Creek (Qld)	35152
Malanda	25324
Malarga	37700
Maleny	27196
Malling	27300
Malmoe	19916
Malpas-Trenton	19916
Malu	29120
Mamu	
Manapouri	32448
Mandalay	38428
Maneroo	23400
Mango Hill	42952
Manly (Qld)	44616
Manly West	38532
Mannuem	34684
Manoora (Qld)	28704
Mansfield (Qld)	34268
Mantuan Downs	56836
Manumbar	26624
Manunda	26676
Manyung	29900
Mapleton	26468
Mapoon	18928
Maramie	46800
Marburg	33696
Marcoola	34164
Marcus Beach	35672
Mareeba	28860
Margate (Qld)	29952
Maria Creeks	27612
Marian	41340
Marlborough	36712
Marmadua	29900
Marmor	25480
Marodian	
Maroochy River	35672
Maroochydore	32240
Maroon	32032
Maroondan	22412
Marsden	30212
Marshlands	54184
Martyville	34944
Maryborough (Qld)	23712
Maryborough West	25740
Marys Creek	35048
Maryvale (Livingstone - Qld)	37648
Maryvale (Southern Downs - Qld)	23296
Masig Island	16848
Massie	26624
Maudsland	42068
Maxwelton	24648
May Downs	61412
McCutcheon	21632
McDesme	41080
McDowall	44876
McEwens Beach	30888
McIlwraith	25168
McIntosh Creek	21684
McKinlay	78624
Meadowbrook	33488
Meadowvale	25636
Meandarra	25116
Meikleville Hill	34060
Melawondi	34372
Meldale	30888
Melrose (Qld)	
Memerambi	29900
Mena Creek	33904
Mentmore	
Menzies (Qld)	51480
Mer Island	16744
Meridan Plains	32552
Meringandan	36764
Meringandan West	39104
Merlwood	33124
Mermaid Beach	43784
Mermaid Waters	34684
Merrimac	35308
Merritts Creek	35048
Merryburn	39416
Merryvale	22048
Mexico	50232
Mia Mia (Qld)	33020
Miallo	36556
Miami	39572
Miara	24492
Mica Creek	52468
Middle Park (Qld)	39468
Middle Ridge	42432
Middlebrook	22048
Middlemount	70980
Middleton (Qld)	55224
Midge Point	25688
Midgee (Qld)	42432
Midgenoo	35464
Midgeree Bar	30836
Mighell	26416
Milbong	26832
Miles	36192
Miles End	56212
Milford	35620
Millaa Millaa	23400
Millaroo	36400
Millbank (Qld)	25376
Millchester	31200
Millmerran	32084
Millmerran Downs	19968
Millmerran Woods	16900
Millstream (Qld)	21892
Millwood	23400
Milman	35100
Milora	26780
Milton (Qld)	50908
Mimosa (Qld)	23764
Min Min	
Minbun	22516
Minden	27508
Minerva	38428
Mingo	19448
Mingoola (Qld)	22100
Minnamoolka	31148
Minnie Downs	54132
Minyama	34216
Mirani	33956
Miriam Vale	26104
Mirriwinni	30316
Missen Flat	46800
Mission Beach	30524
Mission River	14664
Mistake Creek	49348
Mitchell (Qld)	30368
Mitchelton	43056
Miva	27300
Moa Island	21008
Moffat Beach	34164
Moffatdale	29900
Moggill	45032
Molangul	58500
Molendinar	30784
Mon Repos	27924
Mona Mona	20124
Mona Park	47268
Monal	18200
Monduran	21268
Mondure	23192
Monkland	24544
Monogorilby	20124
Mons	38688
Monsildale	24648
Monto	25428
Montrose (Southern Downs - Qld)	
Montrose (Western Downs - Qld)	19968
Montville	29276
Moodlu	29068
Mooga	112684
Moogerah	24908
Moola	27144
Moolboolaman	19656
Mooloo	31824
Mooloolaba	35152
Mooloolah Valley	32292
Moombra	23348
Moombria	
Moomin	30628
Moondooner	27300
Moonford	26468
Moongan	23400
Moonie	30628
Moorang	32188
Moore	22152
Moore Park Beach	24180
Moores Pocket	24388
Moorina (Qld)	36556
Moorland (Qld)	32604
Mooroobool	34060
Moorooka	40560
Moraby	37648
Moranbah	62868
Morayfield	30680
Moregatta	23400
Morella	42640
Moresby (Qld)	32084
Moreton Bay	
Moreton Island	45396
Morgan Park	30368
Morganville	19240
Morinish	32760
Morinish South	
Morningside	51740
Mornington (Qld)	51636
Morton Vale	21424
Morven (Qld)	29016
Morwincha	29848
Mosman Park (Qld)	34372
Mosquito Creek	23348
Mossman	29432
Mossman Gorge	23764
Mothar Mountain	24284
Motley	44148
Mount Abundance	44720
Mount Alford	32708
Mount Alma	36556
Mount Archer (Rockhampton - Qld)	61724
Mount Archer (Somerset - Qld)	29484
Mount Barney	35100
Mount Beppo	22308
Mount Berryman	24648
Mount Bindango	61724
Mount Binga	26572
Mount Britton	27924
Mount Byron	27924
Mount Carbine	20644
Mount Chalmers	23764
Mount Charlton	29900
Mount Colliery	24388
Mount Coolon	30524
Mount Coolum	34320
Mount Coot-tha	
Mount Cotton	50908
Mount Crosby	48724
Mount Darry	27560
Mount Debateable	42900
Mount Delaney	23868
Mount Edwards	22932
Mount Elliot (Qld)	
Mount Emlyn	23400
Mount Enniskillen	37700
Mount Forbes	30888
Mount Fox	20384
Mount French	34112
Mount Gardiner	24648
Mount Garnet	21320
Mount Gipps	13624
Mount Glorious	37700
Mount Gravatt	37544
Mount Gravatt East	40040
Mount Hallen	23920
Mount Howe	
Mount Hutton (Qld)	46800
Mount Irving	46748
Mount Isa	59644
Mount Isa City	57616
Mount Jukes	28548
Mount Julian	37388
Mount Kelly	38688
Mount Kilcoy	32968
Mount Kynoch	41132
Mount Larcom	28236
Mount Lawless	27924
Mount Lindesay (Qld)	
Mount Lofty	42692
Mount Louisa	42536
Mount Low	43680
Mount Luke	42848
Mount Macarthur	60632
Mount Mackay	
Mount Maria	20020
Mount Marlow	34944
Mount Marrow	29900
Mount Marshall	25688
Mount Martin	31512
Mount Mceuen	25324
Mount Mee	30316
Mount Mellum	30212
Mount Moffatt	
Mount Molar	37700
Mount Molloy	25792
Mount Morgan	22724
Mount Moriah	49348
Mount Mort	29900
Mount Mulgrave	
Mount Mulligan	
Mount Murchison	32084
Mount Nathan	36192
Mount Nebo	40300
Mount Ommaney	43836
Mount Ossa	30524
Mount Pelion	35880
Mount Perry	22724
Mount Peter	44200
Mount Pleasant (Mackay - Qld)	35828
Mount Pleasant (Moreton Bay - Qld)	42120
Mount Pluto	27924
Mount Rascal	43576
Mount Rooper	
Mount Samson	40300
Mount Sheridan (Qld)	38584
Mount St John	30420
Mount Stanley	70200
Mount Steadman	37700
Mount Stuart (Qld)	
Mount Sturt	37700
Mount Surprise	29900
Mount Surround	33280
Mount Sylvia	22256
Mount Tabor	40924
Mount Tarampa	29120
Mount Tom	27924
Mount Tully	24024
Mount Tyson	32084
Mount Urah	27924
Mount Walker (Qld)	34788
Mount Walker West	45500
Mount Warren Park	33072
Mount Whitestone	27768
Mount Wyatt	42900
Mountain Camp	23400
Mountain Creek (Qld)	36712
Moura	42068
Mourilyan	26260
Mourilyan Harbour	33384
Mowbray (Qld)	41756
Mowbullan	19448
Moy Pocket	29016
Mp Creek	27300
Muckadilla	34320
Mudgeeraba	34892
Mudjimba	35048
Mudlo	
Muirlea	31824
Mulambin	37232
Mulara	27924
Muldu	
Mulgildie	25792
Mulgowie	27040
Mulgrave (Qld)	31824
Mullett Creek	18668
Munbilla	36400
Munbura	42016
Munderra	
Mundingburra	29276
Mundoo	35360
Mundoolun	38480
Mundowran	32292
Mundubbera	33852
Mungabunda	40976
Mungallala	26988
Mungallala South	21840
Mungalli	27924
Mungar	26624
Mungindi (Qld)	32864
Mungungo	24648
Mungy	
Muniganeen	19188
Munna Creek	27924
Munro Plains	26624
Munruben	37908
Murarrie	46800
Murgon	24596
Murphys Creek (Qld)	27872
Murray	56212
Murray Upper	21684
Murrays Bridge	32604
Murrigal	35100
Murrumba	16484
Murrumba Downs	38168
Murweh	
Mutarnee	29900
Mutchilba	35100
Mutdapilly	27820
Muttaburra	25376
Myall Park (Qld)	39624
Myrtlevale	30108
Mysterton	39572
Nahrunda	29016
Nambour	27508
Nanango	23140
Nandi	42068
