SSC_NAME16	Sex	unemployment
Cungulla	F	4.9
Cungulla	M	11.9
Cunnamulla	F	5.6
Cunnamulla	M	9.7
Curra	F	17.3
Curra	M	14.6
Currajong	F	8.5
Currajong	M	12.4
Currimundi	F	7.4
Currimundi	M	7.6
Currumbin	F	5.4
Currumbin	M	6.9
Currumbin Valley	F	5
Currumbin Valley	M	6
Currumbin Waters	F	5.9
Currumbin Waters	M	7.1
D'Aguilar	F	6.5
D'Aguilar	M	8.4
Dagun	F	9.7
Dagun	M	7.3
Daintree	F	8.3
Daisy Hill (Qld)	F	7.2
Daisy Hill (Qld)	M	6.7
Dajarra	F	14.3
Dajarra	M	7.7
Dakabin	F	6.5
Dakabin	M	7.2
Dakenba	F	8.8
Dalby	F	7
Dalby	M	6.8
Dalcouth	M	9.4
Dallarnil	M	8.9
Dalrymple Creek	M	8.6
Dalrymple Heights	M	27.3
Dalveen	F	5.6
Dalveen	M	3.8
Dalysford	F	20.8
Dalysford	M	15
Damascus	M	15.4
Damper Creek	F	25
Dargal Road	M	6.1
Darling Heights	F	11.6
Darling Heights	M	14.5
Darra	F	7.8
Darra	M	10.6
Darts Creek	F	12.5
Darts Creek	M	17.1
Dauan Island	M	13.8
Dayboro	F	3.3
Dayboro	M	5.4
Deagon	F	6.6
Deagon	M	8.4
Deception Bay	F	12
Deception Bay	M	11.8
Deebing Heights	F	4.4
Deebing Heights	M	3.6
Deepwater (Qld)	F	47.4
Deepwater (Qld)	M	29.4
Deeragun	F	12
Deeragun	M	13.5
Deeral	F	12
Degarra	F	28.6
Degarra	M	31.3
Degilbo	F	15.2
Delan	F	13
Delan	M	19.6
Delaneys Creek	F	6
Delaneys Creek	M	6.7
Depot Hill	F	11.8
Depot Hill	M	24.4
Deuchar	F	5
Deuchar	M	6.5
Devereux Creek	F	5.7
Devereux Creek	M	5.3
Diamond Valley	F	4.9
Diamond Valley	M	9.9
Diamondvale	F	13
Dicky Beach	F	7.3
Dicky Beach	M	10.4
Didcot	F	70
Diddillibah	F	4.2
Diddillibah	M	6
Dimbulah	F	8.2
Dimbulah	M	8
Dingo	F	10.3
Dingo Beach	F	9.7
Dingo Beach	M	10.8
Dinmore	F	10
Dinmore	M	17.8
Dirranbandi	F	9.6
Dirranbandi	M	4.8
Dittmer	F	30
Dittmer	M	15
Diwan	M	7.3
Djarawong	M	10.7
Dolphin Heads	F	14.2
Dolphin Heads	M	9.6
Donnybrook (Qld)	F	7.5
Doolandella	F	10
Doolandella	M	7.3
Doomadgee	F	18
Doomadgee	M	20.8
Doonan	F	5.5
Doonan	M	6.8
Douglas (Toowoomba - Qld)	F	9.1
Douglas (Townsville - Qld)	F	10.6
Douglas (Townsville - Qld)	M	9.6
Downsfield	M	53.8
Dows Creek	M	19.5
Draper	F	4.2
Draper	M	6
Drayton	F	7.7
Drayton	M	9.1
Drewvale	F	8
Drewvale	M	7.9
Drillham	M	9.1
Drinan	M	8.1
Duaringa	F	6.1
Duaringa	M	3.3
Ducklo	F	5.8
Ducklo	M	4.5
Dugandan	F	5.5
Dugandan	M	2.2
Dulong	F	2.2
Dulong	M	2.9
Dumbleton	F	8.1
Dumbleton	M	5.6
Dundathu	F	5.7
Dundathu	M	10.3
Dundowran	F	9.2
Dundowran	M	5.6
Dundowran Beach	F	5.7
Dundowran Beach	M	10.9
Dunmora	M	12.3
Dunwich	F	6.3
Dunwich	M	10.7
Durack (Qld)	F	10.7
Durack (Qld)	M	10.3
Dutton Park	F	10.2
Dutton Park	M	9.2
Dysart (Qld)	F	9.3
Dysart (Qld)	M	3.8
Eagleby	F	15
Eagleby	M	12.9
Earlville	F	7.5
Earlville	M	8
East Barron	F	5.2
East Barron	M	10.5
East Brisbane	F	6.5
East Brisbane	M	6.9
East Deep Creek	F	6
East Deep Creek	M	7.2
East End	M	33.3
East Feluga	F	11.1
East Greenmount	F	3.2
East Greenmount	M	2.9
East Innisfail	F	13.2
East Innisfail	M	12.9
East Ipswich	F	7.9
East Ipswich	M	12.1
East Mackay	F	8.9
East Mackay	M	9.5
East Nanango	F	6.5
East Palmerston	M	4.8
East Toowoomba	F	5.2
East Toowoomba	M	5.8
East Trinity	F	11.1
East Trinity	M	12.7
Eastern Heights	F	8.9
Eastern Heights	M	10
Eatons Hill	F	4.7
Eatons Hill	M	5
Ebbw Vale	F	5.3
Ebbw Vale	M	12.1
Ebenezer (Qld)	F	12.3
Ebenezer (Qld)	M	3.8
Edens Landing	F	8.5
Edens Landing	M	8.6
Edge Hill	F	4.9
Edge Hill	M	7.6
Edmonton	F	7.7
Edmonton	M	8.5
Eerwah Vale	F	9.2
Eerwah Vale	M	10.6
Eidsvold	F	9.2
Eidsvold	M	9.5
Eight Mile Plains	F	8.5
Eight Mile Plains	M	8
Eimeo	F	6.1
Eimeo	M	7.4
Einasleigh	M	30.4
El Arish	F	5.1
El Arish	M	4.6
Elaman Creek	M	18.8
Elanora	F	5.2
Elanora	M	7
Electra	F	13.6
Electra	M	8.6
Eli Waters	F	13.8
Eli Waters	M	13.6
Elimbah	F	7.6
Elimbah	M	6
Ellangowan (Qld)	M	7.3
Ellen Grove	F	20.5
Ellen Grove	M	15.7
Ellerbeck	F	7.5
Ellerbeck	M	15.6
Ellesmere	F	12.3
Ellesmere	M	15.6
Elliott (Qld)	F	23.3
Elliott Heads	F	11.7
Elliott Heads	M	14.4
Emerald (Qld)	F	6.2
Emerald (Qld)	M	4.9
Emu Park	F	8
Emu Park	M	14.1
Enoggera	F	4.8
Enoggera	M	4.8
Erakala	F	5.1
Erakala	M	2.5
Erub Island	F	8.3
Erub Island	M	15.9
Esk (Qld)	F	8.6
Esk (Qld)	M	11.3
Etna Creek	F	5.1
Eton	F	13.9
Eton	M	6.6
Etty Bay	F	3
Etty Bay	M	9.7
Eudlo	F	7.5
Eudlo	M	10
Eukey	M	12.5
Euleilah	F	15.4
Euleilah	M	34.8
Eumundi	F	6.3
Eumundi	M	7.9
Eungella (Qld)	F	11.5
Euramo	F	10
Euramo	M	8.7
Eureka (Qld)	F	11.5
Eureka (Qld)	M	9.3
Eurombah	M	12.5
Evanslea	F	60
Evelyn	F	11.4
Evelyn	M	7
Everton Hills	F	3.6
Everton Hills	M	5
Everton Park	F	5
Everton Park	M	6.2
Fairfield (Qld)	F	6.7
Fairfield (Qld)	M	8.8
Fairney View	F	5.7
Fairyland	M	15
Farleigh	F	2.6
Farleigh	M	2.4
Farnborough	F	12.2
Farnborough	M	5.8
Farnsfield	F	10.3
Farnsfield	M	8.6
Federal (Qld)	F	3.5
Federal (Qld)	M	12.5
Felton	F	4.1
Feluga	M	3.9
Fernvale (Qld)	F	6.6
Fernvale (Qld)	M	7.3
Ferny Grove	F	5.8
Ferny Grove	M	6.6
Ferny Hills	F	3.9
Ferny Hills	M	5.8
Fig Tree Pocket	F	6.3
Fig Tree Pocket	M	5.2
Finch Hatton	F	12.4
Finch Hatton	M	4.6
Fishery Falls	M	14.3
Fitzgibbon	F	7.3
Fitzgibbon	M	7.8
Flametree	F	10.3
Flametree	M	26.9
Flaxton	F	7.1
Flaxton	M	5.6
Flinders View	F	6.1
Flinders View	M	5.8
Flying Fish Point	F	13
Flying Fish Point	M	3.4
Foreshores	M	12.5
Forest Creek	F	20
Forest Creek	M	11.5
Forest Glen (Qld)	F	8.1
Forest Glen (Qld)	M	3.9
Forest Hill (Qld)	F	10.2
Forest Hill (Qld)	M	8.1
Forest Lake	F	7
Forest Lake	M	7.4
Forest Ridge	M	57.1
Forestdale	F	4.8
Forestdale	M	4.1
Forrest Beach (Qld)	F	5.7
Forrest Beach (Qld)	M	7.4
Fortitude Valley	F	6.6
Fortitude Valley	M	6.6
Fredericksfield	F	11.9
Frenchville	F	6
Frenchville	M	8.9
Freshwater (Qld)	F	4.1
Freshwater (Qld)	M	5.1
Freshwater Point	F	12.5
Freshwater Point	M	7.1
Gaeta	F	25
Gaeta	M	20
Gailes	F	14.5
Gailes	M	14.4
Garbutt	F	11.2
Garbutt	M	12.7
Gargett	F	8.2
Gargett	M	4.2
Garnant	M	17.2
Gatton	F	8.8
Gatton	M	10.1
Gaven	F	6.9
Gaven	M	6.4
Gayndah	F	4.4
Gayndah	M	6
Gaythorne	F	6.8
Gaythorne	M	5.2
Geebung	F	4
Geebung	M	6.8
Geham	F	9.6
Geham	M	10.3
Georgetown (Qld)	F	3.3
Georgetown (Qld)	M	8.4
Germantown (Qld)	F	16.7
Gheerulla	F	5.8
Gheerulla	M	5.6
Gilbert River	M	18.8
Gilston	F	6.4
Gilston	M	4
Gin Gin (Qld)	F	6
Gin Gin (Qld)	M	12.7
Giru	F	5.1
Giru	M	6.6
Gladfield (Qld)	F	27.3
Gladstone Central	F	13.7
Gladstone Central	M	13.9
Glamorgan Vale	F	12.5
Glamorgan Vale	M	5.1
Glan Devon	M	7
Glass House Mountains	F	6.6
Glass House Mountains	M	7.5
Glastonbury	F	5.4
Glastonbury	M	5.7
Glen Allyn	F	8.8
Glen Aplin	F	5.6
Glen Aplin	M	5
Glen Cairn	M	10.7
Glen Eden	F	9.1
Glen Eden	M	9.6
Glen Niven	F	13.6
Glen Niven	M	13
Glencoe (Qld)	F	10.8
Glencoe (Qld)	M	8.5
Glendale (Qld)	F	3.6
Glendale (Qld)	M	7.8
Glenden	F	7
Glenden	M	1.8
Gleneagle	F	6
Gleneagle	M	5.1
Glenella	F	6.7
Glenella	M	6.1
Glenlee (Qld)	F	5.1
Glenlee (Qld)	M	6.3
Glenore Grove	F	11.7
Glenore Grove	M	5.2
Glenvale	F	6.3
Glenvale	M	4.7
Glenview	F	7.8
Glenview	M	6.8
Glenwood (Qld)	F	21.1
Glenwood (Qld)	M	30.8
Godwin Beach	F	10.6
Godwin Beach	M	3.3
Golden Beach (Qld)	F	6.6
Golden Beach (Qld)	M	8.2
Goldsborough (Qld)	F	4.2
Goldsborough (Qld)	M	6.6
Gooburrum	F	3.7
Gooburrum	M	3.9
Good Night	F	16.7
Good Night	M	16.7
Goodar	F	23.5
Goodger	F	6.4
Goodger	M	15.6
Goodna	F	14.7
Goodna	M	13.7
Goodwood (Qld)	F	9.1
Goodwood (Qld)	M	7.9
Goomboorian	F	8.9
Goomboorian	M	9.3
Goombungee	F	5.9
Goombungee	M	5.9
Goomburra	F	10.9
Goomeri	F	11
Goomeri	M	10.5
Goondi	M	25
Goondi Bend	F	11.9
Goondi Bend	M	10.4
Goondi Hill	F	6
Goondi Hill	M	8.3
Goondiwindi	F	2.9
Goondiwindi	M	3.7
Gootchie	M	30.8
Goovigen	M	4.5
Goranba	F	23.5
Goranba	M	21.9
Gordon Park	F	3.9
Gordon Park	M	4.8
Gordonbrook	F	7.7
Gordonvale	F	7.4
Gordonvale	M	8.4
Gowrie Junction	F	4.2
Gowrie Junction	M	5.7
Gracemere	F	9.6
Gracemere	M	10.3
Graceville	F	4.7
Graceville	M	4.9
Grahams Creek	M	11.1
Granadilla	M	17.4
Grand Secret	F	8.6
Grand Secret	M	16.7
Grandchester	F	6.4
Grandchester	M	4.5
Grange (Qld)	F	3.1
Grange (Qld)	M	4.3
Grantham	F	8.3
Grantham	M	10.6
Granville (Qld)	F	9.6
Granville (Qld)	M	15.8
Grasstree Beach	F	10.6
Grasstree Beach	M	6.9
Greenbank	F	7.2
Greenbank	M	6.3
Greenlands (Qld)	F	6.4
Greenmount (Mackay - Qld)	F	8.7
Greenmount (Mackay - Qld)	M	3
Greenmount (Toowoomba - Qld)	F	10.8
Greenmount (Toowoomba - Qld)	M	5.8
Greens Creek (Qld)	F	4
Greens Creek (Qld)	M	13.3
Greenslopes	F	5.8
Greenslopes	M	6.7
Greenwood (Qld)	F	50
Gregory (Qld)	F	25
Gregory (Qld)	M	19
Gregory River (Whitsunday - Qld)	F	4.6
Gregory River (Whitsunday - Qld)	M	4
Greymare	F	29.4
Griffin	F	7.1
Griffin	M	5.2
Guanaba	F	7.7
Guanaba	M	6.2
Gulliver	F	7.6
Gulliver	M	11.7
Gumdale	F	4
Gumdale	M	4.8
Gumlu	F	7.7
Gunalda	F	17.7
Gunalda	M	14.8
Gundiah	M	13.6
Gympie	F	11.4
Gympie	M	12.9
Habana	F	5.9
Habana	M	6.5
Haden	F	7
Haigslea	F	10.6
Haigslea	M	8.6
Haliday Bay	F	9.1
Haliday Bay	M	10.8
Halifax	F	6.5
Halifax	M	8.3
Haly Creek	M	7.9
Hamilton (Qld)	F	5.7
Hamilton (Qld)	M	4.2
Hamilton Creek	F	17.6
Hampden (Qld)	F	2.3
Hampden (Qld)	M	8.4
Hampton (Qld)	F	3.4
Hampton (Qld)	M	7.6
Hannaford	F	10.3
Happy Valley (Qld)	F	11.9
Happy Valley (Qld)	M	4.4
Harlaxton	F	10.5
Harlaxton	M	13.9
Harlin	F	17.1
Harlin	M	6.1
Harristown	F	8.1
Harristown	M	10.1
Harrisville	F	8.8
Harrisville	M	5.7
Hatton Vale	F	8.1
Hatton Vale	M	7.7
Hawthorne	F	3.9
Hawthorne	M	4.3
Hay Point	F	10.7
Hay Point	M	10.4
Hazeldean	M	5.4
Healy	F	3.3
Healy	M	6.3
Heathwood	F	6.9
Heathwood	M	6.1
Heatley	F	11.6
Heatley	M	17
Helens Hill	M	7.5
Helensvale	F	5.8
Helensvale	M	7.2
Helidon	F	10.2
Helidon	M	11.3
Helidon Spa	F	10.3
Helidon Spa	M	4.4
Hemmant	F	5.7
Hemmant	M	5.8
Hendon (Qld)	F	7.9
Hendra	F	3.9
Hendra	M	5.2
Herberton	F	13.4
Herberton	M	14.1
Heritage Park	F	6.3
Heritage Park	M	6.1
Hermit Park	F	7.1
Hermit Park	M	11.3
Herston	F	8.1
Herston	M	7.9
Hervey Range	M	6.1
Hidden Valley (Qld)	F	7.6
Hidden Valley (Qld)	M	6.8
Hideaway Bay	M	17.6
Highfields (Qld)	F	4
Highfields (Qld)	M	4.9
Highgate Hill	F	6.3
Highgate Hill	M	8.7
Highland Park	F	5.9
Highland Park	M	6.9
Highvale	F	5.7
Highvale	M	5.9
Highworth	F	9.9
Highworth	M	10.3
Hillcrest (Qld)	F	9.1
Hillcrest (Qld)	M	9.1
Hillview	M	17.6
Hirstglen	F	19
Hirstglen	M	18.8
Hivesville	M	12
Hodgleigh	F	11.5
Hodgson Vale	F	3.9
Hodgson Vale	M	4.5
Holland Park	F	5.3
Holland Park	M	6
Holland Park West	F	4.9
Holland Park West	M	5.9
Holloways Beach	F	7.7
Holloways Beach	M	8
Hollywell	F	5.9
Hollywell	M	4.6
Holmview	F	9.2
Holmview	M	5.1
Home Hill	F	7.1
Home Hill	M	6.4
Homebush (Qld)	M	3.7
Hookswood	F	15.8
Hookswood	M	18.8
Hope Island	F	5.8
Hope Island	M	5.3
Hope Vale	F	38.9
Hope Vale	M	38.3
Horn	F	11.3
Horn	M	5.6
Horse Camp	F	8.7
Horse Camp	M	14.5
Horse Creek	M	58.8
Horseshoe Bay	F	5.8
Horseshoe Bay	M	9.7
Horseshoe Lagoon	F	15.2
Horseshoe Lagoon	M	9
Horton	F	9.7
Howard	F	12.4
Howard	M	19.8
Hoya	M	6
Hudson	F	8.1
Hudson	M	16.7
Hughenden	F	4.5
Hughenden	M	3.8
Hunchy	F	6.8
Hunchy	M	9.2
Hyde Park (Qld)	F	11.5
Hyde Park (Qld)	M	12.1
Iama Island	M	17.9
Idalia	F	6.1
Idalia	M	5.3
Ilbilbie	F	13.6
Ilbilbie	M	4.1
Ilkley	F	2
Ilkley	M	6.7
Illinbah	F	13
Illinbah	M	8.6
Image Flat	F	5
Image Flat	M	3.9
Imbil	F	10.6
Imbil	M	11.4
Inala	F	17.9
Inala	M	18.9
Indooroopilly	F	9
Indooroopilly	M	9.4
Ingham	F	8.3
Ingham	M	6.3
Inglewood (Qld)	F	2.2
Inglewood (Qld)	M	4.3
Injinoo	F	8.5
Injinoo	M	26.7
Injune	M	2.9
Inkerman (Qld)	M	10.9
Innes Park	F	7.8
Innes Park	M	9.4
Innisfail	F	10.9
Innisfail	M	17.8
Innisfail Estate	F	8.5
Innisfail Estate	M	6.9
Innot Hot Springs	F	25.8
Innot Hot Springs	M	21.2
Inskip	M	50
Inverlaw	M	8.5
Inverness	F	8.4
Inverness	M	7.7
Ipswich	F	13.8
Ipswich	M	12.3
Iredale	M	13.2
Ironbark (Qld)	F	6.7
Ironbark (Qld)	M	3.6
Ironpot (Livingstone - Qld)	F	10.8
Ironpot (Livingstone - Qld)	M	8
Irvinebank	F	35.7
Irvinebank	M	44.4
Isis Central	M	16.7
Isis River	F	26.7
Isis River	M	12
Isisford	M	4.5
Island Plantation	M	7.7
Iveragh	F	14.3
Iveragh	M	8.8
Jackson	M	20
Jacobs Well	F	6.5
Jacobs Well	M	5.8
Jaggan	M	13
Jamboree Heights	F	7
Jamboree Heights	M	6.3
Jandowae	F	7.8
Jandowae	M	6
Japoonvale	M	7.9
Jardine	M	28.6
Jarra Creek	F	10.3
Jarvisfield	F	4.8
Jensen	F	7.7
Jensen	M	10.3
Jimboomba	F	7.5
Jimboomba	M	6.6
Jimbour East	F	7.5
Jimbour East	M	9.5
Jimna	M	23.5
Jindalee (Qld)	F	5.6
Jindalee (Qld)	M	6.3
Jondaryan	F	5.2
Jondaryan	M	4.3
Jones Hill	F	4.5
Jones Hill	M	2.6
Josephville	M	8.5
Joskeleigh	F	33.3
Joyner	F	6
Joyner	M	5.6
Jubilee Heights	M	8.3
Jubilee Pocket	F	4.7
Jubilee Pocket	M	6.8
Julago	F	16
Julago	M	10.7
Julatten	F	4.8
Julatten	M	9.1
Julia Creek	F	3.9
Julia Creek	M	3.1
Junabee	F	6
Junabee	M	4.4
Kaban	F	20
Kabra	F	3.2
Kabra	M	7.1
Kaimkillenbun	F	5.3
Kaimkillenbun	M	5.7
Kairi	M	4.8
Kalbar	F	4.3
Kalbar	M	2.5
Kalinga	F	3.7
Kalinga	M	5.6
Kalkie	F	8.2
Kalkie	M	7.3
Kallangur	F	9.8
Kallangur	M	8.7
Kalpowar	F	50
Kalpowar	M	15
Kamerunga	F	4.6
Kamerunga	M	7
Kandanga	F	6.8
Kandanga	M	3.4
Kandanga Creek	F	18.8
Kandanga Creek	M	22.2
Kangaroo Point (Qld)	F	7.7
Kangaroo Point (Qld)	M	7.5
Kanigan	F	22.2
Kanigan	M	13
Kanimbla (Qld)	F	3.7
Kanimbla (Qld)	M	5.9
Karalee	F	4.2
Karalee	M	5
Karana Downs	F	6
Karana Downs	M	5.6
Karrabin	F	3.6
Karrabin	M	11.8
Karragarra Island	M	8.3
Karumba	F	2.4
Karumba	M	8.5
Kawana	F	7.4
Kawana	M	11.3
Kawungan	F	10.2
Kawungan	M	13.5
Kearneys Spring	F	8.9
Kearneys Spring	M	9.3
Kedron	F	4.6
Kedron	M	5.4
Kelsey Creek	M	16.7
Kelso (Qld)	F	9.4
Kelso (Qld)	M	13.1
Kelvin Grove	F	12.6
Kelvin Grove	M	12.3
Kelvinhaugh	F	23.1
Kenilworth	F	4.7
Kenilworth	M	2.2
Kenmore	F	5.8
Kenmore	M	6.9
Kenmore Hills	F	5.1
Kenmore Hills	M	6
Kennedy	F	11.4
Kennedy	M	10.5
Kensington (Qld)	F	12.8
Kensington (Qld)	M	9.8
Kensington Grove	F	9.3
Kensington Grove	M	8.3
Keperra	F	6.4
Keperra	M	8.3
Kepnock	F	9.4
Kepnock	M	11.4
Keppel Sands	F	12.3
Keppel Sands	M	12
Keriri Island	F	9.1
Keriri Island	M	9.6
Kerry	F	10.1
Kerry	M	3.3
Kewarra Beach	F	4.6
Kewarra Beach	M	8.1
Kholo	F	8.2
Kholo	M	3.4
Kia Ora (Qld)	F	16.2
Kia Ora (Qld)	M	7.1
Kiamba	F	8.5
Kiamba	M	7
Kianga (Qld)	F	5
Kianga (Qld)	M	4.8
Kidaman Creek	F	21.7
Kidaman Creek	M	8.3
Kiels Mountain	F	4.9
Kiels Mountain	M	6.4
Kilbirnie	F	15
Kilcoy	F	4.7
Kilcoy	M	6.7
Kilkivan	F	10
Kilkivan	M	14.8
Killarney (Qld)	F	6.9
Killarney (Qld)	M	6.1
Kimberley (Qld)	M	30
Kin Kin	F	8.1
Kin Kin	M	10.5
Kin Kora	F	9.8
Kin Kora	M	12.4
King Scrub	F	3.8
King Scrub	M	6.4
Kingaroy	F	7
Kingaroy	M	7.2
Kings Beach	F	9.6
Kings Beach	M	9.7
Kingsholme	F	4.1
Kingsholme	M	4.4
Kingsthorpe	F	5.6
Kingsthorpe	M	6.2
Kingston (Qld)	F	17.3
Kingston (Qld)	M	14.5
Kinka Beach	F	10.8
Kinka Beach	M	12.6
Kinkuna	F	11.5
Kinkuna	M	7.3
Kinleymore	F	15.8
Kippa-Ring	F	9.1
Kippa-Ring	M	9.5
Kirkwood	F	12.8
Kirkwood	M	7.8
Kirwan	F	8.2
Kirwan	M	9.4
Kleinton	F	3.4
Kleinton	M	2.1
Koah	F	10.1
Koah	M	10.8
Kobble Creek	F	3.2
Kobble Creek	M	2.8
Kogan	F	11.1
Kogan	M	8.8
Koongal	F	11.7
Koongal	M	10.4
Kooralbyn	F	11.6
Kooralbyn	M	11.3
Koumala	F	6.5
Koumala	M	7.9
Kowanyama	F	38.1
Kowanyama	M	37.4
Kulangoor	F	7.5
Kulangoor	M	16.9
Kuluin	F	6.6
Kuluin	M	6.9
Kumbarilla	F	20
Kumbarilla	M	8
Kumbia	M	4.5
Kuraby	F	8.9
Kuraby	M	8.5
Kuranda	F	8.2
Kuranda	M	10.9
Kureelpa	F	5.1
Kureelpa	M	8.3
Kurrimine Beach	F	6.4
Kurrimine Beach	M	8.9
Kurwongbah	F	2.9
Kurwongbah	M	5.1
Kuttabul	F	5.2
Kuttabul	M	6.1
Kybong	F	11.9
Kybong	M	7
Labrador	F	9.6
Labrador	M	10.6
Laceys Creek	M	4.6
Laguna Quays	M	20
Laidley	F	12.7
Laidley	M	10.8
Laidley Creek West	M	13.2
Laidley Heights	F	12
Laidley Heights	M	6
Laidley North	F	16.1
Laidley North	M	13.9
Laidley South	F	10.2
Laidley South	M	5.3
Lake Barrine	M	8.8
Lake Clarendon	F	5.9
Lake Eacham	F	9
Lake Eacham	M	6.4
Lake Macdonald	F	7.4
Lake Macdonald	M	5.7
Lake Mary	M	12
Lakeland	M	4.2
Lakes Creek	F	3.3
Lakes Creek	M	8.1
Lamb Island	F	28.3
Lamb Island	M	25.9
Lammermoor	F	6.4
Lammermoor	M	5.7
Landers Shoot	M	4.3
Landsborough (Qld)	F	7.4
Landsborough (Qld)	M	8.8
Langshaw	F	20.6
Langshaw	M	6.8
Lanskey	M	12.5
Laravale	F	5.9
Laura (Qld)	M	11.3
Lawes	F	38.2
Lawes	M	25.9
Lawnton	F	9.4
Lawnton	M	9.3
Leichhardt (Qld)	F	18.9
Leichhardt (Qld)	M	15
Leslie Dam	F	12.9
Leyburn	F	3.9
Leyburn	M	10.1
Limestone Creek	M	5.9
Linthorpe	F	4.5
Linthorpe	M	2.2
Linville	F	36.4
Linville	M	8.8
Little Mountain	F	6
Little Mountain	M	6
Little Mulgrave	F	4.5
Lockhart River	F	16.2
Lockhart River	M	14.4
Lockrose	F	10.4
Lockrose	M	7.8
Lockyer Waters	F	8.9
Lockyer Waters	M	13.1
Logan Central	F	22.4
Logan Central	M	19.8
Logan Reserve	F	7.5
Logan Reserve	M	7.9
Logan Village	F	4.4
Logan Village	M	4.4
Loganholme	F	7.7
Loganholme	M	7.1
Loganlea	F	14.4
Loganlea	M	12.2
Longreach (Qld)	F	2.6
Longreach (Qld)	M	4.6
Lota	F	4.7
Lota	M	7.5
Lower Beechmont	F	5.2
Lower Beechmont	M	4.4
Lower Daintree	M	11.5
Lower Mount Walker	F	8.3
Lower Mount Walker	M	5.3
Lower Wonga	F	6.2
Lower Wonga	M	5.1
Lowmead	F	14.3
Lowmead	M	25.7
Lowood	F	13.5
Lowood	M	12.1
Lucinda	M	4.1
Luscombe	M	8.6
Lutwyche	F	5.9
Lutwyche	M	6.2
Lyra	F	27.3
Lyra	M	25
Ma Ma Creek	F	9.7
Maadi	M	37.5
Maaroom	F	21.9
Maaroom	M	17.9
Mabuiag Island	M	12.5
Macalister	F	10.3
Macgregor (Qld)	F	11.9
Macgregor (Qld)	M	11.6
Machans Beach	F	6.8
Machans Beach	M	10.7
Machine Creek	M	16.1
Mackay	F	12.8
Mackay	M	15.5
Mackay Harbour	F	7.5
Mackay Harbour	M	8.5
Mackenzie (Brisbane - Qld)	F	4.3
Mackenzie (Brisbane - Qld)	M	6.4
Macknade	F	7.8
Maclagan	F	8.1
Maclagan	M	10.9
Macleay Island	F	13
Macleay Island	M	16.6
Magnolia	F	24.1
Magnolia	M	16.7
Maidenwell	F	8.1
Maidenwell	M	9.1
Main Beach	F	5.9
Main Beach	M	5.8
Majors Creek (Qld)	F	4.9
Majors Creek (Qld)	M	11
Malanda	F	3
Malanda	M	6.9
Maleny	F	8.7
Maleny	M	7.3
Mandalay	F	4.8
Mandalay	M	11.7
Mango Hill	F	8.2
Mango Hill	M	5.7
Manly (Qld)	F	4.9
Manly (Qld)	M	6.2
Manly West	F	6.1
Manly West	M	6.8
Mannuem	F	25
Mannuem	M	10.7
Manoora (Qld)	F	13.6
Manoora (Qld)	M	15
Mansfield (Qld)	F	7.9
Mansfield (Qld)	M	6.7
Manunda	F	12.3
Manunda	M	15.2
Mapleton	F	9.3
Mapleton	M	10.5
Mapoon	F	19.6
Mapoon	M	28.6
Marburg	F	4.6
Marburg	M	6.3
Marcoola	F	6.4
Marcoola	M	7.8
Marcus Beach	F	3.6
Marcus Beach	M	8.5
Mareeba	F	7.5
Mareeba	M	8.9
Margate (Qld)	F	9.7
Margate (Qld)	M	11
Maria Creeks	M	8.6
Marian	F	7
Marian	M	4.9
Marlborough	M	6
Marmor	F	6.4
Marmor	M	12.8
Maroochy River	F	6.2
Maroochy River	M	2.6
Maroochydore	F	6.6
Maroochydore	M	7.7
Maroon	M	12.8
Maroondan	F	5.4
Maroondan	M	18.2
Marsden	F	12.8
Marsden	M	11.5
Maryborough (Qld)	F	12.6
Maryborough (Qld)	M	17.1
Maryborough West	F	10.1
Maryborough West	M	13.4
Maryvale (Livingstone - Qld)	M	21.4
Maryvale (Southern Downs - Qld)	M	6.9
Masig Island	M	19.6
Massie	M	7.9
Maudsland	F	5.7
Maudsland	M	5
McDesme	F	6.5
McDowall	F	4.4
McDowall	M	6
McEwens Beach	F	6.3
McEwens Beach	M	10.7
McIntosh Creek	F	9.4
McIntosh Creek	M	9.4
Meadowbrook	F	9.3
Meadowbrook	M	7.4
Meadowvale	F	3.1
Meadowvale	M	11.4
Meandarra	F	5.4
Meandarra	M	5.6
Meikleville Hill	F	9.7
Meikleville Hill	M	7.4
Memerambi	F	6.1
Memerambi	M	9.4
Mena Creek	F	5.3
Mena Creek	M	6.8
Menzies (Qld)	F	5.5
Menzies (Qld)	M	5.8
Mer Island	F	40.7
Mer Island	M	34.3
Meridan Plains	F	9.2
Meridan Plains	M	7.5
Meringandan	F	10.7
Meringandan	M	2.4
Meringandan West	F	2.9
Meringandan West	M	4.3
Mermaid Beach	F	5.5
Mermaid Beach	M	4.4
Mermaid Waters	F	6.3
Mermaid Waters	M	6.6
Merrimac	F	6.3
Merrimac	M	5.8
Merritts Creek	M	14.3
Merryburn	F	7
Mia Mia (Qld)	F	10.3
Miallo	M	4.1
Miami	F	4.5
Miami	M	6
Mica Creek	F	6.4
Mica Creek	M	12.5
Middle Park (Qld)	F	5.5
Middle Park (Qld)	M	6.4
Middle Ridge	F	5.8
Middle Ridge	M	4.7
Middlebrook	F	27.3
Middlemount	F	4.5
Middlemount	M	1.4
Midge Point	F	7.6
Midge Point	M	10.2
Mighell	F	21.1
Mighell	M	14.6
Milbong	F	18.2
