SSC_NAME16	medianTotalHouseholdIncome
Springfield (Macedon Ranges - Vic.)	97500
Springhurst	60632
Springmount	69836
Springvale (Vic.)	56108
Springvale South	63284
St Albans (Vic.)	52572
St Albans Park	58656
St Andrews (Vic.)	93080
St Andrews Beach	85904
St Arnaud	42328
St Arnaud East	48828
St Arnaud North	37700
St Clair (Vic.)	59384
St Germains	50024
St Helena	105404
St Helens (Vic.)	60632
St Helens Plains	44148
St James (Vic.)	44200
St Kilda (Vic.)	82888
St Kilda East	87932
St Kilda West	96356
St Leonards (Vic.)	44668
Staceys Bridge	53612
Staffordshire Reef	44720
Staghorn Flat	95108
Stanhope (Vic.)	46956
Stanley (Vic.)	65572
Staughton Vale	81224
Stavely	56316
Stawell	48256
Steels Creek	75816
Steiglitz (Vic.)	39624
Stewarton (Vic.)	100048
Stirling (Vic.)	
Stockdale	71500
Stockyard Hill	97500
Stonehaven	86632
Stoneleigh (Vic.)	38636
Stony Creek (Central Goldfields - Vic.)	
Stony Creek (South Gippsland - Vic.)	72904
Stonyford	56836
Stradbroke	66092
Strangways	61724
Straten	
Stratford (Vic.)	62816
Strath Creek	58500
Strathallan	71500
Strathbogie	44720
Strathdale	64324
Strathdownie	66040
Strathewen	89648
Strathfieldsaye	96824
Strathkellar	84500
Strathlea	46800
Strathmerton	63388
Strathmore (Vic.)	109564
Strathmore Heights	94120
Streatham	40456
Strzelecki (Vic.)	48828
Stuart Mill	36400
Sugarloaf (Vic.)	33748
Sugarloaf Creek	85384
Suggan Buggan	
Sulky	98280
Summerlands	
Sunbury	81848
Sunday Creek	77428
Sunderland Bay	48828
Sunset Strip (Vic.)	53612
Sunshine (Vic.)	61620
Sunshine North	56888
Sunshine West	59644
Surf Beach (Vic.)	52416
Surrey Hills	116220
Sutherland (Vic.)	84448
Sutherlands Creek	119548
Sutton (Vic.)	
Sutton Grange	66612
Swan Bay (Vic.)	58500
Swan Hill	57096
Swan Hill West	
Swan Island	
Swan Marsh	68224
Swan Reach (Vic.)	46800
Swanpool	49140
Swanwater	123448
Swanwater West	71448
Swifts Creek	51480
Sydenham (Vic.)	80132
Sylvaterre	58500
Tabberabbera	
Tabilk	60632
Tabor	81224
Taggerty	51376
Tahara	46800
Tahara Bridge	110448
Tahara West	84500
Talbot (Vic.)	37180
Talgarno	73320
Tallandoon	58500
Tallangatta	55952
Tallangatta East	69316
Tallangatta South	71500
Tallangatta Valley	66924
Tallarook	69472
Tallygaroopna	72332
Tambo Crossing	71448
Tambo Upper	64428
Tamboon	
Tamboritha	
Taminick	81224
Tamleugh	71500
Tamleugh North	68224
Tandarook	49348
Tandarra	58500
Tangambalanga	64012
Tanjil	
Tanjil Bren	18148
Tanjil South	71916
Tanwood	45032
Tanybryn	117000
Taradale (Vic.)	55900
Tarcombe	117000
Tarilta	97448
Tarnagulla	36712
Tarneit	89492
Tarnook	58500
Taroon	58500
Tarra Valley	58500
Tarranyurk	58448
Tarraville	43316
Tarrawarra	100724
Tarrawingee	74724
Tarrayoukyan	71500
Tarrengower	58500
Tarrenlea	61724
Tarrington	74724
Tarrone	61724
Tarwin	55224
Tarwin Lower	48048
Tatong	53612
Tatura	61360
Tatura East	87724
Tatyoon	71500
Tawonga	56212
Tawonga South	57252
Taylor Bay	44148
Taylors Hill	99788
Taylors Lakes	95940
Teal Point	44148
Tecoma	84864
Teddywaddy	37700
Teddywaddy West	39624
Teesdale (Vic.)	84292
Telangatuk East	58500
Telford	84448
Telopea Downs	61724
Templestowe	99632
Templestowe Lower	83096
Tempy	39624
Tenby Point	52572
Tennyson (Vic.)	56316
Terang	52624
Terip Terip	68224
Terrappee	46800
Terrick Terrick	
Terrick Terrick East	
Tesbury	93184
Tetoora Road	58448
Thalia	
The Basin (Vic.)	87360
The Cove	37648
The Gurdies	51532
The Heart	97500
The Honeysuckles	42848
The Patch	82316
The Sisters	88816
Thologolong	24648
Thomastown	52936
Thomson (Baw Baw - Vic.)	
Thomson (Greater Geelong - Vic.)	42276
Thoona	48256
Thornbury	79820
Thornton (Vic.)	39728
Thorpdale	58916
Thorpdale South	48516
Thowgla Valley	53248
Three Bridges	70200
Timbarra (Vic.)	
Timboon	52208
Timboon West	106184
Timmering	73320
Timor (Vic.)	54132
Timor West	49348
Tinamba	65624
Tinamba West	59540
Tintaldra	48516
Tittybong	
Tol Tol	86632
Tolmie	54184
Tom Groggin	
Tongala	53924
Tonghi Creek	45448
Tongio	55224
Tonimbuk	77012
Tooan	84500
Tooborac	58136
Toolamba	86164
Toolamba West	84500
Toolangi	79612
Toolern Vale	83668
Toolleen	56316
Toolome	
Toolondo	58500
Toolong	58500
Toombon	
Toongabbie (Vic.)	83668
Toora (Vic.)	40352
Toora North	53300
Tooradin	79872
Toorak	120172
Toorloo Arm	62088
Toorongo	
Tootgarook	53196
Torquay (Vic.)	91364
Torrita	50232
Torrumbarry	65988
Torwood	97500
Tostaree	58500
Tottenham (Vic.)	
Tottington	
Tourello	54184
Towan	
Towaninny	
Towaninny South	
Tower Hill	55224
Towong	59540
Towong Upper	55224
Trafalgar (Vic.)	64584
Trafalgar East	76336
Trafalgar South	80756
Tragowel	45760
Traralgon	65468
Traralgon East	107484
Traralgon South	110968
Travancore	75504
Trawalla	66612
Trawool	80600
Traynors Lagoon	37700
Tremont	113724
Trentham	54444
Trentham East	67132
Tresco	53612
Tresco West	71500
Trida	84500
Truganina	88712
Tubbut	
Tuerong	89856
Tulkara	
Tullamarine	61984
Tungamah	40924
Turoar	
Turriff	29900
Turriff East	
Turtons Creek	37700
Tutye	11700
Tyaak	68224
Tyabb	79196
Tyenna (Vic.)	
Tyers	88816
Tylden	81068
Tynong	71864
Tynong North	80600
Tyntynder	59748
Tyntynder South	73840
Tyrendarra	81224
Tyrendarra East	71500
Tyrrell	75348
Tyrrell Downs	40248
Ullina	20748
Ullswater	71448
Ultima	40976
Ultima East	
Ulupna	
Undera	53560
Underbool	57772
Upotipotpon	84448
Upper Ferntree Gully	84656
Upper Gundowring	59540
Upper Lurg	50232
Upper Plenty	72124
Upper Ryans Creek	46748
Upton Hill	61724
Upwey	92196
Valencia Creek	64012
Vasey	55224
Vaughan	81224
Vectis	71500
Ventnor (Vic.)	55848
Venus Bay (Vic.)	35204
Vermont	86528
Vermont South	86580
Vervale	55224
Vesper	36712
Victoria Point (Vic.)	55224
Victoria Valley (Vic.)	61048
Viewbank	90792
Vinifera	60112
Violet Town	42588
Vite Vite	31824
Vite Vite North	68224
W Tree	22620
Waaia	63700
Waanyarra	56316
Waarre	
Wabonga	
Waggarandall	61048
Wahgunyah	59384
Wahring	66612
Wail	60632
Wairewa	38636
Waitchie	97448
Wal Wal	50648
Waldara	103168
Walhalla	37700
Walhalla East	
Walkerville (Vic.)	40248
Walkerville North	
Walkerville South	
Wallace	89856
Wallacedale	60112
Wallagaraugh	
Wallaloo	74724
Wallaloo East	71500
Wallan	82784
Wallinduc	46800
Wallington	91312
Wallup	68224
Walmer (Vic.)	56628
Walpa	62192
Walpeup	47580
Walwa	41080
Wandana Heights	107432
Wandella (Vic.)	79612
Wandiligong	56940
Wandin East	85384
Wandin North	82212
Wando Bridge	44148
Wando Vale	62348
Wandong	90740
Wandown	
Wangandary	71500
Wangarabell	46800
Wangaratta (Vic.)	52468
Wangaratta South	71500
Wangie	
Wangoom	79300
Wannon	58500
Wantirna	81952
Wantirna South	84448
Waranga Shores	62244
Waratah Bay	46800
Warburton (Vic.)	46228
Wareek	39624
Wargan	69836
Warmur	71500
Warncoort	85748
Warne	
Warneet	66352
Warrabkook	84448
Warracknabeal	45240
Warragul	62036
Warragul South	82316
Warragul West	44200
Warrak	49868
Warrandyte	115960
Warrandyte South	143000
Warranwood	123552
Warrayure	117000
Warrenbayne	61724
Warrenheip	79612
Warrenmang	50232
Warrion	58032
Warrnambool	59540
Warrock	98748
Warrong	63856
Wartook	44200
Watchem	31408
Watchem West	90948
Watchupga	56836
Waterford Park	65832
Waterholes	71500
Waterloo (Vic.)	46800
Waterways	125736
Watsonia	75296
Watsonia North	88088
Watsons Creek (Vic.)	194948
Wattle Bank	74724
Wattle Creek	
Wattle Flat (Vic.)	60632
Wattle Glen	100204
Wattle Hill (Vic.)	46748
Waubra	57044
Waurn Ponds	98904
Waygara	84500
Weatherboard	76336
Wedderburn (Vic.)	35152
Wedderburn Junction	58448
Wee Wee Rup	56836
Weeaproinah	
Weering	44148
Weerite	58500
Wehla	46800
Wellsford	71500
Welshmans Reef	62816
Welshpool (Vic.)	42692
Wemen	63336
Wendouree	42744
Wensleydale	84448
Wentworth (Vic.)	
Werneth	84448
Werona	46800
Werribee	67808
Werribee South	62556
Werrimull	44200
Wesburn	66768
West Bendigo	54704
West Creek	56316
West Footscray	75348
West Melbourne	91832
West Wodonga	67912
Westbury (Vic.)	62816
Westby	24648
Westmeadows	71084
Westmere	44200
Whanregarwen	59280
Wharparilla	79456
Wheatsheaf	51324
Wheelers Hill	86840
Whipstick	
Whirily	58500
White Hills (Vic.)	57460
Whiteheads Creek	68588
Whitelaw	55224
Whitfield (Vic.)	46800
Whitlands	71500
Whittington	41340
Whittlesea	71760
Whoorel	97500
Whorouly	53508
Whorouly East	63336
Whorouly South	97448
Whroo	35724
Wickliffe	60632
Wilby	59384
Wild Dog Valley (Vic.)	58500
Wildwood	66612
Wilkur	52936
Willangie	44200
Willatook	68224
Willaura	44720
Willaura North	110448
Willenabrina	49348
Williams Landing	115440
Williamstown (Vic.)	108004
Williamstown North	75452
Willow Grove	69628
Willowmavin	84500
Willowvale (Vic.)	68848
Willung	71500
Willung South	61724
Wilsons Hill	71500
Wilsons Promontory	116948
Wimbledon Heights	48152
Winchelsea	53716
Winchelsea South	72540
Windermere (Vic.)	72748
Windsor (Vic.)	91260
Wingan River	
Wingeel	69316
Winjallok	35100
Winlaton	
Winnambool	37700
Winnap	58500
Winnindoo	49868
Winslow	74048
Winton (Vic.)	71500
Winton North	
Wirrate	
Wiseleigh	45032
Wodonga	59280
Wollert	83824
Wombat Creek (Vic.)	79612
Wombelano	48516
Won Wron	58500
Wonga	55224
Wonga Park	127504
Wongarra	53612
Wongungarra	
Wonnangatta	
Wonthaggi	39416
Wonwondah	56316
Wonyip	55224
Wood Wood	48516
Woodend (Vic.)	87672
Woodend North	101348
Woodfield	54184
Woodford (Vic.)	93756
Woodglen	97448
Woodhouse	71500
Woodleigh (Vic.)	46800
Woods Point (Vic.)	44148
Woodside (Vic.)	53768
Woodside Beach	48516
Woodstock (Vic.)	86632
Woodstock On Loddon	87724
Woodstock West	58448
Woodvale (Vic.)	60788
Wool Wool	37700
Woolamai	54964
Woolenook	
Woolshed Flat (Vic.)	
Woolsthorpe	74724
Woomelang	41028
Wooragee	71500
Woorarra East	59748
Woorarra West	39988
Wooreen	74724
Woori Yallock	65572
Woorinen	66508
Woorinen North	69316
Woorinen South	55432
Woorndoo	55224
Wooroonook	68224
Woosang	58448
Wootong Vale	62816
Worrowing	
Wrathung	
Wrixon	
Wroxham	
Wuk Wuk	68224
Wulgulmerang	
Wulgulmerang East	
Wulgulmerang West	
Wunghnu	54704
Wurdiboluc	72176
Wurruk	72228
Wy Yung	61516
Wycheproof	40820
Wycheproof South	
Wychitella	46748
Wychitella North	
Wye River	40248
Wyelangta	42848
Wyndham Vale	78572
Wyuna (Vic.)	66092
Wyuna East	108316
Yaapeet	40560
Yabba North	66248
Yabba South	77948
Yackandandah	72540
Yalca	57564
Yalla-Y-Poora	117000
Yallambie	97292
Yallourn	92248
Yallourn North	53248
Yalmy	
Yambuk	46800
Yambuna	75816
Yan Yean	68224
Yanac	40248
Yanakie	60632
Yando	68224
Yandoit	49868
Yandoit Hills	37700
Yangery	94224
Yangoura	
Yannathan	81224
Yapeen	55536
Yarck	56628
Yarpturk	58500
Yarra Glen	80860
Yarra Junction	54756
Yarraberb	59748
Yarragon	60320
Yarragon South	84500
Yarram	42900
Yarrambat	111644
Yarraville	106444
Yarrawalla	80184
Yarrawonga (Vic.)	50024
Yarrawonga South	
Yarroweyah	66716
Yatchaw	50232
Yawong Hills	
Yea	47840
Yellingbo	87412
Yelta (Vic.)	63752
Yendon	81224
Yeo	93184
Yeodene	68224
Yering	92612
Yeungroon	37648
Yeungroon East	71500
Yielima	48516
Yinnar	64012
Yinnar South	84032
York Plains (Vic.)	
Youanmite	62816
Youarang	87724
Yulecart	80184
Yundool	80184
Yuroke	73112
Yuulong	46800
Zeerust	70564
Zumsteins	
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Abbeywood	37700
Abbotsford (Qld)	
Abercorn	81224
Abergowrie	69524
Abingdon Downs	
Abington (Qld)	58500
Acacia Ridge	59696
Acland	29900
Adare	83824
Adavale	43680
Adelaide Park	75192
Advancetown	98072
Aeroglen	91624
Agnes Water	50960
Airdmillan	84500
Airlie Beach	76648
Airville	91520
Aitkenvale	60944
Alabama Hill	61048
Albany Creek	102024
Alberta	110448
Alberton (Qld)	89024
Albinia	
Albion (Brisbane - Qld)	89648
Albion (Richmond - Qld)	77948
Alderley	96980
Aldershot	43316
Aldoga	
Alexandra (Qld)	88816
Alexandra Headland	71604
Alexandra Hills	82732
Algester	79352
Alice Creek	43316
Alice River	106548
Allan	58448
Allandale (Qld)	44200
Allenstown	50180
Allenview	89648
Alligator Creek (Mackay - Qld)	90480
Alligator Creek (Townsville - Qld)	102752
Allora	46384
Alloway	61516
Almaden	58500
Aloomba	75920
Alpha	58032
Alsace	
Alton Downs	89960
Alva	52624
Amamoor	49140
Amamoor Creek	49348
Amaroo (Qld)	71500
Amber	
Amberley	71500
Ambrose	45500
Amby	45032
Amiens	52936
Amity	44408
Andergrove	73892
Anderleigh	40248
Andromache	64948
Anduramba	48516
Annandale (Qld)	103012
Annerley	82420
Anstead	134472
Anthony	79612
Antigua	51064
Apple Tree Creek	42640
Applethorpe	49816
Arafura Sea	
Araluen (Qld)	67496
Aramac	52728
Aramara	43316
Arana Hills	97708
Aranbanga	
Aratula (Qld)	61724
Arbouin	
Arcadia (Qld)	41288
Arcadia Valley	80132
Archer River	110448
Archerfield	55432
Arcturus	95316
Argoon (Qld)	97500
Argyll	69316
Armstrong Beach	74880
Armstrong Creek (Qld)	95316
Aroona	75296
Arriga	67756
Arundel	73216
Ascot (Brisbane - Qld)	102284
Ascot (Toowoomba - Qld)	97500
Ashfield (Qld)	95420
Ashgrove	119028
Ashmore	69368
Ashwell	56836
Aspley	78000
Atherton	49920
Athol	81224
Atkinsons Dam	43472
Aubigny	84500
Auburn (Qld)	123448
Auchenflower	102440
Augathella	41028
Augustine Heights	118508
Aurukun	51584
Austinville	69628
Avenell Heights	49400
Avoca (Qld)	52000
Avoca Vale	35724
Avondale (Qld)	52260
Ayr	57720
Babinda (Qld)	46228
Back Plains	86632
Badu Island	44200
Baffle Creek	35256
Baffle West	71448
Bahrs Scrub	88920
Bajool	62660
Bakers Bend	56316
Bakers Creek (Qld)	84812
Baking Board	67132
Balberra	86320
Balcomba	221000
Bald Hills (Qld)	82368
Bald Knob	60892
Balgal Beach	42120
Balgowan (Qld)	
Ball Bay	53196
Ballandean	60372
Ballard	66040
Ballaroo	143000
Ballogie	39936
Balmoral (Qld)	120068
Balmoral Ridge	59384
Balnagowan	113412
Bamaga	69524
Bambaroo	55224
Bamboo	82316
Bamboo Creek	68224
Ban Ban	71500
Ban Ban Springs	
Banana	88816
Bancroft	65936
Bangalee (Qld)	92300
Bangall	
Banks Creek	
Banks Pocket	105820
Banksia Beach	60320
Bannockburn (Qld)	104624
Banyo	86476
Bapaume	55692
Barakula	
Baralaba	54756
Barambah	58448
Barcaldine	64324
Barcaldine Downs	37700
Bardon	131976
Baree	37700
Barellan Point	89752
Bargara	56576
Bargunyah	61724
Barker Creek Flat	71500
Barkly (Qld)	
Barlil	49348
Barlows Hill	73840
Barlyne	
Barmaryee	101556
Barmoya	84448
Barnard	88816
Barney Point	48620
Barney View	43316
Baroondah	
Barramornie	50232
Barratta (Qld)	92612
Barrine	94224
Barringha	73632
Barringun	
Barron	33124
Barron Gorge	
Bartle Frere	51220
Barwidgi	
Basalt (Qld)	48256
Basilisk	
Basin Pocket	60112
Battery Hill	56940
Bauhinia	84500
Bauple	36504
Bauple Forest	
Bayrick	
Bayview Heights	87256
Beach Holm	37700
Beachmere	54028
Beaconsfield (Qld)	75972
Beatrice	54184
Beaudesert	50024
Beaufort (Qld)	71500
Beaver Rock	69316
Bedourie	95836
Beebo	55224
Beecher	121004
Beechmont	72748
Beelbee	50232
Beelbi Creek	80184
Beenaam Valley	49348
Beenleigh	52624
Beerburrum	65260
Beeron	55224
Beerwah	63700
Begonia	84448
Beilba	84448
Belcong	84500
Belgian Gardens	74048
Belivah	108628
Bell (Qld)	53508
Bella Creek	49348
Bellara	40872
Bellbird Park	78572
Bellbowrie	104884
Bellenden Ker	75816
Bellevue (Qld)	
Bellfield (Qld)	
Belli Park	65624
Bellmere	67340
Bells Bridge	48984
Bells Creek	48516
Bellthorpe	53612
Belmont (Qld)	108888
Belmunda	
Belvedere	63024
Belyando	68224
Bemerside	64376
Benair	66300
Benaraby	108316
Benarkin	36712
Benarkin North	39312
Benholme	58500
Benobble	73632
Benowa	84968
Bentley Park	82888
Berajondo	35724
Berat	70200
Bergen	49348
Berrinba	91208
Berserker	52832
Bethania	49348
Biarra	46332
Biboohra	57564
Biddaddaba	68224
Biddeston	79612
Bidwill (Qld)	66508
Biggenden	37024
Biggera Waters	60112
Bilinga	57928
Billa Billa	94224
Biloela	94640
Bilyana	54496
Bindebango	
Bingegang	64948
Bingil Bay	49036
Binjour	54600
Binna Burra (Qld)	
Birdsville	74724
Birkalla	53612
Birkdale	86996
Birnam (Scenic Rim - Qld)	98748
Birnam (Toowoomba - Qld)	94224
Birtinya	84292
Black Duck Creek	54184
Black Jack	50648
Black Mountain (Qld)	65520
Black River (Qld)	80028
Black Snake	43316
Blackall	48672
Blackbull	
Blackbutt (Qld)	38012
Blackbutt North	37388
Blackbutt South	40456
Blackdown	
Blackrock	71500
Blacks Beach	76908
Blacksoil	74724
Blackstone	73684
Blackswamp	48516
Blackwater	113568
Blairmore	
Blanchview	93340
Blantyre	50804
Blaxland (Qld)	75816
Blenheim	62452
Bli Bli	70460
Bloomfield	38324
Bloomsbury	42588
Blue Mountain	90948
Blue Mountain Heights	116324
Bluewater	78884
Bluewater Park	89960
Bluff	102336
Blythdale	84448
Boatman	38948
Bogandilla	55224
Bogie	53612
Bohle	38428
Bohle Plains	98800
Boigu Island	36036
Bokarina	84500
Bollier	57044
Bollon	46020
Bolwarra (Qld)	
Bombeeta	67600
Bon Accord	110448
Bondoola	76648
Bongaree	39572
Bongeen	71448
Bonnie Doon (Qld)	80860
Bonogin	114296
Bonshaw (Qld)	69316
Bony Mountain	45500
Boodua	58500
Boogan	48828
Booie	65104
Boolboonda	38636
Boolburra	54184
Boompa	42900
Boonah (Qld)	49712
Boonara	58500
Boonarga	46748
Boondall	82420
Boondandilla	
Boondooma	54132
Boonooroo	40040
Boonooroo Plains	
Booral (Qld)	55900
Booroobin	69524
Booubyjan	58500
Booval	46280
Booyal	55900
Borallon	84448
Boreen Point	35620
Boronia Heights	68016
Bororen	59696
Boulder Creek	45448
Bouldercombe	73424
Boulia	65572
Bountiful Islands	
Bowen	56836
Bowen Hills	70356
Bowenville	74256
Boyland	95940
Boyne Island	98436
Boyne Valley	46176
Boynedale	39624
Boyneside	74724
Boynewood	73320
Bracalba	71500
Bracewell	76336
Bracken Ridge	87568
Braemeadows	72540
Braemore	46124
Bramston Beach	49088
Branch Creek	97448
Branchview	110500
Brandon	65780
Brandy Creek (Qld)	84448
Branyan	71344
Brassall	65624
Bray Park (Qld)	79872
Breadalbane (Qld)	74724
Breakaway	174512
Breddan	67288
Brendale	56784
Bribie Island North	
Bridgeman Downs	125216
Bridges	72020
Brigalow	53612
Brightly	95316
Brighton (Qld)	83512
Brightview	63648
Brigooda	35048
Bringalily	55224
Brinsmead	99216
Brisbane Airport	
Brisbane City	91312
Broadbeach	63388
Broadbeach Waters	88400
Broadmere	80184
Broadwater (Qld)	50804
Broken River	49348
Bromelton	92092
Brookfield (Qld)	151580
Brookhill	69316
Brooklands	53872
Brookstead	75192
Brookwater	153972
Brooloo	52416
Brooweena	32188
Broughton (Qld)	73892
Brovinia	
Browns Plains (Qld)	67496
Broxburn	45760
Brush Creek	49348
Bryden	97448
Brymaroo	58500
Buaraba	61724
Buaraba South	
Bucasia	87464
Bucca (Qld)	54184
Buccan	103012
Buckingham (Qld)	
Buckland (Qld)	71500
Buddina	71916
Buderim	72904
Budgee	58500
Bukali	74724
Bulgun	73632
Bulimba	126516
Bullawarra	
Bullcamp	40768
Bulleringa	
Bulli Creek	
Bulloo Downs	
Bullyard	39156
Bulwer	44200
Bunburra	61724
Bundaberg Central	37128
Bundaberg East	48360
Bundaberg North	43316
Bundaberg South	40612
Bundaberg West	40976
Bundall	85904
Bundamba	64012
Bundi	71448
Bundoora (Qld)	61724
Bungaban	84448
Bungadoo	55224
Bungalow	47632
Bungeworgorai	81224
Bungil (Qld)	58500
Bungundarra	67288
Bungunya	56316
Bunjurgen	76076
Bunya	146952
Bunya Creek	94224
Bunya Mountains	53612
Burbank	114296
Burdell	97968
Burgowan	53612
Burketown	57408
Burleigh	46800
Burleigh Heads	72072
Burleigh Waters	72748
Burncluith	60112
Burnett Creek	35724
Burnett Heads	44044
Burnside (Qld)	67652
Burpengary	75764
Burpengary East	71656
Burra Burri	36400
Burrar Islet	
Burrum Heads	40300
Burrum River	39624
Burrum Town	33384
Burton (Qld)	
Burua	116272
Bushland Beach	97396
Bushley	71448
Butchers Creek	50908
Buxton (Qld)	39156
Bybera	
Byee	37700
Byellee	
Byfield	36972
Bymount	53248
Byrnestown	39624
Cabarlah	99632
Caboolture	55640
Caboolture South	50856
Caboonbah	
Cadarga	29900
Caffey	81224
Cainbable	71500
Cairdbeign	75816
Cairns City	77272
Cairns North	60632
Calamvale	83772
Calavos	54288
Calcium	
Caldervale	
Calen	62660
Calgoa	74724
Calico Creek	68224
Calingunee	61048
Callandoon	90948
Callemondah	27300
Callide	93132
Calliope (Qld)	93756
Caloundra	43316
Caloundra West	67912
Calvert (Qld)	74724
Camboon (Qld)	50648
Cambooya	68432
Cambridge (Qld)	117000
Cambroon	51220
Cameby	86632
Cameron Corner	
Camira (Qld)	81380
Camoola	123448
Camooweal	57564
Camp Creek (Qld)	62348
Camp Hill	118560
Camp Mountain	125788
Campaspe	48828
Campbell Creek	
Campbells Pocket	46800
Campwin Beach	78624
Canaga	84500
Canal Creek	
Cania	44200
Canina	57772
Cannindah	37700
Canning Creek	
Canningvale	66300
Cannon Creek (Scenic Rim - Qld)	81224
Cannon Creek (Southern Downs - Qld)	55224
Cannon Hill	97292
Cannon Valley	95160
Cannonvale	67600
Canoona	70408
Canungra	75816
Capalaba	77168
Cape Cleveland	59748
Cape Conway	
Cape Gloucester	58448
Cape Hillsborough	46800
Cape Tribulation	45760
Capella	86996
Captain Creek	39468
Captains Mountain	66612
Caravonica	78572
Carbine Creek	
Carbrook	76960
Cardstone	
Cardwell	43940
Carina (Qld)	90428
Carina Heights	87256
Carindale	110136
Carmila	49348
Carmoo	54184
Carnarvon Park	
Carneys Creek	55224
Carole Park	
Caroline Crossing	
Carpendale	86632
Carpentaria	
Carrandotta	
Carrara	72488
Carrington (Qld)	75816
Carruchan	50076
Carseldine	92924
Carstairs	77220
Carters Ridge	64116
Cashmere	126360
Cassowary	99632
Castaways Beach	82212
Castle Creek (Qld)	117000
Castle Hill (Qld)	153608
Cattle Creek (North Burnett - Qld)	44148
Cattle Creek (Toowoomba - Qld)	117000
Causeway Lake	42900
Cawarral	81900
Cawdor (Qld)	110500
Cecil Plains	62296
Cedar Creek (Gold Coast - Qld)	97500
Cedar Creek (Moreton Bay - Qld)	125788
Cedar Grove	93236
Cedar Pocket	57772
Cedar Vale	96876
Cedarton	40248
Cement Mills	37700
Centenary Heights	61308
Ceratodus	33748
Chahpingah	53248
Chambers Flat	78780
Chances Plain	105404
Chandler (Qld)	128752
Chapel Hill (Qld)	123188
Charlestown (Qld)	58500
Charleville	61724
Charlton (Qld)	71500
Charlwood	45760
Charters Towers City	46852
Chatsworth (Qld)	60684
Cheeseborough	
Chelmer	132600
Chelmsford	60112
Chelona	101816
Cheltenham (Qld)	
Cherbourg	40300
Chermside	63284
Chermside West	89544
Cherry Creek	49348
Cherry Gully	
Cherwell	
Chevallum	87048
Chewko	45500
Childers (Qld)	40196
Chillagoe	34372
Chinchilla	69264
Chinghee Creek	67184
Chirnside	84500
Chorregon	100724
Christmas Creek	48516
Churchable	46800
Churchill (Qld)	62036
Chuwar	101036
Cinnabar	79612
Clagiraba	95472
Clairview	38012
Clara Creek	67184
Claraville	
Clare (Qld)	80444
Clarendon (Qld)	59748
Clarke Creek	84500
Clayfield	87932
Clear Island Waters	71396
Clear Mountain	120640
Clemant	
Clermont	80028
Cleveland (Qld)	66300
Clifford	77948
Clifton (Qld)	42848
Clifton Beach (Qld)	73320
Clinton (Qld)	89492
Clintonvale	54132
Cloncurry	88764
Clontarf (Moreton Bay - Qld)	62608
Clontarf (Toowoomba - Qld)	142948
Closeburn	122512
Cloyna	50232
Cluden	79768
Clumber	61724
Coal Creek	71500
Coalbank	46748
Coalfalls	66872
Coalstoun Lakes	71500
Cobbs Hill	
Cobraball	55224
Cockatoo (Qld)	82316
Coconuts	49348
Coen	74984
Coes Creek	67756
Coles Creek	58448
Colevale	68224
Coleyville	94224
Colinton (Qld)	40456
Collaroy (Qld)	35724
College View	63336
Collingwood Park (Qld)	78364
Collinsville (Qld)	49296
Colosseum	60632
Columbia	88816
Columboola	63336
Comet	100724
Commissioners Flat	107224
Como (Qld)	43316
Comoon Loop	40768
Cona Creek	108316
Condamine	74516
Condamine Farms	24232
Condamine Plains	87048
Condon	59592
Conjuboy	
Conondale	44356
Consuelo	84500
Conway	68900
Conway Beach	44200
Coochiemudlo Island	42848
Coochin	53092
Coochin Creek	80184
Cooee Bay	56576
Cooeeimbardi	
Cooktown	55484
Coolabine	55224
Coolabunia	76076
Cooladdi	58448
Coolana	71500
Coolangatta (Qld)	52936
Coolbie	46800
Coolmunda	68224
Cooloola	
Cooloola Cove	38844
Cooloolabin	57980
Coolum Beach	65988
Coombabah	48932
Coomera	88972
Coominglah	90948
Coominglah Forest	
Coominya	56056
Coomoo	58448
Coomrith	58500
Coonambula	44148
Coonarr	50388
Coondoo	58500
Coongoola	71500
Coopers Plains	67704
Coorada	
Cooran	55120
Cooranga	58500
Cooroibah	67444
Cooroo Lands	
Coorooman	70564
Cooroy	56940
Cooroy Mountain	92092
Coorparoo	93028
Coorumba	66248
Coorumbene	
Cootharaba	57252
Coowonga	65832
Cooya Beach	49556
Cooyar	37700
Coppabella (Qld)	121056
Coquette Point	60632
Coral Cove	71136
Coral Sea	43316
Coralie	
Cordalba	42640
Cordelia	56316
Corella	71500
Corfield	54184
Corinda	95368
Coringa	58500
Corndale (Qld)	68900
Cornish Creek	42224
Cornubia	107484
Cornwall (Qld)	
Cosgrove (Qld)	68224
Cotherstone	
Cotswold Hills	100776
Cottonvale (Qld)	48828
Coulson	79612
Coverty	37128
Cow Bay	37700
Cowan Cowan	55224
Cowley	81224
Cowley Beach	31148
Cowley Creek	71448
Cracow	35724
Craiglie	68900
Craignish	63232
Cranbrook (Qld)	64688
Cranley	57044
Crawford	65832
Crediton	45032
Cremorne (Qld)	54132
Cressbrook	56836
Cressbrook Creek	90948
Crestmead	70096
Crimea	45448
Crinum	89336
Croftby	58500
Crohamhurst	62088
Cromarty	94224
Crossdale	45032
Crossroads	75816
Crowley Vale	48048
Crownthorpe	58500
Crows Nest (Qld)	42328
Croydon (Qld)	57200
Cryna	66612
