SSC_NAME16	PrivateDwelling	persons
Biala	0	3
Biala	1	56
Bibbenluke	0	11
Bibbenluke	1	82
Biddon	0	3
Biddon	1	92
Bidgeemia	1	32
Bidwill (NSW)	0	437
Bidwill (NSW)	1	3833
Bielsdown Hills	0	5
Bielsdown Hills	1	99
Big Hill (NSW)	1	48
Big Jacks Creek	0	9
Big Jacks Creek	1	45
Big Ridge	1	11
Big Springs	0	7
Big Springs	1	115
Bigga	0	52
Bigga	1	196
Bilambil	0	12
Bilambil	1	387
Bilambil Heights	0	182
Bilambil Heights	1	3101
Bilbul	0	50
Bilbul	1	503
Bilgola Beach	0	6
Bilgola Beach	1	240
Bilgola Plateau	0	55
Bilgola Plateau	1	3368
Billeroy	1	33
Billilingra	1	10
Billimari	0	22
Billimari	1	115
Billinudgel	0	29
Billinudgel	1	181
Billys Creek	0	4
Billys Creek	1	53
Billywillinga	0	9
Billywillinga	1	175
Bilpin	0	54
Bilpin	1	595
Bimbi	0	26
Bimbi	1	88
Bimbimbie	0	6
Bimbimbie	1	107
Binalong	0	25
Binalong	1	499
Binda	0	53
Binda	1	226
Bindera	0	11
Bindera	1	23
Bingara	0	224
Bingara	1	1210
Bingeebeebra Creek	0	6
Bingeebeebra Creek	1	23
Bingie	0	19
Bingie	1	166
Bingleburra	1	25
Biniguy	0	35
Biniguy	1	106
Binjura	0	22
Binjura	1	292
Binna Burra (NSW)	0	58
Binna Burra (NSW)	1	163
Binnaway	0	51
Binnaway	1	547
Binya	0	8
Binya	1	131
Birchgrove	0	239
Birchgrove	1	2953
Birdwood (NSW)	0	5
Birdwood (NSW)	1	30
Birganbigil	0	4
Birganbigil	1	54
Birmingham Gardens	0	119
Birmingham Gardens	1	2236
Birriwa	0	17
Birriwa	1	32
Birrong	0	102
Birrong	1	2990
Bishops Bridge	0	28
Bishops Bridge	1	206
Bithramere	0	15
Bithramere	1	154
Black Creek (Port Macquarie-Hastings - NSW)	1	48
Black Creek (Snowy Valleys - NSW)	1	14
Black Head	0	27
Black Head	1	774
Black Hill (NSW)	0	35
Black Hill (NSW)	1	507
Black Hollow	0	3
Black Hollow	1	21
Black Mountain (NSW)	0	24
